Price,Close,High,Low,Open,Volume
Ticker,FDC.VN,FDC.VN,FDC.VN,FDC.VN,FDC.VN
Date,,,,,
2017-01-02,28200.0,28200.0,28200.0,28200.0,10
2017-01-09,28200.0,28200.0,28200.0,28200.0,0
2017-01-16,24050.0,29000.0,24050.0,29000.0,570
2017-01-23,27450.0,27450.0,25000.0,25000.0,180
2017-01-30,27300.0,27450.0,27100.0,27450.0,60
2017-02-06,27600.0,27700.0,25600.0,27400.0,3900
2017-02-13,26000.0,27500.0,25200.0,27500.0,1700
2017-02-20,26000.0,26450.0,24200.0,26450.0,400
2017-02-27,26500.0,26800.0,24400.0,26800.0,510
2017-03-06,26500.0,26500.0,26500.0,26500.0,0
2017-03-13,27000.0,27600.0,24650.0,26500.0,960
2017-03-20,28000.0,28000.0,27350.0,27400.0,330
2017-03-27,26900.0,28000.0,25200.0,28000.0,1400
2017-04-03,27500.0,28000.0,26100.0,27300.0,430
2017-04-10,27400.0,27500.0,25600.0,27500.0,280
2017-04-17,27800.0,27800.0,27400.0,27400.0,10
2017-04-24,27800.0,27800.0,27800.0,27800.0,0
2017-05-01,27800.0,27800.0,27800.0,27800.0,0
2017-05-08,26500.0,27800.0,24650.0,27800.0,1450
2017-05-15,24650.0,27000.0,24650.0,25200.0,4700
2017-05-22,26200.0,26350.0,24550.0,25650.0,7960
2017-05-29,26000.0,26200.0,24850.0,26200.0,5770
2017-06-05,26000.0,26000.0,24250.0,25850.0,5350
2017-06-12,25800.0,26000.0,24200.0,26000.0,6420
2017-06-19,25800.0,25800.0,25800.0,25800.0,0
2017-06-26,29000.0,29000.0,24000.0,24000.0,17150
2017-07-03,28800.0,29200.0,25200.0,29000.0,2930
2017-07-10,29000.0,29850.0,28100.0,28800.0,1610
2017-07-17,30000.0,30000.0,27000.0,30000.0,1490
2017-07-24,29800.0,30000.0,27750.0,30000.0,1930
2017-07-31,29200.0,30000.0,26800.0,30000.0,6070
2017-08-07,28500.0,30000.0,26250.0,29200.0,9930
2017-08-14,28450.0,29800.0,26350.0,29000.0,5750
2017-08-21,27900.0,28200.0,26100.0,26600.0,57800
2017-08-28,28900.0,28900.0,26300.0,26300.0,550
2017-09-04,27800.0,28900.0,26000.0,28900.0,4090
2017-09-11,27750.0,28500.0,26200.0,27800.0,3000
2017-09-18,27550.0,29100.0,27000.0,27750.0,2690
2017-09-25,27900.0,27900.0,26000.0,27900.0,1940
2017-10-02,27500.0,27500.0,25150.0,25950.0,1800
2017-10-09,26900.0,28000.0,24800.0,27500.0,4740
2017-10-16,29100.0,29100.0,26900.0,26900.0,1260
2017-10-23,26800.0,27900.0,25950.0,27100.0,1430
2017-10-30,26800.0,27000.0,25150.0,27000.0,750
2017-11-06,25700.0,27500.0,25700.0,26800.0,2250
2017-11-13,27500.0,28000.0,24150.0,26500.0,13090
2017-11-20,25000.0,26900.0,25000.0,25600.0,350
2017-11-27,27000.0,27800.0,23400.0,24000.0,13250
2017-12-04,26900.0,27000.0,25200.0,25250.0,3070
2017-12-11,26650.0,26850.0,24000.0,25100.0,3340
2017-12-18,22200.0,25650.0,22200.0,24950.0,5890
2017-12-25,26400.0,27150.0,22200.0,22200.0,48210
2018-01-01,21700.0,26400.0,21450.0,26400.0,8940
2018-01-08,20850.0,21800.0,19450.0,21800.0,5950
2018-01-15,20000.0,20500.0,19400.0,19700.0,4920
2018-01-22,20200.0,21400.0,20000.0,20000.0,80
2018-01-29,19900.0,22150.0,19100.0,20800.0,2180
2018-02-05,19800.0,21250.0,19800.0,19900.0,170
2018-02-12,19700.0,19800.0,17700.0,19000.0,120
2018-02-19,20200.0,20350.0,18400.0,19700.0,180
2018-02-26,19000.0,20900.0,18300.0,20700.0,52330
2018-03-05,18700.0,19000.0,17500.0,18000.0,2890
2018-03-12,19000.0,20050.0,17500.0,18700.0,36900
2018-03-19,21250.0,21250.0,17100.0,18000.0,56140
2018-03-26,27700.0,27700.0,19850.0,21250.0,111440
2018-04-02,25150.0,27700.0,23500.0,27600.0,2880
