Price,Close,High,Low,Open,Volume
Ticker,GDT.VN,GDT.VN,GDT.VN,GDT.VN,GDT.VN
Date,,,,,
2017-01-02,18163.369140625,18506.074958364556,17135.253469205032,18129.099806110138,1928
2017-01-09,18437.53515625,19191.487341946657,17820.66745387866,18163.37153499619,9275
2017-01-16,18643.15625,18711.698484060904,17477.95965254953,18437.53311141477,3471
2017-01-23,18745.966796875,18780.237912036282,17169.52400823432,17340.87602044344,23730
2017-01-30,18711.701171875,18745.97051202928,18506.07800375334,18745.97051202928,1370
2017-02-06,19191.482421875,19397.10553055002,17820.66288524053,18506.072653557763,9062
2017-02-13,20390.951171875,20905.00897406664,18506.073751704713,19191.483560694036,32262
2017-02-20,19876.892578125,20562.302359819223,19397.105909118898,20562.302359819223,5269
2017-02-27,20185.328125,20562.303254056373,18951.58939521704,19534.189427702502,54715
2017-03-06,20219.599609375,20562.303630500814,19225.755097232333,20562.303630500814,19643
2017-03-13,20048.24609375,20562.303914333163,19534.190054965493,20390.95190140499,30956
2017-03-20,20185.328125,20219.599239204617,19328.56630607201,20048.24544998014,10339
2017-03-27,19876.892578125,21796.041035947932,19534.18857817715,20185.327247157176,9314
2017-04-03,19842.625,20905.009988201637,18883.049795425566,20116.78858053612,6214
2017-04-10,20219.599609375,21247.715236349697,19465.64755566068,19945.434254315995,5853
2017-04-17,20219.599609375,20562.303630500814,18711.697283744987,20048.245817013463,21533
2017-04-24,20562.3046875,21624.69148391841,19362.836988304112,20219.600648757587,22187
2017-05-01,21247.71875,21247.71875,20219.602953009904,20562.30703080732,12470
2017-05-08,20528.0390625,22275.83425226204,20356.685230363277,21247.720168436917,73975
2017-05-15,21139.142578125,21708.547957972984,20569.73904856372,21708.547957972984,3525
2017-05-22,20890.033203125,21317.086856706646,20285.04114398002,21317.086856706646,4284
2017-05-29,20996.796875,21139.146861088233,20996.796875,21032.383446378517,24356
2017-06-05,20996.796875,21103.560289709712,20427.391379785826,20996.796875,150920
2017-06-12,20818.857421875,20996.797686795584,20640.919007241566,20640.919007241566,4431
2017-06-19,20925.619140625,20996.79598092538,20818.85573046143,20818.85573046143,20096
2017-06-26,20783.2734375,20996.80030176793,20640.92157789225,20996.80030176793,18338
2017-07-03,20961.208984375,20996.797406942213,20640.91873213148,20640.91873213148,13468
2017-07-10,20640.91796875,20961.208209147942,20498.567984320063,20498.567984320063,31676
2017-07-17,20640.91796875,20854.444795681964,20640.91796875,20712.09296096497,11032
2017-07-24,21708.5546875,22847.363949933584,20569.745425066416,20640.92042575374,200286
2017-07-31,20890.033203125,21708.552089060806,19573.283821152567,21708.552089060806,117312
2017-08-07,20213.865234375,20534.155489342313,19786.811561085247,20534.155489342313,8437
2017-08-14,20088.75390625,20859.986116771765,19905.127825935826,20859.986116771765,14746
2017-08-21,20566.185546875,20749.811640943524,19868.40333432611,20749.811640943524,191928
2017-08-28,20382.5625,20566.188621520632,19831.682226007502,20052.0343356045,11963
2017-09-04,20309.10546875,20492.73345399477,19978.577386625562,20382.55742661996,70954
2017-09-11,20566.185546875,20749.811640943524,19905.129316911938,19905.129316911938,18591
2017-09-18,21484.3125,21851.566504803945,20198.926347330937,20566.18035213488,31927
2017-09-25,21631.21875,21631.21875,20970.162556634743,21117.064569414866,74107
2017-10-02,21521.046875,21851.57503553086,21447.596809136667,21851.57503553086,24875
2017-10-09,22218.828125,23283.862621707904,21300.69375301909,21667.94788369755,26365
2017-10-16,21961.75,22218.828081919517,21667.947841685178,22218.828081919517,14293
2017-10-23,21851.5703125,22035.196392184407,21300.69016401662,21961.74634219668,12975
2017-10-30,22035.19921875,22035.19921875,20933.440689885305,21667.947012271903,26352
2017-11-06,21888.294921875,22035.195012653665,21704.66694425661,22035.195012653665,24008
2017-11-13,21667.943359375,21998.471435141353,21410.865330635588,21961.745456912842,22891
2017-11-20,20749.8125,22035.199030556178,20198.932285557297,22035.199030556178,67932
