Price,Close,High,Low,Open,Volume
Ticker,GEG.VN,GEG.VN,GEG.VN,GEG.VN,GEG.VN
Date,,,,,
2019-09-16,18078.23046875,19337.25010431755,17819.969051636454,19337.25010431755,1531948
2019-09-23,17690.83984375,18078.230051331248,17432.578432599603,18045.94642036527,3587737
2019-09-30,17561.7109375,17819.970465966617,17432.580218694417,17755.407015708373,2887171
2019-10-07,17464.86328125,17690.841077190038,17271.167209382333,17561.710362611593,3257347
2019-10-14,18175.078125,18465.621273942787,17432.579390844978,17432.579390844978,4667134
2019-10-21,17819.96875,18207.360869112978,17690.839952773367,18142.795515927482,3857036
2019-10-28,18013.666015625,18078.231373133338,17626.275779719454,17852.253576426396,3932492
2019-11-04,18175.078125,18207.36175774056,17626.275459854987,18013.66568873055,4063387
2019-11-11,18239.642578125,18336.489653261993,17755.40529329568,18175.07722498555,4691707
2019-11-18,18110.513671875,18336.491475751136,18110.513671875,18207.362665782308,4540206
2019-11-25,17884.53515625,18207.36194118594,17658.55736136708,18110.51295113292,3969568
2019-12-02,17787.6875,18013.665287573687,17723.122145101173,17884.534577776034,1465667
2019-12-09,17109.75390625,18078.23039836646,17109.75390625,17819.9689822584,3921439
2019-12-16,17271.166015625,17723.121576266578,16851.49217682453,17109.753588130774,4076544
2019-12-23,17303.44921875,17723.123093477192,16819.21189481356,17238.885769540753,3841201
2019-12-30,17045.189453125,17593.992127644327,16851.49338080639,17077.471177272524,3006848
2020-01-06,17109.75390625,17368.013413213677,16786.927136114922,17045.188552222986,3063441
2020-01-13,16302.6904296875,17174.31987661601,16141.277993399508,17109.754520271923,2751703
2020-01-20,16334.9716796875,16431.820665967916,15786.169030390867,16044.428539135046,1503909
2020-01-27,16431.8203125,16464.102034469455,16334.97132830292,16334.97132830292,1050664
2020-02-03,16108.994140625,16431.820917936002,15818.451950189528,16399.537285632687,2542855
2020-02-10,15947.58203125,16173.559825396613,15495.626442956773,16108.9944686198,2510743
2020-02-17,15172.80078125,15883.017804495834,14817.693224199327,15883.017804495834,2422208
2020-02-24,13558.6728515625,15301.930735073554,13300.412389021152,15172.800026516781,2400816
2020-03-02,15011.3876953125,15495.625946479213,12880.739581093405,13558.672941812361,2221413
2020-03-09,13558.6728515625,14946.822241114625,12687.043432520875,14849.975164269243,2275279
2020-03-16,13106.7177734375,13816.933833480061,13106.7177734375,13558.673361230745,2499177
2020-03-23,12913.021484375,13300.412663466692,11944.544968504097,13106.717551206953,2068488
2020-03-30,12783.8916015625,12913.021356937212,12009.110205597603,12267.370670919234,1886862
2020-04-06,13494.1083984375,13881.499595406089,12783.892317662725,12848.457676252867,2550833
2020-04-13,13235.84765625,13881.499320206922,12913.021824271538,13494.108130918321,2397591
2020-04-20,13106.7177734375,13429.54264781997,12461.066115528092,13235.84753227604,2493181
2020-04-27,13429.54296875,13558.673685246651,12913.022011907902,13106.718086652882,1482623
2020-05-04,13332.6953125,13784.650891654805,12590.196588296476,13429.542391134764,2791641
2020-05-11,14172.041015625,14204.323693133521,13332.695218692277,13332.695218692277,2534437
2020-05-18,13590.9560546875,14172.041401965065,13494.10801952179,14172.041401965065,1248672
2020-05-25,13558.6728515625,14398.018638892736,13429.542143005727,13590.955528701694,3869648
2020-06-01,13494.1083984375,13881.499595406089,13171.282560059053,13558.673757027642,3492720
2020-06-08,12654.7607421875,13752.367945486887,12590.196342548628,13494.107483214808,2440345
2020-06-15,12913.021484375,12977.586839985652,11944.544968504097,12654.761016504612,3393934
2020-06-22,13106.7177734375,13235.84753227604,12590.196828938868,13042.152416732113,3931886
2020-06-29,13235.84765625,14204.324197613141,12880.74010018871,13106.71789620196,4489715
2020-07-06,13171.2822265625,13494.108056767005,13042.152467224041,13235.847583517849,2752324
2020-07-13,12913.021484375,13171.281952245388,12751.609049920587,13106.717551206953,2276445
