Price,Close,High,Low,Open,Volume
Ticker,GEX.VN,GEX.VN,GEX.VN,GEX.VN,GEX.VN
Date,,,,,
2018-01-22,9944.6416015625,10893.20697060667,9791.646814903275,10709.613759287067,14201311
2018-01-29,9317.365234375,9975.241208166944,9179.66964373072,9852.845719451507,19784616
2018-02-05,9240.8662109375,9317.364047479357,8078.108328473281,9317.364047479357,24995599
2018-02-12,9485.6591796875,9638.653095501477,9118.471828605027,9271.46663220488,2536400
2018-02-19,9669.251953125,9944.64223144007,9363.263248211499,9485.6587301769,5351004
2018-02-26,10556.6201171875,10556.6201171875,9669.252389040537,10005.840423512587,11465199
2018-03-05,10985.0048828125,11107.400366637294,10373.026575902682,10587.219116488995,24600189
2018-03-12,10954.404296875,11168.5968126076,10464.822418384194,11015.60203168635,12792194
2018-03-19,10709.6142578125,11076.800697543991,10403.625558036258,11015.602957588742,8464342
2018-03-26,11092.1015625,11260.394693131175,10587.21950724883,10709.614995591075,9717894
2018-04-02,12055.9658203125,12270.15836107897,11092.101162435092,11199.196545032477,16812074
2018-04-09,11627.5810546875,12270.157757597282,11199.195994223774,12055.96522736542,14799074
2018-04-16,11719.376953125,12086.56426629737,11137.998002370017,11688.778528235678,5810200
2018-04-23,11260.39453125,11780.575793119273,10862.609643749263,11719.37804982794,4427528
2018-04-30,10770.8115234375,11505.185258345593,10480.12204950514,11260.393421519042,2187009
2018-05-07,11015.6025390625,11107.399589400551,10434.223587683611,10770.811588542081,4269619
2018-05-14,11015.6025390625,11382.789852628915,10770.811588542081,11015.6025390625,7024357
2018-05-21,9791.6484375,11046.203587757858,9791.6484375,11015.60427024102,7013306
2018-05-28,9975.240234375,10403.625290845577,9118.471009219642,9791.64701922438,8221224
2018-06-04,10403.6259765625,10801.410858381145,10036.438634273652,10067.037949375162,2593531
2018-06-11,10036.4384765625,10556.61972282728,9975.240735106987,10373.02649846074,5440280
2018-06-18,10097.6357421875,10097.6357421875,9516.256781863509,10036.438003615807,3419616
2018-06-25,10281.23046875,10281.23046875,9516.258180296714,10097.637226055524,4064739
2018-07-02,9485.6591796875,10281.229850163458,8996.076340839494,10281.229850163458,3902373
2018-07-09,9577.4560546875,9791.648617893721,9118.472497980421,9485.65987601765,1873687
2018-07-16,9699.8505859375,10097.6363546747,9026.675420816422,9577.455101370031,2928273
2018-07-23,10526.021484375,10556.61991175745,9638.652885710206,9699.850628260965,19733368
2018-07-30,10832.009765625,10862.609079574355,10281.229216823196,10464.82332494768,44798343
2018-08-06,10832.009765625,11092.100826944135,10648.41654528634,10862.609079574355,45407664
2018-08-13,11052.3232421875,11245.096192954443,10171.074959946658,10862.610489548457,50386968
2018-08-20,11606.439453125,11872.816887797055,11187.84673581274,11454.224170484793,48686982
2018-08-27,11035.6318359375,11644.493907685304,10978.55075794175,11549.359697761342,28074395
2018-09-03,10598.01171875,11149.792693792233,10369.688334577957,11035.631461740673,26877629
2018-09-10,10883.4150390625,11225.900568436635,10521.903404788212,10617.038529633503,45261051
2018-09-17,10578.984375,11149.792358215991,10578.984375,10921.468980915815,28555771
2018-09-24,10940.4970703125,11092.713283370655,10521.904324540548,10655.092590897446,26849378
2018-10-01,11149.79296875,11302.009175331015,10731.200240790098,10921.469578947423,34623020
2018-10-08,10426.7685546875,11168.819787827033,9932.068652663409,10997.577478662197,30195637
2018-10-15,10198.4453125,10502.876804238027,10084.284078141329,10426.768701286284,12128677
2018-10-22,9323.205078125,10274.552610184193,9132.935755726936,10274.552610184193,12268165
2018-10-29,10046.2294921875,10160.391640541477,9247.097213916346,9323.205312818996,19097970
2018-11-05,9817.9072265625,10046.230629039093,9703.745985358702,10046.230629039093,11204399
2018-11-12,9513.474609375,9894.01418259409,9266.124208806703,9817.906083936494,9892481
2018-11-19,9741.798828125,9970.122223783103,9437.36824729351,9551.529485088076,13900283
2018-11-26,9627.63671875,9817.906044562029,9513.47457122145,9741.797946209663,8175219
2018-12-03,9779.853515625,10046.230981196708,9608.611187782126,9665.692270419428,16325237
2018-12-10,9570.556640625,9779.853012798534,9551.529614057497,9779.853012798534,13929721
2018-12-17,8904.61328125,9798.87983059363,8447.966493497126,9684.718593689893,48730705
2018-12-24,8428.939453125,8942.66731849815,8067.427796792167,8904.613266238071,10975781
2018-12-31,7896.1845703125,8486.020540854994,7724.942255022631,8428.939462402052,9207220
2019-01-07,8314.77734375,8371.858422465557,7934.238659117554,8105.480975195258,15386277
2019-01-14,8219.6435546875,8333.804797911584,8143.535445825435,8333.804797911584,12042641
2019-01-21,8314.77734375,8371.858422465557,8124.508001433777,8181.589080149334,9598328
2019-01-28,8333.8046875,8352.831714463433,8124.508310971229,8352.831714463433,7569308
2019-02-04,8333.8046875,8333.8046875,8333.8046875,8333.8046875,0
2019-02-11,8752.3974609375,8828.504640898915,8333.803830839634,8409.911930869956,20680867
2019-02-18,8999.748046875,9113.90927914638,8752.397636873262,8752.397636873262,20209397
2019-02-25,9399.3134765625,9703.744954204321,8999.74779470498,9018.773899492999,40564520
2019-03-04,9094.8828125,9399.314317374627,9018.774706264097,9399.314317374627,22753561
2019-03-11,8923.640625,9075.855919645235,8733.371276676206,8923.640625,12188047
2019-03-18,8676.2890625,9018.773660719422,8524.073787743466,8942.666483375593,8434786
2019-03-25,8790.4501953125,8790.4501953125,8486.019649028434,8524.07369733116,7648535
2019-04-01,9056.8291015625,9056.8291015625,8714.344450699326,8828.505694297379,12609360
2019-04-08,8581.154296875,9094.88213559409,8486.02009122967,9056.828085308392,10649590
2019-04-15,8486.01953125,8600.18075450485,8295.750212446012,8581.153730617567,5834841
2019-04-22,8486.01953125,8562.126706730283,8352.830364039011,8486.01953125,4670135
2019-04-29,8562.126953125,8562.126953125,8390.88465328041,8486.01977545456,2539485
2019-05-06,8486.01953125,8809.477097196122,8219.642116896875,8524.073579024569,5593224
2019-05-13,8524.07421875,8638.235450572567,8314.77694028227,8486.020168119503,10284553
2019-05-20,8562.126953125,8752.397197473301,8447.9657265849,8524.07382432422,12130683
