Price,Close,High,Low,Open,Volume
Ticker,GIL.VN,GIL.VN,GIL.VN,GIL.VN,GIL.VN
Date,,,,,
2017-01-02,15127.90625,15375.364035602557,14748.471209595305,14847.455016394011,659782
2017-01-09,16002.2568359375,16134.234090527905,15111.409501755155,15177.398129050358,1032219
2017-01-16,15111.4091796875,16035.251673524805,15012.427106551391,16002.256494883322,449517
2017-01-23,14484.5166015625,15309.374389171257,14055.5896863089,15111.408520145154,1950146
2017-01-30,13857.6240234375,14484.51681704325,13725.646775456722,14484.51681704325,516956
2017-02-06,14649.4892578125,14781.466513728345,13758.64191468344,13857.624856620323,1352559
2017-02-13,14880.4501953125,15144.404704908273,14517.511878921207,14616.49395432252,1297884
2017-02-20,15276.3828125,15441.353524509635,14781.467213682488,14880.451026003713,1673893
2017-02-27,15177.3984375,15276.382246151552,14616.494228394438,15177.398437500002,856317
2017-03-06,16794.12109375,17322.030080642133,15177.397224301685,15193.893947293538,2893406
2017-03-13,17618.978515625,17915.926434226076,16629.14750323747,17157.056453100697,1581980
2017-03-20,16497.171875,18080.900610469605,16332.1994463784,17487.00125254716,1860890
2017-03-27,16926.099609375,17157.058942757627,16497.172659672644,16728.133724449504,611314
2017-04-03,17289.03515625,17618.980009279676,16794.121339493737,16860.109963820847,1442807
2017-04-10,16662.142578125,17322.028761486676,16530.163610058695,17289.03358662161,975097
2017-04-17,16662.142578125,16992.085669805838,16167.22707490676,16563.158784923762,501102
2017-04-24,16794.12109375,16926.098340473032,16497.171422926123,16893.103163095224,334767
2017-05-01,16398.189453125,16794.122968896118,15606.32588437135,16794.122968896118,1166153
2017-05-08,15936.2685546875,16431.18413584538,15936.2685546875,16134.234440871804,1190842
2017-05-15,15639.318359375,16002.25667146542,15507.341106141064,16002.25667146542,1113196
2017-05-22,15705.3076171875,16002.257314595343,15507.341729380354,15771.297977850803,765666
2017-05-29,16282.7099609375,16332.200133350925,15672.313853896378,15870.279737732742,897773
2017-06-05,16266.2109375,16827.115121150517,16200.222311858419,16332.19956314158,1743668
2017-06-12,15507.3408203125,16431.183307316143,15342.370122507882,16266.210878117372,796672
2017-06-19,15449.5712890625,15996.458260388863,15381.210417646704,15962.27872149926,687213
2017-06-26,15039.40625,15449.571483661102,14389.977066551615,15449.571483661102,862631
2017-07-03,14783.052734375,15210.307743586969,14697.601194441615,15210.307743586969,351156
2017-07-10,14629.240234375,14936.865058854302,14287.435870307236,14697.601107188553,204271
2017-07-17,13843.0888671875,14834.322388796436,13843.0888671875,14526.698470757958,309861
2017-07-24,14253.2548828125,14321.615752982949,13706.367024630641,13979.81140213071,246427
2017-07-31,12646.7724609375,14013.991638606469,12646.7724609375,13911.450334804036,730363
2017-08-07,12373.3291015625,12988.5778270345,12304.968231712086,12988.5778270345,369317
2017-08-14,12065.705078125,12475.870293518343,11621.358531297277,12475.870293518343,259000
2017-08-21,11928.982421875,12134.065926029469,11450.456338090526,12099.885491473435,1376927
2017-08-28,11040.291015625,11928.982305405043,10425.042302805174,11928.982305405043,740706
2017-09-04,11211.193359375,11450.45640261552,10903.56854981892,11040.291185631773,342316
2017-09-11,11040.291015625,11279.554055181165,10869.387947695195,11108.651884069619,390919
2017-09-18,10937.75,11177.013962271438,10664.306496625048,11108.6530864277,391161
2017-09-25,11587.1787109375,11723.900456649802,10869.38864912959,10886.479315752787,626304
2017-10-02,11860.623046875,12270.789210035318,11587.179535980373,11587.179535980373,525632
2017-10-09,11894.8017578125,12031.52439021688,11552.997418847168,11963.162625605566,514400
2017-10-16,11928.982421875,12202.426795141535,11723.899814538796,11963.162856431034,393364
2017-10-23,10544.673828125,11963.16325464455,10544.673828125,11723.900204788051,308516
2017-10-30,10185.7802734375,10459.223774335102,9809.79456288495,10322.5020238863,1118382
2017-11-06,10766.84765625,10766.84765625,10083.238907599318,10254.141094761988,329689
2017-11-13,10818.1181640625,10818.1181640625,10254.140529126465,10766.847062332728,434794
2017-11-20,11279.5546875,11313.735123638426,10903.568993159017,10937.74942929744,524934
2017-11-27,11928.982421875,11928.982421875,11159.922195955105,11159.922195955105,441913
2017-12-04,11621.3603515625,12031.526528018847,11313.736391834047,11963.164751260783,235974
2017-12-11,11792.26171875,11792.26171875,11279.555155405224,11723.900843637362,112572
2017-12-18,12236.607421875,12475.870467524892,11621.358693385568,11758.080433756935,407845
2017-12-25,11963.1640625,12236.608463333892,11621.359682480579,12236.608463333892,120149
2018-01-01,12168.2470703125,12475.870999259323,11621.359188699827,11963.163554196299,395326
2018-01-08,12168.2470703125,12578.412308908264,11450.457005951594,11997.344887564264,207979
2018-01-15,12270.7890625,12287.87883331625,11518.81851976256,12168.2477471474,173481
2018-01-22,12988.5791015625,13091.120416400174,12134.067247763518,12270.789000880417,561771
2018-01-29,14372.88671875,14424.157822503577,13056.939449834192,13091.119886730468,1120612
2018-02-05,13296.2021484375,15364.120766769545,12851.855583987432,15364.120766769545,2608022
2018-02-12,13193.6611328125,13535.465500101516,12937.307408936578,13296.202442999205,646215
2018-02-19,14526.6982421875,14971.044791403123,13193.660388177173,13193.660388177173,781841
2018-02-26,13774.728515625,14492.518581583616,13672.187205747816,14441.248375054183,1296944
2018-03-05,14868.50390625,15210.307367067502,13330.382503252311,13962.721013287688,2675915
2018-03-12,15039.40625,15278.66840615067,14526.698811105316,14971.04537772315,3235778
2018-03-19,15586.2919921875,15637.56309073838,14697.599826245385,15176.126791053402,1818952
2018-03-26,15928.09765625,16850.970332667537,15552.11375397233,15586.293293435472,1140359
2018-04-02,16150.271484375,16577.5264801472,15723.014694966218,15928.097308173263,921927
2018-04-09,15415.3916015625,16577.52640442759,15073.585454142076,16150.27141060692,1052852
2018-04-16,15176.1279296875,15415.391878452116,14389.9770050456,15210.307468861527,497878
2018-04-23,14629.240234375,14868.50418604075,13330.382754099184,14868.50418604075,313218
2018-04-30,14458.337890625,15517.932304201848,14013.992222306902,14629.240070747346,481222
2018-05-07,14355.7958984375,14697.600242393777,14013.991554481225,14458.337201624383,1017630
2018-05-14,14424.158203125,14868.504791320238,14013.992949546333,14492.519078721443,406395
2018-05-21,14663.4208984375,14697.601335374942,14048.173033563546,14424.157839875406,190568
2018-05-28,14184.89453125,14663.420639938324,13056.939235380638,14663.420639938324,224502
2018-06-04,14680.5107421875,14765.961381330771,14184.893985974379,14287.43529103727,435814
2018-06-11,14178.0439453125,14942.545577456234,14039.042736794756,14925.170996244227,489227
2018-06-18,14108.5439453125,14403.920053990742,13587.29279331949,14247.545164275041,255909
2018-06-25,14525.5458984375,14595.04605260961,14004.29383038225,14525.5458984375,288419
2018-07-02,13969.5439453125,14508.170603432183,13587.293092111713,14508.170603432183,119182
2018-07-09,13934.79296875,13969.543044071817,13622.04229085364,13969.543044071817,42933
2018-07-16,14247.5439453125,14334.41867399648,13761.041999977768,14004.29251676297,163218
2018-07-23,14438.6689453125,14560.29466000707,14073.792712993121,14247.543994489459,192208
2018-07-30,15359.548828125,15550.674710069245,14438.670407634028,14595.046212112447,527891
2018-08-06,16402.05078125,16402.05078125,15429.048634206467,15463.79779912219,783184
2018-08-13,16332.5498046875,16402.049954544767,15846.04875568663,16402.049954544767,344868
2018-08-20,16263.0498046875,16645.30154418912,16054.549353194452,16471.550256180548,281406
2018-08-27,17722.552734375,17792.05287681664,16297.79890255711,16297.79890255711,668541
2018-09-03,18174.306640625,18209.05580403674,17375.053999810258,17722.554751571293,343901
2018-09-10,17722.552734375,18417.554158791405,17409.80118162336,18174.30457200992,300887
2018-09-17,18257.533203125,19566.74299742857,17653.05528908858,17722.555442148936,537569
2018-09-24,18400.35546875,18995.45132205017,18186.121836855753,18281.337392207235,454783
2018-10-01,18328.943359375,18662.196875,17710.045015230684,18400.35456650483,357159
2018-10-08,17900.4765625,18852.630366512614,17233.969446749845,18400.356899312614,425954
2018-10-15,17757.654296875,18495.572635737484,17543.420646313225,18471.770112472135,114508
2018-10-22,17043.537109375,17995.688920283723,16900.712878915812,17852.866513353132,158554
2018-10-29,18424.16015625,18566.982580170028,16329.423370131364,17043.539136789143,288165
2018-11-05,17376.79296875,18662.198452820652,17376.79296875,18424.16046775308,187323
2018-11-12,18328.943359375,18376.552046480683,17067.34050400483,17376.791499605682,529991
2018-11-19,17352.986328125,18471.76671585741,17352.986328125,18328.94248488334,293422
2018-11-26,16805.5,17852.867409265466,16567.460211798647,17852.867409265466,430995
2018-12-03,17376.79296875,17710.04651255037,16805.50143988206,16805.50143988206,196659
2018-12-10,17138.75390625,17400.594396893463,16853.107248008862,17162.556426790212,124235
2018-12-17,16662.67578125,17138.753534663352,15496.2884765625,17138.753534663352,121901
2018-12-24,15710.5244140625,16662.676303685228,15520.093306726454,16496.049540648375,74304
2018-12-31,16662.67578125,16662.67578125,15710.523921480682,15710.523921480682,153378
2019-01-07,16567.458984375,16900.712474932912,16234.205493817088,16662.674527895626,43966
2019-01-14,16805.5,17138.75351524747,16186.59983302812,16567.460211798647,95916
2019-01-21,17614.830078125,17852.868051358902,16686.480706042657,16900.714334894543,200837
2019-01-28,18566.982421875,19019.255858470937,17376.792526807167,17710.04606213192,384437
2019-02-04,18566.982421875,18566.982421875,18566.982421875,18566.982421875,0
2019-02-11,19447.724609375,19947.604903604028,18305.14160071687,18519.37523101698,799372
2019-02-18,18757.4140625,19661.959137625123,18662.19850350859,19447.725497541087,306660
2019-02-25,18947.845703125,19281.09925702271,17995.6919104763,18757.41457988948,935455
2019-03-04,18400.35546875,19757.173941333236,18281.337392207235,18947.84445613882,614321
2019-03-11,18352.748046875,18805.021465211525,18233.728150408948,18233.728150408948,439663
2019-03-18,18400.35546875,19376.313543456094,18352.74860283865,18352.74860283865,694904
2019-03-25,17900.4765625,18376.554376270768,17662.438567379075,18233.730120375076,412167
