Price,Close,High,Low,Open,Volume
Ticker,GTA.VN,GTA.VN,GTA.VN,GTA.VN,GTA.VN
Date,,,,,
2017-01-02,6955.96435546875,7090.2493816361,6284.539224631998,7090.2493816361,3920
2017-01-09,6875.39208984375,6929.106090545654,6445.680084228516,6714.250087738037,5160
2017-01-16,6875.39208984375,6875.39208984375,6445.680084228516,6875.39208984375,11910
2017-01-23,7197.67626953125,7197.67626953125,6472.537242376982,6875.392257462687,4770
2017-01-30,6955.96435546875,7197.677402569981,6714.251308367519,7197.677402569981,2300
2017-02-06,6848.53515625,7197.676164215686,6660.536151960784,6955.96315870098,2890
2017-02-13,6848.53515625,7197.676164215686,6445.680147058823,6848.53515625,16360
2017-02-20,6821.67919921875,6821.67919921875,6553.109152005413,6553.109152005413,9600
2017-02-27,6714.25,6875.392,6633.678999999999,6875.392,3690
2017-03-06,6848.53515625,6875.392156862745,6606.822150735294,6848.53515625,7390
2017-03-13,6714.25,6821.677999999999,6472.536999999999,6821.677999999999,10230
2017-03-20,6767.96435546875,6821.67835828993,6499.394341362847,6714.250352647568,29200
2017-03-27,6821.67919921875,6875.393208661417,6445.681133120079,6821.67919921875,23850
2017-04-03,6794.8212890625,6821.67829020504,6391.966271924408,6821.67829020504,2140
2017-04-10,6553.1083984375,7090.248431096312,6338.252385373976,6929.1064212986685,24960
2017-04-17,6230.82470703125,6848.535777124865,6150.253697888604,6687.393758839574,17190
2017-04-24,7181.328125,7356.482469512195,6597.48030995935,6714.24987296748,135830
2017-05-01,7590.0224609375,7765.176825420673,7181.328943810096,7181.328943810096,23700
2017-05-08,7852.75390625,8173.870236988848,7210.521244772305,7590.022362918216,18680
2017-05-15,7794.36962890625,8640.9491017088,7648.4076508368435,7881.946815747892,13830
2017-05-22,8115.486328125,8173.871121852518,7356.484009667265,8057.101534397481,7620
2017-05-29,8407.4091796875,8465.793965657553,7473.252604166667,8115.48524983724,7500
2017-06-05,8699.3330078125,8786.9101857435,7823.561228502517,8407.40908137584,8440
2017-06-12,9575.10546875,9925.414205411585,8115.485732660061,8728.526021817835,42420
2017-06-19,9808.64453125,10071.376081194196,9020.44988141741,9575.105375744048,14540
2017-06-26,10042.1826171875,10042.1826171875,9108.02609465843,9137.218485987463,9130
2017-07-03,10246.5302734375,10450.877031027421,9137.21930366364,9633.490000667734,28650
2017-07-10,10421.6845703125,10917.955264136905,9458.335576418067,10509.26175157563,7080
2017-07-17,9925.4140625,10450.87715992647,9108.027022058823,10450.87715992647,16470
2017-07-24,9925.4140625,11093.109834558823,9721.067302389705,10480.06955422794,3310
2017-07-31,10480.0693359375,10771.993272871692,9458.335556667827,10158.95300530989,9200
2017-08-07,10771.9931640625,11093.109491446476,9925.413755504742,10626.031197069782,3820
2017-08-14,10450.8779296875,10771.994290655552,9779.452811299756,10771.994290655552,7000
2017-08-21,10626.03125,10626.031250000002,9487.527901785716,10158.952953296704,1122410
2017-08-28,10509.259765625,10742.798871527777,9633.488118489584,10626.02931857639,8830
2017-09-04,9896.22265625,10509.262997787611,9487.529095224927,10509.262997787611,14390
2017-09-11,9575.10546875,10100.56857374238,8845.29560070503,10100.56857374238,16610
2017-09-18,9633.4892578125,9925.413174715908,8962.06424893466,9867.028391335227,18880
2017-09-25,9867.029296875,9867.029296875,8757.718310835799,9516.720564441568,20740
2017-10-02,8786.912109375,10071.37766689161,8786.912109375,9195.605695857557,5430
2017-10-09,9108.0263671875,9224.795935997596,8232.25460111178,8991.256798377402,4470
2017-10-16,8757.7177734375,9195.603662109374,8144.677529296874,9195.603662109374,22610
2017-10-23,8465.79296875,8816.101643318965,7765.17561961207,8816.101643318965,12860
2017-10-30,8290.6396484375,8932.872297260124,7911.138537769587,7911.138537769587,11550
2017-11-06,8932.8720703125,8932.8720703125,8232.25465303309,8699.332931219364,34510
2017-11-13,8874.48828125,8903.680676912007,8465.794741981908,8465.794741981908,730
2017-11-20,9283.181640625,9750.25996216588,8436.602182832154,8845.295714180424,40840
2017-11-27,10042.1826171875,10042.1826171875,8494.985876748728,9837.835877884265,11290
2017-12-04,9312.373046875,9925.413278800941,8816.102382934952,9341.565438871474,2430
2017-12-11,9049.6416015625,9808.643800403226,8699.332894405241,9312.373131930444,2160
2017-12-18,9604.296875,10450.876234802432,8874.48708206687,9341.565349544073,7570
2017-12-25,8757.7177734375,10158.952617187499,8524.1786328125,9487.527587890625,37490
2018-01-01,8874.48828125,9283.181820518093,8582.564324629935,8757.718698601975,3650
2018-01-08,8582.5634765625,9253.98851044324,8261.447156010841,9253.98851044324,22760
2018-01-15,8757.7177734375,9049.64169921875,8494.986240234375,8962.064521484375,8920
2018-01-22,8874.48828125,9283.181820518093,8115.48599403783,8757.718698601975,2510
2018-01-29,8640.94921875,9341.566722972972,8203.063278610642,8874.488386824323,11240
2018-02-05,9312.373046875,9487.527398853841,8349.024110991379,8903.679558924374,4050
2018-02-12,9108.0263671875,9633.489426832932,8699.332876352162,8699.332876352162,2290
2018-02-19,8962.0654296875,9633.490527025651,8962.0654296875,9108.027407369707,4100
2018-02-26,9253.98828125,9633.489377957414,8757.717616324922,8962.064360705835,761410
2018-03-05,8494.986328125,9370.758114529639,7940.330863402061,8816.1026498067,48700
2018-03-12,8086.29345703125,8494.986989155574,7765.1771103621395,8494.986989155574,29210
2018-03-19,8057.1005859375,8407.409307065218,7706.791864809782,8173.870159646739,20740
2018-03-26,8349.0244140625,8465.79398628715,7940.330911276224,7940.330911276224,19690
2018-04-02,8465.79296875,8524.177747844828,8027.9071255387935,8349.023410560345,9750
2018-04-09,8757.7177734375,9049.64169921875,7969.5231738281245,8465.79384765625,25330
2018-04-16,8991.2578125,9049.64260349026,8436.602298092532,9049.64260349026,7260
2018-04-23,9224.7958984375,9399.950250939479,8640.94805676424,9399.950250939479,5310
2018-04-30,9166.4111328125,9633.48940709594,8582.5632899582,9224.79591709793,1880
2018-05-07,8816.1025390625,9691.87431446606,8582.563398954884,9166.411249223924,11760
2018-05-14,8261.4462890625,8728.524524486527,7823.560443352473,8699.332134772527,9910
2018-05-21,8406.7841796875,9005.019758017323,8312.32593047753,8910.56150880735,6380
2018-05-28,8910.560546875,9130.963104571554,7871.519917734099,8942.046626545936,7670
2018-06-04,8595.7001953125,9256.90790264423,8532.728032709478,8532.728032709478,7730
2018-06-11,9067.9921875,9067.9921875,8469.756591796875,8816.103515625,1540
2018-06-18,8816.1025390625,9193.935505022322,8564.213895089286,9067.991183035714,5810
2018-06-25,8942.046875,8942.046875,8501.241747359154,8501.241747359154,640
2018-07-02,8942.046875,9193.935519366198,8564.213908450703,8942.046875,3790
2018-07-09,8690.158203125,9193.935490262682,8501.24172044837,8942.046846693842,1390
2018-07-16,8595.7001953125,8721.644520518543,8123.408975789835,8123.408975789835,1220
2018-07-23,8847.5888671875,9067.99143683274,8438.269809274912,8532.728053408586,4210
2018-07-30,9193.9345703125,9193.9345703125,8312.32440603596,8438.268715218323,3210
2018-08-06,8721.64453125,9193.93575135379,7965.978579083935,9193.93575135379,18730
2018-08-13,7871.5205078125,8816.10296875,7871.5205078125,8816.10296875,9220
2018-08-20,8469.7548828125,8469.7548828125,7682.6029420306695,7840.033330187035,10850
2018-08-27,8312.3251953125,8784.61639959162,7997.464392459754,8438.269516453598,7470
2018-09-03,8501.2421875,8753.130844907408,8123.409201388889,8312.325694444446,2900
2018-09-10,8469.7548828125,8564.21311570632,8123.4080288684945,8217.866261762314,2830
2018-09-17,8123.4091796875,8564.214328972868,7965.978769228441,7965.978769228441,1290
2018-09-24,8816.1025390625,9067.991183035714,8060.436607142858,8501.241734095982,15590
2018-10-01,8784.6162109375,8942.046608982975,8375.297176019265,8942.046608982975,2830
2018-10-08,9005.0185546875,9351.36542217548,8154.894425398819,8721.643844924605,8750
2018-10-15,9319.880859375,9382.85302734375,8375.29833984375,8469.756591796875,11780
2018-10-22,9005.0185546875,9319.879343312936,8690.157766062062,8879.074239237325,1860
2018-10-29,9099.4765625,9445.823421280276,8375.296766868512,9130.962640570933,10460
2018-11-05,9351.365234375,9697.712094907407,8658.671513310186,9414.337390835439,3430
2018-11-12,9036.505859375,9351.366690712108,8816.103277439024,9351.366690712108,2840
2018-11-19,9036.505859375,9225.422358177264,8816.103277439024,9225.422358177264,2550
2018-11-26,9351.365234375,9823.656407828283,8690.157591540405,9414.337390835439,12010
2018-12-03,9099.4765625,9445.823421280276,8564.213235294117,9130.962640570933,4110
2018-12-10,8816.1025390625,9193.935505022322,8406.783492606028,9099.477263532366,7380
2018-12-17,8690.158203125,9067.991168478262,8280.839157325634,8280.839157325634,3350
2018-12-24,8942.046875,9067.991197183099,8280.839183538732,9067.991197183099,2920
2018-12-31,8879.0732421875,8942.045392841312,8627.184639572251,8942.045392841312,450
2019-01-07,8879.0732421875,8910.559317514406,8879.0732421875,8879.0732421875,920
2019-01-14,8879.0732421875,8910.559317514406,8312.323886303191,8879.0732421875,1890
2019-01-21,8816.1025390625,8847.588619559152,8343.811331612724,8343.811331612724,2270
2019-01-28,8816.1025390625,8910.560780552456,8312.325251116072,8753.130378069196,1050
2019-02-04,8816.1025390625,8816.1025390625,8816.1025390625,8816.1025390625,0
2019-02-11,9067.9921875,9225.422607421875,8217.867919921875,8784.617431640625,2940
2019-02-18,8784.6162109375,9067.990927419354,8312.325016801075,9067.990927419354,5140
2019-02-25,8343.8115234375,8942.04706662736,8343.8115234375,8942.04706662736,19720
2019-03-04,7934.4921875,8879.07459077381,7556.659226190476,8879.07459077381,1005810
2019-03-11,8060.43603515625,8312.324661254883,7903.005643844605,8060.436035156251,6830
2019-03-18,8217.8681640625,8438.270758500958,7934.493399784483,7934.493399784483,37630
2019-03-25,8249.3525390625,8564.213322996184,8186.380382275764,8564.213322996184,26970
2019-04-01,8186.380859375,8312.325180288462,8060.436538461539,8280.839100060097,31360
2019-04-08,8186.380859375,8469.755581430289,7934.492217548078,8186.380859375001,13420
2019-04-15,8154.89404296875,8595.699126372465,8060.43581081081,8186.380120354729,3570
2019-04-22,8438.2705078125,8501.24267578125,8091.923583984376,8186.381835937501,4180
2019-04-29,8438.2705078125,8438.2705078125,8438.2705078125,8438.2705078125,170
2019-05-06,8406.7841796875,8438.27026275749,8186.381598197566,8186.381598197566,6900
2019-05-13,8312.3251953125,8438.269516453598,8249.353034741951,8375.297355883049,2780
2019-05-20,8375.296875,8375.296875,7997.4639332706765,8312.324718045113,5380
