Price,Close,High,Low,Open,Volume
Ticker,GVR.VN,GVR.VN,GVR.VN,GVR.VN,GVR.VN
Date,,,,,
2023-07-17,21111.841796875,21399.73054865057,20200.194082919035,20632.027210582386,12588200
2023-07-24,21111.841796875,21591.656383167614,20584.045751953126,21303.767631392046,13171900
2023-07-31,21015.876953125,21687.617312357306,20775.969681970604,21399.728586972033,11981800
2023-08-07,20248.171875,21927.52262292654,19672.3944757109,21111.83797393365,16566200
2023-08-14,19048.63671875,20967.89482643262,19048.63671875,20536.06175220403,14129800
2023-08-21,18856.7109375,19144.599654103054,17465.248807251908,18712.766579198473,10516800
2023-08-28,20967.89453125,20967.89453125,18856.71064252002,19000.654998569793,12867900
2023-09-04,21783.580078125,22263.39461729075,20775.969545876927,20967.895361543226,15246600
2023-09-11,21687.615234375,22311.37407961145,20775.96769133711,22311.37407961145,18206300
2023-09-18,20967.89453125,22743.208255863843,20680.005819150458,21831.560667548627,23436800
2023-09-25,18712.767578125,21495.691987179485,17801.119926883013,20919.91452323718,20426000
2023-10-02,19384.505859375,19576.431659962873,18041.0252552599,18904.69135790532,15135000
2023-10-09,20536.0625,20584.04395443925,19240.563230140186,19576.43341121495,15789700
2023-10-16,19672.396484375,21063.858674733234,18664.785932736282,20584.044126333843,17278200
2023-10-23,18520.841796875,20056.248370709196,17561.21268822863,19720.378182682965,12475800
2023-10-30,17753.138671875,18520.84196579392,15785.89898120777,18520.84196579392,9531500
2023-11-06,18568.822265625,19384.506964631782,17417.267396438954,17849.10047238372,9907400
2023-11-13,18664.78515625,19624.41421312661,18328.91498634319,18712.76660909383,10012100
2023-11-20,19097.48046875,19878.963045476343,18315.997892023657,18755.581841432224,12458600
2023-11-27,19683.591796875,19927.80509460298,18462.525308235112,19146.32254187345,8559000
2023-12-04,19585.90625,20367.388793640897,19488.220932044886,19878.962203865336,12298600
2023-12-11,19439.37890625,20220.86147534548,19195.165603407666,19683.592209092338,6346200
2023-12-18,19781.27734375,19781.27734375,18755.581481481484,19439.378722993828,5989700
2023-12-25,20709.2890625,20806.97438826651,19585.907816185143,19830.121130601416,13856500
2024-01-01,21295.3984375,21441.926408400228,20318.545298165136,20709.286553899085,12781900
2024-01-08,19927.8046875,21490.769761029413,19830.119370404413,21490.769761029413,11904000
2024-01-15,20806.974609375,21148.87325319102,19927.806668133802,20074.33465834067,9219700
