Price,Close,High,Low,Open,Volume
Ticker,HDC.VN,HDC.VN,HDC.VN,HDC.VN,HDC.VN
Date,,,,,
2017-01-02,2486.340087890625,2544.7048146245834,2381.283352350833,2521.358923931,1358560
2017-01-09,2544.704833984375,2544.704833984375,2462.9942159351895,2486.3401068063854,1155108
2017-01-16,2544.704833984375,2556.377779419973,2416.302206774129,2509.6859976775813,958042
2017-01-23,2544.704833984375,2556.377779419973,2451.3212704995917,2544.704833984375,504417
2017-01-30,2521.35888671875,2544.7047770677755,2451.3212156716727,2544.7047770677755,263740
2017-02-06,2521.35888671875,2521.35888671875,2474.667106020698,2521.35888671875,281255
2017-02-13,2451.3212890625,2544.704853254441,2451.3212890625,2521.358962206456,442013
2017-02-20,2521.35888671875,2568.0506674168014,2404.6292075549572,2404.6292075549572,986330
2017-02-27,2474.667236328125,2556.3778568523144,2381.28344259609,2498.013127906465,581622
2017-03-06,2661.4345703125,2708.126353011969,2462.994266421082,2486.340157770817,1399298
2017-03-13,2556.377685546875,2638.0885280142143,2498.0129605121047,2568.0506305538293,937651
2017-03-20,2509.68603515625,2614.7425456455044,2498.013089546333,2556.3778175959187,2481113
2017-03-27,2556.377685546875,2614.7424105816453,2521.3588505260127,2521.3588505260127,1502281
2017-04-03,2556.377685546875,2614.7424105816453,2521.3588505260127,2556.377685546875,1197403
2017-04-10,2521.35888671875,2568.0506674168014,2474.667106020698,2568.0506674168014,2014678
2017-04-17,2462.994140625,2544.704756175746,2404.629187812948,2521.35886601839,1590980
2017-04-24,2498.01318359375,2544.7049677913124,2404.629387779945,2451.321399396188,1914730
2017-05-01,2661.4345703125,2684.7804616622343,2486.340157770817,2498.013103445684,2191159
2017-05-08,2941.58544921875,2953.2583947161997,2661.434529861283,2684.7804208561824,5165598
2017-05-15,2999.9501953125,3221.7363885582954,2836.5287299159477,3011.6231408823487,5386286
2017-05-22,3034.968994140625,3081.6610032558974,2824.855749087238,2999.9501578681716,2599375
2017-05-29,3034.968994140625,3105.0068941041995,2918.239539899115,3058.3151124075953,2207238
2017-06-05,3058.315185546875,3105.006968360108,2988.2772839083514,3034.9690667215846,2497193
2017-06-12,3245.082275390625,3408.503740570259,3034.969027993572,3034.969027993572,9226960
2017-06-19,3333.316162109375,3634.06640625,3308.253662109375,3609.00390625,9405195
2017-06-26,3809.504150390625,3934.816650390625,3333.316162109375,3333.316162109375,15005587
2017-07-03,3659.12890625,4072.66064453125,3634.06640625,3809.504150390625,9984266
2017-07-10,3583.94140625,3746.847900390625,3533.81640625,3684.19140625,8271311
2017-07-17,3483.691162109375,3634.06640625,3395.972412109375,3583.94140625,7368648
2017-07-24,4060.12939453125,4135.31689453125,3508.75390625,3508.75390625,10802899
2017-07-31,4097.72314453125,4260.62939453125,3884.691650390625,4010.00439453125,9548796
2017-08-07,4022.53564453125,4147.84814453125,3759.379150390625,4097.72314453125,8833226
2017-08-14,4110.25439453125,4260.62939453125,3972.41064453125,4035.06689453125,9358113
2017-08-21,4385.9423828125,4536.3173828125,4135.31689453125,4135.31689453125,434465443
2017-08-28,4411.0048828125,4461.1298828125,4210.50439453125,4436.0673828125,10579577
2017-09-04,4285.69189453125,4511.2548828125,4260.62939453125,4411.0048828125,10112067
2017-09-11,4197.97314453125,4310.7548828125,3947.347900390625,4260.62939453125,8973713
2017-09-18,4486.1923828125,4536.3173828125,4197.97314453125,4197.97314453125,10448227
2017-09-25,4511.2548828125,4736.8173828125,4423.5361328125,4511.2548828125,13652452
2017-10-02,4411.0048828125,4586.4423828125,4285.69189453125,4511.2548828125,8771420
2017-10-09,4611.5048828125,4686.6923828125,4360.8798828125,4411.0048828125,11369601
2017-10-16,4436.0673828125,4611.5048828125,4385.9423828125,4611.5048828125,6925156
2017-10-23,4436.0673828125,4511.2548828125,4147.84814453125,4385.9423828125,9581674
2017-10-30,4235.56689453125,4486.1923828125,4210.50439453125,4486.1923828125,4385390
2017-11-06,4223.03564453125,4335.8173828125,4060.12939453125,4160.37939453125,7173855
2017-11-13,4411.0048828125,4486.1923828125,4110.25439453125,4248.09814453125,9263589
