Price,Close,High,Low,Open,Volume
Ticker,HPX.VN,HPX.VN,HPX.VN,HPX.VN,HPX.VN
Date,,,,,
2018-07-23,13536.8525390625,14202.599609375,13314.9365234375,14103.9697265625,3028434
2018-07-30,13265.6220703125,13709.453125,13265.6220703125,13561.509765625,5061765
2018-08-06,13339.59375,13512.1953125,13216.3076171875,13265.6220703125,3986628
2018-08-13,13462.880859375,13610.82421875,13339.59375,13339.59375,4483093
2018-08-20,13413.5654296875,13512.1953125,13314.9365234375,13413.5654296875,2974026
2018-08-27,13438.2236328125,13462.880859375,13314.9365234375,13388.908203125,2221187
2018-09-03,13438.2236328125,13561.509765625,13314.9365234375,13438.2236328125,2093051
2018-09-10,13438.2236328125,13487.5380859375,13314.9365234375,13413.5654296875,2366092
2018-09-17,13314.9365234375,13462.880859375,13216.3076171875,13413.5654296875,2092096
2018-09-24,13314.9365234375,13388.908203125,13265.6220703125,13314.9365234375,264543
2018-10-01,13290.279296875,13364.2509765625,13265.6220703125,13314.9365234375,333753
2018-10-08,13339.59375,13388.908203125,13166.9931640625,13290.279296875,529617
2018-10-15,13808.0830078125,14325.8857421875,13265.6220703125,13339.59375,2947057
2018-10-22,13758.767578125,14079.3125,12821.791015625,13956.0263671875,3328121
2018-10-29,15368.888671875,15368.888671875,13561.509765625,13586.1669921875,5152232
2018-11-05,15539.0244140625,15822.5830078125,15312.1767578125,15368.888671875,3004771
2018-11-12,15652.4482421875,15709.1591796875,15085.330078125,15482.3125,2578299
2018-11-19,15312.1767578125,15879.294921875,15198.75390625,15765.87109375,1935593
2018-11-26,15198.75390625,15368.888671875,14915.1953125,15312.1767578125,1580904
2018-12-03,15198.75390625,15340.533203125,14745.0595703125,15198.75390625,1730415
2018-12-10,15000.2626953125,15198.75390625,14773.4150390625,15198.75390625,2155495
2018-12-17,16832.416015625,16832.416015625,14631.6357421875,15000.2626953125,4488379
2018-12-24,17095.421875,17424.1796875,15780.3896484375,16799.5390625,3557765
2018-12-31,16240.6513671875,17095.421875,15780.3896484375,17095.421875,1083789
2019-01-07,15977.64453125,16306.40234375,15846.1416015625,16240.6513671875,2038411
2019-01-14,17358.427734375,17358.427734375,15714.6376953125,15977.64453125,3392036
2019-01-21,17391.3046875,17818.689453125,16174.8994140625,17292.677734375,3137305
2019-01-28,16437.90625,17424.1796875,16240.6513671875,17358.427734375,1075104
2019-02-04,16437.90625,16437.90625,16437.90625,16437.90625,0
2019-02-11,15648.88671875,16635.16015625,15583.134765625,16240.6513671875,1220516
2019-02-18,15287.251953125,15648.88671875,15057.1220703125,15648.88671875,1747393
2019-02-25,15648.88671875,15747.513671875,15254.376953125,15287.251953125,2979619
2019-03-04,15517.3828125,16076.271484375,15484.5068359375,15648.88671875,1848090
2019-03-11,15747.513671875,15780.3896484375,15451.6318359375,15517.3828125,1937226
2019-03-18,15813.265625,16437.90625,15681.76171875,15747.513671875,1957728
2019-03-25,16931.04296875,17095.421875,15681.76171875,15780.3896484375,3102446
2019-04-01,16536.533203125,16931.04296875,16437.90625,16931.04296875,2394859
2019-04-08,16437.90625,16766.6640625,16405.029296875,16503.658203125,1695545
2019-04-15,16766.6640625,16832.416015625,16437.90625,16437.90625,3318486
2019-04-22,17424.1796875,18213.19921875,16700.912109375,16700.912109375,4665283
2019-04-29,17325.552734375,17424.1796875,17128.298828125,17424.1796875,1975525
2019-05-06,17292.677734375,17588.55859375,17029.669921875,17325.552734375,2519417
2019-05-13,17292.677734375,17391.3046875,17161.173828125,17292.677734375,1348375
2019-05-20,17292.677734375,17358.427734375,17062.546875,17095.421875,2167488
2019-05-27,17259.80078125,17325.552734375,17128.298828125,17292.677734375,1936102
2019-06-03,17358.427734375,17391.3046875,17062.546875,17161.173828125,2003720
2019-06-10,17457.056640625,17654.310546875,17292.677734375,17358.427734375,2474841
2019-06-17,17621.435546875,17818.689453125,16273.5263671875,17226.92578125,4064065
2019-06-24,17424.1796875,17588.55859375,17062.546875,17555.68359375,2604222
2019-07-01,17226.92578125,17752.9375,17161.173828125,17424.1796875,2762757
2019-07-08,17424.1796875,17489.931640625,16635.16015625,17226.92578125,2156903
2019-07-15,17752.9375,17752.9375,17161.173828125,17358.427734375,2547753
2019-07-22,17522.806640625,17720.0625,17489.931640625,17687.1875,1345060
2019-07-29,17424.1796875,17588.55859375,17292.677734375,17522.806640625,1652170
2019-08-05,17489.931640625,17752.9375,17358.427734375,17424.1796875,2639400
2019-08-12,17424.1796875,17489.931640625,17259.80078125,17489.931640625,3355185
2019-08-19,17358.427734375,17424.1796875,17292.677734375,17424.1796875,2668403
2019-08-26,17358.427734375,17489.931640625,17128.298828125,17358.427734375,2464576
2019-09-02,17424.1796875,17424.1796875,17029.669921875,17358.427734375,2052662
2019-09-09,17325.552734375,17424.1796875,16240.6513671875,17095.421875,2515389
2019-09-16,17292.677734375,17325.552734375,16832.416015625,17325.552734375,4219042
2019-09-23,17194.048828125,17752.9375,16569.408203125,17292.677734375,3901863
2019-09-30,17358.427734375,17424.1796875,16766.6640625,17194.048828125,2517167
2019-10-07,17621.435546875,17752.9375,16437.90625,17358.427734375,2193373
2019-10-14,17325.552734375,17621.435546875,17161.173828125,17621.435546875,1651014
2019-10-21,17358.427734375,18081.697265625,17062.546875,17325.552734375,2661392
2019-10-28,17325.552734375,17358.427734375,17226.92578125,17358.427734375,1797338
2019-11-04,17391.3046875,17424.1796875,17259.80078125,17325.552734375,2156263
2019-11-11,17621.435546875,18081.697265625,17095.421875,17391.3046875,2150362
2019-11-18,17489.931640625,17621.435546875,17095.421875,17621.435546875,1927586
2019-11-25,17095.421875,17489.931640625,17095.421875,17489.931640625,1898201
2019-12-02,17095.421875,17325.552734375,17095.421875,17292.677734375,981967
2019-12-09,17391.3046875,17424.1796875,16963.91796875,17095.421875,2531737
2019-12-16,17325.552734375,17424.1796875,17095.421875,17358.427734375,1807649
2019-12-23,17325.552734375,17424.1796875,16142.0234375,17325.552734375,2738804
2019-12-30,17424.1796875,17424.1796875,17095.421875,17325.552734375,1243131
2020-01-06,17325.552734375,17424.1796875,17292.677734375,17424.1796875,2613895
2020-01-13,17457.056640625,17687.1875,17259.80078125,17325.552734375,2346829
2020-01-20,17424.1796875,17457.056640625,17062.546875,17457.056640625,723357
