Price,Close,High,Low,Open,Volume
Ticker,HRC.VN,HRC.VN,HRC.VN,HRC.VN,HRC.VN
Date,,,,,
2017-01-02,38571.76171875,38671.17347575709,36086.46779357281,38472.34996174291,1060
2017-01-09,39168.234375,39168.234375,35937.35209787436,35987.05797906091,670
2017-01-16,38273.52734375,39466.46845576299,33302.93937702922,36782.35095373377,5740
2017-01-23,34794.1171875,37726.76420758929,32855.58780133929,35639.117176339285,2570
2017-01-30,36285.29296875,36285.29296875,31911.17546018836,34794.11654537671,4760
2017-02-06,35688.82421875,36185.88305188023,31115.88295395195,36185.88305188023,2980
2017-02-13,35688.82421875,35688.82421875,35688.82421875,35688.82421875,1180
2017-02-20,35688.82421875,35688.82421875,33849.706536168174,35688.82421875,2590
2017-02-27,37279.41015625,37279.41015625,33949.11618229166,35291.17494791667,3250
2017-03-06,37180.0,37180.0,34595.29411764706,34794.117647058825,6470
2017-03-13,36732.64453125,37179.99744164412,34794.11525287551,34843.82113180819,7150
2017-03-20,36782.3515625,36782.3515625,35042.645745354734,35042.645745354734,3010
2017-03-27,37279.41015625,37279.41015625,35291.17494791667,36682.93959375,2240
2017-04-03,37279.41015625,37279.41015625,37279.41015625,37279.41015625,1000
2017-04-10,36782.3515625,37279.410367398654,34694.704581925675,37279.410367398654,240
2017-04-17,36633.234375,36682.94025610584,34346.763844131616,35788.234396200816,9360
2017-04-24,37229.703125,37229.703125,34396.46804072096,36633.23258094125,370
2017-05-01,37776.46875,39367.05690789474,35092.35123355263,37229.70407072369,5220
2017-05-08,37677.05859375,38770.58799884564,36086.47036815633,38770.58799884564,5690
2017-05-15,37279.41015625,37677.05719791666,35042.645546875,37677.05719791666,4170
2017-05-22,36981.17578125,37279.41106980847,35291.175812752015,37279.41106980847,2640
2017-05-29,36981.17578125,36981.17578125,35837.94050844254,36981.17578125,860
2017-06-05,36782.3515625,36981.175084459464,36782.3515625,36981.175084459464,130
2017-06-12,37527.94140625,38273.52964610927,34446.17668149834,36782.35316639073,4330
2017-06-19,36285.29296875,38820.29288848459,34794.11654537671,37279.410584332196,15560
2017-06-26,34297.05859375,36682.94093070652,32308.8233129529,36682.94093070652,5280
2017-07-03,35142.05859375,36036.764470252834,32706.47037438119,35589.41153200142,7810
2017-07-10,32110.0,35142.05882352941,32110.0,35142.05882352941,3360
2017-07-17,33849.703125,37577.64399779736,32060.291506057267,34297.05602973568,8310
2017-07-24,32706.46875,34644.99805281155,29326.468939969604,34644.99805281155,4590
2017-07-31,34098.234375,34545.587304118075,30917.057990160352,30966.76387117347,4910
2017-08-07,36086.46875,36086.46875,32010.586604683194,32010.586604683194,197800
2017-08-14,35788.234375,36285.29318576389,33849.70501302084,34346.76382378472,57640
2017-08-21,34893.52734375,37378.82131410256,34297.05679086538,34346.76267027244,6578580
2017-08-28,37180.0,37279.41176470588,34794.117647058825,36285.29411764706,84820
2017-09-04,37180.0,37180.0,35788.23529411765,37180.0,20020
2017-09-11,37279.41015625,37279.41015625,35788.23375,36782.35135416666,52200
2017-09-18,38273.52734375,38273.52734375,36782.35095373377,37279.409750405845,2110
2017-09-25,38273.52734375,38273.52734375,35887.645119724024,35887.645119724024,9980
2017-10-02,38472.3515625,38472.3515625,36285.29281734496,36285.29281734496,15920
2017-10-09,38174.1171875,38273.52895100912,35788.23486328125,36285.29368082682,10200
2017-10-16,36782.3515625,38174.11621621622,35788.23395270271,38174.11621621622,20390
2017-10-23,35291.17578125,37776.469850352114,35291.17578125,36782.35222271127,10640
2017-10-30,36384.703125,36384.703125,34893.52676741803,35291.17379610656,1020
2017-11-06,35291.17578125,37677.058087588026,32954.999356294014,34794.11696742958,18090
2017-11-13,34794.1171875,36732.64657366071,33799.999553571426,36732.64657366071,11240
2017-11-20,34794.1171875,35291.17600446429,34794.1171875,34794.1171875,42960
2017-11-27,35291.17578125,35291.17578125,34794.11696742958,35291.17578125,124530
2017-12-04,33302.94140625,35291.17671408582,33302.94140625,35291.17671408582,102500
2017-12-11,31463.822265625,34794.11624950632,31463.822265625,32805.881035248814,548990
2017-12-18,30320.587890625,33650.88197041496,29227.058491290984,33601.17608862705,301950
2017-12-25,33800.0,37030.882352941175,30320.58823529412,31364.411764705885,135640
2018-01-01,33800.0,33800.0,33800.0,33800.0,170
2018-01-08,32805.8828125,33800.00047348485,31463.82397017045,33800.00047348485,106640
2018-01-15,30817.646484375,32805.881741431454,29127.646515877015,32805.881741431454,30130
2018-01-22,30817.646484375,30817.646484375,28879.117108744962,30817.646484375,970
2018-01-29,31215.29296875,32756.175264978105,28680.29306205215,28729.998942575636,10250
2018-02-05,28481.470703125,30817.647183137,28481.470703125,29077.941293766362,1740
2018-02-12,29823.529296875,31811.764583333334,26692.058720703124,30320.58811848958,188050
2018-02-19,29823.529296875,31811.764583333334,29624.705768229167,29823.529296875,26840
2018-02-26,28730.0,29624.70588235294,26095.58823529412,28829.411764705885,200330
