Price,Close,High,Low,Open,Volume
Ticker,HTI.VN,HTI.VN,HTI.VN,HTI.VN,HTI.VN
Date,,,,,
2023-07-17,14056.52734375,14056.52734375,13890.668614030235,13932.133296460177,95700
2023-07-24,13973.59765625,14263.850426557863,13973.59765625,14056.527019195104,146700
2023-07-31,14056.52734375,14554.103532909292,14015.062661320058,14015.062661320058,64200
2023-08-07,14015.0634765625,14512.639694665311,14015.0634765625,14512.639694665311,84500
2023-08-14,13973.59765625,14097.991700667655,13973.59765625,14015.062337722551,31200
2023-08-21,14222.38671875,14222.38671875,13807.739875637755,14015.063297193878,20600
2023-08-28,14263.8505859375,14263.8505859375,13849.203766578852,14222.385904001636,1900
2023-09-04,13766.2744140625,14263.850597703315,13766.2744140625,14263.850597703315,80100
2023-09-11,13849.2041015625,14346.78029682822,13641.880686868451,13766.274735684881,73700
2023-09-18,14015.0634765625,14015.0634765625,13683.345997827293,13683.345997827293,17900
2023-09-25,13517.486328125,14015.062511982362,13268.698236196318,14015.062511982362,10100
2023-10-02,13517.486328125,14097.991875958589,13185.768872220091,14097.991875958589,62800
2023-10-09,14015.0634765625,14015.0634765625,13517.48725845969,13517.48725845969,11600
2023-10-16,14056.52734375,14097.992026179942,13724.809884310473,14015.062661320058,53200
2023-10-23,13683.345703125,14305.315962357954,13102.84012784091,14056.527858664773,31300
2023-10-30,13973.59765625,13973.59765625,13268.698071216617,13683.344885942137,8300
2023-11-06,13890.6689453125,13890.6689453125,13310.163377448695,13890.6689453125,8300
2023-11-13,13849.2041015625,14802.891809155128,13849.2041015625,13890.668784501311,23000
2023-11-20,13973.59765625,14429.709152448071,13683.344885942137,13849.203611832345,10700
2023-11-27,13641.880859375,13932.13364361702,13558.951492448708,13932.13364361702,25200
2023-12-04,13724.8095703125,13932.132977719033,13683.344888831194,13724.8095703125,4700
2023-12-11,13807.740234375,13807.740234375,13600.416807432432,13807.740234375,39500
2023-12-18,13600.416015625,13807.739430497333,13268.69855182927,13807.739430497333,41000
2023-12-25,13641.880859375,13683.345542838146,13641.880859375,13641.880859375,33200
2024-01-01,13807.740234375,14097.993032094593,13641.881492820945,13641.881492820945,13900
2024-01-08,13641.880859375,13890.668960153875,13600.416175911854,13849.204276690729,128600
2024-01-15,13849.2041015625,13932.13346744012,13600.416003929642,13683.34536980726,92700
2024-01-22,13766.2744140625,13932.133141942772,13683.345050122365,13932.133141942772,89600
2024-01-29,13766.2744140625,14056.527187852975,13683.345050122365,13766.2744140625,330000
2024-02-05,13683.345703125,13683.345703125,13600.416335227272,13683.345703125,139900
2024-02-12,13766.2744140625,14015.062505882908,13683.345050122365,13683.345050122365,83800
2024-02-19,14056.52734375,14056.52734375,13766.274566740412,13807.739249170354,43300
2024-02-26,14222.38671875,14346.780771683674,13932.13392857143,14015.063297193878,119900
2024-03-04,14305.3154296875,14512.638841711958,14180.921382472827,14222.386064877719,114900
2024-03-11,14429.7099609375,14429.7099609375,14222.386541958513,14263.85122575431,64100
2024-03-18,14346.7802734375,14471.17432205112,14222.38622482388,14429.709639179913,64000
2024-03-25,14429.7099609375,14512.639328529094,14346.780593345906,14346.780593345906,44300
2024-04-01,14388.2451171875,14429.709800522334,14263.851067182997,14346.780433852666,29000
2024-04-08,14346.7802734375,14388.244956308707,14180.921541952674,14346.7802734375,27800
2024-04-15,14222.38671875,14388.245455994898,13932.13392857143,14388.245455994898,52800
2024-04-22,14222.38671875,14346.780771683674,14139.457350127552,14346.780771683674,33600
2024-04-29,14346.7802734375,14388.244956308707,14222.38622482388,14222.38622482388,50300
2024-05-06,14802.892578125,15093.145373774509,14346.781042104341,14388.245727197129,199400
2024-05-13,14885.8212890625,15466.326854652682,14761.427239293174,14885.8212890625,260300
2024-05-20,14885.8212890625,15051.680022088265,14844.356605806059,14927.285972318941,443000
2024-05-27,13144.3046875,13766.274940851734,13102.840003943218,13600.416206624606,245600
2024-06-03,14612.6865234375,14703.731299284464,14385.074583820095,14430.596971743576,190100
2024-06-10,14567.1640625,14703.731225585938,14567.1640625,14658.208837890625,94900
2024-06-17,14521.6416015625,14567.163989028213,14385.07443916536,14567.163989028213,177500
2024-06-24,14339.552734375,14521.642292906745,14248.507955109126,14521.642292906745,190400
2024-07-01,14385.0751953125,14521.642364888252,14294.030415595333,14385.0751953125,113300
2024-07-08,14521.6416015625,14521.6416015625,14294.029664233934,14385.07443916536,66900
2024-07-15,14703.7314453125,14749.25383368808,14430.597115059018,14521.641891810179,87600
2024-07-22,14658.208984375,14794.776148825698,14476.119431774068,14703.731372525232,61000
2024-07-29,14294.0302734375,14658.209388684314,14294.0302734375,14521.64222046676,102900
2024-08-05,14294.0302734375,14385.075052249204,14111.940715814091,14294.0302734375,79500
2024-08-12,14430.59765625,14430.59765625,14294.030486001579,14339.552876084386,29500
2024-08-19,14339.552734375,14476.11990327381,14294.030344742063,14430.597513640872,26400
2024-08-26,14521.6416015625,15158.955026082484,14339.552051699648,14430.596826631074,29000
2024-09-02,14567.1640625,14612.686450195313,14430.596899414062,14430.596899414062,27400
2024-09-09,14521.6416015625,14612.686376493926,14476.119214096787,14567.163989028213,66400
2024-09-16,14612.6865234375,14612.6865234375,14476.119359667056,14521.641747590538,58100
2024-09-23,14521.6416015625,14612.686376493926,14476.119214096787,14612.686376493926,23800
2024-09-30,14521.6416015625,14612.686376493926,14521.6416015625,14612.686376493926,22400
2024-10-07,14521.6416015625,14612.686376493926,14521.6416015625,14521.6416015625,8400
2024-10-14,14794.7763671875,14794.7763671875,14476.119645432693,14567.164423076923,30000
2024-10-21,14612.6865234375,14840.298463054907,14567.16413551402,14840.298463054907,90600
2024-10-28,14658.208984375,14794.776148825698,14521.6418199243,14567.164208074533,62100
2024-11-04,14521.6416015625,14794.775926356779,14521.6416015625,14703.731151425352,142600
2024-11-11,14567.1640625,14703.731225585938,14521.641674804687,14567.1640625,70300
2024-11-18,14521.6416015625,14612.686376493926,14476.119214096787,14612.686376493926,53700
2024-11-25,14658.208984375,14658.208984375,14521.6418199243,14567.164208074533,20300
2024-12-02,14612.6865234375,14612.6865234375,14476.119359667056,14567.16413551402,68500
2024-12-09,14658.208984375,14703.731372525232,14567.164208074533,14567.164208074533,46800
2024-12-16,15022.388671875,15022.388671875,14658.209552556818,14658.209552556818,25500
2024-12-23,14931.34375,15067.91091844512,14794.776581554877,15022.388528963415,46800
2024-12-30,15022.388671875,15113.433451704544,14931.343892045454,14931.343892045454,25800
2025-01-06,15158.955078125,15705.223729588963,15022.387915259009,15022.387915259009,176300
2025-01-13,15067.9111328125,15204.478303200529,14931.343962424471,15158.955913071186,39700
2025-01-20,15523.134765625,15659.701933651026,15067.910872204911,15067.910872204911,54600
2025-01-27,15523.134765625,15523.134765625,15523.134765625,15523.134765625,0
2025-02-03,15614.1796875,15705.22446701895,15477.612518221575,15705.22446701895,60800
2025-02-10,16023.880859375,16297.015192205256,15568.656971324574,15614.179360129616,102400
2025-02-17,16388.060546875,16433.582937282987,15887.314252387154,16160.44859483507,156700
2025-02-24,16433.58203125,16706.716358639198,16297.014867555401,16342.5372554536,323700
2025-03-03,16888.806640625,17298.508149427224,16251.493182488208,16433.582741955863,241400
2025-03-10,16297.015625,16888.806695181564,16114.926064944133,16888.806695181564,301900
2025-03-17,16433.58203125,16433.58203125,16160.447703860804,16388.0596433518,164800
2025-03-24,16615.671875,16752.23904109589,16297.01515410959,16433.58232020548,252000
2025-03-31,15705.224609375,16570.150022644928,15067.91114696558,16570.150022644928,607600
2025-04-07,16114.92578125,16524.627284163136,15386.56755384887,15750.746667549436,479800
2025-04-14,17298.5078125,17662.686924342106,15978.358532072369,16114.925699013158,1025300
2025-04-21,17070.896484375,17435.075609375,16205.971062499999,17435.075609375,516700
2025-04-28,17161.94140625,17252.98618824602,16888.807060261937,16979.85184225796,262400
2025-05-05,18391.044921875,18436.567310295482,17161.940434521966,17161.940434521966,771700
2025-05-12,18163.43359375,18664.179883302008,17981.34403391291,18391.045543546366,571100
2025-05-19,18300.0,18482.089552238805,17935.82089552239,18254.4776119403,701400
2025-05-26,16205.970703125,18618.657352747545,16114.925923893961,18573.134963132023,1270600
2025-06-02,17900.0,18200.0,17600.0,17600.0,426000
2025-06-09,17750.0,17850.0,17600.0,17800.0,255100
2025-06-16,17750.0,17800.0,17600.0,17700.0,249200
2025-06-23,17600.0,17800.0,17450.0,17650.0,225500
2025-06-30,18300.0,18700.0,17750.0,17850.0,628100
2025-07-07,18300.0,18550.0,18100.0,18500.0,231100
2025-07-14,20150.0,20150.0,18200.0,18200.0,490100
2025-07-21,23200.0,24600.0,22500.0,23050.0,3937900
2025-07-28,22550.0,23750.0,22000.0,23050.0,1988600
2025-08-04,22600.0,23000.0,22150.0,22450.0,928400
2025-08-11,23500.0,24500.0,22800.0,23600.0,1312800
2025-08-18,22800.0,23250.0,22300.0,22600.0,520500
2025-08-25,22550.0,22750.0,22100.0,22600.0,346200
2025-09-01,23250.0,23300.0,22400.0,22550.0,260200
2025-09-08,22250.0,22900.0,21950.0,22900.0,557900
2025-09-15,25000.0,25600.0,22250.0,22250.0,1082100
2025-09-22,23850.0,24350.0,23100.0,24000.0,599100
2025-09-29,23450.0,23850.0,23050.0,23550.0,315300
2025-10-06,23400.0,23550.0,23100.0,23200.0,390100
2025-10-13,23650.0,25200.0,23100.0,23250.0,873500
2025-10-20,23250.0,23800.0,22400.0,23800.0,660800
2025-10-27,23400.0,23750.0,23100.0,23500.0,341500
2025-11-03,23850.0,24450.0,23000.0,24300.0,295200
2025-11-10,24500.0,25050.0,23800.0,23950.0,277400
2025-11-17,24300.0,24600.0,23950.0,24500.0,153800
2025-11-24,24000.0,24450.0,23900.0,24100.0,116500
2025-12-01,23900.0,24250.0,23700.0,23900.0,126300
2025-12-08,23550.0,24000.0,23550.0,23800.0,102600
2025-12-15,23600.0,23600.0,23200.0,23500.0,96000
2025-12-22,23500.0,23700.0,23150.0,23350.0,122000
2025-12-29,23400.0,23500.0,23100.0,23500.0,66800
2026-01-05,23450.0,23600.0,23150.0,23400.0,103600
2026-01-12,24000.0,24450.0,23400.0,23500.0,251300
2026-01-19,25700.0,28000.0,24050.0,24200.0,762700
2026-01-26,26600.0,26800.0,25300.0,26400.0,363800
2026-02-02,25800.0,26700.0,25600.0,26650.0,310500
2026-02-09,25900.0,26200.0,25600.0,25800.0,102600
2026-02-16,25900.0,25900.0,25900.0,25900.0,0
2026-02-23,26750.0,27000.0,25600.0,26000.0,206300
2026-03-02,25600.0,26550.0,25300.0,26500.0,191800
2026-03-09,24550.0,24950.0,23850.0,24950.0,276800
2026-03-16,24600.0,24950.0,24300.0,24500.0,88100
2026-03-23,24550.0,24600.0,23800.0,24250.0,190500
2026-03-30,24700.0,24950.0,24250.0,24250.0,124800
2026-04-06,24050.0,24800.0,23800.0,24700.0,302900
2026-04-13,23900.0,24000.0,23600.0,24000.0,249400
2026-04-20,24050.0,24400.0,23750.0,23900.0,165000
2026-04-27,23950.0,24050.0,23800.0,24050.0,13300
2026-05-04,23800.0,24000.0,23600.0,23950.0,177300
2026-05-11,24000.0,24200.0,23550.0,23800.0,98600
2026-05-18,23700.0,24000.0,23450.0,23700.0,133900
2026-05-25,23700.0,23750.0,23600.0,23650.0,59400
