Price,Close,High,Low,Open,Volume
Ticker,ILB.VN,ILB.VN,ILB.VN,ILB.VN,ILB.VN
Date,,,,,
2019-05-13,12776.146484375,15864.885194883242,12425.153449089972,15794.686587826236,208110
2019-05-20,15022.5,15829.783878504672,12425.151869158877,12565.54906542056,509190
2019-05-27,13197.3369140625,14811.904728016954,12986.741112242353,14109.9187219498,288280
2019-06-03,12846.3447265625,13688.727987320697,12705.947516436134,12846.3447265625,95110
2019-06-10,12705.947265625,13337.734698722377,12670.847963786258,12881.443774818716,90150
2019-06-17,12635.7490234375,12811.24553765191,12425.15320638021,12741.046931966146,64470
2019-06-24,12565.548828125,12670.846723332752,12354.953037709498,12635.747424930169,38290
2019-07-01,13583.4296875,13969.522004198967,12284.75553133075,12565.549943475453,118180
2019-07-08,12635.7490234375,13548.33089735243,12635.7490234375,13548.33089735243,50310
2019-07-15,13056.94140625,13232.437930527554,12074.1608702957,12916.544186827958,80500
2019-07-22,12705.947265625,13267.53609504489,12635.748661947515,13267.53609504489,23150
2019-07-29,14390.7119140625,14882.102076981706,12705.945641196646,12705.945641196646,372130
2019-08-05,15584.087890625,15935.080861134571,13688.72584987331,14355.612493841498,588340
2019-08-12,14320.5166015625,15338.396458046109,14039.722158394607,15022.50270948223,337110
2019-08-19,14109.919921875,14671.508774486942,14109.919921875,14180.118528451492,211700
2019-08-26,14811.904296875,15022.500092565166,13934.421814832642,14109.918311241114,342570
2019-09-02,13969.5234375,15303.297032035176,13548.33177606784,14811.906760364322,140930
2019-09-09,13407.93359375,14039.721040575916,12670.848239119765,13969.522435373037,159900
2019-09-16,13337.734375,13688.727384868422,13197.337171052633,13337.734375000002,47110
2019-09-23,13197.3369140625,13478.131316489362,12986.741112242353,13092.039013152425,37900
2019-09-30,13197.3369140625,13443.032016186004,12425.15230738863,13056.93971284907,70570
2019-10-07,13127.1376953125,13407.932084517046,12846.343306107956,12846.343306107956,15590
2019-10-14,13056.94140625,13337.735845094086,12705.948357694893,13302.636540238576,38710
2019-10-21,12986.740234375,13267.534617820947,12635.747255067568,13127.137426097974,51400
2019-10-28,12284.7548828125,12916.542276785714,11688.066788504466,12916.542276785714,118930
2019-11-04,12144.3583984375,12565.550019192558,11793.365381141619,12074.159794978324,51600
2019-11-11,12074.16015625,12390.053881268168,11582.769917332847,12144.358761809592,61530
2019-11-18,11863.5634765625,12179.457178601146,11793.364876109468,12074.159277921597,8540
2019-11-25,11863.5634765625,11933.762077015532,11652.967675203403,11933.762077015532,21490
2019-12-02,12354.9560546875,12354.9560546875,11582.771301269531,11582.771301269531,3550
2019-12-09,11863.5634765625,12354.953679733728,11793.364876109468,12354.953679733728,10830
2019-12-16,11898.6640625,11933.763366519175,11442.373110250739,11793.366150442478,15440
2019-12-23,11442.3720703125,11898.662981091833,11231.776265337423,11231.776265337423,16430
2019-12-30,11442.3720703125,12284.755290212806,11231.776265337423,11898.662981091833,1950
2020-01-06,11512.5703125,11688.06681116616,10986.080816501524,11301.97451410061,6770
2020-01-13,10705.287109375,11512.57105532787,10529.790599385246,11512.57105532787,7110
2020-01-20,11196.677734375,11231.777037617554,10880.784005192007,11231.777037617554,7690
2020-01-27,11021.1806640625,11372.173678841562,11021.1806640625,11196.677171452031,1970
2020-02-03,10564.8896484375,11196.677069274294,10319.194540334302,10599.9889495951,16990
2020-02-10,10529.7890625,10880.78203125,10178.796093750001,10880.78203125,31510
