Price,Close,High,Low,Open,Volume
Ticker,KHG.VN,KHG.VN,KHG.VN,KHG.VN,KHG.VN
Date,,,,,
2021-09-06,9372.7978515625,10288.935546875,9267.08984375,10218.4638671875,6766216
2021-09-13,10641.296875,11064.1298828125,9196.6171875,9372.7978515625,8846895
2021-09-20,10218.4638671875,11064.1298828125,10204.369140625,10641.296875,147540524
2021-09-27,9795.630859375,10288.935546875,9443.26953125,10183.2275390625,7203551
2021-10-04,9866.1025390625,10007.046875,9443.26953125,9795.630859375,644967829
2021-10-11,10429.8798828125,10817.4775390625,9548.978515625,9866.1025390625,5066113
2021-10-18,10394.64453125,10570.82421875,9725.158203125,10429.8798828125,6575219
2021-10-25,12332.62890625,12579.28125,10394.64453125,10394.64453125,11857305
2021-11-01,11768.8515625,12790.697265625,11099.3662109375,12332.62890625,13620554
2021-11-08,12403.1005859375,12896.40625,11627.9072265625,11945.03125,12283855
2021-11-15,14023.9609375,15221.9873046875,12297.392578125,12332.62890625,21002759
2021-11-22,13601.1279296875,14446.7939453125,12332.62890625,14023.9609375,13732797
2021-11-29,14305.849609375,15997.1806640625,13248.7666015625,13389.7109375,19959084
2021-12-06,14446.7939453125,14658.2099609375,13037.3505859375,14305.849609375,9809971
2021-12-13,14200.140625,15151.515625,13953.48828125,14587.73828125,11247701
2021-12-20,14094.4326171875,15186.7509765625,13389.7109375,14200.140625,13991339
2021-12-27,14094.4326171875,14658.2099609375,13706.8359375,14341.0849609375,9172414
2022-01-03,15926.708984375,16631.4296875,14023.9609375,14094.4326171875,20427638
2022-01-10,13248.7666015625,16983.791015625,12720.2255859375,16067.6533203125,24116045
2022-01-17,13777.3076171875,14446.7939453125,12684.9892578125,14094.4326171875,11490349
2022-01-24,11839.3232421875,13742.072265625,11346.0185546875,13530.6552734375,11334686
2022-01-31,11839.3232421875,11839.3232421875,11839.3232421875,11839.3232421875,0
2022-02-07,12720.2255859375,13037.3505859375,11980.267578125,12085.9755859375,7645144
2022-02-14,13178.294921875,13248.7666015625,12332.62890625,12508.80859375,7794565
2022-02-21,12649.7529296875,13742.072265625,12156.4482421875,13107.822265625,11797564
2022-02-28,13601.1279296875,13918.251953125,12332.62890625,12684.9892578125,15664198
2022-03-07,13389.7109375,13706.8359375,12649.7529296875,13601.1279296875,12994775
2022-03-14,15362.931640625,15715.2919921875,13178.294921875,13389.7109375,24655550
2022-03-21,15926.708984375,16490.486328125,15362.931640625,15362.931640625,24000396
2022-03-28,15680.056640625,16067.6533203125,14728.6826171875,15644.8203125,21793141
2022-04-04,14305.849609375,16067.6533203125,14094.4326171875,16067.6533203125,15381532
2022-04-11,14164.9052734375,14799.154296875,13742.072265625,14305.849609375,9038886
2022-04-18,12600.0,14129.6689453125,11486.962890625,14094.4326171875,12869627
2022-04-25,12500.0,12850.0,10950.0,12600.0,7601800
2022-05-02,11650.0,12950.0,11650.0,12500.0,3524400
2022-05-09,9630.0,11400.0,9630.0,11100.0,6632000
2022-05-16,10350.0,10600.0,9100.0,10100.0,5723200
2022-05-23,10700.0,10900.0,9500.0,10500.0,6978000
2022-05-30,9750.0,10850.0,9740.0,10700.0,4486700
2022-06-06,9800.0,10200.0,9460.0,9750.0,5404500
2022-06-13,7050.0,9600.0,6840.0,9500.0,9033700
2022-06-20,7080.0,7150.0,6110.0,7000.0,6654100
2022-06-27,7230.0,7720.0,6780.0,7080.0,5914000
2022-07-04,7350.0,7500.0,6890.0,7270.0,3643100
2022-07-11,8010.0,8200.0,7160.0,7300.0,5154500
2022-07-18,8220.0,8500.0,7800.0,8050.0,6493200
2022-07-25,9090.0,9090.0,7930.0,8230.0,8316600
2022-08-01,9970.0,10200.0,9200.0,9600.0,11553900
2022-08-08,10600.0,11000.0,9790.0,9970.0,11640700
2022-08-15,10200.0,10800.0,9960.0,10600.0,9599100
2022-08-22,9990.0,10200.0,9400.0,10150.0,9116300
2022-08-29,9530.0,9810.0,9300.0,9810.0,4420200
2022-09-05,8800.0,9520.0,8560.0,9490.0,8234900
2022-09-12,8800.0,9130.0,8700.0,8860.0,6694700
2022-09-19,8200.0,8800.0,7930.0,8670.0,6449400
2022-09-26,7720.0,8100.0,7210.0,8100.0,5348900
2022-10-03,6990.0,7690.0,6790.0,7650.0,6036000
2022-10-10,7140.0,7150.0,6260.0,6750.0,5457100
2022-10-17,6510.0,7290.0,6510.0,7000.0,4232600
2022-10-24,6300.0,6490.0,5400.0,6410.0,7610000
2022-10-31,5530.0,6430.0,5530.0,6290.0,5325400
2022-11-07,4680.0,5490.0,4460.0,5400.0,5801600
2022-11-14,4550.0,4700.0,3780.0,4490.0,8634400
2022-11-21,4420.0,4870.0,4000.0,4600.0,20967800
2022-11-28,5450.0,5720.0,4620.0,4650.0,20690600
2022-12-05,4810.0,5830.0,4700.0,5820.0,18532900
2022-12-12,4800.0,5100.0,4500.0,4880.0,13152500
2022-12-19,4350.0,4910.0,4190.0,4900.0,11865500
2022-12-26,4150.0,4400.0,3870.0,4300.0,7148000
2023-01-02,4270.0,4480.0,4120.0,4150.0,6243400
2023-01-09,4330.0,4500.0,4100.0,4270.0,7871300
2023-01-16,4630.0,4640.0,4210.0,4310.0,8927400
2023-01-23,4630.0,4710.0,4550.0,4630.0,1899700
2023-01-30,5350.0,5550.0,4550.0,4610.0,26892600
2023-02-06,5400.0,6090.0,5400.0,5720.0,34044700
