Price,Close,High,Low,Open,Volume
Ticker,KMR.VN,KMR.VN,KMR.VN,KMR.VN,KMR.VN
Date,,,,,
2017-01-02,5250.0,5290.0,4910.0,4930.0,332850
2017-01-09,4990.0,5200.0,4950.0,5160.0,198530
2017-01-16,5190.0,5200.0,4910.0,5090.0,604420
2017-01-23,5200.0,5200.0,5010.0,5010.0,311750
2017-01-30,5000.0,5200.0,4990.0,5200.0,162540
2017-02-06,4900.0,5090.0,4900.0,5090.0,296300
2017-02-13,4900.0,4990.0,4900.0,4900.0,284470
2017-02-20,4900.0,4950.0,4740.0,4900.0,522900
2017-02-27,4750.0,4900.0,4720.0,4900.0,460440
2017-03-06,4650.0,4900.0,4650.0,4800.0,282670
2017-03-13,4700.0,4780.0,4600.0,4780.0,264540
2017-03-20,4560.0,4900.0,4540.0,4800.0,613470
2017-03-27,4600.0,4610.0,4480.0,4560.0,373500
2017-04-03,4500.0,4620.0,4500.0,4600.0,273380
2017-04-10,4410.0,4580.0,4120.0,4500.0,593890
2017-04-17,4200.0,4500.0,4190.0,4410.0,147820
2017-04-24,4130.0,4190.0,4000.0,4100.0,153540
2017-05-01,4350.0,4350.0,4070.0,4130.0,92890
2017-05-08,4430.0,4510.0,4100.0,4350.0,683510
2017-05-15,4500.0,4710.0,4300.0,4450.0,1257500
2017-05-22,4320.0,4500.0,4200.0,4490.0,310820
2017-05-29,4320.0,4500.0,4250.0,4300.0,178960
2017-06-05,4930.0,5290.0,4250.0,4250.0,1450240
2017-06-12,4550.0,4800.0,4400.0,4800.0,490090
2017-06-19,4400.0,4600.0,4340.0,4470.0,404970
2017-06-26,4450.0,4500.0,4330.0,4450.0,157740
2017-07-03,4490.0,4640.0,4150.0,4390.0,489570
2017-07-10,4790.0,5140.0,4310.0,4490.0,2160080
2017-07-17,4850.0,4850.0,4490.0,4740.0,1171070
2017-07-24,4500.0,4850.0,4310.0,4850.0,574460
2017-07-31,4660.0,4790.0,4440.0,4550.0,697590
2017-08-07,4500.0,4770.0,4500.0,4620.0,995310
2017-08-14,4500.0,4600.0,4400.0,4600.0,295290
2017-08-21,4160.0,4500.0,4080.0,4500.0,53968340
2017-08-28,4140.0,4300.0,4060.0,4200.0,842240
2017-09-04,4190.0,4380.0,4110.0,4140.0,241030
2017-09-11,4140.0,4210.0,4090.0,4190.0,243200
2017-09-18,4180.0,4180.0,4010.0,4140.0,764200
2017-09-25,4200.0,4250.0,4080.0,4080.0,566070
2017-10-02,4040.0,4200.0,4000.0,4200.0,501640
2017-10-09,4030.0,4090.0,3970.0,4060.0,238150
2017-10-16,4050.0,4200.0,3940.0,4030.0,258980
2017-10-23,4030.0,4050.0,3840.0,4000.0,374940
2017-10-30,3990.0,4030.0,3610.0,4030.0,178900
2017-11-06,4040.0,4050.0,3750.0,3970.0,266760
2017-11-13,3950.0,4040.0,3770.0,4040.0,173310
2017-11-20,3970.0,3970.0,3800.0,3900.0,433420
2017-11-27,3950.0,4100.0,3950.0,4040.0,204920
2017-12-04,4010.0,4030.0,3900.0,3950.0,536190
2017-12-11,3990.0,4030.0,3900.0,4010.0,128880
2017-12-18,4300.0,4420.0,3950.0,3990.0,880390
2017-12-25,4300.0,4300.0,4070.0,4300.0,522440
2018-01-01,4350.0,4400.0,4200.0,4300.0,401080
2018-01-08,4730.0,4740.0,4100.0,4350.0,594230
2018-01-15,4420.0,4740.0,4340.0,4740.0,679620
