Price,Close,High,Low,Open,Volume
Ticker,LCG.VN,LCG.VN,LCG.VN,LCG.VN,LCG.VN
Date,,,,,
2017-01-02,1677.60693359375,1732.40318769906,1643.8862028082997,1673.391864438553,1519017
2017-01-09,1715.542724609375,1719.7577937426431,1673.3918557328186,1673.3918557328186,1047188
2017-01-16,1905.221923828125,1930.5125164763672,1686.0370834498217,1719.7578144661857,2354740
2017-01-23,2010.5989990234375,2010.5989990234375,1905.221746593102,1926.2972680967132,1055815
2017-01-30,2149.697509765625,2187.633312664476,2010.599329077986,2010.599329077986,4885204
2017-02-06,2293.01025390625,2402.602754963046,2107.5461579207977,2149.6972018090414,10689633
2017-02-13,2571.20654296875,2617.572658353325,2276.1501068213483,2288.795314175028,11622145
2017-02-20,2613.357421875,2781.9612525109756,2533.270753235205,2533.270753235205,9822199
2017-02-27,2819.89697265625,2819.89697265625,2541.70081975003,2592.282003021659,7886715
2017-03-06,3152.889404296875,3249.836525094163,2933.704570854339,2992.715715107751,13741198
2017-03-13,3540.677978515625,3582.8290251938715,3140.2441003355425,3140.2441003355425,13894782
2017-03-20,3498.527099609375,3793.583730331046,3329.923614986508,3624.9798906204096,16186516
2017-03-27,3249.8369140625,3540.678311264755,3182.395446091881,3464.806704183781,11284612
2017-04-03,3624.9794921875,3667.130536254147,3245.621160850864,3245.621160850864,11204215
2017-04-10,3654.485107421875,3772.5077452981036,3431.0852157526488,3624.9794479528177,13437187
2017-04-17,3561.75390625,3700.851736923181,3540.678380517999,3658.701040546971,7250813
2017-04-24,3540.677978515625,3587.0439168090447,3372.0741468903925,3587.0439168090447,3448962
2017-05-01,3945.326904296875,3987.4779526416432,3498.5270701582926,3540.6781185030604,10782851
2017-05-08,4092.85498046875,4122.360641577158,3814.6590007950026,4046.4890430377495,13449229
2017-05-15,3915.82080078125,4383.696106436889,3877.885003575412,4147.650830411472,17491222
2017-05-22,3810.44384765625,4004.338095386311,3709.281832151036,3911.6062182492187,9377475
2017-05-29,3700.85107421875,3861.0247570297247,3498.5267025794096,3802.0134375822845,7829764
2017-06-05,3776.722900390625,3852.594492880459,3700.850952813074,3700.850952813074,6812197
2017-06-12,3709.28173828125,3789.3682282955565,3637.6250313339815,3759.862567209945,4592681
2017-06-19,4160.2958984375,4172.941281574642,3688.2057373406888,3688.2057373406888,12154962
2017-06-26,4054.9189453125,4257.243314677035,4046.48880764161,4164.51144520952,9732864
2017-07-03,4215.0927734375,4552.300450975692,4046.4892897561713,4054.919428431461,13473935
2017-07-10,4552.30029296875,4720.903770797978,4215.0926271347835,4215.0926271347835,14426599
2017-07-17,4826.28173828125,4910.5834833090485,4489.074047994494,4552.300623081178,11592901
2017-07-24,4741.9794921875,4784.130540947702,4404.772167369191,4784.130540947702,8086314
2017-07-31,4947.1875,5127.085358156304,4902.2129407425455,5082.11079889885,8170040
2017-08-07,4767.2900390625,5037.136659344285,4519.930700283122,5037.136659344285,7902071
2017-08-14,4789.77685546875,4857.2386934253,4587.392099346117,4767.2895761499,3229593
2017-08-21,4789.77685546875,4834.75141410645,4654.8535584291585,4789.77685546875,87773123
2017-08-28,5351.9580078125,5441.906757724738,4767.290186199063,4812.26475059196,8042130
2017-09-04,5396.9326171875,5509.368650233313,5217.034736990064,5351.958052419752,4343569
2017-09-11,5374.44482421875,5441.906286087817,5172.059680864502,5306.9829834761595,4752305
2017-09-18,5239.52197265625,5486.8813189261955,5217.034690472881,5486.8813189261955,4107085
