Price,Close,High,Low,Open,Volume
Ticker,MSH.VN,MSH.VN,MSH.VN,MSH.VN,MSH.VN
Date,,,,,
2018-11-26,21450.724609375,22544.75139994324,20317.626986948024,20317.626986948024,903915
2018-12-03,19653.39453125,21372.57974131672,19125.918863872084,21372.57974131672,1181055
2018-12-10,15550.7978515625,19731.540266519496,15316.363718848983,19653.394029351108,633510
2018-12-17,17269.130859375,17537.34954331716,16093.096858198925,16423.212068518773,247815
2018-12-24,16918.3828125,17537.348022604678,16340.681546763493,16753.32461719447,157770
2018-12-31,16918.3828125,17062.807222246807,16505.7385331526,16918.3828125,144315
2019-01-07,16794.591796875,17062.809281005233,16712.062689264465,16918.384853832515,163215
2019-01-14,18280.10546875,19600.563719475937,16835.85297254486,16856.485548277455,458130
2019-01-21,18568.955078125,18919.701604406357,18156.31203491656,18362.632952062606,379515
2019-01-28,20116.37109375,20425.85372596154,18486.428827797055,18486.428827797055,406935
2019-02-04,20116.37109375,20116.37109375,20116.37109375,20116.37109375,0
2019-02-11,20962.291015625,21581.25627772187,19889.417491684915,20219.53149219223,397125
2019-02-18,21705.048828125,22406.541969665595,20962.29053078802,20962.29053078802,295080
2019-02-25,22736.65625,23520.679713045873,21333.669949180687,21663.78394622646,937350
2019-03-04,21457.4609375,23108.033181884988,21251.13759357728,23108.033181884988,375180
2019-03-11,21787.578125,22612.86436924501,21374.93379396092,21870.106024074557,343665
2019-03-18,21086.083984375,22200.22145172848,20921.025775859765,21663.784087428754,432990
2019-03-25,21044.818359375,21457.46266256198,20714.704367525213,20879.76015453361,166860
2019-04-01,22489.072265625,22489.072265625,20838.499707123425,20879.762449494345,1054215
2019-04-08,24964.9296875,25088.722731269143,21952.633901006055,22612.86185588624,2971770
2019-04-15,25088.7265625,25583.89881319298,23933.32625610521,24964.933499826755,908460
2019-04-22,24964.9296875,25583.894906345726,23974.585337346838,25088.722731269143,727935
2019-04-29,25377.57421875,25996.53944359756,24634.815948932926,24964.92992957399,324855
2019-05-06,24098.380859375,25583.897537374138,23108.036407375574,25171.255627596467,811035
2019-05-13,24387.23046875,24511.023516814723,23520.679132296955,23520.679132296955,478200
2019-05-20,24717.34375,25171.253191797427,24139.643681514885,24180.908835632712,795645
2019-05-27,23850.794921875,24923.669697990936,23644.473965468005,24717.34632375079,628920
2019-06-03,25748.95703125,25748.95703125,22200.223374554196,22200.223374554196,967155
2019-06-10,25171.255859375,26202.863061151416,24799.876686455533,25914.014205213934,1069065
2019-06-17,24593.552734375,25336.311062773904,24345.966624908695,24882.404001363386,857250
2019-06-24,24758.609375,24882.402421875,23603.20679822235,24758.609374999996,1320150
2019-07-01,25872.748046875,26079.068995690413,24717.34541427594,25171.25488663614,1224075
2019-07-08,25377.57421875,25831.481244360577,24923.667193139427,25831.481244360577,548820
2019-07-15,24593.552734375,26120.334548694897,24552.289994686016,25171.25526835177,1243155
2019-07-22,24923.671875,24964.934619185686,24511.02750830959,24593.55541451433,452265
2019-07-29,26367.921875,26367.921875,24552.29112773627,24923.670309074296,1578225
2019-08-05,26945.62109375,27151.94446597332,25831.48358794334,26409.18612876888,1465005
2019-08-12,25171.255859375,26615.507392561878,24799.876686455533,26244.12821964241,1436970
2019-08-19,25047.46484375,25377.57888509129,24923.67177601785,25171.257911482156,399675
2019-08-26,23933.322265625,25129.98753266475,23726.998917015044,24964.929337343357,1487580
