Price,Close,High,Low,Open,Volume
Ticker,NHA.VN,NHA.VN,NHA.VN,NHA.VN,NHA.VN
Date,,,,,
2021-01-18,13936.1279296875,14184.9873046875,13687.2685546875,14153.8798828125,92115
2021-01-25,13313.9794921875,15273.7470703125,12442.970703125,13998.3427734375,190016
2021-02-01,14869.3505859375,14931.5654296875,12318.541015625,13562.8388671875,114616
2021-02-08,15180.4248046875,15802.5732421875,14931.5654296875,15118.2099609375,51515
2021-02-15,19037.74609375,19442.142578125,15180.4248046875,15180.4248046875,126834
2021-02-22,19162.17578125,19722.109375,18664.45703125,18664.45703125,87405
2021-03-01,18913.31640625,19535.46484375,18664.45703125,19193.283203125,134933
2021-03-08,25819.166015625,26441.314453125,19722.109375,20219.828125,154236
2021-03-15,30485.279296875,32040.650390625,25197.015625,27001.248046875,238382
2021-03-22,26316.884765625,30485.279296875,23579.4296875,30485.279296875,269338
2021-03-29,24885.94140625,26752.388671875,24201.578125,26441.314453125,101066
2021-04-05,26534.63671875,26627.958984375,24263.79296875,24885.94140625,95988
2021-04-12,23019.49609375,27778.93359375,22677.314453125,26534.63671875,110421
2021-04-19,21650.76953125,24326.0078125,20966.40625,23019.49609375,111675
2021-04-26,19597.6796875,21650.76953125,17482.375,21153.05078125,136750
2021-05-03,17980.09375,19784.32421875,17793.44921875,19597.6796875,76668
2021-05-10,20468.6875,20935.298828125,16175.8623046875,17420.16015625,179006
2021-05-17,19997.41015625,20530.90234375,17544.58984375,19908.75390625,94897
2021-05-24,19246.166015625,20462.466796875,19067.298828125,20033.18359375,85844
2021-05-31,20247.82421875,20927.521484375,18244.505859375,19103.072265625,82447
2021-06-07,20247.82421875,20462.466796875,18816.8828125,20247.82421875,701634
2021-06-14,20462.466796875,20677.107421875,19389.259765625,20247.82421875,709042
2021-06-21,20390.919921875,22537.33203125,20033.18359375,20605.560546875,1144558
2021-06-28,19353.486328125,20390.919921875,19317.712890625,20390.919921875,806040
2021-07-05,16670.470703125,19353.486328125,16455.830078125,19353.486328125,125371
2021-07-12,17743.677734375,17958.318359375,15311.076171875,16670.470703125,326218
2021-07-19,17171.30078125,17242.84765625,15740.3583984375,16455.830078125,685699
2021-07-26,17457.48828125,19568.126953125,17171.30078125,17207.07421875,1028551
2021-08-02,18029.865234375,18316.052734375,16598.923828125,17457.48828125,852444
2021-08-09,20033.18359375,20033.18359375,18101.412109375,18101.412109375,1738993
2021-08-16,20891.748046875,22966.61328125,20641.333984375,20748.654296875,1953957
2021-08-23,21177.9375,21249.484375,18530.6953125,20891.748046875,1097596
2021-08-30,21464.125,22072.275390625,20927.521484375,21177.9375,861250
2021-09-06,21464.125,22644.65234375,20498.240234375,21678.765625,1073277
2021-09-13,21249.484375,21893.408203125,20355.14453125,20891.748046875,851464
2021-09-20,23968.2734375,27402.533203125,21142.1640625,21249.484375,69704306
2021-09-27,21857.634765625,23825.1796875,21249.484375,22680.42578125,1894554
2021-10-04,23395.896484375,23825.1796875,21464.125,22895.06640625,29011244
2021-10-11,25041.478515625,25756.951171875,23252.802734375,23395.896484375,1340375
2021-10-18,28332.64453125,29548.9453125,24326.0078125,25041.478515625,1710340
2021-10-25,34271.0546875,34271.0546875,28332.64453125,28332.64453125,739791
2021-11-01,35487.35546875,41855.04296875,33877.54296875,34271.0546875,2549088
2021-11-08,42570.515625,43572.17578125,35058.0703125,35773.54296875,2260746
2021-11-15,40066.3671875,44716.92578125,38635.42578125,44359.19140625,2259767
2021-11-22,37919.953125,40781.83984375,34700.3359375,38706.97265625,2130343
2021-11-29,36846.75,39350.89453125,36846.75,37919.953125,1373779
2021-12-06,39923.2734375,41640.40234375,34700.3359375,37061.390625,1467562
2021-12-13,47292.62109375,47292.62109375,37848.40625,40137.9140625,1580355
2021-12-20,50154.5078125,57166.12109375,48652.015625,50583.7890625,1931173
2021-12-27,53660.3125,57166.12109375,49939.86328125,50798.4296875,1097176
2022-01-03,67540.4453125,67540.4453125,53660.3125,53660.3125,1710060
2022-01-10,60671.92578125,75911.453125,60528.83203125,67969.7265625,2310365
2022-01-17,55800.0,64392.375,45450.0,62174.41796875,1210693
2022-01-24,63100.0,71000.0,51900.0,59700.0,1552000
2022-01-31,63100.0,63100.0,63100.0,63100.0,0
2022-02-07,57200.0,63800.0,50800.0,63800.0,1021800
2022-02-14,61700.0,66300.0,54000.0,55000.0,927300
2022-02-21,59700.0,66000.0,57900.0,62100.0,1616000
2022-02-28,65800.0,65800.0,59000.0,59700.0,1248800
2022-03-07,61500.0,69000.0,58800.0,67900.0,1316100
2022-03-14,65100.0,68400.0,61000.0,61800.0,1184700
2022-03-21,64300.0,71400.0,63800.0,65200.0,1268900
2022-03-28,61800.0,64500.0,59000.0,63500.0,1051600
2022-04-04,57800.0,62900.0,53400.0,62200.0,748200
2022-04-11,52000.0,60800.0,51900.0,57800.0,535200
2022-04-18,41900.0,53000.0,41900.0,49500.0,818900
2022-04-25,42800.0,44500.0,36300.0,39600.0,1025800
2022-05-02,36200.0,42800.0,36200.0,42800.0,442000
2022-05-09,29050.0,35500.0,29050.0,33700.0,986500
2022-05-16,30500.0,31500.0,26000.0,29500.0,1487100
2022-05-23,32600.0,33000.0,26800.0,31450.0,1171300
2022-05-30,29900.0,33800.0,28000.0,33400.0,793300
2022-06-06,27000.0,30200.0,26600.0,30200.0,668000
2022-06-13,21350.0,26400.0,21350.0,26400.0,773900
2022-06-20,20000.0,22100.0,17500.0,20000.0,1111100
2022-06-27,20050.0,21450.0,18600.0,20000.0,751600
2022-07-04,20000.0,20700.0,18100.0,20000.0,561100
2022-07-11,21900.0,22800.0,19000.0,20000.0,915200
2022-07-18,21200.0,22400.0,20500.0,21900.0,786600
2022-07-25,21700.0,22350.0,20350.0,21200.0,824500
2022-08-01,25500.0,25900.0,21700.0,21700.0,1516200
2022-08-08,24900.0,26650.0,23800.0,26500.0,1393500
2022-08-15,28900.0,29700.0,24400.0,25050.0,1732200
2022-08-22,28400.0,29850.0,26900.0,29000.0,1451500
2022-08-29,27050.0,27950.0,26000.0,27300.0,802100
2022-09-05,27500.0,29500.0,26000.0,27000.0,1715400
2022-09-12,27000.0,28650.0,26300.0,28650.0,949600
2022-09-19,23700.0,26750.0,23600.0,26700.0,992800
2022-09-26,21000.0,23550.0,19550.0,23550.0,915300
2022-10-03,16850.0,21000.0,16850.0,20000.0,1141300
2022-10-10,16700.0,17900.0,15650.0,15800.0,912200
2022-10-17,15500.0,17400.0,15500.0,16700.0,862200
2022-10-24,13400.0,15500.0,11700.0,15500.0,1525900
2022-10-31,11650.0,13450.0,11650.0,13450.0,1090100
2022-11-07,8880.0,11000.0,8880.0,10900.0,1542000
2022-11-14,9400.0,9400.0,7160.0,8260.0,1256100
2022-11-21,11000.0,11000.0,9350.0,10000.0,1250600
2022-11-28,15300.0,15300.0,11750.0,11750.0,1562500
2022-12-05,15200.0,17450.0,14000.0,16350.0,1990500
2022-12-12,14000.0,15300.0,13200.0,15200.0,1492000
2022-12-19,11600.0,14700.0,11150.0,14000.0,1183200
2022-12-26,11300.0,12200.0,10500.0,11600.0,829700
2023-01-02,11700.0,12700.0,10900.0,11300.0,699400
2023-01-09,11200.0,12000.0,11000.0,11750.0,373500
2023-01-16,12750.0,13200.0,11000.0,11100.0,645700
2023-01-23,12500.0,13050.0,12500.0,12750.0,180900
2023-01-30,12100.0,13450.0,11950.0,12550.0,949900
2023-02-06,11500.0,12300.0,11300.0,12000.0,425500
2023-02-13,11350.0,11900.0,10500.0,11050.0,378900
2023-02-20,11200.0,12700.0,10900.0,11150.0,544400
2023-02-27,10500.0,11350.0,10000.0,10900.0,386300
2023-03-06,10850.0,11250.0,10300.0,10900.0,340500
2023-03-13,10800.0,11200.0,10450.0,10450.0,365600
2023-03-20,10900.0,11000.0,10200.0,11000.0,487100
2023-03-27,11200.0,11400.0,10800.0,11250.0,692900
2023-04-03,13600.0,14100.0,11250.0,11700.0,1811400
2023-04-10,12300.0,14200.0,12300.0,13950.0,1255500
2023-04-17,12950.0,13650.0,12000.0,12200.0,674900
2023-04-24,14550.0,14900.0,12650.0,12950.0,1354100
2023-05-01,14500.0,15300.0,14000.0,14550.0,748500
2023-05-08,15800.0,16900.0,14500.0,14700.0,2433900
2023-05-15,15500.0,16400.0,14800.0,16000.0,1792300
2023-05-22,19200.0,20000.0,15300.0,15500.0,3078000
2023-05-29,20500.0,21950.0,19500.0,19500.0,2851200
2023-06-05,20600.0,22500.0,19600.0,20650.0,2673300
2023-06-12,19800.0,21850.0,19650.0,20100.0,1880200
2023-06-19,20300.0,20700.0,18450.0,19800.0,1691100
2023-06-26,18600.0,20450.0,18300.0,20000.0,1567900
2023-07-03,19650.0,19700.0,18200.0,18600.0,1406800
2023-07-10,20800.0,21600.0,19950.0,20050.0,2977800
2023-07-17,21200.0,22000.0,20000.0,21000.0,2522300
2023-07-24,23750.0,23900.0,20600.0,21500.0,4195200
2023-07-31,24000.0,24550.0,22300.0,24550.0,2879400
2023-08-07,22500.0,24450.0,21400.0,24450.0,3265500
2023-08-14,22350.0,25200.0,22350.0,22900.0,3922800
2023-08-21,21350.0,22350.0,19550.0,21000.0,2774500
2023-08-28,22200.0,22850.0,21200.0,21400.0,1522100
2023-09-04,23300.0,24800.0,21950.0,22200.0,2797000
2023-09-11,21500.0,23800.0,21100.0,23500.0,2794300
2023-09-18,20300.0,22400.0,20200.0,21200.0,1497300
2023-09-25,17500.0,20350.0,16550.0,20300.0,1937600
2023-10-02,15800.0,18300.0,15200.0,17500.0,1403200
2023-10-09,17750.0,17850.0,15500.0,15500.0,1380500
2023-10-16,15500.0,17800.0,14300.0,17450.0,1532700
2023-10-23,15300.0,16100.0,14300.0,15100.0,1309800
2023-10-30,15700.0,15850.0,13600.0,15300.0,1474800
2023-11-06,17100.0,17900.0,15500.0,15800.0,1802300
2023-11-13,17600.0,18400.0,17000.0,17600.0,1790100
2023-11-20,17350.0,19050.0,16600.0,17100.0,1965300
2023-11-27,17200.0,17900.0,16600.0,17550.0,1009400
2023-12-04,17800.0,18800.0,17400.0,17400.0,1856700
2023-12-11,16800.0,18000.0,16500.0,17850.0,784300
2023-12-18,16950.0,17300.0,16650.0,16800.0,536000
2023-12-25,17050.0,17300.0,16700.0,16800.0,713700
2024-01-01,17700.0,18100.0,16800.0,17050.0,1303800
2024-01-08,16600.0,18050.0,16500.0,18000.0,1217200
2024-01-15,16600.0,17250.0,16100.0,16900.0,642200
2024-01-22,16800.0,17100.0,16600.0,16650.0,475100
2024-01-29,16650.0,17000.0,16600.0,17000.0,423900
