Price,Close,High,Low,Open,Volume
Ticker,NKG.VN,NKG.VN,NKG.VN,NKG.VN,NKG.VN
Date,,,,,
2017-01-02,13386.6416015625,13792.297297665651,12833.47441322561,12907.23015934248,1722393
2017-01-09,13663.2255859375,14013.564936228118,13386.641983870135,13386.641983870135,2873806
2017-01-16,12999.42578125,13829.175687204503,12907.230641390868,13644.787222565577,1594603
2017-01-23,13017.8642578125,13202.253629893565,12833.474885731435,13017.8642578125,1345276
2017-01-30,12980.986328125,13146.936308521532,12907.230579606616,13017.864202384193,432457
2017-02-06,13958.2470703125,14197.952787947606,13017.863589803801,13146.935689867407,4705317
2017-02-13,13718.54296875,14308.588091100242,13220.692992339928,13939.810229958739,5878855
2017-02-20,13515.7138671875,13976.686832231013,13276.008143174387,13276.008143174387,4071159
2017-02-27,13386.6416015625,14013.56453601626,13294.44737268623,13515.713703497206,1900532
2017-03-06,13718.54296875,13810.738114690172,13349.765107608495,13571.032368817236,2504021
2017-03-13,13220.69140625,13755.419195376757,12999.425079126371,13718.541322932882,2130732
2017-03-20,13312.8857421875,13626.347206747636,13128.497286003627,13257.569386840263,1716497
2017-03-27,14935.5107421875,15230.5328427161,13220.69268417943,13312.886920430923,6017683
2017-04-03,15857.455078125,15931.210826657436,14972.387910815107,15119.898500340312,7147122
2017-04-10,15156.7763671875,16595.010740247,14529.854320047998,16041.843534064166,9547219
2017-04-17,15746.8212890625,15746.8212890625,14751.119659312937,15156.77534103929,5121646
2017-04-24,16115.599609375,16207.79475063491,15562.432391974275,15746.822674494093,3561162
2017-05-01,16373.7431640625,16705.644933132342,15746.822037124397,16115.598957078659,3250471
2017-05-08,16521.25390625,16668.765393550675,16115.598223712745,16373.742418949323,5418074
2017-05-15,15875.89453125,16677.985350179944,15378.043680474679,16521.255064588997,4858364
2017-05-22,17535.392578125,17673.68527390901,15516.333014280022,15543.993005500148,5793395
2017-05-29,18586.412109375,18973.628423293874,17258.81046652851,17922.61219549141,6866796
2017-06-05,18531.09765625,19084.26491301085,18309.83039052976,18697.04674423056,4447664
2017-06-12,17756.66015625,18531.094548870347,17535.392927632874,18448.120018793623,3587772
2017-06-19,18254.513671875,18420.462756619265,17673.688245111156,17922.613687307014,3054591
2017-06-26,18309.828125,18420.460836631457,17811.977292499905,18365.14448081573,3168293
2017-07-03,19056.60546875,19333.18907880051,18503.43824864898,18531.096428146095,7721093
2017-07-10,18973.62890625,19637.430652109357,18309.828975469998,19139.57979648468,5832740
2017-07-17,16871.595703125,19111.92288721941,16871.595703125,19001.288348018523,5430514
2017-07-24,17867.296875,17867.296875,16263.111539129668,16595.01151532505,3295956
2017-07-31,16871.595703125,17756.66294133473,16788.62116003394,17756.66294133473,3229142
2017-08-07,16705.646484375,17314.130092373092,16484.37922280857,16871.595569240228,1315305
2017-08-14,17314.12890625,17811.97794181946,16871.59441343344,16871.59441343344,2073672
2017-08-21,16954.568359375,17590.711897516365,16871.593825518015,17203.493776025225,35923238
2017-08-28,18309.828125,18420.460836631457,16954.568332118313,16954.568332118313,4594479
2017-09-04,18282.169921875,18531.095337781695,18033.244505968305,18309.828099744715,2159354
2017-09-11,18365.14453125,18475.77905826455,17867.295512461984,18005.58640238108,2036309
2017-09-18,19526.796875,19637.431411125763,18199.196962126254,18420.462404218928,4716935
2017-09-25,19499.13671875,19748.062130958275,19139.5785967066,19748.062130958275,3051616
2017-10-02,19665.087890625,20439.520501130337,19416.162474719975,19499.137008328562,6597794
2017-10-09,19914.013671875,20301.229984231588,19665.08825140316,19803.379143287904,4660839
2017-10-16,19305.529296875,19941.672877553876,19084.263858460847,19941.672877553876,4397567
2017-10-23,19360.845703125,19582.11112132862,18697.044003276456,19139.578469842152,2271004
2017-10-30,19222.5546875,19471.480119889235,18807.6801769042,19416.16376048705,2555850
2017-11-06,20550.15625,20716.105327087735,19305.52909644512,19471.47998861223,9278404
2017-11-13,21020.345703125,21850.09647799771,20384.20398691303,20688.445756191766,7750140
2017-11-20,21275.591796875,21473.371621659346,20682.24861412707,21473.371621659346,8910633
2017-11-27,21840.6796875,22207.986913236353,21247.336532773064,21416.862088867983,7846085
2017-12-04,21699.408203125,22321.00566494131,21360.355210697697,21840.681364918255,7508456
2017-12-11,21586.390625,21699.407668291024,20851.774281015973,21586.390625,2841617
2017-12-18,21755.916015625,22321.00493594746,21219.08321009636,21642.898973239484,5521672
2017-12-25,21925.443359375,21981.95188037697,21247.337398956475,21755.91594217165,4516073
2018-01-01,24185.798828125,24185.798828125,21784.17001811153,21925.44317361699,8567158
2018-01-08,24157.54296875,25542.011007174755,23733.727206153308,24016.271665950248,8417924
2018-01-15,24016.2734375,24750.8879746421,22321.006553667743,24016.2734375,4662250
2018-01-22,22829.5859375,24185.79975290091,22321.005524949975,24016.27233065174,3716731
2018-01-29,22434.0234375,23394.673843453555,21473.371177349036,22603.548998093178,4315682
2018-02-05,19778.107421875,22434.02470953878,18421.89358924344,22207.988761733934,3189327
2018-02-12,20230.17578125,20343.194672854228,19778.105777425164,19778.105777425164,723374
2018-02-19,20004.140625,20851.774000887723,19721.59616637076,20230.17656274288,1293801
2018-02-26,19439.0546875,20173.669209953252,18845.711475442553,20060.65216163661,4270658
2018-03-05,18421.89453125,19382.545040796722,17969.824466721144,19100.000555142087,4760547
2018-03-12,17743.787109375,18647.92902139553,17574.25968965976,18534.91012351955,2822012
2018-03-19,17009.171875,17969.824225868546,16698.373130365348,17659.025481233894,2317894
2018-03-26,17913.3125,17913.3125,15822.48423297854,17009.170596806867,3120901
2018-04-02,17009.171875,18534.911335406254,16500.593290996305,18365.385758804216,4031494
2018-04-09,15059.615234375,16896.15327057252,14918.343006429137,16670.117335019655,3317544
2018-04-16,13872.9287109375,14974.851332976117,13081.803873839252,14918.34281336854,4281999
2018-04-23,12997.0419921875,14042.456166829636,11979.882079300793,13844.674480344125,2355224
2018-04-30,11414.79296875,12997.041801985233,11188.757023816934,12997.041801985233,1370711
2018-05-07,12431.953125,12940.532621015995,11301.775231054995,11414.793205869248,3780216
2018-05-14,12036.390625,12997.042016146754,12036.390625,12431.95307160146,2172154
2018-05-21,11471.3017578125,12657.988178520647,11471.3017578125,12375.443704342633,2136051
2018-05-28,11753.8466796875,11866.864659083245,10680.178193174921,11584.320174143282,2085734
2018-06-04,13872.9287109375,14296.744462191718,11979.881251800633,12092.899218114482,6217393
2018-06-11,13844.6748046875,14833.58047898617,13290.888109171608,14833.58047898617,2344212
2018-06-18,13449.1123046875,14200.67970990827,12539.31881632741,13844.673804140944,1207176
2018-06-25,12341.5380859375,13765.56171123798,12341.5380859375,13765.56171123798,746460
2018-07-02,10917.5146484375,12499.76345724396,10601.0652575157,12499.76345724396,602520
2018-07-09,10877.9580078125,11194.408322368363,10363.727869081986,11075.739686184594,628896
2018-07-16,11945.9765625,12381.09554343626,10798.846642147317,10798.846642147317,1896960
2018-07-23,11313.076171875,11866.86279319103,11075.73891601118,11471.300391051776,1246740
2018-07-30,10798.8466796875,11866.864483173076,10363.728624337416,11313.077782991262,1960056
2018-08-06,10680.1767578125,10917.514019097222,10284.614346638404,10917.514019097222,882000
2018-08-13,10601.0654296875,11233.964221810003,10601.0654296875,10680.177546928126,1033392
2018-08-20,10640.62109375,10917.514896535633,10442.840335816692,10917.514896535633,1008324
2018-08-27,10561.5087890625,10798.846065221207,10521.95226733647,10719.733948867884,917544
2018-09-03,10245.05859375,10640.620071619249,10205.502075123612,10561.507961465131,709584
2018-09-10,10363.7275390625,10442.839651632883,9889.053009442823,10324.171019227964,1676124
2018-09-17,12025.0888671875,12025.0888671875,10047.27763100415,10363.727947968773,6934716
2018-09-24,11787.751953125,12104.201352658312,11550.414671700328,12064.644830054614,6107784
2018-10-01,11629.5263671875,12578.87545838648,11629.5263671875,11827.307118821047,13531524
2018-10-08,10601.0654296875,12025.08910261125,9968.165710466252,11550.414544969999,10735056
2018-10-15,10363.7275390625,10877.957661418022,10126.390274252662,10442.839651632883,5596020
2018-10-22,8781.478515625,10561.507944467905,8781.478515625,10521.951425905176,3801072
2018-10-29,6827.40234375,8939.704623101403,6827.40234375,8860.591577477433,10635396
2018-11-05,6843.22509765625,7381.189447340375,6724.5564570237675,7120.118437948915,3969468
2018-11-12,6487.21875,6724.556015688422,6328.99359717482,6590.064589432085,1625040
2018-11-19,6249.8818359375,6597.976357348291,6249.8818359375,6566.331232292992,1021680
2018-11-26,6012.54443359375,6328.993823459646,5727.739704584826,6249.881707767854,1894992
2018-12-03,6613.798828125,6708.733741751432,6210.325445212662,6313.171756157758,3887412
2018-12-10,6463.4853515625,6637.532379536946,6344.816712693846,6637.532379536946,1698876
2018-12-17,6249.8818359375,6455.573989923508,6115.390402114512,6455.573989923508,1036788
2018-12-24,6281.5263671875,6297.349161161729,5941.343249982034,6115.390275303642,990504
2018-12-31,5577.42578125,6281.526186352344,5395.467364179571,6281.526186352344,514860
2019-01-07,5522.04736328125,5775.207443903754,5506.225032073363,5577.426217832933,1051344
2019-01-14,5181.86376953125,5601.159449512183,5181.86376953125,5537.869666746007,1189704
2019-01-21,5063.1953125,5189.774882416681,5039.461585196952,5181.863949015239,1226652
2019-01-28,4746.74560546875,5102.751525878906,4509.4083251953125,5063.195467016459,1953648
2019-02-04,4746.74560546875,4746.74560546875,4746.74560546875,4746.74560546875,0
2019-02-11,6028.3671875,6083.7460432139715,4802.124672643105,4810.03560663839,5652000
2019-02-18,6091.65673828125,6234.059107203793,5704.006154136132,6028.366951054356,3215280
2019-02-25,6091.65673828125,6328.994019818822,6036.278348288734,6249.88190167255,6286488
2019-03-04,5941.34326171875,6487.218993272622,5941.34326171875,6328.993834513953,5329368
2019-03-11,5664.44970703125,5925.5207202031415,5616.982250090906,5735.650892441766,2970492
2019-03-18,5735.65087890625,5838.497189884083,5680.272488306125,5680.272488306125,2277312
2019-03-25,5775.20751953125,5814.763579843654,5537.87023055804,5735.650995669454,1400952
2019-04-01,6012.54443359375,6408.1064027008015,5727.739704584826,5775.207159419647,5563020
2019-04-08,5846.408203125,6210.325039201697,5616.981867827351,6012.544291109817,2687748
2019-04-15,5379.64453125,5854.31906234704,5166.040992256332,5846.408129194987,2218272
2019-04-22,5348.00048828125,5522.04752738859,5260.97650517818,5379.645151637457,1224708
2019-04-29,5181.86376953125,5347.999854898137,4991.993957683379,5347.999854898137,1255920
2019-05-06,4889.14794921875,5102.75150039821,4778.390706827339,5007.816588762895,962064
2019-05-13,4999.9052734375,5102.75158390871,4825.858241623922,4889.148029233461,998664
2019-05-20,4991.994140625,5134.396504729522,4904.970164639328,4999.905074042343,906600
2019-05-27,4897.05908203125,5055.283771699446,4770.479052167084,4991.993988542037,1068060
2019-06-03,4841.68017578125,4960.348807540594,4786.301326443775,4833.768779147513,465192
2019-06-10,4857.50244140625,4984.082468129151,4857.50244140625,4897.058960503658,552408
2019-06-17,4968.26025390625,5245.153576266621,4786.301374354298,4786.301374354298,1012212
2019-06-24,5031.55029296875,5079.017748562795,4904.970256868173,4920.793051099103,589080
2019-07-01,4952.4375,5055.283803891392,4865.413989660729,5023.6386803364985,2259360
2019-07-08,4920.79345703125,5142.307959043992,4904.970661495047,5126.485627057199,3005148
2019-07-15,4881.23681640625,4968.260799150932,4865.414484793307,4928.704274794477,1172256
2019-07-22,4794.212890625,4904.970129621336,4794.212890625,4825.858014716536,396480
2019-07-29,4825.8583984375,4897.059585642892,4786.301874290462,4794.213271829749,907668
2019-08-05,4833.76904296875,4889.147895328735,4817.9467123870545,4825.858109452586,1493304
2019-08-12,5118.57373046875,5340.088674443607,4944.5267049272015,5055.283945139947,2021124
2019-08-19,5142.3076171875,5332.177442604262,4984.082917189991,5118.573889010405,1115868
2019-08-26,4968.26025390625,5134.396340032342,4928.703733890949,5063.1951602640165,1405344
2019-09-02,4770.4794921875,4984.083051539179,4762.568094732085,4968.260720177741,1224804
2019-09-09,4580.609375,4794.212920984456,4509.408193005181,4762.567796692527,1339212
2019-09-16,4588.5205078125,4667.632618664024,4501.496536906754,4620.165166733376,1453524
2019-09-23,4446.1181640625,4659.721698328947,4430.295371009872,4580.609123713818,1019472
2019-09-30,4548.9638671875,4667.632493840646,4390.739186166413,4446.118033120989,2191128
2019-10-07,4588.5205078125,4667.632618664024,4548.963988837403,4620.165166733376,2597760
2019-10-14,4620.16552734375,4651.810652283907,4564.787138135189,4643.899255161525,1151544
2019-10-21,4825.8583984375,4984.0831043774615,4469.8524624105385,4620.165770811213,760440
2019-10-28,4794.212890625,4944.526650623095,4746.745436262377,4904.970129621336,1299192
2019-11-04,5039.4619140625,5055.284245447279,4786.301830609677,4857.5030171652725,1968372
2019-11-11,4928.7041015625,5094.840200082015,4865.414313785812,5055.284140665258,2371452
2019-11-18,4817.94677734375,5023.63893187645,4817.94677734375,4904.970292040397,3961056
2019-11-25,4794.212890625,4904.970129621336,4746.745436262377,4794.212890625,1653564
2019-12-02,4976.17138671875,4984.082783749093,4786.301566385451,4794.212963415795,449016
2019-12-09,5624.8935546875,5632.804951896909,4976.171499349135,5039.461749925654,5539116
2019-12-16,5379.64453125,5624.893193499919,5181.863785659131,5624.893193499919,4959540
2019-12-23,5411.2900390625,5537.870077533638,5189.775087625353,5340.088854337993,3172008
2019-12-30,6004.6328125,6099.567718626482,5379.644525984209,5458.757102272727,3187404
2020-01-06,7080.5625,7120.118559704117,5862.230947489723,6004.633318683806,6970068
2020-01-13,7832.13037109375,7911.2424900516735,6803.668652696291,7120.118519176136,5536104
2020-01-20,7515.68017578125,7824.219094995466,6779.93462765737,7729.283722010764,3767688
2020-01-27,6597.97607421875,7753.017294805341,6597.97607421875,7515.680025948552,2061696
2020-02-03,6352.7275390625,6566.331085421942,6139.123992703058,6139.123992703058,2693712
2020-02-10,6455.57421875,6645.444048713235,6249.882057472958,6328.99417759138,1587528
2020-02-17,6961.8935546875,7135.940580658866,6360.638970156273,6455.573880158605,4498848
2020-02-24,6558.42041015625,6953.9823940981605,6534.686681848748,6613.798800507501,3966156
2020-03-02,6408.1064453125,6684.999779173745,6408.1064453125,6534.68648023019,3171732
2020-03-09,4889.14794921875,6052.100616751365,4770.479309674605,5965.077102268784,5790864
2020-03-16,4414.47314453125,5150.218668619792,4414.47314453125,4746.745316700269,6538128
2020-03-23,3876.508544921875,4351.183301861456,3599.615226425458,4129.668368934717,8232324
2020-03-30,3829.04150390625,3876.5089615239913,3465.1244060951303,3654.9942365660963,3203904
2020-04-06,4113.84619140625,4272.070884462481,3876.508688272544,3876.508688272544,5723364
2020-04-13,4541.05322265625,4628.076733208681,3979.3547118151155,3979.3547118151155,4945740
2020-04-20,4928.7041015625,4928.7041015625,4121.757337324853,4580.609573466642,8226084
2020-04-27,5118.57373046875,5379.644732330437,4999.9050932588925,5221.420037233748,7157172
2020-05-04,5268.88720703125,5458.757016293637,5063.19506818011,5110.662520495707,11108520
2020-05-11,5735.65087890625,5941.343500861917,5166.04139696634,5268.887707944173,12285696
2020-05-18,5885.96435546875,5941.343206878055,5616.981958901306,5735.650595100273,11929320
2020-05-25,6075.833984375,6257.792399703116,5988.810475052745,6012.544201554209,19625820
2020-06-01,6352.7275390625,6439.751515130736,6060.011877158396,6091.656537956515,20048916
2020-06-08,6416.01806640625,6811.5800519569775,6028.367014623945,6352.727814962578,14347068
2020-06-15,6321.0830078125,6487.219102830294,6075.8343320793,6487.219102830294,10196688
2020-06-22,6218.236328125,6423.928469449837,5996.721393471784,6321.082630562091,12373404
2020-06-29,5711.9169921875,6147.0354889043965,5577.426022751093,6099.568033391622,7832748
