Price,Close,High,Low,Open,Volume
Ticker,NLG.VN,NLG.VN,NLG.VN,NLG.VN,NLG.VN
Date,,,,,
2023-07-17,37198.359375,37638.28740965835,35292.00455814718,35780.81348554534,18834800
2023-07-24,38322.6171875,38811.4260801977,36074.09628109056,37589.40384845344,25353500
2023-07-31,39104.71484375,39104.71484375,36807.312846679684,38127.09697265625,20799500
2023-08-07,37833.8125,38958.07307816538,36318.50476421189,38958.07307816538,13471900
2023-08-14,34998.71875,38713.666550279326,34998.71875,38273.73852129888,16835500
2023-08-21,36171.859375,36611.78739442568,33727.81482263513,34705.43264358108,12777200
2023-08-28,38029.33203125,38420.37914725257,36367.38178823908,36660.667125241,9889600
2023-09-04,38420.3828125,39837.92874324109,37589.40761172074,38029.33565919211,12135700
2023-09-11,35487.53125,38909.194042699724,35389.76945592287,38615.90866046832,15861500
2023-09-18,35389.765625,38078.21467109807,35243.12294975829,35487.527408494476,12830900
2023-09-25,34216.625,35780.81357142857,31186.00964285714,35194.24285714285,11990500
2023-10-02,31479.294921875,34607.672056968164,30306.15349621506,34216.62491508152,6780200
2023-10-09,34021.1015625,34021.1015625,31430.414230872844,31430.414230872844,5684600
2023-10-16,33092.3671875,34705.43678452733,30306.15606536189,34021.1042282127,8219500
2023-10-23,33141.24609375,34705.434699944686,31137.12944206305,33141.24609375,10710900
2023-10-30,31283.771484375,33239.00720214844,28546.441479492187,32652.436486816405,9177100
2023-11-06,35683.05078125,37051.715742722605,31332.651439426372,31723.698571275687,17873400
2023-11-13,36122.98046875,37149.47923714479,34998.71991288904,36074.09957501692,16755400
2023-11-20,36074.1015625,37540.528455284555,34412.15108401084,35878.57797679539,19502200
2023-11-27,36367.38671875,36953.95747227823,35389.76879620296,36025.22044585853,9311500
2023-12-04,36074.1015625,37931.57562669377,35731.935287516935,36758.43411246612,12482600
2023-12-11,34900.95703125,36367.38379726891,34216.62454044118,36122.97933626576,8457900
2023-12-18,35878.57421875,36074.097783974794,34705.43282740122,34900.95639262602,4825000
2023-12-25,35829.6953125,37100.59855687244,35780.81441848568,35878.57620651433,10373400
2024-01-01,36367.38671875,36856.19568002352,35634.17327683972,35829.696861349126,7621100
2024-01-08,35585.2890625,37638.28650841346,35194.241929945056,36660.6686770261,13148600
2024-01-15,38127.09765625,38615.9066005609,34998.72041266026,35878.57651241987,16670300
2024-01-22,38664.78515625,38664.78515625,37393.88197791561,38175.976241506,13180300
2024-01-29,38175.9765625,38811.42815701024,37491.64407610435,38811.42815701024,8651400
2024-02-05,38909.19140625,39398.000343514446,37980.45442544755,38615.90604389133,9022300
2024-02-12,38420.3828125,39300.23890744275,38371.501918336515,38909.19175413486,5585300
2024-02-19,36856.19140625,38811.4270246187,36660.66784441313,38615.90346278183,14931200
2024-02-26,39006.953125,39055.83401864035,36269.62308114035,36807.312911184206,18084000
2024-03-04,40962.1875,42917.423180190926,39837.92698389021,39886.807875894985,36472200
2024-03-11,42868.54296875,43895.04171714652,40473.37922249145,40962.18815029931,25634900
2024-03-18,42477.49609375,44139.44645875288,39886.80876006905,43406.23306242808,23401100
2024-03-25,42379.734375,43748.39938365052,42037.56812283737,42477.49616133218,16203300
2024-04-01,42721.8984375,45117.062079877,42233.08953089245,42477.493984196226,22378300
2024-04-08,41793.1640625,43259.59087171053,41108.831551535084,42624.13925438596,11460900
2024-04-15,35194.2421875,41890.92438151041,34949.83772786458,41402.115462239584,16104400
2024-04-22,37051.71875,37638.28949538258,35194.24472295515,35780.81546833773,15033400
2024-04-29,39886.8046875,39886.8046875,36025.21452780331,37051.71317784927,7821700
2024-05-06,40424.49609375,41059.947664752115,39006.95028151451,39300.23562197702,12777800
2024-05-13,43015.18359375,43015.18359375,40180.0919477983,41059.94797585227,13917200
2024-05-20,42917.42578125,44872.661579940206,41744.28430203588,43357.35383595529,18115400
2024-05-27,43015.18359375,43601.75427911932,41988.68489435369,42917.421812855115,10976800
2024-06-03,42135.375,44654.6060961313,41542.61474208675,43469.0855803048,11614200
2024-06-10,41592.01171875,43963.05276684976,41592.01171875,42283.565357779094,10386900
2024-06-17,40406.4921875,41789.59949954156,40406.4921875,41592.01274067848,11672200
2024-06-24,40900.45703125,41493.21727807971,39319.76303970411,40357.093471656095,13523500
2024-07-01,43469.0859375,43469.0859375,40554.68131214489,40900.45813210227,13754900
2024-07-08,42481.15234375,44457.01989462209,42234.16889989099,43864.259629360466,14150700
2024-07-15,40554.6796875,44061.844435140076,40505.28300091352,42530.547150959195,13339100
2024-07-22,41246.234375,41690.80456586827,38628.20991766467,40307.69730538922,7779200
2024-07-29,39023.3828125,41937.78735166139,37640.27557357595,41493.21716772152,9060800
2024-08-05,38529.41796875,38973.98817608173,36652.343760016025,38973.98817608173,7133300
2024-08-12,39023.3828125,39171.57287381329,36751.135205696206,38430.622567246835,7659600
2024-08-19,40208.90234375,40702.86920300983,38825.79513782248,39517.34874078624,7600200
2024-08-26,40505.28515625,41098.04542682927,39616.1447503811,40505.28515625,6160700
2024-09-02,40604.078125,41789.59865419708,39616.1443506691,40307.69799270073,4329000
2024-09-09,41246.234375,41246.234375,39319.76354790419,40505.28405688623,5219200
2024-09-16,41098.04296875,41838.99326265775,40406.489361102766,40801.6628511869,7879100
2024-09-23,41246.234375,42135.37475673653,40999.25093562874,41098.04431137725,7985900
2024-09-30,39418.55859375,41888.39309210526,39418.55859375,40801.66591282895,7503800
2024-10-07,39764.33203125,40258.29888878106,39517.348602484475,39517.348602484475,4948400
2024-10-14,38430.625,40011.3190874036,37541.48457583547,39665.54225578406,11383200
2024-10-21,38282.43359375,38924.59054435484,37343.89651209678,38430.62365927419,8589800
2024-10-28,40208.90234375,40208.90234375,38282.43159263667,38282.43159263667,7707700
2024-11-04,39122.17578125,39961.91945332228,38578.81222873263,39517.349273989894,5651000
2024-11-11,37294.5,39122.17748344371,36849.929801324506,38825.79735099338,5291700
2024-11-18,37096.9140625,38035.4511692743,36257.17033538615,37294.500821820904,5001800
2024-11-25,37986.0546875,38331.83151820546,37146.310955786736,37195.707645887516,4683100
2024-12-02,37837.86328125,38084.84672303362,36405.35931890503,37739.069904536555,6776400
2024-12-09,37047.515625,38134.242750000005,37047.515625,37837.862625,5606400
2024-12-16,35911.390625,37442.68788686382,35861.99393913343,37047.51439993122,7625500
2024-12-23,35960.7890625,36355.962568681316,35170.44205013736,36010.18575077267,10548600
2024-12-30,35615.01171875,36355.96203190014,35565.61503120666,36059.58190664009,5164500
2025-01-06,31762.0703125,35763.202031493,31762.0703125,35615.01196782659,10118600
2025-01-13,32700.607421875,32799.4007977719,31663.276974957516,31663.276974957516,6177900
2025-01-20,36010.18359375,36010.18359375,32256.035509902264,32700.605677726337,5635700
2025-01-27,36010.18359375,36010.18359375,36010.18359375,36010.18359375,0
2025-02-03,34231.90625,35219.840052308806,33639.14596861472,35071.64998196248,6841400
2025-02-10,31811.466796875,33984.92105007764,31811.466796875,33836.730987359275,10033600
2025-02-17,32503.021484375,32799.40161949088,31119.914187167553,31860.864524957255,12302900
2025-02-24,34281.30078125,34380.094155259365,31959.6564920299,32453.62336207673,13528700
2025-03-03,33194.57421875,34330.698038736984,32157.243774414062,34281.30135091146,18509800
2025-03-10,33046.3828125,33688.53972813901,32404.225896860986,33589.74635650224,17952100
2025-03-17,33886.12890625,35071.64945107507,33194.57525510204,33293.36863383746,26530200
2025-03-24,33540.3515625,34330.69858017305,33145.178053663476,33886.12838273196,12399200
2025-03-31,29539.21875,34725.87087165552,29539.21875,33293.36695234114,22470600
2025-04-07,28946.458984375,29144.045735121585,25636.880909369665,27513.955041462243,18924200
2025-04-14,27662.14453125,29341.631877790176,26921.194231305803,28946.458384486607,14713300
2025-04-21,27662.14453125,28254.904771205354,25439.29363141741,27711.541217912945,16916600
2025-04-28,27217.57421875,27958.524515086207,27168.177532327587,27958.524515086207,3743200
2025-05-05,31119.9140625,31218.70744047619,27217.575632440476,27217.575632440476,16071500
2025-05-12,33342.765625,33441.55900462963,30675.344375,31119.914583333335,15185700
2025-05-19,33984.921875,34330.698696402615,32996.988099563954,32996.988099563954,12679700
2025-05-26,37887.2578125,38430.621353487615,33095.77931470013,34528.28319548566,21257300
2025-06-02,36355.9609375,38973.98529848845,36059.58082116168,37541.481402853264,19060200
2025-06-09,38000.0,38750.0,36550.0,37400.0,15696300
2025-06-16,36950.0,39300.0,36750.0,37200.0,13702900
2025-06-23,36850.0,37450.0,35300.0,35500.0,9712500
2025-06-30,39000.0,39500.0,37200.0,37200.0,19949800
2025-07-07,39500.0,40450.0,38800.0,39200.0,12094500
2025-07-14,41350.0,41450.0,37950.0,38750.0,27244600
2025-07-21,40450.0,41750.0,38900.0,40600.0,17006000
2025-07-28,41500.0,43250.0,38850.0,42100.0,22751400
2025-08-04,41950.0,42600.0,40100.0,40250.0,14526400
2025-08-11,47000.0,49800.0,41500.0,43250.0,27917600
2025-08-18,41700.0,46300.0,40800.0,44650.0,31406600
2025-08-25,44200.0,45000.0,40550.0,42400.0,17063700
2025-09-01,43750.0,44550.0,42850.0,44200.0,9840000
2025-09-08,40400.0,43500.0,39550.0,43500.0,17534900
2025-09-15,40550.0,42000.0,40150.0,40400.0,7136300
2025-09-22,40900.0,41300.0,38350.0,40500.0,14083500
2025-09-29,39000.0,41950.0,39000.0,41500.0,14441400
2025-10-06,36164.22265625,39500.0,35100.5703125,37450.0,12763313
2025-10-13,42050.0,42050.0,35470.53515625,36534.19140625,33525493
2025-10-20,37700.0,38900.0,34600.0,38650.0,19773600
2025-10-27,39900.0,39900.0,35000.0,38000.0,15507800
2025-11-03,37650.0,39750.0,35200.0,39700.0,10565900
2025-11-10,37200.0,37550.0,35550.0,37150.0,7802700
2025-11-17,35950.0,38100.0,35250.0,37400.0,13835500
2025-11-24,35950.0,36350.0,35000.0,35700.0,6163800
2025-12-01,35600.0,36150.0,34800.0,36000.0,5176500
2025-12-08,32900.0,35900.0,32400.0,35700.0,6711200
2025-12-15,31700.0,33300.0,30000.0,32900.0,10368300
2025-12-22,30100.0,32900.0,29750.0,32100.0,11101100
2025-12-29,30450.0,31450.0,30150.0,30150.0,3992800
2026-01-05,29150.0,31400.0,29150.0,30700.0,15349500
2026-01-12,30650.0,31800.0,28700.0,29200.0,20747300
2026-01-19,29700.0,31500.0,29250.0,30650.0,17106600
