Price,Close,High,Low,Open,Volume
Ticker,NSC.VN,NSC.VN,NSC.VN,NSC.VN,NSC.VN
Date,,,,,
2017-01-02,62834.80859375,62834.80859375,58742.62568113182,61052.728938254986,4080
2017-01-09,61052.734375,67090.91689560439,60381.825206043955,64407.280219780216,6350
2017-01-16,63736.375,68902.37592105263,61052.73815789474,62864.19302631579,4470
2017-01-23,63400.9140625,64407.277777777774,59912.1865162037,62394.55034722222,4270
2017-01-30,63400.9140625,65078.18692129629,63400.9140625,63400.9140625,3310
2017-02-06,62729.98828125,64407.26069518717,62394.53379846257,63467.988143382354,26860
2017-02-13,63736.375,65078.19342105263,62730.011184210525,62730.011184210525,14940
2017-02-20,62797.0859375,65547.8129924546,62729.99503372062,63736.35859041132,14570
2017-02-27,66419.9921875,68768.17372948233,62461.62901672979,63736.3561395202,21160
2017-03-06,66822.546875,68432.72872740963,63736.364991214854,68097.2741748243,9200
2017-03-13,67090.9140625,67761.823203125,64474.3684140625,66755.4594921875,11500
2017-03-20,66554.1796875,67761.81601247481,64742.72520003781,65413.63426946825,7040
2017-03-27,68097.265625,68097.265625,62461.629849137935,67023.81119150246,44260
2017-04-03,67090.9140625,68097.2777734375,63803.4592734375,68097.2777734375,21550
2017-04-10,66487.1015625,67090.91984106963,64273.10120774471,64541.46488710898,15180
2017-04-17,67090.9140625,72458.18718749999,64675.64115624999,66487.09583593749,19620
2017-04-24,70445.4609375,70445.4609375,67090.91517857143,67761.82433035715,13940
2017-05-01,71720.1796875,77154.54316241815,68432.72523971001,70445.45245264265,6650
2017-05-08,70445.4609375,76483.64330357143,67627.6425,69103.64263392857,7960
2017-05-15,69103.640625,71116.36802184465,66084.549529733,70378.36797633495,17740
2017-05-22,70982.171875,74470.89865902645,67493.44509097353,69103.62668360113,14030
2017-05-29,69774.546875,75879.81972656249,68432.72866586539,71116.36508413461,38220
2017-06-05,71854.3671875,73800.00364729225,67828.91244310225,70445.45802696078,18500
2017-06-12,71854.3671875,73062.00361081933,69237.82160364147,71787.27627509338,22870
2017-06-19,72458.1875,73800.00578703704,71451.82378472222,73800.00578703704,8250
2017-06-26,73129.109375,76752.01938073394,71116.38159403669,72458.2001146789,6930
2017-07-03,74806.3671875,79838.18560818386,71787.27613508969,73129.09438060538,14340
2017-07-10,73129.109375,74806.38252580275,70445.47233371559,74806.38252580275,92900
2017-07-17,72256.921875,73732.92213614206,69573.28503655989,72726.55832172702,31110
2017-07-24,79167.2734375,80374.90981197034,70848.00063559321,71116.3642743644,21350
2017-07-31,80442.0,84534.54545454546,77825.45454545454,80509.09090909091,9020
2017-08-07,87151.09375,90237.27566878368,77490.00252598153,79838.18442070825,20040
2017-08-14,88492.9140625,88492.9140625,83595.27742371114,87151.09580529756,5600
2017-08-21,84534.5546875,88828.37333829365,80509.09970238095,88492.9187562004,190720
2017-08-28,84542.6953125,87598.45538403613,80875.78322665663,85561.28200301205,14500
2017-09-04,81419.0390625,87530.55992624062,80128.82910237697,84542.7052817452,2150
2017-09-11,78091.6328125,81486.92119565218,77412.57513586957,81419.01542798913,4790
