Price,Close,High,Low,Open,Volume
Ticker,PAN.VN,PAN.VN,PAN.VN,PAN.VN,PAN.VN
Date,,,,,
2017-01-02,22489.013671875,22804.27933111644,21543.213006035014,22489.013671875,47327
2017-01-09,21490.666015625,22541.555731552682,21017.766657689237,22068.65452955929,121125
2017-01-16,21017.76953125,21543.213539024015,20492.325523475985,21017.76953125,183278
2017-01-23,22016.11328125,22016.11328125,21017.76807595393,21017.76807595393,15451
2017-01-30,22331.37890625,22331.37890625,21175.401801423126,22016.113261323466,19532
2017-02-06,22278.833984375,22331.3785650696,21543.21169870831,22331.3785650696,48242
2017-02-13,22331.37890625,22331.37890625,21175.401801423126,22278.834324752617,37409
2017-02-20,23067.001953125,23592.445941124635,21149.13019828876,22331.37963230239,83408
2017-02-27,22856.822265625,23539.899962757252,21490.6668713605,23067.00058599114,45980
2017-03-06,22856.822265625,22856.822265625,22068.655408309678,22594.101209225028,154403
2017-03-13,22778.005859375,22856.822731117452,21569.484180772855,22856.822731117452,27508
2017-03-20,22804.279296875,22856.823880679312,22331.379886693998,22725.462421168526,40553
2017-03-27,22594.103515625,22751.735427932927,22121.202246527555,22200.019124710463,88888
2017-04-03,22173.74609375,22594.102763397197,21017.768940335864,22594.102763397197,26232
2017-04-10,21805.935546875,22383.924115497957,21017.76864636813,22121.201200643067,57084
2017-04-17,21438.125,22331.379209468705,21306.763544472902,21805.935231418094,88297
2017-04-24,22252.560546875,22856.821349654638,21175.40038628034,21306.761831244963,14912
2017-05-01,22068.65625,22252.56228733448,21122.857460395364,22252.56228733448,18489
2017-05-08,22068.65625,22331.379160477827,21280.491206682058,22331.379160477827,13116
2017-05-15,21543.212890625,21543.212890625,21017.76889866559,21543.212890625,22530
2017-05-22,21543.212890625,22541.558134999923,21017.76889866559,21543.212890625,57479
2017-05-29,21280.4921875,22042.386818943654,21017.769264913273,21543.213266028873,17500
2017-06-05,21280.4921875,22068.657267144474,21017.769264913273,21543.213266028873,22260
2017-06-12,21017.76953125,22016.11480567272,20807.593034575122,20807.593034575122,19744
2017-06-19,21543.212890625,22068.65688258441,19993.153206547628,21017.76889866559,88242
2017-06-26,21044.0390625,22016.111916778365,20334.689099663796,21805.933603624635,13277
2017-07-03,21543.212890625,22856.82379255244,21333.03640027593,22068.65688258441,38540
2017-07-10,21017.76953125,21543.213539024015,21017.76953125,21543.213539024015,26304
2017-07-17,21662.751953125,22659.782377745814,20544.869355822873,22357.651946042537,25264
2017-07-24,21753.390625,21753.390625,21209.555859375,21692.964539930555,12233
2017-07-31,22055.521484375,22538.930174443492,21149.130190496577,21813.817139340754,88826
2017-08-07,22115.947265625,22206.586393762806,20756.360343557888,21753.39075307377,481514
2017-08-14,21753.390625,22236.799305555556,20605.295008680558,22115.947135416667,12591
2017-08-21,21753.390625,23264.042751736113,21179.34281684028,21934.668880208334,773749
2017-08-28,22961.912109375,23203.616447368422,21511.686081414475,21753.390419407897,27123
2017-09-04,22961.912109375,23264.042531866777,22176.373010896383,22961.912109375,27264
2017-09-11,22961.912109375,23022.338193873355,22176.373010896383,22297.225179893092,97326
2017-09-18,22357.65234375,24110.008878800676,22236.80016891892,24110.008878800676,35060
2017-09-25,22236.798828125,22901.485749617867,21149.12932022758,21813.816241720448,69920
2017-10-02,21753.390625,22236.799305555556,21149.129774305555,22236.799305555556,43201
2017-10-09,21149.130859375,21753.39174107143,21149.130859375,21753.39174107143,65233
2017-10-16,21088.703125,21149.129208452723,20665.720540830946,21088.703125,150685
2017-10-23,20544.869140625,21028.277826286765,20242.738712086397,20605.29522633272,150389
2017-10-30,20544.869140625,21028.277826286765,18883.151783662684,20544.869140625,44451
2017-11-06,20544.869140625,21088.703911994486,19668.690897863053,20001.034369255514,25029
2017-11-13,20242.73828125,20846.999125466416,19970.82090135261,19970.82090135261,100513
2017-11-20,20272.953125,20967.853157600595,20061.461810730252,20242.740080104322,162107
2017-11-27,20847.0,22236.8,20484.44347826087,20544.869565217392,24857
2017-12-04,21149.130859375,22236.800446428573,21149.130859375,21149.130859375,111061
2017-12-11,20544.869140625,21692.964769071692,20001.034369255514,21692.964769071692,139466
2017-12-18,20544.869140625,21149.129997702206,19940.608283547794,20121.886540670956,57857
2017-12-25,21753.390625,23203.61666666667,19819.75590277778,20061.460243055557,533669
2018-01-01,27191.73828125,27947.06434461806,21753.390625,21753.390625,883499
2018-01-08,27191.73828125,28944.09474826389,26587.47743055556,27735.573046875,979733
2018-01-15,29850.486328125,30152.61675654732,26708.329872532897,27191.738558008605,1623936
2018-01-22,29910.912109375,31421.564236111113,29367.077343750003,29850.486024305555,475827
2018-01-29,29064.947265625,30333.895067242724,28400.26032192048,29910.912466703485,789467
2018-02-05,30454.748046875,31119.435008215525,26980.248021685886,30031.765435112848,1500544
2018-02-12,30817.302734375,31421.563572303923,30575.59839920343,31421.563572303923,359452
2018-02-19,35772.2421875,35772.2421875,30817.303235853044,30817.303235853044,1612624
2018-02-26,41150.16015625,41633.56879244677,34986.70004474119,35651.38691951175,2394874
2018-03-05,41331.4453125,42177.41056743421,39276.95826480263,41391.87140213816,1670904
2018-03-12,40364.625,41693.99887724551,38370.56418413174,41693.99887724551,1271170
2018-03-19,39276.95703125,41694.00054086539,38189.287451923075,40666.75704927884,846044
2018-03-26,39216.52734375,40425.048987625196,38430.988275231124,39276.953425943764,598435
2018-04-02,43869.33984375,45017.43551459194,38914.40063274794,39216.531072443184,1946466
