Price,Close,High,Low,Open,Volume
Ticker,PC1.VN,PC1.VN,PC1.VN,PC1.VN,PC1.VN
Date,,,,,
2017-01-02,8056.1044921875,8144.63330078125,7746.25439453125,7967.57568359375,1371577
2017-01-09,8011.84033203125,8056.1044921875,7856.9150390625,8056.1044921875,3377166
2017-01-16,7967.57568359375,8011.84033203125,7735.1884765625,8011.84033203125,2275374
2017-01-23,7901.17919921875,7989.7080078125,7768.38671875,7923.3115234375,427928
2017-01-30,8011.84033203125,8011.84033203125,7901.17919921875,7901.17919921875,618647
2017-02-06,7790.5185546875,8011.84033203125,7746.25439453125,8011.84033203125,1492442
2017-02-13,7901.17919921875,7978.64208984375,7746.25439453125,7856.9150390625,2105170
2017-02-20,7856.9150390625,8078.23681640625,7768.38671875,7834.78271484375,2863478
2017-02-27,8321.6904296875,8631.541015625,7801.5849609375,7834.78271484375,5308112
2017-03-06,8565.14453125,9052.0517578125,8233.162109375,8277.42578125,6175085
2017-03-13,9162.7119140625,9350.8359375,8498.748046875,8498.748046875,10109452
2017-03-20,8742.201171875,9361.9013671875,8631.541015625,9029.9189453125,8066088
2017-03-27,8476.615234375,8963.5224609375,8454.4833984375,8742.201171875,5107589
2017-04-03,8631.541015625,8742.201171875,8321.6904296875,8321.6904296875,1447123
2017-04-10,8078.23681640625,8631.541015625,8078.23681640625,8631.541015625,2958047
2017-04-17,8188.8974609375,8432.3515625,7989.7080078125,8410.21875,661749
2017-04-24,8410.21875,8520.8798828125,8011.84033203125,8188.8974609375,1137258
2017-05-01,8432.3515625,8432.3515625,8188.8974609375,8410.21875,1528679
2017-05-08,8963.5224609375,8963.5224609375,8365.955078125,8365.955078125,3201221
2017-05-15,9074.18359375,9295.5048828125,8742.201171875,9074.18359375,4061599
2017-05-22,9295.5048828125,9428.2978515625,9074.18359375,9074.18359375,4944839
2017-05-29,8874.994140625,9384.0341796875,8874.994140625,9184.8447265625,1648279
2017-06-05,8631.541015625,10041.3583984375,8631.541015625,9206.9765625,1546616
2017-06-12,9638.5537109375,9753.640625,8631.541015625,8631.541015625,3675784
2017-06-19,9955.04296875,9955.04296875,9494.6943359375,9782.4130859375,3095529
2017-06-26,10357.8486328125,10559.2509765625,9955.04296875,9955.04296875,3894506
2017-07-03,10242.76171875,10501.7080078125,9868.7275390625,10501.7080078125,384923
2017-07-10,10041.3583984375,10357.8486328125,9926.271484375,10242.76171875,318157
2017-07-17,9609.7822265625,10041.3583984375,9437.1513671875,10041.3583984375,795429
2017-07-24,10070.130859375,10343.462890625,9552.23828125,9724.869140625,815762
2017-07-31,10429.7783203125,10444.1640625,9926.271484375,10070.130859375,2366446
2017-08-07,10415.392578125,10530.4794921875,10213.9892578125,10487.3212890625,2283657
2017-08-14,10285.9189453125,10501.7080078125,10098.90234375,10501.7080078125,525129
2017-08-21,10300.3046875,10357.8486328125,10070.130859375,10285.9189453125,32480237
2017-08-28,10026.97265625,10314.69140625,9782.4130859375,10213.9892578125,538998
2017-09-04,10098.90234375,10098.90234375,9868.7275390625,10026.97265625,1898627
2017-09-11,9811.1845703125,10127.673828125,9782.4130859375,10098.90234375,3268475
2017-09-18,9753.640625,9868.7275390625,9667.3251953125,9811.1845703125,2737295
2017-09-25,10170.83203125,10588.0234375,9638.5537109375,9753.640625,4893991
2017-10-02,9868.7275390625,10357.8486328125,9868.7275390625,10213.9892578125,1912252
