Price,Close,High,Low,Open,Volume
Ticker,PDN.VN,PDN.VN,PDN.VN,PDN.VN,PDN.VN
Date,,,,,
2017-01-02,14563.5166015625,15000.164745800383,14512.146674297172,15000.164745800383,4560
2017-01-09,15411.130859375,15411.130859375,14537.832942346,14563.518662109374,3480
2017-01-16,15411.130859375,16438.54008499775,14897.42699906025,15385.445139611626,10980
2017-01-23,17003.609375,17029.295087958337,15205.645587744728,15205.645587744728,11130
2017-01-30,16695.388671875,17003.61124123265,16695.388671875,17003.61124123265,30
2017-02-06,15899.1455078125,16695.3860152927,14229.605852788287,16695.3860152927,10980
2017-02-13,16076.2978515625,16076.2978515625,16076.2978515625,16076.2978515625,0
2017-02-20,15842.5546875,15842.554687500002,14258.29876222148,15323.12566708247,134850
2017-02-27,15427.01171875,15842.554629202563,14803.69811395202,15842.554629202563,6660
2017-03-06,15297.154296875,15842.553667982036,14362.183946405798,14414.126236400209,31380
2017-03-13,15452.984375,15452.984375,14284.271309372147,14336.213605035005,66060
2017-03-20,15582.8408203125,15816.583432617188,14725.784575195312,15712.697319894505,10860
2017-03-27,15504.9267578125,15790.611668206699,14492.042095241834,15582.840962625629,47790
2017-04-03,15712.7001953125,15712.7001953125,14673.844965022765,15452.987148621105,26340
2017-04-10,15972.41015625,15972.41015625,15556.86727094734,15712.695662715632,20820
2017-04-17,17920.267578125,18179.98210825033,14855.641600988803,15972.412406589676,16740
2017-04-24,20231.724609375,20231.724609375,16673.642522305305,16673.642522305305,35430
2017-05-01,18569.552734375,20231.72142970733,17348.89583920322,20231.72142970733,840
2017-05-08,18283.869140625,18647.46983563063,17270.984316381702,17270.984316381702,16110
2017-05-15,17894.294921875,18231.923644772873,16907.382183400485,18179.98134962004,14970
2017-05-22,17758.416015625,18153.63300071915,16915.286962029597,18153.63300071915,4620
2017-05-29,18785.982421875,18970.417551565173,17626.67964166264,17890.158177817666,13710
2017-06-05,19102.15625,19233.896291380726,17494.941330740774,17494.941330740774,6450
2017-06-12,18970.4140625,19102.152534439723,17363.19791204389,19102.152534439723,6390
2017-06-19,18390.765625,19997.98209163408,17653.028184427432,19233.896333963723,7410
2017-06-26,20024.326171875,20287.803111838784,18179.979873047392,18285.371575322642,12150
2017-07-03,20287.8046875,21078.2386564132,19102.1537341302,19102.1537341302,7350
2017-07-10,21078.23828125,22132.15073564821,19497.370371560843,20946.499803381343,7830
2017-07-17,22659.109375,24029.195603860728,19602.76483472849,19602.76483472849,26880
2017-07-24,23133.3671875,23976.497791275113,21025.543765694933,23976.497791275113,14790
2017-07-31,22632.76171875,23449.542525777062,20841.110210049115,23133.368911749432,5010
2017-08-07,23976.498046875,23976.498046875,21578.847779042586,22896.237238737653,8610
2017-08-14,23976.498046875,24714.235403272378,22053.108169790776,22342.933449531432,20760
2017-08-21,24108.234375,24239.972846050325,22105.801278427374,22395.628076080822,115950
2017-08-28,23449.541015625,24029.193118618176,22421.976836210408,24002.84480454055,4440
2017-09-04,23449.541015625,23686.67121087452,22000.413073866617,23449.541015625,32970
2017-09-11,23370.5,23686.67362590222,21921.37191049253,23449.543406475557,12660
2017-09-18,23396.845703125,23765.71437753278,21789.629436390464,23686.670979887087,16920
2017-09-25,24766.93359375,25030.41057601928,23001.63040222676,23186.065524868434,32820
2017-10-02,23423.1953125,24766.93314679991,22395.631086270656,24740.584831521883,8130
2017-10-09,23317.798828125,23633.972371557204,21657.887725105935,22711.80005115199,9630
2017-10-16,24108.234375,24898.668288934427,22132.149590163932,22211.192981557375,31230
2017-10-23,23765.71484375,24371.71526679926,22395.630286891654,22711.80388367687,61440
2017-10-30,24714.232421875,25109.44936648823,23291.45142126739,25109.44936648823,24960
2017-11-06,24872.32421875,25504.671457733617,23212.412716418014,25504.671457733617,34920
2017-11-13,25557.365234375,26057.973923903766,23581.28033336189,26057.973923903766,12720
2017-11-20,25293.888671875,27665.19073486328,23080.673413085937,25293.888671875,15420
2017-11-27,25557.365234375,26795.711257737774,24793.278043439044,26663.971235126013,9330
2017-12-04,25030.408203125,26163.364059690874,24029.192369021224,26163.364059690874,22590
2017-12-11,25135.798828125,26084.319538620282,24002.84302042799,26031.622914381926,18210
2017-12-18,24503.455078125,25056.75890246976,23396.847429435486,25056.75890246976,13260
2017-12-25,24055.541015625,25267.538741120454,22053.107775852535,25267.538741120454,23640
2018-01-01,24081.8828125,24450.752951753875,22685.450267656128,24055.53604813617,7620
2018-01-08,23449.541015625,24187.279915451192,22922.585540787077,24055.541432695805,30900
2018-01-15,23186.064453125,23792.063336912655,22553.71725480174,23792.063336912655,318480
2018-01-22,23180.140625,23792.948419986067,21981.167834051725,23446.579543376,35490
2018-01-29,23872.8828125,24379.1163499912,22141.033537532992,23846.24001026966,13500
2018-02-05,22887.064453125,23872.885723771506,22274.25494849299,23872.885723771506,9930
2018-02-12,23446.58203125,23446.58203125,23100.21155672471,23100.21155672471,210
2018-02-19,23979.45703125,24592.264857216644,22673.908294716643,23446.580728720855,26730
2018-02-26,22887.064453125,23926.174457056033,22380.83085389918,22487.40675930537,397860
2018-03-05,23926.169921875,24245.896016326948,22247.60792600227,22887.060114906166,10560
2018-03-12,22247.61328125,23872.886945160455,22247.61328125,23872.886945160455,16440
2018-03-19,22460.759765625,23446.582482131333,21448.294246755442,23126.85636447119,14880
2018-03-26,23340.01171875,23340.01171875,23340.01171875,23340.01171875,4890
2018-04-02,22114.38671875,23340.003881306566,20915.413916628087,23340.003881306566,121620
2018-04-09,22114.38671875,23446.57976188268,21741.373478477348,22913.701920164607,543630
2018-04-16,21021.9921875,22114.389233256294,20515.758648655534,20968.7050217342,61110
2018-04-23,19636.51171875,20542.40289874499,19636.51171875,20515.7585354278,5310
2018-04-30,19476.646484375,20249.31888375207,19476.646484375,19636.509524085774,9270
2018-05-07,19982.884765625,20622.337078125,18117.81500044571,19476.65116450821,1950
2018-05-14,17851.375,19450.005550413054,17318.497109087217,18597.40154941766,1350
2018-05-21,19716.443359375,19716.443359375,17718.155128317983,17851.375384496907,6210
2018-05-28,19183.5625,19716.438715723674,18384.247395833332,19716.438715723674,1950
2018-06-04,18144.455078125,18863.838759636565,17318.495516002,18650.688559576196,1020
2018-06-11,18410.89453125,18863.839304906858,18144.455602601087,18144.455602601087,2340
2018-06-18,17576.59375,18739.35359192769,16494.958235323076,17603.635192416925,12810
2018-06-25,18550.068359375,18550.068359375,17576.595356531496,17576.595356531496,1620
2018-07-02,18658.23828125,19739.87581120466,18414.86995584239,18550.07405292577,3420
2018-07-09,18928.646484375,18928.646484375,18658.236728285807,18658.236728285807,120990
2018-07-16,19199.052734375,19604.666535695804,17792.92594608216,18928.644589780408,16800
2018-07-23,19199.052734375,20280.69006604011,19199.052734375,20280.69006604011,5340
2018-07-30,18117.41796875,19199.053774589793,18117.41796875,19199.053774589793,180
2018-08-06,17901.08984375,19172.014234596398,17901.08984375,18117.4182761314,6750
2018-08-13,18658.23828125,18658.23828125,18117.420308487268,18387.828502654032,12210
2018-08-20,18928.646484375,18928.646484375,17847.00904444729,17847.00904444729,18030
2018-08-27,18901.6015625,19090.88851544622,17603.63750670601,19009.765761959094,63360
2018-09-03,18928.646484375,18928.646484375,18901.60503343736,18901.60503343736,630
2018-09-10,18928.646484375,18928.646484375,18928.646484375,18928.646484375,3000
2018-09-17,17576.59375,18577.108106283296,17576.59375,18225.575692577582,3960
2018-09-24,17576.59375,18793.434892332967,17576.59375,18793.434892332967,9330
2018-10-01,17847.005859375,18387.82369060707,16765.36861248207,17847.005859375,10830
2018-10-08,17306.185546875,17847.003300567525,17035.775877814456,17847.003300567525,3990
2018-10-15,16900.57421875,17549.55624846931,16494.96045017543,17306.187987324567,3270
2018-10-22,17576.59375,18847.517777166813,16927.611807422418,18036.290348944836,16950
2018-10-29,17441.390625,18387.822146275717,16846.489951508276,18387.822146275717,2010
2018-11-05,16927.611328125,17576.593252326962,16927.611328125,17441.38921292773,720
2018-11-12,17306.185546875,17576.59363150698,16305.671197336695,16305.671197336695,5490
2018-11-19,18658.23828125,18658.23828125,16359.759124257294,16494.96480576988,8460
2018-11-26,18523.02734375,18658.23139090353,17360.267468058068,18658.23139090353,90
2018-12-03,17630.673828125,19685.781929506094,17441.386930197143,19685.781929506094,690
2018-12-10,18847.521484375,18901.602795417784,17333.228930888225,18550.07031256748,450
2018-12-17,17102.482421875,19233.462726231166,17102.482421875,19233.462726231166,450
2018-12-24,18850.98828125,18850.98828125,16501.445347910674,18277.262550951087,48090
2018-12-31,17785.494140625,19124.18778158285,17621.57253564228,18850.984573012673,1050
2019-01-07,18987.5859375,19206.1491511279,16965.886616622265,17785.49466573445,10320
2019-01-14,19506.673828125,19506.673828125,17840.136734980253,19315.431394250212,12810
2019-01-21,18796.345703125,20053.07701644762,18796.345703125,19506.67216721157,1230
2019-01-28,20053.076171875,20053.076171875,19971.115367901675,19971.115367901675,16350
2019-02-04,20053.076171875,20053.076171875,20053.076171875,20053.076171875,0
2019-02-11,22949.025390625,23085.62619863687,20326.279631696427,21036.606074473926,9600
2019-02-18,22211.376953125,22949.02415821033,22184.056152671023,22949.02415821033,1260
2019-02-25,21036.603515625,22675.81941556453,19807.191590670354,20736.081134235013,7470
2019-03-04,20517.5234375,22347.98047224784,19943.797763755763,22129.418844420492,2400
2019-03-11,20763.40234375,21583.010309940175,20763.40234375,21446.40791504394,9720
2019-03-18,21856.212890625,22156.736892406003,20763.403286611723,20763.403286611723,22500
2019-03-25,25407.849609375,25407.849609375,21036.606132227622,21036.606132227622,37650
2019-04-01,23222.2265625,25271.246506226566,21036.604221993777,25271.246506226566,56970
2019-04-08,23222.2265625,24041.834539990625,22129.41539224689,23222.2265625,6570
2019-04-15,23085.625,23222.227401716264,21883.5337898376,23222.227401716264,11400
2019-04-22,22675.8203125,23222.22670129064,22129.415524506203,22949.02350689532,22020
2019-04-29,22293.337890625,22675.821095345582,22293.337890625,22675.821095345582,7050
2019-05-06,22402.62109375,22402.62109375,22156.738672967855,22402.62109375,8040
2019-05-13,22402.62109375,23058.307549169054,21856.214647036115,22402.62109375,3000
2019-05-20,22402.62109375,23550.07239073334,21856.214647036115,23194.90836044902,31590
2019-05-27,22402.62109375,22949.025939666873,21856.214647036115,22675.822716309933,6210
2019-06-03,22949.025390625,24041.836657110893,22129.41734095982,22129.41734095982,540
2019-06-10,22976.33984375,23222.222190707624,22648.49671447317,22648.49671447317,13080
2019-06-17,27320.265625,27757.392026471003,22949.02402144625,23222.22722196719,28650
2019-06-24,28139.87109375,28495.036663186733,26063.53207916915,28003.271906975995,15690
2019-07-01,27593.46875,28276.47430861408,26282.094427644304,28221.83271135127,19320
2019-07-08,28522.357421875,29505.88698814655,27402.22545975674,27402.22545975674,17100
2019-07-15,34874.31640625,35489.022335854876,28686.27671489424,29096.08066796416,52470
2019-07-22,32815.58984375,35390.99056566456,32815.58984375,35390.99056566456,7460
2019-07-29,29492.48828125,32815.58555237676,28869.40754291373,32815.58555237676,2500
2019-08-05,31112.494140625,31154.032851093125,29077.09732768692,30697.10703594376,33800
2019-08-12,31361.724609375,34020.201927255795,28287.86021057533,32815.57939259106,104660
2019-08-19,32815.58984375,33147.89961431962,29907.879351265823,30655.57633504747,159040
2019-08-26,30738.646484375,32815.58205764358,30323.259369721283,32815.58205764358,1780
2019-09-02,32358.658203125,32358.658203125,29783.25793535382,30738.648357268936,140
2019-09-09,27249.396484375,30738.648473227895,27207.857770221988,30198.645189238756,12380
2019-09-16,29077.103515625,30115.571498325895,27290.938585379467,27457.093462611607,6600
2019-09-23,33230.97265625,33230.97265625,29077.10107421875,29077.10107421875,6720
2019-09-30,31154.03515625,33812.512822916666,29450.947901041665,33812.512822916666,3660
2019-10-07,29492.48828125,30489.417462588026,29077.101122359152,29118.639838248237,620
2019-10-14,29658.642578125,30323.26201965161,28246.32626488095,29492.48771774335,3660
2019-10-21,28661.71484375,29700.182772871376,28661.71484375,28661.71484375,1720
2019-10-28,30738.646484375,30738.646484375,28578.633488175674,29035.559314294762,3600
2019-11-04,27747.861328125,32400.197359187878,27415.55161162051,30738.64877666542,26140
2019-11-11,27083.2421875,27664.784197661043,25795.542022143407,27664.784197661043,16860
2019-11-18,26667.85546875,28661.713821553738,26667.85546875,27083.242625584113,7280
2019-11-25,28329.404296875,28620.175308719758,25338.616746471776,28204.788148941534,1960
2019-12-02,28537.099609375,29700.183727369906,27000.16702488173,29700.183727369906,600
2019-12-09,28620.173828125,29700.180387676886,27000.16398879717,28537.096400467162,780
2019-12-16,27623.24609375,28454.02041235902,26584.77819548872,28454.02041235902,980
2019-12-23,28952.482421875,29284.792119687052,27249.395220588238,29284.792119687052,3480
2019-12-30,28246.330078125,28661.71728515625,25338.61962890625,27000.16845703125,4680
2020-01-06,28537.099609375,29077.102949872635,26750.934713882823,28246.328579876274,14120
2020-01-13,28744.791015625,30364.800913904444,27000.164971324062,29284.79431505148,59980
2020-01-20,29035.5625,29035.5625,27249.397711015736,29035.5625,1780
2020-01-27,27041.703125,29907.874423963134,25754.002976190477,29035.561419930877,44960
2020-02-03,26501.701171875,28246.327267829154,25754.004273608934,26626.31732158601,9360
2020-02-10,25920.158203125,26917.087364783652,25754.00334284856,26543.23892916166,6920
