Price,Close,High,Low,Open,Volume
Ticker,PGD.VN,PGD.VN,PGD.VN,PGD.VN,PGD.VN
Date,,,,,
2017-01-02,19854.6875,19854.6875,18861.952165227518,19457.593366091005,593076
2017-01-09,19556.869140625,19854.68869253079,18861.953298131713,19829.871107481264,564564
2017-01-16,19606.50390625,20301.41760157964,19010.864814726207,19308.684360488103,574552
2017-01-23,19805.048828125,19854.686124632102,19110.13520833598,19805.048828125004,32516
2017-01-30,19755.412109375,20102.871062258717,19407.95528931894,19805.04940733377,515724
2017-02-06,19532.048828125,19953.96055808972,18861.952723909133,19904.32538950173,449823
2017-02-13,19532.048828125,19606.503713834787,19358.321472411437,19507.231243831007,1212057
2017-02-20,19358.3203125,19805.049599991595,18464.859604689133,18464.859604689133,338448
2017-02-27,19159.7734375,19805.049792192596,18663.40471392202,18762.679311768694,194546
2017-03-06,18861.953125,19606.504130758196,18613.77087829917,19085.31991970695,156651
2017-03-13,19358.3203125,19730.594718742996,18861.951593739108,19730.594718742996,120109
2017-03-20,19556.869140625,19606.504310724056,18167.03958846629,19581.686725674528,469469
2017-03-27,19358.3203125,19606.502539052773,18861.951593739108,19482.41035936255,309793
2017-04-03,19209.41015625,19532.049426088368,18861.953301357862,19432.776953045413,182182
2017-04-10,20202.14453125,20351.054299713134,17918.85643821716,17918.85643821716,163900
2017-04-17,21790.515625,22733.61352514882,19854.684664672637,20450.32578047622,181137
2017-04-24,22733.615234375,22832.88982755327,21145.240938970994,22088.338910026607,858506
2017-05-01,23776.337890625,23802.21127317492,22974.307499021976,23698.72218971969,538285
2017-05-08,23284.7734375,24060.932774420588,22249.895803854233,23543.493957597704,310915
2017-05-15,25354.525390625,25975.453169222637,21732.450017196854,21758.323397579275,850146
2017-05-22,25147.55078125,25871.967672566563,24992.319384315077,25354.52671828728,118558
2017-05-29,25871.970703125,25871.970703124996,23853.955636470822,25095.811404161454,38269
2017-06-05,26078.94921875,27165.571454380897,24992.32475974647,24992.32475974647,414667
2017-06-12,27165.568359375,27165.568359375,25871.97028957093,26078.946247544267,401423
2017-06-19,26803.361328125,27113.82415732962,26182.433446343355,26906.84819673574,518793
2017-06-26,26285.919921875,26751.616382090317,26182.4330548118,26182.4330548118,293491
2017-07-03,27424.287109375,27941.72812486366,26027.202148323886,27165.56882500308,261899
2017-07-10,27527.77734375,28459.16809754488,25639.122450289065,26906.849433429248,129800
2017-07-17,27424.287109375,28459.16691697991,26958.5928634821,26958.5928634821,69564
2017-07-24,24578.369140625,27941.72667305708,23233.02879569893,27941.72667305708,30008
2017-07-31,25044.06640625,26234.177606309717,24216.16257605674,24526.6276240654,29414
2017-08-07,24655.990234375,24862.96398835281,23284.774106507073,24630.116847598336,17215
2017-08-14,23284.7734375,24655.9895259708,23284.7734375,24655.9895259708,1804
2017-08-21,23776.337890625,24811.21760831618,22767.33155548374,24526.625963872633,19008
2017-08-28,23465.876953125,24190.291701431717,22120.534324824355,24190.291701431717,6336
2017-09-04,21680.708984375,23465.874507885168,20335.36649626453,23465.874507885168,35079
2017-09-11,21111.52734375,22249.89398154967,20619.959729848113,21215.014209289817,24431
2017-09-18,21008.037109375,21111.526192644415,20438.85382150987,21111.526192644415,8272
2017-09-25,21396.1171875,22172.276394986013,20438.85320147265,20982.165313724505,16687
2017-10-02,20438.85546875,21396.119560966425,19973.161226622327,21396.119560966425,9449
2017-10-09,20697.57421875,21215.012962791392,20180.135474708604,20438.853735043198,2332
2017-10-16,20490.599609375,20826.935815398112,19921.416286892363,20024.90315308359,3795
2017-10-23,19610.953125,20361.239006154537,19145.25667678121,20180.136437616122,13574
2017-10-30,18627.818359375,19662.695921911185,18627.818359375,19662.695921911185,6710
2017-11-06,19662.697265625,20956.297642256137,18110.379704051917,18627.819632367118,26125
2017-11-13,18731.3046875,19869.671307569708,18731.3046875,19662.69535634137,6820
2017-11-20,19662.697265625,19662.697265625,18369.099112366388,18731.3065063439,12441
2017-11-27,19869.671875,19895.545259250113,18964.154563810454,19145.257136699416,8481
2017-12-04,20956.294921875,20956.294921875,19197.000505667318,19662.694713168854,6182
2017-12-11,19248.74609375,21292.6300433742,19015.896753972174,21292.6300433742,13783
2017-12-18,19533.337890625,19533.337890625,18938.28118006952,18990.02572519877,25883
2017-12-25,19403.9765625,19533.336806457006,19145.256074585992,19171.127234028496,6710
2018-01-01,20024.904296875,20697.576747343224,19403.978617516612,19403.978617516612,62931
2018-01-08,21215.013671875,21835.941519501685,19403.97689551253,19429.848055399034,21230
2018-01-15,20697.57421875,22456.868616537384,20619.9585183124,22456.868616537384,677369
2018-01-22,21628.96484375,21732.45170319206,20697.574215282642,20697.574215282642,29887
2018-01-29,20904.548828125,21473.73207728993,20231.87650272714,21473.73207728993,3531
2018-02-05,20412.984375,20982.167710618825,18420.842700334102,20826.93629606322,19151
2018-02-12,20697.57421875,21215.012962791392,19740.310207732604,20180.135474708604,4906
2018-02-19,20464.7265625,21111.525530855695,19662.69397410633,20697.573657498735,2343
2018-02-26,20128.392578125,20671.704748958247,20024.903486836578,20671.704748958247,418792
2018-03-05,20594.0859375,20697.5750243597,19403.977002219523,20542.343617442446,6787
2018-03-12,20180.13671875,20594.086405478472,19326.36173793169,19766.184808649177,6809
2018-03-19,20180.13671875,20180.13671875,19197.00148810364,19662.6957194378,19844
2018-03-26,19274.619140625,20594.088486082383,18524.332061531008,20154.265370929923,8734
2018-04-02,20180.13671875,20697.57549468985,18576.073622952412,19274.617193326,63426
2018-04-09,19921.416015625,20128.391968561446,18679.562521378655,19352.23270089286,10527
2018-04-16,20180.13671875,20180.13671875,19145.25694349795,19662.6957194378,5709
2018-04-23,20128.392578125,20283.623991685246,19171.128488882838,19171.128488882838,64812
2018-04-30,21473.732421875,21861.810905545753,19145.254849734167,20128.38997286288,214423
