Price,Close,High,Low,Open,Volume
Ticker,PHR.VN,PHR.VN,PHR.VN,PHR.VN,PHR.VN
Date,,,,,
2023-07-17,45619.05078125,47044.64611816406,44728.05369567871,45797.25019836426,2889400
2023-07-24,46777.34375,47579.24107142857,45529.94791666667,45708.14732142857,2386700
2023-07-31,46777.34375,47846.54017857143,46064.54613095238,46866.443452380954,2580800
2023-08-07,45173.546875,47757.43811637081,44104.350499260356,47222.83992850099,2841200
2023-08-14,42055.05859375,45886.34571140096,42055.05859375,45351.74750893803,2760000
2023-08-21,42856.95703125,43436.10509923987,41342.26208419958,41609.5611925026,1833600
2023-08-28,45351.75,45708.14882121807,42901.508104125736,42990.60780943026,1528400
2023-09-04,44549.8515625,46510.045031249996,44327.1023046875,45351.748890625,1800100
2023-09-11,46025.25390625,46766.10306369467,44682.46480838154,46303.07234029175,2156300
2023-09-18,47229.13671875,49636.89662990196,45377.013710171566,46117.86291360294,3702100
2023-09-25,43895.31640625,47969.98712750527,42691.43642042458,46858.71329443565,2514700
2023-10-02,44960.2890625,45238.10753250515,42598.83206745623,43895.3182608136,1419400
2023-10-09,47043.92578125,47043.92578125,44682.468876876235,44913.98425965798,1864900
2023-10-16,44080.52734375,48433.0163881959,42135.79819623162,47692.16718914128,2709300
2023-10-23,41533.859375,44913.98393952062,40376.28246934225,44080.52856744704,1843200
2023-10-30,41487.5546875,42135.79772949219,38709.3702218192,41533.85776192801,1549200
2023-11-06,42784.04296875,43849.01373528815,41070.82912692776,41580.162971793834,1469900
2023-11-13,43061.859375,45191.80080645161,42598.82862903226,43061.859375,1251600
2023-11-20,43015.5546875,44126.82843615447,41996.88708456674,41996.88708456674,1587200
2023-11-27,43849.01171875,44450.95168954594,42367.31332909847,43015.55637457102,1021200
2023-12-04,44497.25390625,45238.1030867911,43941.61702084417,44358.34468489854,1728700
2023-12-11,43802.70703125,45006.5869285148,43802.70703125,44589.859271769295,1163600
2023-12-18,43987.921875,44543.55878289474,43339.67881578948,43802.709572368425,730100
2023-12-25,46025.25390625,46766.10306369467,44034.22179561746,44080.52486795775,2028700
2024-01-01,46071.55859375,46580.892407349245,45284.40633636934,46025.25551978643,1176500
2024-01-08,44543.55859375,46256.772385817305,44404.64936736617,46256.772385817305,1528400
2024-01-15,45330.7109375,45840.04476825843,44034.22482284218,44867.68018226507,895800
2024-01-22,45099.1953125,45330.71068884754,44497.25533399641,45330.71068884754,589200
2024-01-29,50007.3203125,50007.3203125,45006.58828125,45099.19442997685,3081100
2024-02-05,49636.8984375,50470.35382171175,48988.65536089086,49636.8984375,1154400
2024-02-12,51211.203125,52322.47697219711,49359.08004633816,49822.11081600362,1355100
2024-02-19,51025.98828125,53711.56661184211,50933.38213191924,51766.8374758961,2734300
2024-02-26,52229.8671875,53248.53480995124,51025.98727005763,51025.98727005763,2907600
2024-03-04,52044.66015625,53063.327881728204,50748.17396018683,52507.69094055828,3201900
2024-03-11,56767.5703125,58156.66257137031,52044.65663234095,52044.65663234095,6642000
2024-03-18,59267.9375,59730.96826171875,53711.568359375,57508.42060546875,5944600
2024-03-25,59175.33203125,61027.45509952073,57601.02742321987,58804.90741759585,2931200
2024-04-01,56026.72265625,59823.574935433884,56026.72265625,58804.90725077479,3613200
