Price,Close,High,Low,Open,Volume
Ticker,PJT.VN,PJT.VN,PJT.VN,PJT.VN,PJT.VN
Date,,,,,
2017-01-02,4728.22314453125,5065.953309863824,4428.018691437052,4840.799866308775,5740
2017-01-09,4465.5439453125,4765.748810424951,4446.781296844572,4765.748810424951,17661
2017-01-16,4521.83349609375,4521.83349609375,4240.391620293071,4240.391620293071,3984
2017-01-23,4334.20556640625,4521.833338766016,4221.628820002851,4521.833338766016,9204
2017-01-30,4465.5439453125,4503.069657185956,4315.441927693876,4334.204576161804,4982
2017-02-06,4503.0703125,4803.275221300086,4390.493575434383,4503.0703125,67890
2017-02-13,4780.08154296875,5035.8059470143635,4202.8655348359425,4503.070008426836,34005
2017-02-20,4642.38427734375,4839.095447404913,4406.330790282816,4721.068911343291,23963
2017-02-27,4209.619140625,4780.081634785369,3934.2233679397928,4327.6460781776495,11770
2017-03-06,4445.6728515625,4465.343801462045,4052.2505340702664,4327.646322289896,41114
2017-03-13,4406.33056640625,4563.699826409725,4130.935191275506,4485.015196407988,60694
2017-03-20,4189.9482421875,4485.014967208608,4091.592667180464,4445.672654218264,56590
2017-03-27,4465.34326171875,4485.014624178208,4189.9479217248845,4327.645799190625,32872
2017-04-03,4681.72607421875,4701.397023064411,4327.646090433346,4445.6726133826,25843
2017-04-10,4563.7001953125,4721.069053099082,4366.9886044071445,4721.069053099082,6100
2017-04-17,4681.72607421875,4721.068386847715,4327.646090433346,4721.068386847715,21079
2017-04-24,4721.0693359375,4996.464749828484,4445.673507108791,4839.09588261396,50120
2017-05-01,4721.0693359375,4917.780523690086,4662.05606259927,4721.0693359375,52088
2017-05-08,4760.4111328125,4917.77998271586,4603.041867971459,4799.753034085079,34365
2017-05-15,4642.38427734375,4799.753130405143,4622.713326312709,4760.411228343061,60381
2017-05-22,4878.4375,4878.4375,4642.384025732844,4642.384025732844,53609
2017-05-29,4976.79296875,5193.175488228343,4878.437391242841,5114.490860247553,19773
2017-06-05,5094.8203125,5153.833580670565,4878.4377759576755,4976.79336122118,26176
2017-06-12,5094.8203125,5311.202434104634,4799.7531417717955,5114.491263577625,41361
2017-06-19,4957.1220703125,5094.819963229189,4721.068598874985,5094.819963229189,20669
2017-06-26,5241.583984375,5409.314555118718,5010.954062626075,5409.314555118718,44797
2017-07-03,5325.44921875,5409.314727930438,4843.223646609128,5157.718642647783,44461
2017-07-10,5367.38134765625,5367.38134765625,5241.583540808697,5367.38134765625,21349
2017-07-17,5870.57470703125,6080.238057835316,5325.449729585458,5409.3152468105645,73157
2017-07-24,5744.77587890625,5828.640939353785,5241.583747186548,5828.640939353785,23942
2017-07-31,5807.6748046875,5870.5737108031235,5325.4488258642605,5744.7758985718765,60996
2017-08-07,5744.77587890625,5828.640939353785,5388.348155793013,5451.24706169332,4350
2017-08-14,5618.9775390625,5744.775791201185,5451.246978469537,5723.809194715429,46470
2017-08-21,5535.11328125,5723.810023388968,5325.449497331124,5702.84386612642,219833
2017-08-28,5577.0458984375,6038.305363573897,5535.113581636768,5723.810334016177,25237
2017-09-04,5765.74267578125,5870.574344713321,5535.113181034163,5577.045494800053,2709
2017-09-11,5702.84375,5996.372599250649,5451.247656679255,5765.742662765519,45790
2017-09-18,5996.3720703125,5996.3720703125,5660.9104947229125,5870.573813619418,31470
2017-09-25,5870.57470703125,6080.238057835316,5535.113522648224,5954.440224256356,6683
2017-10-02,5912.50634765625,6080.236908131826,5409.314223970906,6080.236908131826,16425
2017-10-09,5786.70849609375,6457.631226688079,5660.9106775954715,5870.574003265034,6996
2017-10-16,5954.439453125,6185.068932238258,5744.776129473442,5786.708440396839,1661
2017-10-23,6436.66552734375,7128.554904910835,6247.96834396024,6289.901100518651,3833
2017-10-30,5996.3720703125,6436.664863091709,5577.044990260857,6436.664863091709,14490
2017-11-06,5996.3720703125,6038.304380284895,5577.044990260857,6038.304380284895,8616
2017-11-13,6122.1708984375,6289.901492875303,5577.04591369126,6289.901492875303,45313
2017-11-20,5954.439453125,6289.900594064036,5660.910623109362,6289.900594064036,884
2017-11-27,6038.30517578125,6080.237933536569,5618.978482745444,6080.237933536569,9620
2017-12-04,5996.3720703125,6080.237132515923,5660.9104947229125,6080.237132515923,17526
2017-12-11,6080.2373046875,6247.967876102535,5660.910655020589,5996.372240109305,16036
2017-12-18,5870.57470703125,6373.766925864488,5870.57470703125,6038.305299222762,16856
2017-12-25,6038.30517578125,6185.0696067955205,5786.7090715080285,5912.507344773984,16652
2018-01-01,6247.96875,6247.96875,5870.5748009657755,6038.30539584113,6035
2018-01-08,5912.50634765625,6247.967468607401,5451.246974654454,6206.03516018247,19395
2018-01-15,6122.1708984375,6206.036416785754,5786.709267303189,6206.036416785754,350599
2018-01-22,6080.2373046875,6122.170058105919,6080.2373046875,6122.170058105919,140
2018-01-29,5577.0458984375,6080.238122633335,5472.21422191826,6080.238122633335,22451
2018-02-05,5786.70849609375,5954.4395104363175,5241.584026256347,5577.045170424188,17872
2018-02-12,5786.70849609375,5870.574003265034,5430.281196262412,5870.574003265034,11479
2018-02-19,5409.31396484375,5828.640567074624,5409.31396484375,5786.707818399818,4890
2018-02-26,5157.71923828125,5409.315352619203,5031.921402241628,5409.315352619203,273562
2018-03-05,5136.75244140625,5367.38192624066,4822.257448127335,5325.449172018407,19934
2018-03-12,5493.18017578125,5514.14633171295,4864.190190726416,5136.75242913178,6878
2018-03-19,5283.5166015625,5786.708300835274,4969.021623670029,5535.112672328202,6068
2018-03-26,5660.91064453125,5660.91064453125,5094.819580078125,5430.28116454525,10799
2018-04-02,5514.14599609375,5912.506472619011,5367.381586728726,5660.910405458773,948
2018-04-09,5786.70849609375,5786.70849609375,5157.718519085064,5786.70849609375,14296
2018-04-16,5786.70849609375,5828.641249679392,5451.247351925909,5786.70849609375,4955
2018-04-23,5660.91064453125,6080.2372934211735,5639.9444889902115,5786.70846229477,11824
2018-04-30,5744.77587890625,5870.573690706864,5451.24706169332,5660.910376200092,3822
2018-05-07,5702.84375,5870.57433146094,5451.247656679255,5828.641575531037,4285
2018-05-14,5870.57470703125,5912.507465643803,5681.87751440411,5786.7091898061435,7018
2018-05-21,5199.6513671875,5870.574109977543,4989.9880377067775,5828.641355629668,7277
2018-05-28,5686.47998046875,6112.965804078011,5307.381081869641,5876.02917987417,9643
2018-06-04,5591.705078125,6112.965746414022,5354.7684561561955,5852.335662163643,3086
2018-06-11,5828.6416015625,5828.6416015625,5639.092407149378,5828.6416015625,9329
2018-06-18,5781.25390625,5828.641327572781,5307.380692598649,5828.641327572781,2038
2018-06-25,5828.6416015625,5828.6416015625,5354.768365635567,5828.6416015625,2871
2018-07-02,5449.54345703125,5686.4800856162365,5165.2194027716105,5686.4800856162365,23693
2018-07-09,5212.60595703125,5307.380292748421,5046.750244790956,5212.60595703125,7698
2018-07-16,5212.60595703125,5212.60595703125,5023.056286020516,5212.60595703125,20831
2018-07-23,5070.44384765625,5212.606104948412,5070.44384765625,5188.912145505614,7376
2018-07-30,5662.78515625,5662.785156250001,5117.831103485589,5212.605938656875,18757
2018-08-06,5733.8671875,5970.8038027052,5544.317495505238,5733.867187499999,3583
2018-08-13,5686.47998046875,5828.641755075747,5686.47998046875,5828.641755075747,3530
2018-08-20,5591.705078125,5710.173389109402,5473.236767140598,5710.173389109402,2191
2018-08-27,5757.56005859375,6184.045822263886,5307.380335960261,5307.380335960261,1554
2018-09-03,5781.25390625,6231.433659134075,5591.704720747106,5757.560445482725,1684
