Price,Close,High,Low,Open,Volume
Ticker,PLX.VN,PLX.VN,PLX.VN,PLX.VN,PLX.VN
Date,,,,,
2017-04-17,32987.71484375,34944.04149092536,31031.388196574644,34944.04149092536,4820970
2017-04-24,30963.92578125,33392.46897977941,29075.05884906046,32987.71178002451,6860160
2017-05-01,31773.447265625,32043.285458963644,30963.932685609077,30963.932685609077,4743540
2017-05-08,32785.3359375,33527.390866126545,31436.145158179013,31705.98331404321,9609310
2017-05-15,38249.55859375,38249.55859375,32380.578703703704,32549.227551118827,15145920
2017-05-22,39193.99609375,43511.407023182015,38789.23881911575,40340.80837188038,9612940
2017-05-29,40273.34765625,41892.37670775754,39126.53541143216,39126.53541143216,4516570
2017-06-05,42229.66796875,42769.34423672125,39936.04382987221,40273.34149735424,3277120
2017-06-12,42094.75,43511.40024038461,41757.452323717946,42229.66907051282,3017360
2017-06-19,48166.10546875,48570.86265756302,42027.28810508578,42027.28810508578,6231530
2017-06-26,46547.08203125,49447.84221580616,45400.26986526268,48570.868206521736,5725510
2017-07-03,46884.37890625,48031.19105215827,45332.8095323741,46547.08121627697,5755880
2017-07-10,47221.67578125,47896.27114955358,45872.48504464286,46209.78272879465,3490660
2017-07-17,44186.0,47491.517557251915,44051.080916030536,47221.67938931298,3606870
2017-07-24,45422.17578125,46341.939465294,43158.14209744938,45634.42893910631,4329340
2017-07-31,44997.66796875,45280.67216981132,43936.402214770045,45280.67216981132,1906570
2017-08-07,45634.42578125,48818.222928779076,44926.91530402132,44997.66635174419,4165200
2017-08-14,46766.4453125,47190.95162395991,45422.17532621029,45634.428481940246,1603180
2017-08-21,47756.953125,48393.7125,46837.18958333333,47403.19791666667,99075050
2017-08-28,47261.703125,48605.97312406437,46837.196809505986,47756.960493076345,2483300
2017-09-04,47332.453125,48039.96363508969,47049.448920964125,47261.70207399104,2657670
2017-09-11,48322.96484375,48959.72426336018,47332.45019102306,47827.70751738653,8174040
2017-09-18,45705.171875,48110.70723684211,43794.89379353715,48110.70723684211,4477100
2017-09-25,44643.91015625,46200.43317279121,44431.65701763075,45705.17584934628,2313750
2017-10-02,43653.39453125,44643.90915594611,42096.871549584685,44219.40288821921,1507750
2017-10-09,43087.38671875,43865.64821941708,42733.631491174056,43511.89299184114,1252430
