Price,Close,High,Low,Open,Volume
Ticker,PMG.VN,PMG.VN,PMG.VN,PMG.VN,PMG.VN
Date,,,,,
2018-01-22,12783.5341796875,12783.5341796875,11964.5341796875,11964.5341796875,56151
2018-01-29,15810.2763671875,16664.88671875,13673.7529296875,13673.7529296875,608738
2018-02-05,14279.1015625,16023.9287109375,14243.4921875,15667.841796875,461191
2018-02-12,14813.232421875,14813.232421875,14279.1015625,14670.796875,73871
2018-02-19,15098.1025390625,15169.3193359375,14813.232421875,14813.232421875,210621
2018-02-26,15062.4931640625,15098.1025390625,14920.05859375,15062.4931640625,389959
2018-03-05,15810.2763671875,15810.2763671875,15062.4931640625,15062.4931640625,1326063
2018-03-12,16593.66796875,16664.88671875,15774.66796875,15810.2763671875,1194776
2018-03-19,16878.5390625,16914.146484375,16522.451171875,16558.060546875,1227421
2018-03-26,17804.365234375,17804.365234375,16842.9296875,16842.9296875,1169584
2018-04-02,20012.107421875,20154.541015625,17839.974609375,17839.974609375,2075514
2018-04-09,18445.322265625,20154.541015625,17412.669921875,20083.32421875,2026860
2018-04-16,17875.583984375,18837.01953125,17483.88671875,18409.71484375,982522
2018-04-23,16522.451171875,17911.19140625,15952.7119140625,17911.19140625,645429
2018-04-30,17163.408203125,17163.408203125,16486.841796875,16522.451171875,369795
2018-05-07,18124.84375,18160.453125,17163.408203125,17163.408203125,756539
2018-05-14,18196.0625,18516.541015625,17911.19140625,18089.236328125,788976
2018-05-21,18089.236328125,18445.322265625,17733.1484375,18231.669921875,1002322
2018-05-28,17733.1484375,18089.236328125,17270.234375,17911.19140625,1127418
2018-06-04,18053.626953125,18089.236328125,17661.931640625,17768.7578125,1401705
2018-06-11,19371.150390625,19477.9765625,17875.583984375,18053.626953125,1712863
2018-06-18,17804.365234375,19406.7578125,17305.84375,19371.150390625,1541923
2018-06-25,16807.3203125,17982.41015625,16807.3203125,17839.974609375,1260966
2018-07-02,14279.1015625,16807.3203125,14279.1015625,16807.3203125,940202
2018-07-09,14065.44921875,14528.3623046875,13816.1875,14279.1015625,944512
2018-07-16,14421.5361328125,14492.75390625,13887.4052734375,14065.44921875,1580410
2018-07-23,14670.796875,15667.841796875,14385.927734375,14421.5361328125,1702614
2018-07-30,16011.4658203125,16052.416015625,13887.4052734375,14635.1884765625,1890208
2018-08-06,16011.4658203125,16380.0166015625,15806.7158203125,16093.3662109375,2220204
2018-08-13,16175.2666015625,16216.2158203125,15929.56640625,15970.515625,1300265
2018-08-20,16830.466796875,16830.466796875,16093.3662109375,16134.31640625,1029008
2018-08-27,17280.91796875,17321.8671875,16748.56640625,16789.517578125,943561
2018-09-03,16994.267578125,17280.91796875,16830.466796875,17280.91796875,837310
2018-09-10,16953.31640625,17280.91796875,16748.56640625,16953.31640625,1224477
2018-09-17,17199.017578125,17362.81640625,16912.3671875,16912.3671875,1234843
2018-09-24,17321.8671875,17485.66796875,17158.06640625,17158.06640625,977665
