Price,Close,High,Low,Open,Volume
Ticker,PMS,PMS,PMS,PMS,PMS
Date,,,,,
2017-01-01,23900.0,24000.0,23000.0,24000.0,11440
2017-01-08,23900.0,25300.0,23800.0,23900.0,28672
2017-01-15,23800.0,24000.0,23500.0,23800.0,9170
2017-01-22,25500.0,25900.0,23500.0,23500.0,14337
2017-01-29,26000.0,27000.0,25400.0,25500.0,11500
2017-02-05,29600.0,29900.0,25600.0,26000.0,89605
2017-02-12,28500.0,29500.0,27800.0,29500.0,57979
2017-02-19,28900.0,29500.0,28500.0,28800.0,318859
2017-02-26,28500.0,29000.0,27800.0,28900.0,74002
2017-03-05,28900.0,29200.0,28000.0,28500.0,87115
2017-03-12,28700.0,30000.0,28100.0,28500.0,95116
2017-03-19,29200.0,30000.0,28500.0,28500.0,57640
2017-03-26,32400.0,32400.0,29000.0,29200.0,195869
2017-04-02,30800.0,33000.0,29000.0,33000.0,77160
2017-04-09,30700.0,31700.0,30000.0,30000.0,63447
2017-04-16,31500.0,32800.0,29000.0,30200.0,43620
2017-04-23,31400.0,31500.0,30000.0,30200.0,44320
2017-04-30,31800.0,32400.0,31000.0,31400.0,36830
2017-05-07,31500.0,31700.0,30000.0,31500.0,43840
2017-05-14,31500.0,32200.0,30000.0,30100.0,110961
2017-05-21,31200.0,31500.0,30500.0,31500.0,33793
2017-05-28,27500.0,30200.0,27200.0,30200.0,16514
2017-06-04,27500.0,27900.0,26000.0,27500.0,9623
2017-06-11,25800.0,27000.0,25800.0,26500.0,29560
2017-06-18,26000.0,26600.0,24600.0,25100.0,57360
2017-06-25,26300.0,26500.0,25500.0,26000.0,31163
2017-07-02,25800.0,26200.0,25000.0,26100.0,28485
2017-07-09,25400.0,25900.0,25000.0,25500.0,16160
2017-07-16,25100.0,25400.0,24400.0,25000.0,17300
2017-07-23,24900.0,25200.0,24000.0,25100.0,1700
2017-07-30,20500.0,25300.0,20000.0,25300.0,186991
2017-08-06,20200.0,20900.0,19300.0,20100.0,90470
2017-08-13,20500.0,21000.0,18300.0,21000.0,36101
2017-08-20,19100.0,21000.0,19100.0,20000.0,41049
2017-08-27,19000.0,19500.0,18000.0,19100.0,29950
2017-09-03,19000.0,19500.0,18400.0,19000.0,15230
2017-09-10,18900.0,19200.0,16800.0,18700.0,21500
2017-09-17,18900.0,19100.0,18500.0,19000.0,10212
2017-09-24,19000.0,19300.0,18400.0,18900.0,15240
2017-10-01,18000.0,19000.0,16500.0,19000.0,10842
2017-10-08,18000.0,18700.0,16900.0,18000.0,20240
2017-10-15,17300.0,18000.0,16900.0,17700.0,19010
2017-10-22,18400.0,20700.0,17100.0,17400.0,47546
2017-10-29,17100.0,18700.0,16600.0,18000.0,57856
2017-11-05,17500.0,17900.0,17000.0,17100.0,25294
2017-11-12,17500.0,17900.0,16800.0,17400.0,15300
2017-11-19,16900.0,18300.0,16200.0,17000.0,48660
2017-11-26,16900.0,17600.0,16000.0,16900.0,77047
2017-12-03,15700.0,17200.0,15200.0,16900.0,80994
2017-12-10,15800.0,16800.0,15300.0,16000.0,13600
2017-12-17,16100.0,16100.0,15200.0,15800.0,37640
2017-12-24,15200.0,15300.0,14700.0,15300.0,58161
2017-12-31,15300.0,15500.0,15000.0,15200.0,67220
2018-01-07,16100.0,16900.0,15300.0,15300.0,74210
2018-01-14,16800.0,17500.0,16000.0,16200.0,48069
2018-01-21,16500.0,17000.0,16000.0,16500.0,14700
2018-01-28,16400.0,16600.0,16000.0,16500.0,2000
