Price,Close,High,Low,Open,Volume
Ticker,PNJ.VN,PNJ.VN,PNJ.VN,PNJ.VN,PNJ.VN
Date,,,,,
2017-01-02,14118.701171875,14118.701171874998,13585.92011640082,13626.903274514218,1077876
2017-01-09,14159.6884765625,14323.62115702273,14118.705306447442,14139.196891504971,1211635
2017-01-16,14118.701171875,14241.650646215194,13934.276960364707,14241.650646215194,947675
2017-01-23,14139.19140625,14200.666137573657,13770.34301830806,14118.699829142115,356997
2017-01-30,14364.60546875,14467.063402180383,14139.19801520316,14139.19801520316,173839
2017-02-06,15184.263671875,15348.19630852888,14364.600488605598,14405.583647769068,3220555
2017-02-13,15368.6884765625,15635.079021324886,14999.840029968425,15286.72215509715,2565155
2017-02-20,15614.5869140625,16372.77696293746,15368.687957964024,15409.67111731377,2739435
2017-02-27,15737.5380859375,16290.812397612453,15266.23170268888,15676.063340296374,1970035
2017-03-06,16106.388671875,16311.304497182382,15573.605925170918,15737.538585416823,2701115
2017-03-13,15614.5869140625,16106.386427164112,15471.14585633839,16106.386427164112,2264155
2017-03-20,15286.7236328125,15758.03002679784,15245.740468118121,15758.03002679784,1321275
2017-03-27,15532.6220703125,15676.063141657514,14999.84094817388,15286.723090863907,1096435
2017-04-03,15245.744140625,15532.62636259194,15143.286204208236,15491.643188025233,846596
2017-04-10,15655.57421875,16044.91593656851,15266.234101836575,15327.708857138694,1729035
2017-04-17,17212.93359375,17315.39150322045,15266.231712906625,15676.063350788423,5012475
2017-04-24,18237.513671875,18339.97158687028,17008.018691931615,17110.476606926895,4113596
2017-05-01,19426.025390625,19569.466470915475,17827.681924531116,18237.513582503907,3830357
2017-05-08,18811.2734375,19958.801807378037,18401.44187682927,19753.886027042674,4603635
2017-05-15,19180.12890625,19671.926960186785,18544.889753248317,18688.330852313215,4009795
2017-05-22,20054.11328125,20467.600053120143,19289.16275329024,19516.580477818814,3597915
2017-05-29,19847.373046875,20116.139491267957,19020.399371819745,20054.116465638814,3453315
2017-06-05,20240.1796875,20674.340741311036,19578.600938835567,19806.018633688967,8660275
2017-06-12,19950.740234375,20240.180955041924,19392.533130231648,20240.180955041924,7274795
2017-06-19,21087.83203125,21666.713561837885,19702.651225914706,19950.743310452373,8321035
2017-06-26,21046.478515625,22100.869632691752,20984.45550873872,21273.89620754136,6226355
2017-07-03,20467.59765625,21604.68614573347,20260.854294525732,21129.176413767655,7590115
2017-07-10,20116.13671875,20467.600482207792,19557.92956502292,20467.600482207792,6822676
2017-07-17,20033.4375,20260.85520815168,19743.99678053423,20054.111837104698,4143355
2017-07-24,21315.244140625,21397.941480276128,19847.366361817512,19847.366361817512,5744195
2017-07-31,22224.916015625,22307.61335951366,21211.87355298891,21501.31425659922,7511915
2017-08-07,21708.05859375,22576.38074367809,21087.828486658505,22328.288700841495,5755035
2017-08-14,21666.70703125,22224.914053209905,21294.569016610065,21708.05569954333,2811235
2017-08-21,21705.314453125,21955.76033268197,21392.25710367879,21851.407882866566,93806093
2017-08-28,22540.130859375,22644.483294411362,21663.570405069542,21705.311379084087,4089275
2017-09-04,22874.06640625,22936.677884035274,22289.69098308018,22540.13689422129,2626236
2017-09-11,23374.953125,23562.787517345314,22644.484413150232,22874.06141207916,4050195
