Price,Close,High,Low,Open,Volume
Ticker,PTL.VN,PTL.VN,PTL.VN,PTL.VN,PTL.VN
Date,,,,,
2017-01-02,2780.0,2900.0,2600.0,2600.0,1331770
2017-01-09,2510.0,2850.0,2500.0,2850.0,1055660
2017-01-16,2380.0,2640.0,2380.0,2640.0,609120
2017-01-23,2710.0,2720.0,2400.0,2410.0,545800
2017-01-30,2660.0,2710.0,2540.0,2710.0,293040
2017-02-06,2600.0,2690.0,2390.0,2660.0,1736700
2017-02-13,2650.0,2700.0,2500.0,2600.0,1463390
2017-02-20,2520.0,2650.0,2520.0,2610.0,1027380
2017-02-27,2580.0,2690.0,2510.0,2520.0,941710
2017-03-06,2540.0,2600.0,2500.0,2520.0,615280
2017-03-13,2800.0,2900.0,2480.0,2520.0,2003880
2017-03-20,2570.0,2800.0,2540.0,2770.0,868340
2017-03-27,2700.0,2810.0,2550.0,2570.0,1083230
2017-04-03,2700.0,2750.0,2630.0,2650.0,742770
2017-04-10,2540.0,2900.0,2520.0,2670.0,1860280
2017-04-17,2410.0,2590.0,2410.0,2500.0,1208330
2017-04-24,2600.0,2650.0,2470.0,2500.0,450620
2017-05-01,2480.0,2600.0,2450.0,2600.0,336380
2017-05-08,2640.0,2780.0,2450.0,2480.0,1118710
2017-05-15,2700.0,2820.0,2560.0,2620.0,1355540
2017-05-22,3100.0,3400.0,2700.0,2800.0,4926440
2017-05-29,3030.0,3290.0,2950.0,3100.0,2093710
2017-06-05,2980.0,3080.0,2850.0,3080.0,1297680
2017-06-12,2840.0,3000.0,2800.0,2980.0,499120
2017-06-19,2990.0,3060.0,2800.0,2820.0,700230
2017-06-26,3000.0,3160.0,2880.0,3040.0,1673690
2017-07-03,3290.0,3600.0,2950.0,3090.0,3440930
2017-07-10,3450.0,3470.0,3000.0,3090.0,3709310
2017-07-17,3280.0,3450.0,3170.0,3450.0,1473100
2017-07-24,3510.0,3600.0,3210.0,3210.0,2155230
2017-07-31,3410.0,3730.0,3410.0,3540.0,1929890
2017-08-07,3600.0,3650.0,3400.0,3410.0,1486740
2017-08-14,3620.0,3690.0,3470.0,3600.0,1016270
2017-08-21,3400.0,3640.0,3350.0,3500.0,16926710
2017-08-28,3850.0,3850.0,3370.0,3370.0,1185150
2017-09-04,3930.0,4000.0,3800.0,3850.0,701760
2017-09-11,3970.0,4020.0,3670.0,3930.0,327460
2017-09-18,4180.0,4200.0,3900.0,3900.0,399130
2017-09-25,4790.0,4790.0,4150.0,4200.0,428710
2017-10-02,3850.0,4700.0,3600.0,4700.0,792820
2017-10-09,4490.0,4600.0,3990.0,4100.0,518110
2017-10-16,4000.0,4490.0,3890.0,4490.0,377280
2017-10-23,3940.0,4000.0,3730.0,4000.0,155360
2017-10-30,4000.0,4050.0,3750.0,3800.0,275830
2017-11-06,4220.0,4290.0,3750.0,3810.0,184180
2017-11-13,4090.0,4200.0,3780.0,4000.0,60050
2017-11-20,3890.0,4090.0,3720.0,4000.0,85640
2017-11-27,4000.0,4000.0,3700.0,3900.0,311910
2017-12-04,4300.0,4490.0,3730.0,4000.0,702670
2017-12-11,4480.0,4590.0,4180.0,4300.0,588060
2017-12-18,4300.0,4500.0,4120.0,4260.0,334450
2017-12-25,4250.0,4500.0,3900.0,4500.0,446100
2018-01-01,4000.0,4250.0,3900.0,4250.0,394750
2018-01-08,4000.0,4000.0,3800.0,3930.0,95560
2018-01-15,4060.0,4100.0,3850.0,3990.0,74330
2018-01-22,3920.0,4060.0,3610.0,4060.0,235740
2018-01-29,3800.0,4030.0,3450.0,3660.0,225960
2018-02-05,3620.0,3900.0,3350.0,3600.0,107540
2018-02-12,4000.0,4000.0,3600.0,3600.0,27190
2018-02-19,3850.0,4000.0,3720.0,4000.0,154240
2018-02-26,3590.0,3990.0,3550.0,3980.0,158110
2018-03-05,3790.0,3800.0,3500.0,3500.0,84310
2018-03-12,3820.0,3970.0,3550.0,3600.0,31470
2018-03-19,3700.0,3780.0,3510.0,3750.0,18710
2018-03-26,3590.0,3890.0,3400.0,3890.0,89460
2018-04-02,3590.0,3600.0,3350.0,3590.0,75960
2018-04-09,3250.0,3590.0,3250.0,3590.0,74250
2018-04-16,3600.0,3650.0,3400.0,3450.0,35640
2018-04-23,3290.0,3600.0,3290.0,3600.0,35980
2018-04-30,3600.0,3600.0,3200.0,3290.0,236780
2018-05-07,3560.0,3600.0,3130.0,3600.0,139190
2018-05-14,3590.0,3590.0,3400.0,3560.0,69750
2018-05-21,3540.0,3590.0,3260.0,3400.0,11550
2018-05-28,3300.0,3570.0,3300.0,3300.0,29980
2018-06-04,3100.0,3490.0,3070.0,3070.0,32720
2018-06-11,3090.0,3240.0,2900.0,3240.0,17570
2018-06-18,3070.0,3120.0,2710.0,3090.0,47880
2018-06-25,3240.0,3480.0,2880.0,3050.0,25410
2018-07-02,3150.0,3450.0,2910.0,3020.0,11010
2018-07-09,3070.0,3300.0,2870.0,3300.0,11300
2018-07-16,3190.0,3480.0,2880.0,3070.0,6220
2018-07-23,3230.0,3380.0,2960.0,3380.0,6350
2018-07-30,2900.0,3380.0,2780.0,3380.0,137490
2018-08-06,2920.0,3000.0,2660.0,2780.0,10730
2018-08-13,2800.0,2880.0,2700.0,2820.0,34220
2018-08-20,2920.0,2990.0,2750.0,2990.0,20690
2018-08-27,2740.0,2900.0,2580.0,2730.0,29380
2018-09-03,2700.0,2860.0,2520.0,2740.0,26870
2018-09-10,2680.0,2700.0,2530.0,2700.0,30610
2018-09-17,2900.0,2900.0,2550.0,2680.0,23930
2018-09-24,2800.0,2960.0,2700.0,2800.0,37590
2018-10-01,2650.0,2800.0,2600.0,2700.0,25560
2018-10-08,2690.0,2730.0,2500.0,2690.0,13940
2018-10-15,2870.0,2870.0,2510.0,2520.0,10360
2018-10-22,2800.0,2870.0,2590.0,2850.0,17290
2018-10-29,2590.0,2990.0,2400.0,2990.0,52410
2018-11-05,2690.0,2790.0,2510.0,2700.0,15410
2018-11-12,2650.0,2830.0,2470.0,2510.0,28540
2018-11-19,2550.0,2780.0,2470.0,2470.0,19590
2018-11-26,2820.0,2820.0,2380.0,2390.0,78550
2018-12-03,2700.0,2920.0,2700.0,2700.0,40830
2018-12-10,2850.0,2850.0,2670.0,2700.0,14350
2018-12-17,3000.0,3000.0,2550.0,2900.0,760
2018-12-24,2940.0,3060.0,2750.0,3000.0,68630
2018-12-31,2940.0,2940.0,2740.0,2940.0,10160
2019-01-07,2800.0,2800.0,2610.0,2800.0,87060
2019-01-14,2750.0,2840.0,2560.0,2840.0,10030
2019-01-21,2740.0,2750.0,2570.0,2750.0,3490
2019-01-28,2610.0,2790.0,2610.0,2790.0,790
2019-02-04,2610.0,2610.0,2610.0,2610.0,0
2019-02-11,2670.0,2690.0,2510.0,2690.0,11090
2019-02-18,2660.0,2670.0,2490.0,2670.0,9650
2019-02-25,2620.0,2740.0,2530.0,2600.0,4960
2019-03-04,2690.0,2690.0,2620.0,2620.0,190
2019-03-11,2510.0,2670.0,2450.0,2670.0,25820
2019-03-18,2680.0,2680.0,2490.0,2670.0,2690
2019-03-25,2800.0,2800.0,2500.0,2680.0,25560
2019-04-01,2900.0,3000.0,2790.0,2800.0,8320
2019-04-08,2970.0,3000.0,2670.0,2710.0,195370
2019-04-15,2750.0,3140.0,2750.0,2970.0,97480
2019-04-22,2890.0,2920.0,2560.0,2580.0,18020
2019-04-29,3050.0,3050.0,2880.0,2890.0,31690
2019-05-06,2830.0,3050.0,2830.0,3050.0,7590
2019-05-13,2980.0,3100.0,2790.0,3000.0,19970
