Price,Close,High,Low,Open,Volume
Ticker,PXT,PXT,PXT,PXT,PXT
Date,,,,,
2017-01-01,4650.0,4850.0,4400.0,4650.0,5930
2017-01-08,4500.0,4600.0,4300.0,4600.0,72910
2017-01-15,4420.0,4540.0,4100.0,4540.0,72120
2017-01-22,4490.0,4490.0,4100.0,4440.0,21070
2017-01-29,4150.0,4490.0,4000.0,4490.0,16570
2017-02-05,4180.0,4300.0,3860.0,4000.0,216640
2017-02-12,4300.0,4650.0,4000.0,4100.0,247950
2017-02-19,4180.0,4380.0,4030.0,4380.0,145500
2017-02-26,4180.0,4200.0,3900.0,4060.0,140570
2017-03-05,3990.0,4170.0,3640.0,4100.0,239910
2017-03-12,3600.0,4000.0,3370.0,4000.0,172750
2017-03-19,4170.0,4390.0,3800.0,3840.0,485110
2017-03-26,3870.0,4160.0,3750.0,3880.0,187410
2017-04-02,3670.0,3950.0,3670.0,3880.0,50470
2017-04-09,3700.0,3900.0,3600.0,3900.0,228450
2017-04-16,3620.0,3890.0,3500.0,3680.0,170800
2017-04-23,3500.0,3630.0,3300.0,3630.0,129670
2017-04-30,3400.0,3500.0,3270.0,3500.0,123610
2017-05-07,3750.0,4000.0,3300.0,3500.0,240610
2017-05-14,3680.0,3850.0,3400.0,3530.0,143360
2017-05-21,3600.0,3900.0,3400.0,3500.0,202950
2017-05-28,3530.0,3650.0,3420.0,3500.0,202860
2017-06-04,3460.0,3530.0,3360.0,3500.0,88190
2017-06-11,3400.0,3700.0,3330.0,3460.0,121030
2017-06-18,3180.0,3480.0,3120.0,3400.0,238170
2017-06-25,3170.0,3350.0,3120.0,3180.0,251710
2017-07-02,4050.0,4100.0,3170.0,3260.0,783670
2017-07-09,4100.0,4100.0,3520.0,3900.0,446270
2017-07-16,4010.0,4300.0,3820.0,4100.0,564950
2017-07-23,4070.0,4200.0,3720.0,4200.0,131430
2017-07-30,4020.0,4140.0,3700.0,4080.0,128990
2017-08-06,4000.0,4170.0,3820.0,4010.0,196860
2017-08-13,3860.0,4200.0,3820.0,4040.0,48760
2017-08-20,4030.0,4050.0,3830.0,3830.0,5364450
2017-08-27,3960.0,4280.0,3910.0,4100.0,111750
2017-09-03,3910.0,4000.0,3880.0,3960.0,56660
2017-09-10,3890.0,3980.0,3650.0,3950.0,71800
2017-09-17,4180.0,4300.0,3900.0,3900.0,192180
2017-09-24,4300.0,4650.0,4100.0,4200.0,127510
2017-10-01,4110.0,4400.0,3900.0,4000.0,81680
2017-10-08,4000.0,4110.0,3900.0,4110.0,98650
2017-10-15,3990.0,4100.0,3900.0,4100.0,61190
2017-10-22,3600.0,3990.0,3600.0,3820.0,54610
2017-10-29,3980.0,4000.0,3650.0,3850.0,14550
2017-11-05,3900.0,4090.0,3750.0,3980.0,67730
2017-11-12,3960.0,3990.0,3700.0,3810.0,86490
2017-11-19,4430.0,4440.0,3870.0,3960.0,323410
2017-11-26,4680.0,5200.0,4440.0,4450.0,372390
2017-12-03,4050.0,4890.0,4000.0,4890.0,164140
2017-12-10,4200.0,4590.0,3860.0,4000.0,185250
2017-12-17,4230.0,4590.0,3950.0,4200.0,246720
2017-12-24,4580.0,4750.0,4110.0,4300.0,235430
2017-12-31,4350.0,4680.0,4200.0,4580.0,255110
2018-01-07,4920.0,4920.0,4200.0,4400.0,641740
2018-01-14,4740.0,5250.0,4600.0,5250.0,534420
2018-01-21,4650.0,4990.0,4650.0,4740.0,128470
2018-01-28,4600.0,4890.0,4220.0,4650.0,127110
2018-02-04,4000.0,4600.0,3800.0,4300.0,267800
2018-02-11,4000.0,4100.0,3950.0,4000.0,29360
2018-02-18,4170.0,4170.0,4000.0,4000.0,220660
2018-02-25,4190.0,4200.0,4000.0,4200.0,87150
2018-03-04,4090.0,4190.0,3720.0,3980.0,126710
2018-03-11,3890.0,4120.0,3760.0,3920.0,166060
2018-03-18,3810.0,4000.0,3650.0,3910.0,111510
2018-03-25,3480.0,3840.0,3480.0,3800.0,163020
2018-04-01,3320.0,3700.0,3250.0,3480.0,229430
2018-04-08,3080.0,3400.0,3000.0,3400.0,142510
2018-04-15,3000.0,3100.0,2920.0,3100.0,89450
2018-04-22,3100.0,3100.0,2810.0,2810.0,19420
2018-04-29,3050.0,3100.0,2890.0,3100.0,9140
2018-05-06,2920.0,3100.0,2900.0,3000.0,66450
2018-05-13,2790.0,3040.0,2690.0,2920.0,272860
2018-05-20,2670.0,2800.0,2450.0,2800.0,46270
2018-05-27,2600.0,2650.0,2420.0,2490.0,5890
2018-06-03,2360.0,2500.0,2280.0,2500.0,213300
2018-06-10,2300.0,2480.0,2120.0,2480.0,397920
2018-06-17,2070.0,2290.0,1920.0,2290.0,24160
2018-06-24,1900.0,2050.0,1840.0,2050.0,68520
2018-07-01,1620.0,1900.0,1570.0,1900.0,72110
2018-07-08,1800.0,1840.0,1610.0,1680.0,22980
2018-07-15,1940.0,1940.0,1650.0,1800.0,24950
2018-07-22,1900.0,1960.0,1780.0,1810.0,110410
2018-07-29,2180.0,2300.0,1900.0,1900.0,97450
2018-08-05,2000.0,2200.0,1890.0,2040.0,94940
2018-08-12,1900.0,2000.0,1680.0,1860.0,96290
2018-08-19,1900.0,1910.0,1770.0,1870.0,77540
2018-08-26,1900.0,1900.0,1800.0,1900.0,10050
2018-09-02,1800.0,1900.0,1790.0,1900.0,9530
2018-09-09,1920.0,2050.0,1800.0,1800.0,146560
2018-09-16,2020.0,2020.0,1810.0,1900.0,107850
2018-09-23,2600.0,2600.0,1980.0,2020.0,295240
2018-09-30,2500.0,2670.0,2330.0,2600.0,172950
2018-10-07,2150.0,2600.0,2150.0,2500.0,133000
2018-10-14,2330.0,2330.0,1870.0,2150.0,201350
2018-10-21,1840.0,2400.0,1830.0,2400.0,101120
2018-10-28,2000.0,2100.0,1850.0,1850.0,46820
2018-11-04,2010.0,2040.0,1820.0,1880.0,33580
2018-11-11,1940.0,2020.0,1790.0,2020.0,41020
2018-11-18,1820.0,2000.0,1780.0,1850.0,29850
2018-11-25,1780.0,1940.0,1780.0,1930.0,39980
2018-12-02,1780.0,1890.0,1750.0,1880.0,22530
2018-12-09,1750.0,1880.0,1670.0,1880.0,84550
2018-12-16,1750.0,1800.0,1570.0,1800.0,26930
2018-12-23,1620.0,1740.0,1580.0,1700.0,66730
2018-12-30,1520.0,1620.0,1520.0,1620.0,6760
2019-01-06,1470.0,1680.0,1450.0,1620.0,26390
2019-01-13,1480.0,1540.0,1480.0,1500.0,53600
2019-01-20,1440.0,1560.0,1350.0,1480.0,81350
2019-01-27,1460.0,1480.0,1320.0,1460.0,13990
2019-02-03,1460.0,1460.0,1460.0,1460.0,0
2019-02-10,1490.0,1560.0,1400.0,1400.0,23520
2019-02-17,1510.0,1530.0,1430.0,1490.0,7660
2019-02-24,1520.0,1550.0,1450.0,1490.0,41760
2019-03-03,1760.0,1860.0,1500.0,1600.0,254080
2019-03-10,1690.0,1750.0,1570.0,1660.0,77560
2019-03-17,1700.0,1730.0,1600.0,1680.0,80490
2019-03-24,1680.0,1700.0,1600.0,1700.0,7010
2019-03-31,1680.0,1700.0,1600.0,1700.0,27700
2019-04-07,1650.0,1780.0,1600.0,1680.0,90650
2019-04-14,1440.0,1650.0,1440.0,1650.0,46270
2019-04-21,1440.0,1450.0,1340.0,1400.0,63520
2019-04-28,1450.0,1450.0,1390.0,1440.0,25210
2019-05-05,1310.0,1440.0,1310.0,1380.0,96370
2019-05-12,1370.0,1450.0,1250.0,1330.0,27260
2019-05-19,1430.0,1450.0,1350.0,1450.0,82740
2019-05-26,1400.0,1440.0,1340.0,1440.0,24050
2019-06-02,1300.0,1450.0,1300.0,1340.0,25630
