Price,Close,High,Low,Open,Volume
Ticker,S4A.VN,S4A.VN,S4A.VN,S4A.VN,S4A.VN
Date,,,,,
2023-07-17,24209.28515625,25838.04440223624,24209.28515625,25838.04440223624,3400
2023-07-24,24877.40625,25749.63238376524,23132.953982469513,23132.953982469513,7700
2023-07-31,25711.708984375,25711.708984375,24877.4057429941,24877.4057429941,6800
2023-08-07,25180.791015625,25711.71130812312,25029.09950348268,25711.71130812312,1700
2023-08-14,25939.248046875,25939.248046875,25180.79050164474,25180.79050164474,5800
2023-08-21,25484.17578125,25939.25034877232,25484.17578125,25939.25034877232,3400
2023-08-28,24270.640625,25484.172656249997,24270.640625,25484.172656249997,1200
2023-09-04,25484.17578125,25484.17578125,22981.26565987723,24270.643601190473,25100
2023-09-11,25256.63671875,26811.474714949323,24346.487647804053,26811.474714949323,3600
2023-09-18,25787.5546875,25787.5546875,24043.102458639707,25256.634443933825,200
2023-09-25,26773.55078125,26773.55078125,23967.25792315864,25787.555993271955,7600
2023-10-02,25180.791015625,26773.551893119355,25104.945259553842,26773.551893119355,1000
2023-10-09,26470.166015625,26508.088889572886,24687.79094007432,25029.096805605303,1200
2023-10-16,25787.5546875,25787.5546875,25029.097196691175,25029.097196691175,400
2023-10-23,24384.412109375,25787.55868487558,24384.412109375,25787.55868487558,100
2023-10-30,25711.708984375,25711.708984375,23891.41100318031,25067.02011603521,8400
2023-11-06,25067.0234375,25787.5581505295,25067.0234375,25711.712391263238,4300
2023-11-13,25256.63671875,25408.328230574323,25142.868084881757,25142.868084881757,1800
2023-11-20,25256.63671875,25256.63671875,25256.63671875,25256.63671875,100
2023-11-27,25711.708984375,26546.012225755898,25029.09724142699,26546.012225755898,26400
2023-12-04,26621.859375,27304.471153846156,25711.71033653846,25711.71033653846,4500
2023-12-11,28062.927734375,28062.927734374996,26659.781347656248,26925.24147487331,23600
2023-12-18,27114.85546875,27532.007091346153,25749.631976617133,27532.007091346153,5600
2023-12-25,26338.392578125,26651.944870721727,25868.06413922991,26651.944870721727,11800
2024-01-01,27652.28515625,27734.829291044774,27239.564482276117,27734.829291044774,6400
2024-01-08,28890.44921875,28890.44921875,27404.6546875,27652.287109375,12700
2024-01-15,28890.44921875,29303.169921875,28849.1771484375,28849.1771484375,10200
2024-01-22,29474.033203125,30072.057065217392,28235.26948879076,29474.033203125,4200
2024-01-29,30413.783203125,32036.990733628863,28534.279746752105,30627.363141349193,17100
2024-02-05,31182.673828125,31225.389819670378,31182.673828125,31182.673828125,1600
2024-02-12,31182.673828125,31182.673828125,31182.673828125,31182.673828125,0
2024-02-19,32635.015625,32635.015625,31182.67199770942,31182.67199770942,3700
2024-02-26,31438.96875,33489.33627717391,31182.67280910326,32635.016474184784,21500
2024-03-04,32036.994140625,32464.1540625,29986.626515625,31524.402234375,31900
2024-03-11,32464.154296875,32976.74620682566,31609.834446957237,32036.994371916117,6500
2024-03-18,32635.015625,33318.47144960733,32635.015625,33318.47144960733,3800
2024-03-25,32635.015625,33318.47144960733,32635.015625,32635.015625,4800
2024-04-01,33489.33203125,33489.33203125,32549.58036710778,32549.58036710778,4600
2024-04-08,33489.33203125,33489.33203125,33489.33203125,33489.33203125,800
2024-04-15,33318.46875,33489.33269230769,32464.14903846154,33489.33269230769,700
2024-04-22,34172.79296875,34172.79296875,32464.1533203125,33318.47314453125,1600
2024-04-29,34172.79296875,34172.79296875,34172.79296875,34172.79296875,200
2024-05-06,32549.583984375,34599.95147945374,32549.583984375,34172.79158464567,13200
2024-05-13,35027.11328125,35027.11328125,32592.30174828506,32592.30174828506,2500
2024-05-20,33215.94921875,35464.9457804362,33129.44935099284,35464.9457804362,8000
2024-05-27,34599.94921875,34599.94921875,33302.45112304687,33388.95099609375,4500
2024-06-03,35032.44921875,35032.44921875,34599.94984567902,34599.94984567902,2000
2024-06-10,37194.9453125,37194.9453125,35032.44849200582,35032.44849200582,1900
2024-06-17,37194.9453125,37194.9453125,37194.9453125,37194.9453125,0
2024-06-24,37065.19921875,37194.94904098599,37065.19921875,37194.94904098599,100
2024-07-01,37065.19921875,37065.19921875,37065.19921875,37065.19921875,0
2024-07-08,33734.953125,37065.19849759615,33734.953125,37065.19849759615,1200
2024-07-15,33734.953125,33734.953125,33734.953125,33734.953125,0
2024-07-22,37021.94921875,37021.94921875,34599.95254088785,34599.95254088785,200
2024-07-29,37021.94921875,37021.94921875,37021.94921875,37021.94921875,100
2024-08-05,36762.44921875,37021.94886029412,34470.20238511029,37021.94886029412,6900
2024-08-12,33734.953125,39141.195612980766,33734.953125,39141.195612980766,2400
2024-08-19,33994.44921875,33994.44921875,33734.94960639313,33734.94960639313,4700
2024-08-26,30966.958984375,33994.45497446753,30966.958984375,33994.45497446753,21300
2024-09-02,31226.458984375,31312.958870758313,31139.95909799169,31139.95909799169,900
2024-09-09,31312.95703125,31312.95703125,31139.95726864641,31226.457149948204,2100
2024-09-16,31831.95703125,32869.95563009511,31312.957731827446,31312.957731827446,1700
2024-09-23,32004.95703125,32696.956102195945,31831.957263513512,31831.957263513512,1100
2024-09-30,32004.95703125,32004.95703125,32004.95703125,32004.95703125,0
2024-10-07,32004.95703125,32004.95703125,32004.95703125,32004.95703125,300
2024-10-14,31658.955078125,32437.45397348873,31053.455937286544,31053.455937286544,6300
2024-10-21,31572.45703125,32004.956442636983,31139.957619863013,31658.956913527396,7500
2024-10-28,31183.205078125,31183.205078125,31139.955140429956,31139.955140429956,200
2024-11-04,31572.45703125,31572.45703125,31572.45703125,31572.45703125,300
2024-11-11,35637.953125,35637.953125,31485.95858616505,31572.458472390776,400
2024-11-18,32177.955078125,35637.95024781586,32177.955078125,35551.45036857359,1600
2024-11-25,31183.205078125,31183.205078125,29928.956884968793,29928.956884968793,11200
2024-12-02,31139.95703125,32869.954644097226,31139.95703125,32350.955360243057,14900
2024-12-09,32091.455078125,32177.954957041777,31875.20538083305,32177.954957041777,10700
2024-12-16,31139.95703125,32869.954644097226,30707.457628038195,32091.455718315974,3500
2024-12-23,32792.01171875,33060.0663104564,31719.793351924385,32166.55100476839,7200
2024-12-30,31853.818359375,33060.06393539621,31853.818359375,32792.00936294706,2200
2025-01-06,31719.791015625,31853.818301606512,31719.791015625,31853.818301606512,100
2025-01-13,33506.8203125,33506.8203125,31719.78989583333,31719.78989583333,3900
2025-01-20,31451.736328125,31719.790899103336,31273.033280806107,31719.790899103336,24600
2025-01-27,31451.736328125,31451.736328125,31451.736328125,31451.736328125,0
2025-02-03,32166.548828125,33060.064073350695,31451.736631944445,31451.736631944445,3100
2025-02-10,32166.548828125,32166.548828125,31809.142730034724,32166.548828125,17200
2025-02-17,32166.548828125,32166.548828125,32077.197303602432,32166.548828125,3200
2025-02-24,33417.46875,33953.57787433155,32077.195939171124,32166.54745989305,3300
2025-03-03,33149.4140625,33238.7655828841,32077.195817890835,33238.7655828841,800
2025-03-10,32166.548828125,33149.41559787327,32166.548828125,33149.41559787327,6600
2025-03-17,31496.4140625,32613.30817819149,31496.4140625,32166.550531914894,3300
2025-03-24,32166.548828125,33372.79440917969,32166.548828125,32166.548828125,5300
2025-03-31,33238.76953125,35293.85474420363,31273.035849294356,31764.46926978327,4700
2025-04-07,32166.548828125,33238.76712239583,31273.03358289931,32166.548828125,9900
2025-04-14,31541.087890625,32166.54855701133,31362.384843086045,32166.54855701133,5600
2025-04-21,32166.548828125,33015.38831108941,31541.088156467016,31719.791205512152,4600
