Price,Close,High,Low,Open,Volume
Ticker,SFC.VN,SFC.VN,SFC.VN,SFC.VN,SFC.VN
Date,,,,,
2017-01-02,11549.3203125,11889.006204044117,11549.3203125,11889.006204044117,10
2017-01-09,11464.400390625,11931.4685546875,11464.400390625,11464.400390625,3330
2017-01-16,11889.0068359375,11889.0068359375,11039.792061941964,11464.399448939732,960
2017-01-23,11889.0068359375,11889.0068359375,11846.546097237722,11846.546097237722,1320
2017-01-30,11889.0068359375,11889.0068359375,11889.0068359375,11889.0068359375,0
2017-02-06,12058.849609375,12950.525108659771,11889.006657130281,11889.006657130281,580
2017-02-13,11931.4677734375,12695.761082768016,11889.00703403025,12058.849991659254,1900
2017-02-20,12313.61328125,12525.916958512931,11846.545191271553,12525.916958512931,5810
2017-02-27,12186.232421875,12186.232421875,11506.860579540506,11506.860579540506,40
2017-03-06,12313.61328125,12313.61328125,11931.466662176725,11931.466662176725,40
2017-03-13,13162.8271484375,13162.8271484375,12313.612493699597,12313.612493699597,80
2017-03-20,12249.919921875,12377.302104771448,12249.919921875,12249.919921875,100
2017-03-27,12992.9853515625,12992.9853515625,12249.922463809742,12249.922463809742,10
2017-04-03,11889.0068359375,12929.29493408203,11209.635016741071,12101.310529436383,29910
2017-04-10,11931.4677734375,12377.305537213635,11252.095942921485,11252.095942921485,17340
2017-04-17,12101.3115234375,12313.615234375,11846.5470703125,11889.0078125,12160
2017-04-24,11889.0068359375,11889.0068359375,11676.703142438615,11889.0068359375,7310
2017-05-01,12313.61328125,12313.61328125,11889.005926724138,11889.005926724138,3070
2017-05-08,12610.837890625,12610.837890625,12398.53422243266,12483.455689709595,2670
2017-05-15,12101.3115234375,12525.9189453125,11889.0078125,12483.458203125,14730
2017-05-22,11464.400390625,12483.458203125,11294.557421875,12122.54189453125,10640
2017-05-29,12282.603515625,12690.512857472326,11965.340694188191,12237.280255419742,7510
2017-06-05,12645.1884765625,12645.1884765625,12282.602427055332,12282.602427055332,130
2017-06-12,12282.603515625,12667.851227369696,12101.310474803968,12101.310474803968,25900
2017-06-19,12826.482421875,12917.128940757508,12146.633530256184,12327.926568021201,20670
2017-06-26,12463.8955078125,12781.158302556818,12463.8955078125,12735.835046164771,16140
2017-07-03,12237.28125,12690.513888888889,12237.28125,12463.897569444443,14360
