Price,Close,High,Low,Open,Volume
Ticker,SFG.VN,SFG.VN,SFG.VN,SFG.VN,SFG.VN
Date,,,,,
2023-07-17,8038.8046875,8437.49972967128,7881.18106617647,8233.516219723184,52500
2023-07-24,8298.419921875,8595.123203997906,7881.180931389665,8020.260594884777,27700
2023-07-31,8344.7802734375,8456.044010416666,7973.90115017361,8048.076974826388,48500
2023-08-07,8400.412109375,8437.500021557671,8066.62089973096,8344.780241100992,45000
2023-08-14,8344.7802734375,8530.219835069443,8252.060492621527,8437.500054253473,11500
2023-08-21,8298.419921875,8344.779809706704,7881.180931389665,8252.060034043296,13800
2023-08-28,7992.44482421875,8326.236023374056,7936.812957692865,7973.900868710121,10200
2023-09-04,8724.931640625,8724.931640625,7992.445349860521,7992.445349860521,120900
2023-09-11,9169.986328125,9967.37644361413,8808.379182728766,9318.337977518326,276800
2023-09-18,8808.37890625,9457.417351973685,8326.236060855263,8817.650884046052,89700
2023-09-25,8613.66796875,8891.827321885092,8187.156960609526,8808.379515944564,33000
2023-10-02,8177.88427734375,8567.307338169643,7936.812858737245,8437.49965122768,56400
2023-10-09,8437.5,8493.131868131868,8177.884615384616,8252.06043956044,20300
2023-10-16,8326.236328125,8715.659408059577,7983.173138658825,8715.659408059577,15400
2023-10-23,7871.9091796875,8335.508071306316,7603.021822548586,8252.060270814929,17500
2023-10-30,7603.02197265625,7964.629115258193,7343.406588224086,7788.461532964939,20500
2023-11-06,7881.18115234375,8066.6207088694855,7510.302039292279,7603.021817555147,19200
2023-11-13,7807.00537109375,7973.900972851098,7575.205924208543,7881.181194097016,21100
2023-11-20,7603.02197265625,7964.629115258193,7603.02197265625,7807.005488995808,9400
2023-11-27,7695.74169921875,7871.909280285204,7324.862581184111,7621.565875611822,17400
2023-12-04,7705.013671875,7881.181252820397,7417.582355595668,7695.741693930506,12300
2023-12-11,7881.18115234375,7881.18115234375,7426.854238855699,7436.126216681985,7300
2023-12-18,7769.91748046875,7973.900994275805,7176.510894848225,7779.18945836907,22900
2023-12-25,7621.5654296875,7760.645090813185,7593.749497462363,7760.645090813185,10700
2024-01-01,7862.63720703125,7862.63720703125,7621.565783230763,7621.565783230763,15800
2024-01-08,7992.44482421875,8252.060201339544,7695.741536080699,7723.557469343641,25600
2024-01-15,8252.060546875,8483.860000438905,7973.901202598315,7992.445158883427,14900
2024-01-22,8437.5,8483.85989010989,8252.06043956044,8252.06043956044,9100
2024-01-29,8947.458984375,9179.258439928757,8437.500182156735,8437.500182156735,55500
2024-02-05,8947.458984375,8993.818875485751,8808.379311042747,8947.458984375,24000
2024-02-12,9596.4970703125,9596.4970703125,8993.818510341183,8993.818510341183,92000
2024-02-19,10430.9755859375,11126.373958333334,9689.217322048611,9689.217322048611,419100
2024-02-26,13954.3271484375,13954.3271484375,10291.89577060839,10430.975443184177,450100
2024-03-04,13722.52734375,14881.524585620777,12099.931205130912,13954.326792124155,263700
2024-03-11,12424.4501953125,13907.966636543842,12424.4501953125,13907.966636543842,83700
2024-03-18,11960.8515625,12424.450460271319,11589.972444282947,12424.450460271319,78600
2024-03-25,12146.291015625,12563.53001997853,11682.692121898855,11682.692121898855,33700
2024-04-01,12702.609375,14000.686245437957,11729.051722171533,12980.768704379563,178900
2024-04-08,12007.2119140625,12748.97017902389,11682.692673141892,12748.97017902389,22600
2024-04-15,12239.0107421875,12841.689301461884,11126.373401988636,12424.45029888731,63700
2024-04-22,12517.169921875,12609.889699074074,11450.892484085647,12239.010590277778,15200
2024-04-29,12378.0908203125,12517.170492450843,12378.0908203125,12517.170492450843,1000
2024-05-06,11914.4912109375,12378.090090740516,11404.532443154183,12378.090090740516,28300
2024-05-13,11868.1318359375,12146.291175842285,11682.692276000977,11868.1318359375,37300
2024-05-20,13073.4892578125,13398.008494708554,11682.69252825798,12192.651329094637,146400
2024-05-27,13119.8486328125,13490.727746107552,12192.650849574868,12239.010738736748,174100
2024-06-03,13073.4892578125,13444.368385693706,12702.610129931294,13119.84914879765,51000
2024-06-10,12609.8896484375,13351.64786305147,12053.570987477022,13351.64786305147,35500
2024-06-17,13125.0,13557.692307692309,12500.0,13076.923076923078,37500
2024-06-24,12500.0,12884.615384615385,11923.076923076924,12596.153846153846,18800
2024-07-01,12211.5380859375,12499.999615526574,11346.153497170275,12499.999615526574,64800
2024-07-08,14711.5380859375,15480.768835529005,12403.845837162991,12451.92275901246,752400
2024-07-15,12500.0,13701.923076923078,11634.615384615385,13701.923076923078,376400
2024-07-22,11009.615234375,12499.999829421398,10769.230622270743,12499.999829421398,202200
2024-07-29,10384.615234375,11490.384449146411,9903.846010561343,10721.15369104456,59200
2024-08-05,10432.6923828125,10913.461617043491,9711.538531466014,10913.461617043491,43600
2024-08-12,10192.3076171875,10673.076844413326,9759.615312684258,10673.076844413326,26600
2024-08-19,10240.384765625,10336.538613189554,9951.923222931338,10192.307841842723,34100
2024-08-26,10384.615234375,10624.999846281828,10144.23062246817,10192.307544849536,23100
2024-09-02,10288.4609375,10336.537857768692,10144.230176693925,10192.307096962617,4800
2024-09-09,10192.3076171875,10384.615308077831,9855.769158129422,10288.461462632666,11600
2024-09-16,10288.4609375,10288.4609375,9903.845575350468,10144.230176693925,13600
2024-09-23,10192.3076171875,10192.3076171875,9711.538389961675,9903.846080852005,7700
2024-09-30,10384.615234375,10576.922923900462,9951.922932942707,10144.23062246817,12900
