Price,Close,High,Low,Open,Volume
Ticker,SGN.VN,SGN.VN,SGN.VN,SGN.VN,SGN.VN
Date,,,,,
2018-07-30,80213.3828125,80324.17651003064,78662.2952828137,80324.17651003064,12320
2018-08-06,78662.296875,80157.98758619493,77554.37805407547,79770.21569592455,11158
2018-08-13,77277.40625,77554.38446338745,75449.33428840853,77000.42197767628,12068
2018-08-20,76391.0703125,77000.42360663059,75449.33588454936,77000.42360663059,2842
2018-08-27,77997.5546875,78108.3483984854,76224.87954747932,76224.87954747932,15582
2018-09-03,76723.4375,77997.54687185226,76224.87190946029,77997.54687185226,3766
2018-09-10,76501.859375,77000.41892756136,76501.859375,76557.25622727038,19992
2018-09-17,77443.5859375,78108.34209079313,76501.85764698328,76501.85764698328,28994
2018-09-24,76446.4609375,80656.55497445024,75947.89533634107,77554.37978312523,24038
2018-10-01,76446.4609375,77000.41733084465,76058.68903858437,76501.85778862165,5572
2018-10-08,75892.5078125,77443.59559879306,75116.96391935347,75615.52958178672,2338
2018-10-15,75338.546875,76446.46579096525,72568.74655561872,75504.73137997983,3528
2018-10-22,75892.5078125,76834.2422794365,72014.78834676735,76834.2422794365,8218
2018-10-29,75338.546875,75338.546875,72014.78406816795,73122.7029841332,3514
2018-11-05,73676.65625,73953.63442958985,72070.17190229493,73676.65625,3318
2018-11-12,70906.859375,72568.7406430127,70906.859375,72014.77820069653,5894
2018-11-19,69244.9921875,69798.9547424608,66032.02875732588,69743.55788107103,91532
2018-11-26,69244.9921875,69798.9547424608,66475.19758950712,66752.175837519,19194
2018-12-03,68691.0234375,73565.86760398293,67583.10458416006,73565.86760398293,32424
2018-12-10,69798.953125,69798.953125,67693.90273565403,67860.09331597222,26124
2018-12-17,69078.796875,69244.98137428112,65090.28406714764,69244.98137428112,15946
2018-12-24,69244.9921875,70851.47693205558,64148.56576475843,66198.2132825582,793366
2018-12-31,68912.6015625,69244.97659706778,67583.10142422888,69244.97659706778,6258
2019-01-07,69244.9921875,70906.87379344537,67583.11664049169,68912.61707809834,5950
