Price,Close,High,Low,Open,Volume
Ticker,SHA.VN,SHA.VN,SHA.VN,SHA.VN,SHA.VN
Date,,,,,
2017-01-02,3555.357421875,3598.4764552882893,3433.8401955241125,3449.519943302076,1550542
2017-01-09,3469.119384765625,3563.197045908235,3457.3595747567647,3555.357172568995,1211121
2017-01-16,3429.919921875,3476.958610895372,3422.080049379584,3469.119011376018,911592
2017-01-23,3484.798583984375,3484.798583984375,3426.0000845235777,3429.92002088444,595947
2017-01-30,3527.91748046875,3547.516888571947,3484.7984550704446,3484.7984550704446,447425
2017-02-06,3555.357421875,3574.957106597454,3508.318451517219,3527.9181362396735,1744717
2017-02-13,3555.357421875,3606.316329177271,3508.318451517219,3547.5175479860177,1820434
2017-02-20,3684.71435546875,3880.7098289485875,3523.9980399176734,3555.3572610792276,2851986
2017-02-27,3629.83544921875,3782.711888519514,3610.2360387070053,3676.8744166134684,1715767
2017-03-06,3606.315673828125,3704.3132607036882,3586.7159926673758,3625.9150820128134,1706296
2017-03-13,3578.876953125,3614.156111758013,3555.357332052255,3606.3162380670983,1147541
2017-03-20,3547.51708984375,3606.3158634414663,3535.757553505067,3578.876581349772,1265545
2017-03-27,3559.277099609375,3606.3160665414666,3535.7577526313744,3547.5172896323293,1270281
2017-04-03,3563.197265625,3590.6365510282335,3535.757980221767,3547.5175179796624,867851
2017-04-10,3437.759765625,3586.7162617160548,3390.7210732628323,3567.116852061165,1142835
2017-04-17,3582.79638671875,3606.3157315117846,3410.320281649615,3437.7595627374994,1759422
2017-04-24,3669.03466796875,3684.714415292146,3567.1171292949857,3586.716540473128,2444166
2017-05-01,3696.473876953125,3704.3134768989075,3637.67510301526,3669.034321726619,1509967
2017-05-08,3665.114013671875,3704.313101330827,3637.6747342034237,3696.473502179876,1998892
2017-05-15,3763.112548828125,4076.7053067264847,3665.114675496838,3665.114675496838,4330066
2017-05-22,3649.43505859375,3794.4716215539715,3633.7553121219044,3763.112401586368,1949247
2017-05-29,3743.5126953125,3861.109974194784,3637.67522621127,3649.435035992324,2062103
2017-06-05,3759.1923828125,3794.4715386270504,3704.3135443364868,3743.5126366833297,2025079
2017-06-12,3704.3134765625,3802.3113421246835,3684.7140672357095,3759.192314034452,1557488
2017-06-19,3684.71435546875,3743.512861024652,3676.874481934337,3704.313766328685,1333090
2017-06-26,3684.71435546875,3704.313766328685,3672.95454516713,3684.71435546875,1218567
2017-07-03,3798.391357421875,3861.109794042329,3676.874147615681,3684.714020437256,2336802
2017-07-10,3794.471435546875,3821.910717551428,3669.034288849371,3798.3913719726784,1702176
2017-07-17,3759.1923828125,3861.10991372386,3755.2724462802075,3794.4715386270504,1796774
2017-07-24,3739.5927734375,3770.952266310406,3723.913299977134,3759.192456483066,1549000
2017-07-31,3684.71435546875,3739.5929242574457,3653.3551343071954,3739.5929242574457,1412913
2017-08-07,3649.43505859375,3692.554088415238,3606.316028772262,3684.714215179315,1071026
2017-08-14,3743.5126953125,3763.1123782809236,3625.915416430216,3649.435035992324,2412348
2017-08-21,3939.508544921875,3998.3073265944413,3782.7121577631824,3782.7121577631824,162383779
2017-08-28,3880.709228515625,3959.1074057775995,3821.910459081116,3939.507724974078,2321185
2017-09-04,3817.990966796875,3939.5081829780315,3794.471620074365,3880.709679683713,1805076
2017-09-11,3782.711669921875,3841.510444011397,3774.8720699558726,3817.990825185157,1747670
2017-09-18,3755.272705078125,3833.670895174692,3723.9134836347184,3782.7119897190933,1888363
2017-09-25,3747.432861328125,3770.9524823301304,3739.59298766079,3755.2727349954603,1668301
2017-10-02,3998.30712890625,3998.30712890625,3731.7533385109064,3747.4328126658684,2421760
2017-10-09,4135.50341796875,4233.501281954628,3919.9085539615335,3978.7070539722026,2998215
2017-10-16,4115.904296875,4253.100988481194,4037.506109392578,4135.503707257561,3096850
2017-10-23,4017.122802734375,4115.904669861485,3907.3653849078987,4115.904669861485,1997248
2017-10-30,3822.2197265625,4184.086734513332,3709.136339311881,4129.806697383112,1477586
2017-11-06,3840.3134765625,3890.070203511382,3799.6033761046697,3822.219942332296,1045639
2017-11-13,3822.2197265625,3890.069983911341,3731.7531855108573,3840.3132597712984,957355
2017-11-20,3795.079833984375,3858.4064968507096,3709.136325006294,3822.219711820767,869403
2017-11-27,3844.8369140625,3890.0703292276744,3740.800143557032,3795.080185505619,1151561
2017-12-04,3663.90283203125,3867.4530362409996,3528.2028833901372,3862.929723369501,1121125
2017-12-11,3437.736328125,3641.2865480054697,3415.1197620263265,3641.2865480054697,794757
2017-12-18,3392.5029296875,3505.5863231773365,3347.269516041945,3437.736343333055,730056
2017-12-25,3605.099609375,3605.099609375,3306.5592619400086,3392.5027719965306,1331872
2018-01-01,3519.156005859375,3709.1362730450332,3473.9228767657255,3605.099513633474,684928
2018-01-08,3528.203125,3596.0531039668945,3401.549512180618,3519.1562173893944,615325
2018-01-15,3482.9697265625,3564.389645414992,3437.7363133119597,3528.2031398130403,507787
2018-01-22,3437.736328125,3492.0163680099186,3392.5029146795514,3482.969741570449,258777
2018-01-29,3415.11962890625,3528.2030174878737,3415.11962890625,3482.969605805606,661738
2018-02-05,3392.5029296875,3505.5863231773365,3188.9527089065537,3415.119777134329,655054
2018-02-12,3392.5029296875,3392.5029296875,3256.802969998938,3392.5029296875,258879
2018-02-19,3338.22314453125,3415.120037976401,3211.5698016485735,3392.503188802129,286116
2018-02-26,3324.65283203125,3338.222771269623,3256.802854591292,3338.222771269623,539966
2018-03-05,3292.98974609375,3338.2231634505292,3256.803237206828,3324.6532226179334,589780
2018-03-12,3288.466064453125,3292.9893775577625,3238.7093390540213,3292.9893775577625,565484
2018-03-19,3279.419677734375,3292.9896180392766,3211.5696949617513,3288.4663046043092,645975
2018-03-26,3252.279296875,3279.4194569053584,3211.569478701606,3279.4194569053584,368591
2018-04-02,3247.756103515625,3279.419577844049,2949.216019660671,3252.279416812813,635877
2018-04-09,3329.176513671875,3406.0731257836965,3175.383008200109,3256.8032151402717,1112199
2018-04-16,3292.98974609375,3329.176536228799,3220.6164470717795,3329.176536228799,1216376
2018-04-23,3311.083251953125,3356.316387654236,3261.326521433779,3292.9897164245567,478996
2018-04-30,3292.98974609375,3311.0832817853375,3256.803237206828,3311.0832817853375,311800
2018-05-07,3342.74609375,3387.9795059198814,3256.8028637505104,3288.4660553957615,791942
2018-05-14,3306.559326171875,3342.746112358848,3279.419447467717,3338.2227992414887,578153
2018-05-21,3261.326416015625,3306.559550254634,3116.5795427064536,3306.559550254634,691371
2018-05-28,3265.849365234375,3311.082775677101,3234.185893550042,3256.802739395446,632006
2018-06-04,3265.849365234375,3292.9892427511604,3166.335918509994,3256.802739395446,545351
2018-06-11,3234.185791015625,3256.8026361440006,3089.4389384374736,3256.8026361440006,413657
2018-06-18,3166.336181640625,3211.569595842363,3098.48620096207,3211.569595842363,817703
2018-06-25,3143.71923828125,3166.33608531815,3121.1026724924477,3166.33608531815,936549
2018-07-02,3048.729248046875,3166.335947526882,2885.889137709614,3143.719101474213,802703
2018-07-09,3044.205810546875,3098.4858451053547,2998.97240154013,3048.7291233227425,749514
2018-07-16,3460.352783203125,3460.3527832031255,3030.6357911303776,3044.206011602302,851015
2018-07-23,3057.776123046875,3279.4196011786175,2808.992483690782,3279.4196011786175,378539
2018-07-30,2976.35595703125,3075.8694139910203,2849.7026197632395,2858.749246532653,57146
2018-08-06,2940.16943359375,2976.3559404700527,2854.225917266311,2940.1694335937505,20996
2018-08-13,3121.102783203125,3121.1027832031255,2813.515790076212,2854.2258911882077,32381
2018-08-20,2976.35595703125,3030.6359988958416,2723.0490012471173,2903.9826616278315,50411
2018-08-27,3121.102783203125,3161.812884315121,2985.4025399125076,3003.496074433455,121746
2018-09-03,2985.40234375,3211.569401040219,2894.9358020820014,3121.1025781241315,25148
2018-09-10,2940.16943359375,3116.5794983600554,2903.9826454693375,2985.402567189128,151658
2018-09-17,2985.40234375,3030.6357552080435,2795.4223531239227,2940.1692135400453,22536
2018-09-24,2976.35595703125,2985.4025838006633,2808.9925180527675,2894.936034858418,105306
2018-10-01,3324.65283203125,3387.9794963917507,3184.429282823783,3184.429282823783,297472
