Price,Close,High,Low,Open,Volume
Ticker,SMA.VN,SMA.VN,SMA.VN,SMA.VN,SMA.VN
Date,,,,,
2023-07-17,7512.841796875,7512.841796875,7100.5516982660065,7109.713700457318,21600
2023-07-24,7576.9755859375,7604.461591690599,7027.255470875529,7027.255470875529,13000
2023-07-31,8190.83056640625,8190.83056640625,6834.854141542575,7576.976374069316,31900
2023-08-07,7512.841796875,9345.242235137195,7503.67979468369,8190.829959032013,111200
2023-08-14,7558.65185546875,8044.237974668561,7494.517839725379,7558.65185546875,38800
2023-08-21,7860.998046875,8035.076092202069,7329.601908508159,7558.651968149039,12800
2023-08-28,7696.08203125,8245.802176339286,7338.763936941965,7338.763936941965,2100
2023-09-04,7970.94189453125,8016.75190541936,7696.081829202586,7696.081829202586,2700
2023-09-11,7421.2216796875,8035.075818624614,7421.2216796875,7430.383681761188,14000
2023-09-18,7970.94189453125,8245.801959859913,6926.4736462823275,7696.081829202586,8400
2023-09-25,7677.7578125,7879.321860083532,6917.31163298031,7476.193764916467,13600
2023-10-02,8199.9921875,8199.9921875,7219.657925977654,7237.981930865923,16000
2023-10-09,8099.20947265625,8978.76163258272,7696.081399356618,8199.991490981158,23900
2023-10-16,8135.85791015625,8658.09203276763,7292.953712257179,7576.975778940561,13900
2023-10-23,8044.23828125,8135.858307232346,7494.518125355923,7576.976148740035,4100
2023-10-30,8850.494140625,8850.494140625,7485.355810445782,7485.355810445782,700
2023-11-06,8612.28125,8896.303291223405,8612.28125,8896.303291223405,800
2023-11-13,8694.740234375,8978.762307363013,8016.752060145548,8612.282213184932,13200
2023-11-20,8035.07568359375,8465.689773820553,7210.495510819022,8090.047695112065,10300
2023-11-27,8016.751953125,8703.902120535715,7228.819761160715,7476.193821428572,15300
2023-12-04,7787.7021484375,8236.640272288603,7347.926027113971,8016.752211626838,26000
2023-12-11,7714.40576171875,8090.047847503155,7329.601673842043,8090.047847503155,4500
2023-12-18,7586.1376953125,7705.243721929725,7329.601637983092,7705.243721929725,2400
2023-12-25,8062.56201171875,8062.56201171875,7329.601828835227,7586.13789284446,7000
2024-01-01,8603.1201171875,8603.1201171875,8062.5619841586795,8062.5619841586795,2000
2024-01-08,7467.0322265625,8603.120565327838,7467.0322265625,8603.120565327838,800
2024-01-15,8245.8017578125,8383.231787109375,7430.383583984375,7989.265703125,4300
2024-01-22,8245.8017578125,8245.8017578125,7604.461621093749,8245.8017578125,8700
2024-01-29,8291.611328125,8419.87934867058,7787.701247410221,8245.801320787292,5900
2024-02-05,7723.56787109375,8291.612008706814,7723.56787109375,8291.612008706814,1500
2024-02-12,7879.32177734375,7879.32177734375,7723.567742210211,7723.567742210211,100
2024-02-19,8199.9921875,8199.9921875,8199.9921875,8199.9921875,200
2024-02-26,8163.34423828125,8190.83024581755,8154.18223576915,8181.66824330545,13100
2024-03-04,8932.951171875,9253.621213942308,8181.667073317308,8181.667073317308,36500
2024-03-11,8932.951171875,9162.001201923076,8309.93509014423,8932.951171875,24000
2024-03-18,8978.7626953125,9345.242805325255,8932.952681560906,8932.952681560906,9300
2024-03-25,8932.951171875,8978.761177884615,8355.745096153845,8978.761177884615,2100
2024-04-01,8887.1416015625,8978.761618073453,8319.097499194588,8978.761618073453,8200
2024-04-08,8887.1416015625,8887.1416015625,8887.1416015625,8887.1416015625,0
