Price,Close,High,Low,Open,Volume
Ticker,SMC.VN,SMC.VN,SMC.VN,SMC.VN,SMC.VN
Date,,,,,
2023-07-17,14700.0,14850.0,13950.0,14800.0,3618300
2023-07-24,14550.0,15000.0,14350.0,14750.0,4403300
2023-07-31,13200.0,13700.0,12950.0,13550.0,7001700
2023-08-07,13300.0,13550.0,12800.0,13200.0,4340300
2023-08-14,12100.0,13600.0,12100.0,13450.0,4106400
2023-08-21,11400.0,12100.0,11000.0,12100.0,2166800
2023-08-28,11950.0,12150.0,11400.0,11400.0,1606400
2023-09-04,12700.0,12900.0,11950.0,11950.0,2046300
2023-09-11,11900.0,12850.0,11900.0,12850.0,1901200
2023-09-18,12650.0,13200.0,11850.0,11900.0,2939900
2023-09-25,11800.0,12650.0,10550.0,12650.0,2079300
2023-10-02,11150.0,11950.0,10800.0,11800.0,1217300
2023-10-09,11400.0,11700.0,11100.0,11100.0,927600
2023-10-16,11300.0,11500.0,10600.0,11200.0,1205200
2023-10-23,10450.0,11450.0,10000.0,11100.0,747200
2023-10-30,9520.0,10400.0,8860.0,10400.0,1024100
2023-11-06,9690.0,9990.0,9300.0,9690.0,1448100
2023-11-13,10250.0,10900.0,9690.0,9690.0,3335100
2023-11-20,9980.0,10900.0,9910.0,10250.0,2092300
2023-11-27,9980.0,10400.0,9930.0,9950.0,1330700
2023-12-04,10650.0,11000.0,10000.0,10050.0,2356300
2023-12-11,10150.0,10850.0,10050.0,10850.0,1500300
2023-12-18,10100.0,10250.0,10000.0,10100.0,685000
2023-12-25,10250.0,10500.0,10100.0,10100.0,938800
2024-01-01,10600.0,10900.0,10200.0,10250.0,1945900
2024-01-08,10100.0,10750.0,10100.0,10650.0,1951100
2024-01-15,10700.0,10750.0,10000.0,10100.0,1437900
2024-01-22,11150.0,11400.0,10700.0,10700.0,2101200
2024-01-29,10400.0,11200.0,10350.0,11150.0,1870600
2024-02-05,10250.0,10400.0,10150.0,10300.0,775700
2024-02-12,10550.0,10600.0,10300.0,10300.0,468600
2024-02-19,10300.0,10700.0,10300.0,10550.0,1326100
2024-02-26,10600.0,10850.0,10150.0,10300.0,1451400
2024-03-04,12000.0,12050.0,10450.0,10650.0,5038600
2024-03-11,12250.0,12650.0,11500.0,12050.0,4867500
2024-03-18,12150.0,12600.0,11400.0,12250.0,4473300
2024-03-25,11900.0,12550.0,11600.0,12150.0,5427200
2024-04-01,10700.0,12000.0,10500.0,11800.0,6533700
2024-04-08,10750.0,10900.0,10450.0,10750.0,2789800
2024-04-15,11250.0,11400.0,9650.0,10650.0,6686400
2024-04-22,12050.0,12500.0,11100.0,11200.0,4860100
2024-04-29,11900.0,12050.0,11700.0,12050.0,837400
2024-05-06,12900.0,12900.0,11500.0,11900.0,4065800
