Price,Close,High,Low,Open,Volume
Ticker,ST8.VN,ST8.VN,ST8.VN,ST8.VN,ST8.VN
Date,,,,,
2017-01-02,11620.681640625,11620.681640625,11111.003320571157,11416.810105546354,19071
2017-01-09,11314.875,11498.359694497263,10703.260386961352,11498.359694497263,32448
2017-01-16,11702.2314453125,12150.748215205123,10886.744244456071,11457.585181527013,35594
2017-01-23,12109.974609375,12109.974609375,11824.553621281117,11824.553621281117,4810
2017-01-30,12762.36328125,12843.911686958167,12109.973965013603,12109.973965013603,7865
2017-02-06,13210.880859375,13210.880859375002,12640.040948307578,12721.589359133553,7436
2017-02-13,12680.8134765625,13414.751177457265,12640.039792520596,13210.879651391246,2678
2017-02-20,13047.783203125,13210.880014344506,12680.81382495282,12680.81382495282,32604
2017-02-27,12640.0400390625,13170.1062242301,12640.0400390625,13047.783099147498,21307
2017-03-06,13047.783203125,13863.269329793584,13047.783203124998,13047.783203124998,16575
2017-03-13,13251.6552734375,13842.883049889753,13129.332142407988,13842.883049889753,2613
2017-03-20,13537.0751953125,13761.334613514444,13068.170550825118,13068.170550825118,14183
2017-03-27,13455.5263671875,13863.269433574162,12640.040234414177,13659.39790038083,39598
2017-04-03,13781.7216796875,13781.721679687498,13292.430183920858,13455.527004081212,8697
2017-04-10,14291.4013671875,14434.111346772232,13842.883549002916,13842.883549002916,48152
2017-04-17,13455.5263671875,15290.37120121301,13251.65483399417,14474.884033154154,45175
2017-04-24,13985.5927734375,14271.012717195748,13455.526572009006,13455.526572009006,5252
2017-05-01,13537.0751953125,13985.592996430822,13047.783707456056,13985.592996430822,7423
2017-05-08,15004.951171875,15086.500618518641,13455.527214929793,13659.398760967699,13000
2017-05-15,14576.8203125,15583.946079545452,14271.012495169898,15004.950221476605,15641
2017-05-22,14602.5830078125,15910.277008512128,14384.634007695897,15910.277008512128,7490
2017-05-29,14548.0966796875,15256.430974953182,14439.122172723548,14602.583933169475,5060
2017-06-05,14929.5068359375,14983.99408716355,14166.68531877281,14439.121574903056,5670
2017-06-12,14738.802734375,14983.995386148335,13621.813987407577,14875.020874249074,10780
2017-06-19,14711.5576171875,14983.993869357639,14330.146864149307,14983.993869357639,16650
2017-06-26,14820.533203125,15147.456729664522,14166.686150045954,14766.045948701745,23790
