Price,Close,High,Low,Open,Volume
Ticker,TCB.VN,TCB.VN,TCB.VN,TCB.VN,TCB.VN
Date,,,,,
2018-06-04,32953.48828125,33204.082693768905,28505.393408810254,32076.396824876534,27479580
2018-06-11,32953.48828125,34143.82091784588,32233.021085840177,32828.187404138116,13446660
2018-06-18,29758.376953125,32890.83836124257,29131.885405671987,32608.91688957477,12899700
2018-06-25,28724.666015625,30384.871526324325,27252.40999549333,30071.624822613332,14129760
2018-07-02,27064.4609375,28755.98974609375,23838.025746336512,28755.98974609375,21013690
2018-07-09,24621.140625,27440.35520038168,23587.428614026718,27252.4075620229,3407590
2018-07-16,26218.6953125,26782.538222446237,24151.271309363798,24433.192764336916,4898440
2018-07-23,24386.208984375,26171.71176165101,23399.483765354045,25654.855694544796,6299660
2018-07-30,26641.580078125,27158.43612902337,24339.221305941355,24386.20821965939,14115660
2018-08-06,25560.880859375,26594.592952952666,24809.090245863972,26312.67147288603,9260460
2018-08-13,24903.0625,25983.761438679245,24386.20648584906,25372.931603773584,5518830
2018-08-20,24997.037109375,25748.827699130637,24339.220343338817,25091.010933094454,4987300
2018-08-27,24715.115234375,25231.971256386645,24480.180678915163,24997.036700926805,6500400
2018-09-03,23728.390625,24997.037252475246,23305.508415841585,24715.11577970297,6892040
2018-09-10,23728.390625,24010.312097772276,23493.456064356436,23869.35136138614,5986450
2018-09-17,26594.59375,26735.55449425795,23634.41812058304,23728.39195008834,16496180
2018-09-24,27393.369140625,27863.238251098843,26124.72254234563,26594.59165281947,16599330
2018-10-01,28004.19921875,28427.081421717703,26876.513344169463,27393.369370018878,13791470
2018-10-08,26970.486328125,28286.119807545732,25654.852848704268,27346.381607959494,13112200
2018-10-15,27252.408203125,27534.32966729526,26312.669989224138,26970.486738954743,8363070
2018-10-22,24292.234375,27440.357591876207,23587.430669729205,27252.40993713733,10071110
2018-10-29,24997.037109375,25325.94549239309,23963.325048460996,24245.24651961936,5883080
2018-11-05,24762.1015625,25842.800492172675,24762.1015625,25091.00993240038,5076360
2018-11-12,24151.2734375,24903.064050340465,23540.44356456712,24715.11639713035,5042350
2018-11-19,24527.169921875,25278.96057082136,23164.549370659723,24151.274597401818,5862340
2018-11-26,24480.18359375,24997.039677303263,24339.22284369002,24433.19667706334,4844340
2018-12-03,26312.669921875,26782.539027622766,24715.11496233259,24903.062604631697,14711510
2018-12-10,26923.5,27393.369109947642,26030.748691099478,26218.696335078534,10738720
2018-12-17,25654.85546875,26782.54142342033,25091.012491414836,26594.59376430861,10586630
2018-12-24,24480.18359375,25748.83034428983,24245.2490103167,25654.856510916507,7717730
2018-12-31,23446.470703125,24480.182838332916,21848.915585076404,24480.182838332916,6111290
2019-01-07,24433.1953125,24715.116796875,23540.4439453125,23634.4177734375,8739810
2019-01-14,25137.998046875,25325.945695823597,24198.25980213201,24339.220538843456,9096090
2019-01-21,25044.0234375,25936.774742026264,24856.075794441836,25278.9579913227,9660830
2019-01-28,25560.880859375,25560.880859375,24339.22111241958,25137.998639275047,15405820
2019-02-04,25560.880859375,25560.880859375,25560.880859375,25560.880859375,0
2019-02-11,25607.8671875,26077.736310206423,25184.984977064218,25372.932626146787,15628420
2019-02-18,26030.75,26500.619133574008,25607.867779783395,25607.867779783395,19156300
2019-02-25,24997.037109375,26312.670641447367,24809.08946193609,26218.696817727912,18825430
2019-03-04,24668.126953125,25560.878214285716,24668.126953125,25091.009129464288,11388520
2019-03-11,25231.97265625,25889.789448033054,24668.129691864528,24903.064260358475,10658640
2019-03-18,24527.169921875,25607.86897973539,24386.209175197557,25325.947486380508,12618740
2019-03-25,24057.298828125,24339.22029876709,23869.351181030273,23963.325004577637,8219370
2019-04-01,23869.349609375,24292.23178749385,23775.375792015257,24151.271061454234,5168550
2019-04-08,23399.482421875,24104.28610928087,23352.495509381275,23869.35154681225,6859580
2019-04-15,22741.666015625,23540.4435409672,22741.666015625,23399.482801200927,5713510
2019-04-22,22694.677734375,22929.612286490683,22130.83480929736,22741.664644798137,6970040
2019-04-29,22553.716796875,22741.664436848958,22224.808426920572,22694.67752685547,2619480
2019-05-06,21754.939453125,22459.743107113933,21285.070350465714,22224.80855578429,7956920
2019-05-13,22177.822265625,22647.69138142214,21473.018591929293,21848.913884567002,9704000
2019-05-20,21801.927734375,22835.639825228987,21801.927734375,22130.83612691945,10799190
2019-05-27,21238.0859375,21989.876590154865,21144.112105918142,21801.92892699115,7296760
2019-06-03,20298.345703125,21144.110107421875,19640.52894422743,21050.136284722223,8927400
2019-06-10,19922.451171875,20580.267955852003,19828.47734559257,20486.294129569575,5199750
2019-06-17,19546.556640625,20063.412705641527,18794.76600060096,20016.425790640023,12686160
2019-06-24,19123.671875,19781.488597972973,18747.77660472973,19452.580236486487,9447950
2019-07-01,19546.556640625,19969.438875638523,19311.62206561749,19311.62206561749,8851650
2019-07-08,19546.556640625,19546.556640625,19546.556640625,19546.556640625,0
2019-07-15,19922.451171875,20016.42499815743,19546.555866745282,19546.555866745282,8872830
2019-07-22,19687.517578125,20016.42598635143,19640.53066266408,19875.465239968675,6460970
2019-07-29,19311.62109375,19687.51639484489,19123.673443202555,19687.51639484489,5928390
2019-08-05,18982.712890625,19311.621282294247,18794.765238242573,19170.660543007427,5664920
2019-08-12,19734.501953125,19734.501953125,18935.72449311756,18982.711402529763,6295540
2019-08-19,20345.33203125,20533.279671261545,19734.502201212472,19734.502201212472,4960550
2019-08-26,20204.37109375,20251.358003270347,19687.51508902616,19922.449636627905,8004730
2019-09-02,20862.189453125,21097.12401903857,19969.438102653436,20204.372668567004,8733260
2019-09-09,21285.0703125,21285.0703125,20110.39755794702,20862.188120860927,13203990
2019-09-16,21754.939453125,21801.92636339093,21050.13579913607,21285.070350465714,11312720
