Price,Close,High,Low,Open,Volume
Ticker,TCX.VN,TCX.VN,TCX.VN,TCX.VN,TCX.VN
Date,,,,,
2025-10-20,32491.720703125,34594.52464081503,31677.729374258102,33780.53331194813,36685872
2025-10-27,37036.4921875,37036.4921875,30897.65947807928,31779.480266403978,20713152
2025-11-03,35715.13671875,37942.17765686493,34725.34074625448,37323.555174055226,11826240
2025-11-10,36375.0,36416.24278539541,35014.0306122449,35508.92857142857,13162920
2025-11-17,37076.10546875,37529.76452502329,35962.585021081744,36127.5523021257,10360800
2025-11-24,38767.0078125,39096.938494117734,36828.65490872132,37117.34667163076,15881160
2025-12-01,38354.59375,38973.21622983871,37199.830498837575,38767.01002535597,10025280
2025-12-08,36168.79296875,38313.34816465432,36127.55018430907,38024.660272738474,4459680
2025-12-15,39344.38671875,39344.38671875,36457.48074409111,36457.48074409111,25983720
2025-12-22,38313.34765625,39096.937351888366,36787.41491525708,38395.833224037306,10192200
2025-12-29,38767.0078125,38767.0078125,37529.76292344564,38313.34877558655,3628080
2026-01-05,42066.328125,42066.328125,37612.24632352941,38272.11158291446,26881800
2026-01-12,42891.15625,44953.233709266526,41200.256135825,42066.327586127634,24519240
2026-01-19,45860.54296875,46437.92649922632,41241.49792328128,42148.80827164639,19953480
2026-01-26,46602.890625,46685.37619713127,44128.40078886919,45943.02924629203,15114240
2026-02-02,45283.1640625,46602.89068809301,44210.88642085508,46190.47829243978,13118400
2026-02-09,48005.1015625,48005.1015625,44540.81588273196,44953.232133405865,6909720
2026-02-16,48005.1015625,48005.1015625,48005.1015625,48005.1015625,0
2026-02-23,52376.703125,53448.98077143256,47262.75614510934,48005.10310026813,13369800
2026-03-02,46025.51171875,51881.80571728024,46025.51171875,50562.0752050988,16953240
2026-03-09,40787.83984375,46190.47860775779,40787.83984375,42808.67451525135,13648560
2026-03-16,40292.94140625,44705.784176648085,40292.94140625,40994.04943503681,16102200
2026-03-23,43386.0546875,43880.952664415934,37983.41972829788,40540.391320233386,17261040
2026-03-30,41406.4609375,43551.02003084599,40664.11400515603,41818.87718871007,11414400
2026-04-06,42561.2265625,43633.50423748708,38767.009979446055,41571.43059593023,14610480
2026-04-13,43000.0,44333.33203125,42416.66796875,42416.66796875,5216880
2026-04-20,41916.66796875,43333.33203125,41833.33203125,42666.66796875,7754520
2026-04-27,42166.66796875,43416.66796875,41833.33203125,41916.66796875,2545200
2026-05-04,42416.66796875,43250.0,40958.33203125,42166.66796875,7250760
2026-05-11,42666.66796875,43250.0,41333.33203125,42500.0,5777280
2026-05-18,42500.0,43166.66796875,41500.0,41833.33203125,9790440
2026-05-25,43000.0,43800.0,42500.0,43050.0,3647000
