Price,Close,High,Low,Open,Volume
Ticker,TMP.VN,TMP.VN,TMP.VN,TMP.VN,TMP.VN
Date,,,,,
2017-01-02,12027.1923828125,12027.1923828125,11800.264224646227,11800.264224646227,2000
2017-01-09,12254.119140625,12254.119140625,12027.191008391204,12027.191008391204,1000
2017-01-16,12254.119140625,12254.119140625,12254.119140625,12254.119140625,500
2017-01-23,12934.908203125,12934.908203125,12707.979989035088,12798.751274671053,130
2017-01-30,13615.6923828125,13615.6923828125,12934.907763671876,12934.907763671876,10
2017-02-06,12934.908203125,13615.692845394737,12889.522560307018,13615.692845394737,1880
2017-02-13,12707.9765625,12934.904715401786,12707.9765625,12934.904715401786,3830
2017-02-20,12707.9765625,12707.9765625,12707.9765625,12707.9765625,0
2017-02-27,12027.1923828125,12707.976857311322,11891.035487912737,12707.976857311322,12890
2017-03-06,12254.119140625,12776.053844762731,12027.191008391204,12027.191008391204,4190
2017-03-13,12934.908203125,13071.065131578947,12254.123560855263,12254.123560855263,4100
2017-03-20,11936.4228515625,12254.122319094582,11868.344394234196,12254.122319094582,12100
2017-03-27,12254.119140625,12571.818525752315,11800.262876157407,11800.262876157407,2710
2017-04-03,12344.892578125,12707.977653952204,12072.578771254595,12254.121309168198,7310
2017-04-10,12707.9765625,13161.832868303572,12344.891517857144,12344.891517857144,7610
2017-04-17,12707.9765625,12707.9765625,12707.9765625,12707.9765625,5040
2017-04-24,12481.048828125,13388.761470170455,12481.048828125,12707.976988636363,110
2017-05-01,13978.7724609375,13978.7724609375,12481.046840122768,12481.046840122768,2240
2017-05-08,13615.6923828125,14069.548795572917,13615.6923828125,13615.6923828125,3680
2017-05-15,13388.76171875,14523.402542372882,12934.905389300848,13661.075516419492,16930
2017-05-22,14719.96875,14768.710368377482,14378.777421357616,14378.777421357616,3880
2017-05-29,14135.0673828125,14866.19155778556,14135.0673828125,14622.483499461207,17800
2017-06-05,15109.8984375,15109.8984375,13940.099848790322,13940.099848790322,6170
2017-06-12,14866.19140625,15109.899462090165,14573.741739241805,15109.899462090165,7410
2017-06-19,14086.3251953125,14866.190950070286,14086.3251953125,14866.190950070286,3510
2017-06-26,15109.8984375,15109.8984375,14086.324672379033,14086.324672379033,10540
2017-07-03,17790.6875,17985.653938356165,14622.482876712329,15109.89897260274,14510
2017-07-10,18521.8125,19496.644736842107,18521.8125,18521.8125,390
2017-07-17,17254.533203125,17352.016441560736,15207.385195974577,17352.016441560736,9920
2017-07-24,17059.5625,17303.270535714284,16133.471964285714,16328.438392857142,4110
2017-07-31,17059.5625,17546.97857142857,16572.14642857143,17546.97857142857,1680
2017-08-07,16084.736328125,17059.568832859848,15889.76982717803,15914.140639796402,2230
2017-08-14,16815.857421875,17546.981657608696,15938.508338994565,16084.733186141304,4520
2017-08-21,16913.337890625,17059.562713886888,16815.854675117076,17059.562713886888,280100
2017-08-28,14988.044921875,16572.147230691055,14988.044921875,15841.023088160568,4380
2017-09-04,16035.9892578125,16035.9892578125,14988.044671055755,14988.044671055755,4330
2017-09-11,15572.947265625,16035.992645980048,15572.947265625,16035.992645980048,40
2017-09-18,16523.40625,16767.11430678466,15889.765302359881,16084.73174778761,2140
2017-09-25,15451.09375,16523.409404574133,15451.09375,16523.409404574133,150
2017-10-02,15694.7978515625,16084.73071743983,15109.898552746507,15207.381769215839,16780
2017-10-09,15353.6103515625,15402.35197172619,14914.935770089285,15134.273060825892,15830
2017-10-16,15353.6103515625,15597.318452380952,15109.902250744048,15353.6103515625,9460
2017-10-23,16230.958984375,16230.958984375,15597.317942942944,15597.317942942944,8080
2017-10-30,16084.736328125,16572.152580492424,15109.903823390152,15256.12869910038,25080
2017-11-06,16084.736328125,16084.736328125,15597.320075757576,16084.736328125,17520
2017-11-13,15670.4287109375,16572.14855900078,15597.316290824261,16084.73242491252,17720
2017-11-20,17010.822265625,17059.56387670129,15207.382655802292,16084.731655175501,4430
2017-11-27,16185.8935546875,17652.740158081055,15680.084381103516,17652.740158081055,16700
2017-12-04,16185.8935546875,16944.607315063477,16185.8935546875,16691.702728271484,6290
2017-12-11,16691.705078125,16691.705078125,16691.705078125,16691.705078125,2050
2017-12-18,16236.4765625,17197.514116043614,16185.895638629283,16438.800257982864,10440
2017-12-25,16944.607421875,16944.607421875,16084.731821361938,16919.316963036377,6470
2018-01-01,17450.419921875,17450.419921875,16236.477666440218,16944.610648777172,17970
2018-01-08,17197.51171875,17450.416302849266,15806.536506204044,17450.416302849266,2680
2018-01-15,16919.318359375,16919.318359375,16489.380523636024,16590.542367339312,172480
2018-01-22,17450.419921875,17450.419921875,16641.12508491848,16919.320185122284,5380
2018-01-29,16185.8935546875,17652.740158081055,15123.694290161133,17652.740158081055,7330
2018-02-05,17146.93359375,17146.93359375,15680.086767146018,16185.896017699115,16100
2018-02-12,18360.875,18360.875,16489.38085399449,17197.513774104686,20220
2018-02-19,18841.390625,19372.490226510065,18360.871937919463,18360.871937919463,4130
2018-02-26,18259.7109375,18942.553313279088,18209.130020775625,18841.391479830334,2190
2018-03-05,18158.548828125,18158.548828125,17703.320584522982,18158.548828125,1600
2018-03-12,16792.86328125,17146.929675734187,16438.796886765813,17146.929675734187,23460
2018-03-19,16438.80078125,16792.867259615385,16337.638930288464,16792.867259615385,8020
2018-03-26,16590.544921875,16590.544921875,16438.80213295541,16438.80213295541,2230
2018-04-02,16944.607421875,16944.607421875,16287.055492070895,16590.540998134325,1980
2018-04-09,17298.67578125,17298.67578125,16185.895467836257,17197.51393457602,19430
2018-04-16,16944.607421875,17298.67384561567,16666.412374650186,17298.67384561567,12710
2018-04-23,16944.607421875,16944.607421875,16185.893656716416,16944.607421875,7890
2018-04-30,16944.607421875,16995.188339552238,16008.860444846081,16944.607421875,10170
2018-05-07,16691.705078125,17855.066341145834,16438.800455729168,17197.514322916668,20050
2018-05-14,16084.732421875,16185.89426100629,16034.151502309356,16185.89426100629,13140
2018-05-21,16691.705078125,16691.705078125,15843.87243923611,16691.705078125,30090
2018-05-28,16956.650390625,16956.650390625,15896.859741210938,15896.859741210938,15540
2018-06-04,16956.650390625,16956.650390625,15949.84927368164,16956.650390625,1400
2018-06-11,16241.29296875,16241.29296875,16241.29296875,16241.29296875,1110
2018-06-18,16002.841796875,16691.705847733858,15949.852254501242,16691.705847733858,32050
2018-06-25,15631.91015625,16161.805415783898,15631.910156249998,16161.805415783898,16270
2018-07-02,15896.861328125,15923.35609700521,15631.913639322918,15631.913639322918,8470
2018-07-09,16161.810546875,16320.779175204918,15896.862832991803,15896.862832991803,11310
2018-07-16,18281.392578125,18281.392578125,15631.915392889492,16320.779461050723,12860
2018-07-23,17486.55078125,19447.16405066288,16638.718016098486,19447.16405066288,7040
2018-07-30,17195.10546875,17645.51655190678,16691.704846398305,16956.65254237288,5940
2018-08-06,17115.62109375,17486.547866679564,16691.704781830496,16956.652476780186,20800
2018-08-13,16744.689453125,17645.511354084254,16744.689453125,17645.511354084254,7320
2018-08-20,16797.68359375,17274.58943710568,16744.694055599368,16744.694055599368,24370
