Price,Close,High,Low,Open,Volume
Ticker,TMT.VN,TMT.VN,TMT.VN,TMT.VN,TMT.VN
Date,,,,,
2023-07-17,20150.0,20350.0,19600.0,20350.0,64800
2023-07-24,20800.0,21400.0,19850.0,20900.0,64500
2023-07-31,20350.0,20800.0,19700.0,20800.0,64300
2023-08-07,19750.0,20400.0,19300.0,20350.0,35300
2023-08-14,19050.0,20000.0,18000.0,19700.0,58800
2023-08-21,17750.0,19100.0,17200.0,18200.0,53500
2023-08-28,18300.0,18300.0,17000.0,18200.0,26000
2023-09-04,19100.0,19100.0,18000.0,18300.0,51700
2023-09-11,18100.0,19100.0,17600.0,19100.0,22200
2023-09-18,17500.0,18100.0,17200.0,18100.0,71100
2023-09-25,18050.0,18500.0,17250.0,17450.0,41400
2023-10-02,18350.0,19000.0,17350.0,18050.0,24400
2023-10-09,18700.0,19100.0,18000.0,18350.0,85600
2023-10-16,18200.0,18800.0,17150.0,18800.0,37400
2023-10-23,17150.0,18300.0,16650.0,18100.0,75500
2023-10-30,15250.0,17000.0,14700.0,17000.0,72400
2023-11-06,16300.0,16450.0,14500.0,15800.0,29300
2023-11-13,16400.0,16400.0,16000.0,16300.0,10600
2023-11-20,16200.0,16350.0,15250.0,16350.0,4600
2023-11-27,15700.0,16400.0,15550.0,15800.0,5600
2023-12-04,16100.0,16200.0,15150.0,15500.0,14300
2023-12-11,15000.0,16000.0,14800.0,15350.0,14100
2023-12-18,15400.0,15700.0,14200.0,14650.0,31700
2023-12-25,15700.0,15900.0,15000.0,15400.0,34500
2024-01-01,15400.0,16000.0,14650.0,15700.0,70700
2024-01-08,15250.0,15400.0,14750.0,15400.0,19200
2024-01-15,15300.0,15350.0,14600.0,15250.0,11600
2024-01-22,14750.0,15300.0,14450.0,14800.0,68500
2024-01-29,14800.0,15100.0,14300.0,14900.0,12100
2024-02-05,15100.0,15700.0,14800.0,14800.0,35200
2024-02-12,15400.0,15400.0,14900.0,15000.0,7700
2024-02-19,14800.0,15500.0,14800.0,15400.0,7100
2024-02-26,14450.0,15350.0,13800.0,14500.0,66300
2024-03-04,14300.0,14550.0,13700.0,14450.0,29700
2024-03-11,14100.0,14300.0,13700.0,14300.0,12300
2024-03-18,13000.0,13800.0,12700.0,13800.0,108500
2024-03-25,12600.0,13000.0,12200.0,13000.0,31600
2024-04-01,12350.0,12450.0,11800.0,12050.0,30900
2024-04-08,12400.0,12400.0,12100.0,12300.0,16300
2024-04-15,11800.0,12450.0,11150.0,12450.0,53300
2024-04-22,11000.0,12000.0,10200.0,11000.0,96600
2024-04-29,11100.0,11100.0,10600.0,11000.0,5200
2024-05-06,11300.0,11600.0,10500.0,10600.0,12200
2024-05-13,10950.0,11100.0,10450.0,11000.0,38200
2024-05-20,10000.0,10900.0,10000.0,10500.0,33400
2024-05-27,11000.0,11000.0,9960.0,10100.0,32400
2024-06-03,13950.0,14300.0,11000.0,11000.0,165600
2024-06-10,13650.0,14900.0,12800.0,14850.0,149200
2024-06-17,12850.0,13850.0,11850.0,13600.0,90400
2024-06-24,12050.0,12850.0,11350.0,12850.0,44700
2024-07-01,11700.0,12050.0,11200.0,12050.0,23400
2024-07-08,11700.0,12000.0,11400.0,11500.0,37000
2024-07-15,11250.0,11800.0,10700.0,11700.0,25000
2024-07-22,10150.0,10650.0,9770.0,10650.0,86300
2024-07-29,9720.0,10400.0,9210.0,10150.0,73200
2024-08-05,7800.0,9780.0,6880.0,9780.0,152100
2024-08-12,7530.0,8270.0,7100.0,7810.0,173000
2024-08-19,7600.0,7990.0,7420.0,7530.0,196200
2024-08-26,7110.0,7590.0,7100.0,7560.0,148100
2024-09-02,7250.0,7600.0,6880.0,7110.0,83100
2024-09-09,6950.0,7530.0,6860.0,7100.0,167900
2024-09-16,7040.0,7380.0,6880.0,7000.0,78600
2024-09-23,6910.0,7260.0,6800.0,7030.0,136000
2024-09-30,6800.0,7100.0,6750.0,6910.0,94300
