Price,Close,High,Low,Open,Volume
Ticker,TNI.VN,TNI.VN,TNI.VN,TNI.VN,TNI.VN
Date,,,,,
2023-07-17,3150.0,3210.0,3110.0,3120.0,970500
2023-07-24,3280.0,3340.0,3130.0,3340.0,2829200
2023-07-31,3330.0,3480.0,3200.0,3360.0,3343500
2023-08-07,3510.0,3800.0,3300.0,3330.0,4697300
2023-08-14,3190.0,3600.0,3190.0,3500.0,2807100
2023-08-21,3250.0,3300.0,3010.0,3170.0,1433400
2023-08-28,3230.0,3300.0,3200.0,3250.0,878400
2023-09-04,3290.0,3370.0,3230.0,3230.0,1193500
2023-09-11,3100.0,3340.0,3100.0,3290.0,1665700
2023-09-18,3080.0,3160.0,3000.0,3100.0,1116400
2023-09-25,2900.0,3090.0,2810.0,3020.0,1206000
2023-10-02,2860.0,2940.0,2770.0,2940.0,470600
2023-10-09,2870.0,2930.0,2800.0,2850.0,637500
2023-10-16,2720.0,2880.0,2700.0,2870.0,611700
2023-10-23,2570.0,2850.0,2540.0,2730.0,686800
2023-10-30,2580.0,2640.0,2480.0,2530.0,499900
2023-11-06,2720.0,2750.0,2570.0,2640.0,815500
2023-11-13,2740.0,2790.0,2680.0,2700.0,727200
2023-11-20,2690.0,2760.0,2620.0,2720.0,442800
2023-11-27,2740.0,2780.0,2620.0,2650.0,394800
2023-12-04,2750.0,2820.0,2700.0,2700.0,428400
2023-12-11,2700.0,2750.0,2650.0,2750.0,430100
2023-12-18,2680.0,2720.0,2640.0,2700.0,390500
2023-12-25,2670.0,2720.0,2650.0,2660.0,694000
2024-01-01,2740.0,2800.0,2670.0,2670.0,1102200
2024-01-08,2680.0,2770.0,2650.0,2750.0,533300
2024-01-15,2690.0,2700.0,2650.0,2700.0,700600
2024-01-22,2810.0,3000.0,2650.0,2690.0,1167400
2024-01-29,2720.0,2810.0,2710.0,2800.0,488000
2024-02-05,2700.0,2750.0,2680.0,2750.0,394600
2024-02-12,2750.0,2760.0,2700.0,2710.0,158600
2024-02-19,2800.0,3000.0,2740.0,2770.0,2033100
2024-02-26,2830.0,2940.0,2720.0,2800.0,1560700
2024-03-04,2810.0,2900.0,2800.0,2860.0,1205400
2024-03-11,2810.0,2840.0,2770.0,2820.0,746500
2024-03-18,2790.0,2830.0,2750.0,2800.0,899300
2024-03-25,2770.0,2810.0,2750.0,2810.0,519700
2024-04-01,2700.0,2800.0,2640.0,2770.0,1285000
2024-04-08,2720.0,2750.0,2660.0,2690.0,492800
2024-04-15,2550.0,2730.0,2500.0,2730.0,689400
2024-04-22,2440.0,2620.0,2350.0,2550.0,950000
2024-04-29,2370.0,2440.0,2270.0,2440.0,531800
2024-05-06,2540.0,2590.0,2340.0,2370.0,1269900
2024-05-13,2490.0,2590.0,2440.0,2590.0,1376900
2024-05-20,2510.0,2580.0,2480.0,2520.0,1398000
2024-05-27,2590.0,2680.0,2460.0,2480.0,1201700
2024-06-03,2720.0,2720.0,2510.0,2590.0,1755600
2024-06-10,2600.0,3010.0,2590.0,2910.0,3539400
2024-06-17,2650.0,2700.0,2560.0,2560.0,1031500
2024-06-24,2670.0,2780.0,2610.0,2630.0,981000
2024-07-01,2670.0,2710.0,2620.0,2660.0,678900
2024-07-08,2630.0,2670.0,2540.0,2660.0,671000
2024-07-15,2500.0,2650.0,2500.0,2650.0,660700
2024-07-22,2480.0,2540.0,2410.0,2510.0,355700
2024-07-29,2450.0,2580.0,2390.0,2460.0,420900
2024-08-05,2400.0,2460.0,2330.0,2450.0,728900
2024-08-12,2390.0,2430.0,2250.0,2400.0,323900
2024-08-19,2390.0,2430.0,2370.0,2390.0,385400
2024-08-26,2380.0,2420.0,2380.0,2390.0,405400
2024-09-02,2350.0,2410.0,2340.0,2380.0,246300
2024-09-09,2290.0,2360.0,2280.0,2350.0,307300
2024-09-16,2350.0,2420.0,2280.0,2300.0,388600
2024-09-23,2380.0,2420.0,2320.0,2350.0,1081300
2024-09-30,2310.0,2400.0,2310.0,2380.0,454600
2024-10-07,2300.0,2360.0,2280.0,2310.0,372900
2024-10-14,2250.0,2330.0,2230.0,2300.0,422500
2024-10-21,2240.0,2300.0,2230.0,2300.0,290700
2024-10-28,2270.0,2380.0,2230.0,2270.0,593700
2024-11-04,2300.0,2350.0,2270.0,2330.0,361000
2024-11-11,2240.0,2330.0,2230.0,2290.0,348100
2024-11-18,2230.0,2270.0,2220.0,2240.0,247600
2024-11-25,2250.0,2290.0,2210.0,2230.0,188900
2024-12-02,2250.0,2260.0,2220.0,2250.0,204100
2024-12-09,2270.0,2340.0,2230.0,2240.0,215900
2024-12-16,2250.0,2270.0,2180.0,2270.0,427200
2024-12-23,2260.0,2330.0,2210.0,2260.0,712100
2024-12-30,2260.0,2280.0,2210.0,2250.0,220000
2025-01-06,2220.0,2290.0,2210.0,2260.0,405900
2025-01-13,2250.0,2260.0,2200.0,2240.0,265900
2025-01-20,2260.0,2270.0,2220.0,2260.0,343500
2025-01-27,2260.0,2260.0,2260.0,2260.0,0
2025-02-03,2310.0,2330.0,2210.0,2250.0,516700
2025-02-10,2300.0,2340.0,2250.0,2260.0,448400
2025-02-17,2360.0,2430.0,2290.0,2300.0,944100
2025-02-24,2370.0,2430.0,2320.0,2390.0,406700
2025-03-03,2300.0,2410.0,2280.0,2410.0,624700
2025-03-10,2260.0,2320.0,2240.0,2300.0,360700
2025-03-17,2290.0,2310.0,2230.0,2270.0,366300
2025-03-24,2300.0,2320.0,2250.0,2270.0,289100
2025-03-31,1970.0,2300.0,1970.0,2270.0,1067500
2025-04-07,1940.0,2020.0,1730.0,1980.0,631200
2025-04-14,1920.0,1960.0,1870.0,1890.0,401400
2025-04-21,1910.0,1950.0,1840.0,1920.0,249000
2025-04-28,1910.0,1910.0,1870.0,1900.0,109600
2025-05-05,1910.0,1970.0,1860.0,1910.0,305100
2025-05-12,2170.0,2190.0,1880.0,1910.0,741500
2025-05-19,2170.0,2210.0,2090.0,2100.0,626300
2025-05-26,2220.0,2240.0,2110.0,2180.0,420100
