Price,Close,High,Low,Open,Volume
Ticker,TPC.VN,TPC.VN,TPC.VN,TPC.VN,TPC.VN
Date,,,,,
2023-07-17,6490.0,6490.0,6200.0,6480.0,10900
2023-07-24,6500.0,6500.0,6050.0,6350.0,591100
2023-07-31,6150.0,6790.0,6030.0,6790.0,126600
2023-08-07,6160.0,6230.0,6050.0,6150.0,50600
2023-08-14,5680.0,6160.0,5680.0,6160.0,53500
2023-08-21,5910.0,6160.0,5580.0,5810.0,24600
2023-08-28,5600.0,6000.0,5320.0,5580.0,63600
2023-09-04,5700.0,5990.0,5500.0,5600.0,24800
2023-09-11,5720.0,5870.0,5300.0,5700.0,13300
2023-09-18,5600.0,5750.0,5360.0,5400.0,9000
2023-09-25,5710.0,5710.0,5300.0,5480.0,7300
2023-10-02,5300.0,5700.0,5300.0,5700.0,5100
2023-10-09,5500.0,5550.0,5400.0,5500.0,2600
2023-10-16,5840.0,5840.0,5110.0,5500.0,7600
2023-10-23,5740.0,6000.0,5440.0,5840.0,26400
2023-10-30,5670.0,5810.0,5000.0,5550.0,6600
2023-11-06,5700.0,5730.0,5300.0,5670.0,9100
2023-11-13,5700.0,5910.0,5330.0,5330.0,18700
2023-11-20,5900.0,5910.0,5700.0,5700.0,61500
2023-11-27,5740.0,5890.0,5400.0,5490.0,54900
2023-12-04,5800.0,5970.0,5530.0,5600.0,1298600
2023-12-11,5320.0,5890.0,5320.0,5890.0,3800
2023-12-18,5800.0,5880.0,5320.0,5320.0,3300
2023-12-25,5800.0,6190.0,5700.0,5800.0,3600
2024-01-01,5900.0,5980.0,5500.0,5800.0,15900
2024-01-08,5890.0,5890.0,5880.0,5880.0,2900
2024-01-15,5600.0,5920.0,5480.0,5480.0,4000
2024-01-22,5950.0,5950.0,5500.0,5670.0,25500
2024-01-29,5510.0,5910.0,5510.0,5910.0,800
2024-02-05,5510.0,5510.0,5510.0,5510.0,0
2024-02-12,6040.0,6040.0,5510.0,5510.0,1200
2024-02-19,5870.0,6020.0,5560.0,6010.0,5300
2024-02-26,5810.0,5870.0,5450.0,5870.0,5100
2024-03-04,5600.0,5880.0,5450.0,5790.0,1092200
2024-03-11,5790.0,5990.0,5210.0,5600.0,6300
2024-03-18,5760.0,5790.0,5520.0,5790.0,2600
2024-03-25,5500.0,5770.0,5500.0,5760.0,4500
2024-04-01,5600.0,5780.0,5200.0,5520.0,3300
2024-04-08,5780.0,5790.0,5450.0,5580.0,15300
2024-04-15,5300.0,6040.0,5300.0,5380.0,32800
2024-04-22,5300.0,5620.0,5300.0,5300.0,88000
2024-04-29,5630.0,5630.0,4940.0,5300.0,200
2024-05-06,5310.0,6000.0,5250.0,5250.0,89100
2024-05-13,5430.0,5800.0,5110.0,5680.0,7200
2024-05-20,5850.0,5850.0,5100.0,5430.0,1200
2024-05-27,6190.0,6200.0,5450.0,5850.0,7500
2024-06-03,6090.0,6190.0,5500.0,6190.0,6300
2024-06-10,5900.0,6190.0,5850.0,6090.0,3000
2024-06-17,6000.0,6010.0,5580.0,5890.0,27300
2024-06-24,6000.0,6400.0,5770.0,6000.0,53900
2024-07-01,6000.0,6400.0,6000.0,6000.0,69600
2024-07-08,6120.0,6450.0,6010.0,6030.0,77200
2024-07-15,6480.0,6500.0,6100.0,6390.0,40000
2024-07-22,6500.0,6500.0,6300.0,6480.0,5900
