Price,Close,High,Low,Open,Volume
Ticker,TSC.VN,TSC.VN,TSC.VN,TSC.VN,TSC.VN
Date,,,,,
2023-07-17,4980.0,5080.0,4750.0,4990.0,9044100
2023-07-24,5190.0,5480.0,5000.0,5060.0,15346700
2023-07-31,5750.0,5930.0,5290.0,5370.0,28120900
2023-08-07,6040.0,6490.0,5800.0,6150.0,25620500
2023-08-14,5480.0,6220.0,5480.0,6020.0,13886200
2023-08-21,5260.0,5600.0,4770.0,5150.0,24077200
2023-08-28,5390.0,5660.0,5250.0,5300.0,31023300
2023-09-04,5610.0,5740.0,5280.0,5390.0,24017000
2023-09-11,4800.0,5750.0,4730.0,5700.0,28444400
2023-09-18,4550.0,4900.0,4460.0,4750.0,11213900
2023-09-25,4100.0,4640.0,3780.0,4560.0,9713900
2023-10-02,3780.0,4200.0,3720.0,4130.0,6635600
2023-10-09,3980.0,4090.0,3780.0,3780.0,6072800
2023-10-16,3640.0,3990.0,3410.0,3980.0,5382800
2023-10-23,3470.0,3730.0,3250.0,3670.0,5276800
2023-10-30,3500.0,3580.0,3190.0,3470.0,4230900
2023-11-06,3680.0,3800.0,3420.0,3510.0,5486900
2023-11-13,3800.0,4000.0,3660.0,3720.0,7939100
2023-11-20,3720.0,3910.0,3630.0,3700.0,7987200
2023-11-27,3640.0,3740.0,3550.0,3710.0,3776500
2023-12-04,3860.0,3970.0,3650.0,3670.0,6832000
2023-12-11,3720.0,3910.0,3710.0,3870.0,4688400
2023-12-18,3720.0,3880.0,3690.0,3710.0,2924500
2023-12-25,3740.0,3770.0,3710.0,3750.0,2630700
2024-01-01,3850.0,4080.0,3740.0,3740.0,8172100
2024-01-08,3660.0,3910.0,3660.0,3850.0,5118900
2024-01-15,3690.0,3750.0,3640.0,3660.0,2234900
2024-01-22,3690.0,3730.0,3640.0,3730.0,2560600
2024-01-29,3620.0,3750.0,3600.0,3700.0,2871200
2024-02-05,3510.0,3590.0,3480.0,3580.0,1757100
2024-02-12,3620.0,3640.0,3520.0,3600.0,712300
2024-02-19,3720.0,3910.0,3620.0,3630.0,6717000
2024-02-26,3700.0,3760.0,3640.0,3720.0,3594900
2024-03-04,3690.0,3830.0,3690.0,3700.0,5402000
2024-03-11,3650.0,3700.0,3600.0,3700.0,3880300
2024-03-18,3640.0,3690.0,3550.0,3620.0,3305000
2024-03-25,3590.0,3660.0,3590.0,3640.0,2901300
2024-04-01,3480.0,3630.0,3420.0,3580.0,4263200
2024-04-08,3200.0,3480.0,3060.0,3480.0,6847400
2024-04-15,2800.0,3200.0,2750.0,3160.0,5213200
2024-04-22,2900.0,2970.0,2700.0,2850.0,2211100
2024-04-29,3000.0,3090.0,2900.0,2900.0,969000
2024-05-06,3080.0,3080.0,2970.0,3040.0,2143600
2024-05-13,3190.0,3270.0,3080.0,3080.0,2735700
2024-05-20,3130.0,3300.0,3120.0,3210.0,3459200
2024-05-27,3230.0,3320.0,3100.0,3150.0,3940200
2024-06-03,3260.0,3350.0,3190.0,3230.0,2718200
2024-06-10,3290.0,3350.0,3170.0,3260.0,3978500
2024-06-17,3190.0,3360.0,3150.0,3300.0,2633400
2024-06-24,3060.0,3240.0,3060.0,3200.0,2135100
2024-07-01,3090.0,3170.0,3030.0,3060.0,859000
2024-07-08,3060.0,3120.0,3040.0,3090.0,1286700
2024-07-15,2960.0,3140.0,2930.0,3100.0,1500900
2024-07-22,2850.0,3000.0,2800.0,3000.0,963300
2024-07-29,2830.0,2940.0,2750.0,2860.0,1127100
2024-08-05,2690.0,2830.0,2590.0,2830.0,1166000
2024-08-12,2700.0,2730.0,2530.0,2710.0,767000
2024-08-19,2760.0,2830.0,2660.0,2740.0,1368300
2024-08-26,2690.0,2800.0,2660.0,2770.0,1052100
2024-09-02,2630.0,2700.0,2600.0,2660.0,974400
2024-09-09,2670.0,2740.0,2620.0,2650.0,1427200
2024-09-16,2900.0,3170.0,2620.0,2670.0,4518700
2024-09-23,2880.0,3060.0,2860.0,2900.0,3045000
2024-09-30,2760.0,2940.0,2700.0,2800.0,1515100
2024-10-07,2780.0,2880.0,2700.0,2770.0,1163000
2024-10-14,2670.0,2830.0,2670.0,2770.0,1317300
2024-10-21,2690.0,2760.0,2660.0,2760.0,766200
2024-10-28,2640.0,2780.0,2600.0,2690.0,1716700
2024-11-04,2620.0,2670.0,2590.0,2640.0,1405700
