Price,Close,High,Low,Open,Volume
Ticker,TVT.VN,TVT.VN,TVT.VN,TVT.VN,TVT.VN
Date,,,,,
2023-07-17,16881.087890625,17139.47188895089,16751.895891462053,16794.959891183036,8300
2023-07-24,16149.0,17010.280000000002,16149.0,16967.216,36600
2023-07-31,15416.91015625,16148.998068697627,14943.206212901538,16148.998068697627,281000
2023-08-07,15244.6552734375,15761.423248808263,15072.399281647246,15416.911265227754,53600
2023-08-14,14254.18359375,15503.039558157101,14168.055596204684,15459.975559384442,249000
2023-08-21,14254.18359375,14900.14357533988,13952.73560234139,14900.14357533988,59400
2023-08-28,13694.3515625,14943.2075226022,13177.583579009433,14426.439539111634,287800
2023-09-04,14211.1201171875,14469.50411931818,13694.352112926135,13694.352112926135,138400
2023-09-11,14254.18359375,14512.567586385952,14038.863599886708,14383.375590067977,186800
2023-09-18,14469.50390625,14727.887904575893,14124.991908482143,14254.183907645089,93900
2023-09-25,14211.1201171875,14814.01612215909,13995.800115411932,14641.760120738636,63600
2023-10-02,14038.86328125,14383.375263611964,13780.479294478528,14383.375263611964,62700
2023-10-09,13952.7353515625,14168.055341555748,13909.67135356385,14038.863347559798,32500
2023-10-16,14081.927734375,14168.055732750383,13780.479740061162,13995.799735999617,74500
2023-10-23,13909.671875,14168.055872678018,13263.711880804953,14124.991873065015,19200
2023-10-30,13823.54296875,14038.862952686917,13522.094991238318,13909.670962324766,5300
2023-11-06,14038.86328125,14038.86328125,13780.479294478528,13780.479294478528,10600
2023-11-13,13866.607421875,14081.927412897903,13608.223432647515,14038.863414693322,19700
2023-11-20,13608.2236328125,13866.607625840585,13263.711642108387,13866.607625840585,19200
2023-11-27,13349.83984375,13608.223840725806,13349.83984375,13608.223840725806,21600
2023-12-04,13565.16015625,13608.224156746031,13306.77615327381,13349.840153769841,17100
2023-12-11,13909.671875,13952.735874613003,13565.159878095976,13565.159878095976,22800
2023-12-18,13866.607421875,13909.671420079581,13651.287430852097,13651.287430852097,30600
2023-12-25,13909.671875,14124.991873065015,13780.47987616099,13909.671875,39800
2024-01-01,14211.1201171875,14211.1201171875,13866.60811434659,13909.672114701703,19200
2024-01-08,13995.7998046875,14340.311799879808,13952.735805288461,14211.119801682691,23400
2024-01-15,14168.0556640625,14254.183662020327,13823.543672231193,14254.183662020327,8300
2024-01-22,14124.9921875,14211.120188643294,13866.608184070123,14168.056188071647,5800
2024-01-29,14124.9921875,14168.056188071647,13866.608184070123,14124.9921875,43800
2024-02-05,14124.9921875,14254.18418921494,14124.9921875,14124.9921875,9100
2024-02-12,14297.248046875,14297.248046875,13780.480045180722,14124.99204631024,9100
2024-02-19,14168.0556640625,14297.24766099924,14124.991665083588,14254.183662020327,44000
2024-02-26,14426.4404296875,14426.4404296875,14124.992420708955,14297.248425839553,22100
2024-03-04,14383.3759765625,14512.567976351984,14297.247976702845,14426.439976492327,19500
2024-03-11,14986.2705078125,15072.39849923671,14211.118584994612,14340.310572130928,32900
2024-03-18,14727.8876953125,14900.143691748903,14469.503700657895,14900.143691748903,23900
2024-03-25,15029.3359375,15029.3359375,14512.567939648996,14727.887938753582,27400
2024-04-01,14770.9521484375,14900.144149735786,14555.632146273687,14900.144149735786,20900
2024-04-08,14469.50390625,14900.143903459822,14038.86390904018,14900.143903459822,11300
2024-04-15,13952.7353515625,14383.375331548996,13780.4793595679,14254.183337553048,36100
2024-04-22,14426.4404296875,14426.4404296875,14081.928419426307,14211.120423274255,14900
2024-04-29,14038.86328125,14426.43926140721,13823.543292273775,14426.43926140721,23200
2024-05-06,14124.9921875,14254.18418921494,14038.864186356708,14038.864186356708,21900
2024-05-13,14383.3759765625,14814.015975860779,13780.47997754491,14211.119976843189,45400
2024-05-20,14469.50390625,14857.079903738839,14254.183907645089,14340.311907087054,56300
2024-05-27,14512.5673828125,14727.887373655414,14340.311390138168,14598.695379149665,41400
2024-06-03,15072.3994140625,15330.783404017857,14512.567435825893,14512.567435825893,89700
2024-06-10,15503.0400390625,15675.296039496528,14641.760036892361,15072.40003797743,81100
2024-06-17,14469.50390625,15675.2958984375,14254.183907645089,15675.2958984375,56500
2024-06-24,15183.8603515625,15411.846242727102,15047.068816863739,15411.846242727102,26700
2024-07-01,15320.6513671875,15457.442897251673,15138.262660435266,15183.859837123326,25900
2024-07-08,15457.4423828125,15685.428258665192,15092.664981448192,15411.84520764196,28700
2024-07-15,15092.6650390625,15457.442441819298,14591.096110271905,15457.442441819298,55700
2024-07-22,14955.8740234375,15092.665554139672,14591.096608231706,15092.665554139672,15900
2024-07-29,14955.8740234375,15320.651438643292,14317.513546827362,15001.471200338225,19300
2024-08-05,14773.4853515625,15092.665590639468,13952.736165364584,14408.707935474536,26500
2024-08-12,14864.6796875,14910.276864455522,14180.722033167178,14773.485333588957,40300
2024-08-19,14819.0830078125,14910.277364783653,14135.125330528846,14591.097115384615,53100
