Price,Close,High,Low,Open,Volume
Ticker,VCA.VN,VCA.VN,VCA.VN,VCA.VN,VCA.VN
Date,,,,,
2021-03-08,14216.9453125,14216.9453125,14216.9453125,14216.9453125,8920
2021-03-15,12191.626953125,15170.037446559445,11635.65699435057,15170.037446559445,62900
2021-03-22,11516.5205078125,12469.61186018319,11278.247669719827,12191.626882408405,12180
2021-03-29,12151.9150390625,12271.051461014093,11476.808648003473,11516.520788654003,12120
2021-04-05,11675.369140625,12151.914819834183,11198.823461415815,12151.914819834183,6940
2021-04-12,13422.7041015625,13899.249809310282,11595.945555196007,11675.369839820636,66590
2021-04-19,12390.1875,14137.521634615385,11437.096153846154,13502.127403846154,36220
2021-04-26,12231.3388671875,12509.323841441761,11278.247526887175,11913.641753754058,17810
2021-05-03,11993.06640625,12231.339248758279,11516.520721233444,12231.339248758279,19710
2021-05-10,11993.06640625,13065.294197537252,11675.369282905629,11993.06640625,51740
2021-05-17,11516.5205078125,12231.339022090517,11357.671949084051,11754.793345905173,21600
2021-05-24,11357.671875,11913.641826923078,10881.126201923078,11516.520432692309,22130
2021-05-31,11675.369140625,11834.217700361394,11397.38416108631,11834.217700361394,19260
2021-06-07,10801.7021484375,11397.384252211627,10642.853587431067,11159.111410701977,72200
2021-06-14,11675.369140625,11760.590813184306,11377.093286667427,11675.369140625,95400
2021-06-21,11675.369140625,11888.423322023267,11504.925795506388,11675.369140625,93400
2021-06-28,11419.7041015625,11717.97995496152,11078.817411963619,11632.758282561801,114100
2021-07-05,10993.595703125,11419.70406371124,10780.54152283188,11419.70406371124,22400
2021-07-12,11078.8173828125,11078.8173828125,10226.600661057691,10993.595710637019,62800
2021-07-19,11377.0927734375,12357.141963658709,11249.260270365168,12357.141963658709,145300
2021-07-26,11504.92578125,11675.369126157408,11291.87160011574,11377.093272569444,39400
2021-08-02,11675.369140625,11803.20164946396,11334.482450387773,11504.925795506388,52100
2021-08-09,12442.3642578125,13209.359314800942,11547.536691325986,11675.36920082406,262700
2021-08-16,12911.0830078125,13422.413027923885,12271.920482673268,12357.142152691831,344200
2021-08-23,12911.0830078125,13124.13718285891,12357.142152691831,12911.0830078125,153500
2021-08-30,13805.9111328125,14061.57615379051,12612.807701581789,13038.916069878473,305600
2021-09-06,14871.181640625,15297.2899970899,13891.13242075573,13891.13242075573,508900
2021-09-13,14913.79296875,14999.014642857142,13891.132879464285,14913.79296875,315300
2021-09-20,14359.8515625,14999.01409495549,14232.019056008901,14999.01409495549,2532200
2021-09-27,14402.462890625,14487.684564534024,13976.35452107988,14359.852053670487,116400
2021-10-04,14828.5712890625,14999.014637212644,14359.852081649606,14359.852081649606,4630100
2021-10-11,15936.453125,16660.837357954544,14828.57135695187,14828.57135695187,530300
