Price,Close,High,Low,Open,Volume
Ticker,VDP.VN,VDP.VN,VDP.VN,VDP.VN,VDP.VN
Date,,,,,
2017-08-14,27279.818359375,27279.818359375,22316.863453030874,22316.863453030874,603830
2017-08-21,25636.45703125,31223.889973958336,25242.050000000003,28725.97877604167,32327650
2017-08-28,25702.19140625,27411.288533008308,25439.25338674872,25439.25338674872,295590
2017-09-04,24190.294921875,25702.188354492188,24190.294921875,25702.188354492188,164110
2017-09-11,23532.955078125,24190.300192039103,22514.070151558135,23927.36214647346,185200
2017-09-18,25110.58203125,25570.723586796463,23171.41404716132,23532.95384080497,222640
2017-09-25,23993.09375,24979.111301369863,23664.42123287671,24979.111301369863,137050
2017-10-02,24190.294921875,24321.763916015625,23664.4189453125,23993.091430664062,53790
2017-10-09,23105.6796875,24584.70612553343,22777.007145714793,23861.626533605977,87890
2017-10-16,26230.447265625,26432.219936899037,23405.629867788462,23540.144981971152,282000
2017-10-23,27710.111328125,29122.51991523817,25894.15743040807,25961.414982175364,620540
2017-10-30,26432.21875,27710.112277353688,25591.499324109413,27710.112277353688,225350
2017-11-06,26163.1875,27037.53566838046,25557.869537275063,26230.44505141388,173930
2017-11-13,26230.447265625,26297.704822716347,25356.0990234375,25692.38680889423,125080
2017-11-20,26230.447265625,26566.73505108173,25557.87169471154,26230.447265625,149200
2017-11-27,25894.158203125,26230.445971996756,25490.612880478897,25894.158203125,142080
2017-12-04,25557.869140625,26230.444644325657,25154.323838404605,25557.869140625,125230
2017-12-11,25524.240234375,25759.641659461464,24885.293509140316,25456.982684350296,110700
2017-12-18,25154.32421875,25524.24075137868,24683.521359040777,25524.24075137868,113820
2017-12-25,25221.58203125,25557.869791666668,24683.521614583336,24750.779166666667,61260
2018-01-01,25894.158203125,25894.158203125,24885.294896509742,25221.582665381495,105420
2018-01-08,25221.58203125,26163.18776041667,24885.294270833336,25759.642447916667,294130
2018-01-15,25154.32421875,25490.611975685162,24549.00625626671,25221.581770137032,109680
2018-01-22,24145.458984375,25154.32217313719,24078.201438457523,25154.32217313719,94330
2018-01-29,23741.91796875,24885.29645449717,23674.660410764875,24885.29645449717,52050
2018-02-05,23876.4296875,24380.861300616198,21791.44568661972,23641.028268045775,120410
2018-02-12,23472.880859375,24212.713780444126,23002.07809142192,24212.713780444126,2170
2018-02-19,24885.29296875,24885.29296875,22396.763671875,23472.884448902027,18390
2018-02-26,23674.65625,24750.776988636364,22867.565696022728,23943.686434659092,317690
2018-03-05,24549.005859375,24818.036060573628,23876.430356378423,24212.71810787671,78920
2018-03-12,24212.716796875,24818.034716796876,24179.088023546006,24414.48943684896,16410
2018-03-19,23540.142578125,24212.718080357146,22867.567075892857,24145.46053013393,30460
2018-03-26,24627.79296875,24766.151356214887,23520.9258690309,24524.024178151336,12980
2018-04-02,24489.431640625,24869.91716046522,23866.81897179555,24281.894084348518,39110
2018-04-09,24212.71875,24489.43553571429,23797.643571428573,24212.71875,51030
2018-04-16,24178.130859375,24558.616466604075,22829.136433744636,24558.616466604075,27920
2018-04-23,23659.287109375,24385.66873115406,22275.703067891085,24385.66873115406,49090
2018-04-30,23175.029296875,24212.717175839553,22137.341417910447,23659.283640391794,10910
2018-05-07,23486.337890625,23486.337890625,22137.34351988218,23175.031497376658,12660
2018-05-14,22759.955078125,23451.747025788372,22621.596688592323,22829.134272891337,32500
2018-05-21,22829.13671875,23520.928740530304,22137.3446969697,22759.957516571973,36880
2018-05-28,22552.419921875,22967.495135161043,22137.34470858896,22829.136730732364,53680
2018-06-04,23866.82421875,23866.82421875,22344.881804800723,22344.881804800723,12470
2018-06-11,22829.13671875,24212.720762310608,22690.77831439394,23105.853527462124,37730
2018-06-18,22137.34375,22759.95654296875,21998.9853515625,22483.23974609375,24880
2018-06-25,22068.166015625,22137.345219435738,21998.986811814262,22137.345219435738,57490
2018-07-02,21445.55078125,22794.545104586694,21445.55078125,21998.984349798386,37170
2018-07-09,21445.55078125,21791.446761592742,21307.192389112904,21722.267565524195,23630
2018-07-16,21860.626953125,21860.626953125,21030.4765625,21791.44775390625,12510
2018-07-23,21583.91015625,21791.44775390625,21445.5517578125,21791.44775390625,5050
2018-07-30,21445.55078125,22483.238722278227,21341.781987147177,21445.55078125,14050
2018-08-06,22829.13671875,22829.13671875,21445.552675189396,21445.552675189396,18050
2018-08-13,22137.34375,22483.23974609375,21929.80615234375,22137.34375,7030
2018-08-20,22829.13671875,22829.13671875,21099.656664299244,22483.24070785985,8630
2018-08-27,22414.05859375,22414.05859375,21514.729082272377,21860.62504822531,3250
2018-09-03,22137.34375,22759.95654296875,22137.34375,22414.060546875,4020
2018-09-10,22829.13671875,22829.13671875,22137.3446969697,22137.3446969697,14550
2018-09-17,21826.033203125,22759.952214986133,21826.033203125,22759.952214986133,8210
2018-09-24,24558.61328125,25596.30116637324,21895.214376100354,21895.214376100354,5870
2018-10-01,23451.748046875,25042.869595778026,22379.47048130992,25042.869595778026,3240
2018-10-08,22725.365234375,24835.33065187405,21410.96054806412,24835.33065187405,17050
2018-10-15,23036.673828125,24178.13063942849,22137.34421921922,24178.13063942849,3570
2018-10-22,22344.880859375,22759.95604561726,20753.759312113,21583.909684597522,22860
2018-10-29,23451.748046875,23866.823233545354,20822.93853129609,21445.551311301624,3710
2018-11-05,23728.462890625,24143.538043230685,22137.341472303204,24143.538043230685,2760
2018-11-12,23244.2109375,23866.82373046875,21445.5517578125,22068.16455078125,5190
2018-11-19,22275.703125,23313.39115877329,20753.760675465837,21791.448709239132,14410
2018-11-26,23659.287109375,23936.003917671784,22137.344663742693,23313.39109900402,7370
2018-12-03,22137.34375,23520.927734375,21791.44775390625,22033.574951171875,10970
2018-12-10,23451.748046875,23451.748046875,21583.90970685841,21791.447300193584,7090
2018-12-17,23866.82421875,23866.82421875,21826.037800045287,23451.74901494565,3930
2018-12-24,22344.880859375,23451.74802268769,21514.73048689048,22206.52246396091,228430
2018-12-31,22759.955078125,24143.538973451745,21653.0879618636,22344.879909526975,6850
2019-01-07,23105.8515625,24143.539506923655,21445.55085142216,23244.20995508982,12900
2019-01-14,22829.13671875,23866.824751420456,22275.70310132576,23417.15993726326,360
2019-01-21,21134.2421875,23659.282579787232,21134.2421875,23382.565824468085,1410
2019-01-28,19543.12109375,22552.41584623894,18989.687576050885,22552.41584623894,25380
2019-02-04,19543.12109375,19543.12109375,19543.12109375,19543.12109375,0
2019-02-11,20892.12109375,21445.554765107616,19612.30572873551,20407.866631312085,33100
2019-02-18,19923.607421875,21791.44561767578,19750.659440782336,20892.116115993922,31520
2019-02-25,20200.32421875,21307.19129922945,19923.607448630137,20719.16816272474,6030
2019-03-04,23036.673828125,23244.21143018018,20338.68500140766,21445.55221236862,24140
2019-03-11,24212.71875,24696.973125,22483.238839285714,23036.672410714287,92660
2019-03-18,21964.396484375,25596.304564468504,21964.396484375,24558.616541584644,19440
2019-03-25,23866.82421875,24212.720221920288,20753.760190217392,23486.33861526268,66840
2019-04-01,22690.77734375,23970.592529296875,21168.8349609375,22206.52294921875,8340
2019-04-08,23697.2109375,24714.88257285276,22970.30262653374,23987.974261886502,29130
2019-04-15,24278.736328125,25260.06249707616,22970.30143619012,23697.209709487277,36120
2019-04-22,22606.849609375,24969.301738972066,22606.849609375,24206.04797402532,33360
2019-04-29,22933.95703125,24169.701150208002,22606.848293878764,22606.848293878764,1630
2019-05-06,23697.2109375,24351.428417369632,22534.157639953988,22970.30262653374,3450
2019-05-13,23224.72265625,23987.97645246479,22388.77802230047,23987.97645246479,6370
2019-05-20,23261.06640625,23624.520568847656,22061.667669677732,23551.829736328124,8910
2019-05-27,22679.541015625,23951.630655924477,22534.159342447914,23951.630655924477,27690
2019-06-03,24206.046875,24714.882695195196,23115.684403153155,23551.829391891893,47050
2019-06-10,24315.083984375,24678.53815454503,23842.59356315396,24206.04773332399,5650
2019-06-17,24278.736328125,24569.499637443863,22897.610608860403,24315.081741789858,50130
2019-06-24,24460.466796875,24460.466796875,22897.61379202266,24278.73970328752,360
2019-07-01,24169.701171875,24460.46449424342,24169.701171875,24460.46449424342,60
2019-07-08,24169.701171875,24169.701171875,24169.701171875,24169.701171875,0
2019-07-15,23551.830078125,23624.52091169946,23115.68507667824,23261.066743827163,234320
2019-07-22,23261.06640625,23551.829736328124,23188.375573730467,23551.829736328124,2480
2019-07-29,24060.666015625,24060.666015625,23261.0668429003,23261.0668429003,210
2019-08-05,24133.357421875,24278.739093091113,22679.540709713856,24278.739093091113,2550
2019-08-12,25005.646484375,25369.10064839208,22534.158169058865,23915.283992323763,25190
2019-08-19,26168.697265625,27040.987174479167,25005.644053819444,25005.644053819444,122850
2019-08-26,27113.681640625,27985.97166659685,24387.77530946297,27549.826653610926,23610
2019-09-02,27549.82421875,27913.278364116097,24424.118568601585,27113.679244310686,10200
2019-09-09,25950.625,26023.31582633053,22715.883228291317,26023.31582633053,37440
2019-09-16,23261.06640625,24714.883056640625,23261.06640625,24714.883056640625,4270
2019-09-23,24351.427734375,25005.645195895526,23479.13778568097,24642.191050606347,2170
2019-09-30,23297.412109375,25441.791695105305,23297.412109375,23333.757526082296,1980
2019-10-07,24714.880859375,25369.098293887866,22752.228555836395,23261.064338235294,2540
2019-10-14,23297.412109375,24787.574194374025,23297.412109375,24714.88336095944,3880
2019-10-21,22897.61328125,24206.048325892858,22534.159102182537,23261.06746031746,14600
2019-10-28,24714.880859375,26096.00655445772,22679.53772977941,22679.53772977941,12120
2019-11-04,24860.267578125,25732.557668585527,23261.06907894737,24714.88589638158,660
2019-11-11,23406.44921875,24896.61135845303,21807.25082492236,23261.067546583854,230
2019-11-18,23842.59375,25041.992520960368,22824.92206554878,23624.521246189026,810
2019-11-25,22643.193359375,22643.193359375,22643.193359375,22643.193359375,10
2019-12-02,22534.158203125,22643.194452494958,22534.158203125,22643.194452494958,0
2019-12-09,22897.61328125,22897.61328125,22534.159102182537,22534.159102182537,5100
2019-12-16,22897.61328125,22897.61328125,22606.84993799603,22897.61328125,12360
2019-12-23,22897.61328125,22897.61328125,22897.61328125,22897.61328125,2000
2019-12-30,23588.17578125,23588.17578125,22606.849516082435,22897.61285390986,310
2020-01-06,23224.72265625,23588.17684492371,23224.72265625,23588.17684492371,110
2020-01-13,21807.25,23224.721250000002,21807.25,23224.721250000002,10000
2020-01-20,23115.68359375,23188.374422661163,21443.794528793238,21443.794528793238,6460
2020-01-27,21807.25,23842.593333333334,21807.25,23115.685,380
2020-02-03,22388.77734375,23261.06737012987,22207.050254920858,22207.050254920858,3560
2020-02-10,22461.46875,23261.06796116505,22461.46875,23261.06796116505,2240
2020-02-17,23115.68359375,23479.137738305817,22497.81154800511,23479.137738305817,1170
2020-02-24,22534.158203125,23188.375699344757,22534.158203125,23115.68486643145,120
2020-03-02,22425.119140625,23115.68196667342,22279.73749303586,22570.50078821414,920
2020-03-09,21443.796875,23261.067796610172,21443.796875,22534.159427966104,7130
2020-03-16,23261.06640625,23624.520568847656,22897.612243652344,22897.612243652344,3570
2020-03-23,22534.158203125,23951.629444934475,22388.776537298385,22534.158203125,8300
2020-03-30,22643.193359375,23261.06540930979,21116.685941889045,22643.193359375,14450
2020-04-06,24061.8984375,26353.5078125,23794.544010416666,23794.544010416666,12450
2020-04-13,25207.703125,25971.572916666668,24061.8984375,24061.8984375,14980
2020-04-20,26047.962890625,26124.34987857405,24443.836143695014,24443.836143695014,7440
2020-04-27,26735.439453125,28988.85506417411,26124.34369419643,26888.213392857142,19310
2020-05-04,26926.408203125,29638.145766843973,26277.118927304964,26353.50590093085,22510
2020-05-11,28224.990234375,28263.18372589648,26888.21803112314,26964.605014166104,3130
2020-05-18,28263.181640625,28950.66443728885,28224.98815192145,28224.98815192145,3500
2020-05-25,29676.341796875,29676.341796875,26277.12117921493,28339.56964386261,3540
2020-06-01,28836.08203125,29676.33872620033,25971.570571192053,29676.33872620033,18280
2020-06-08,27422.923828125,28836.08285547963,25475.05597960916,28836.08285547963,200
2020-06-15,25513.248046875,27461.115786980725,25475.054561774887,25627.828502175336,12190
2020-06-22,25742.408203125,26888.21272255193,25436.860331277818,25513.247299239614,3510
2020-06-29,26200.732421875,27804.858896683672,25284.088721984328,26964.602171783892,3860
2020-07-06,25284.091796875,26200.73560824207,23909.126079824397,26200.73560824207,5470
2020-07-13,25360.478515625,26124.34835043298,23832.738846009033,25245.8980404038,2330
2020-07-20,24825.765625,25398.667908653846,24138.282884615382,25398.667908653846,5420
2020-07-27,24940.349609375,25513.251974062023,24443.83422664625,24443.83422664625,10300
2020-08-03,26888.21484375,27117.375765713776,24825.766546075993,25513.249311967327,4510
2020-08-10,26659.0546875,26659.054687500004,25131.315163861032,25131.315163861032,50
2020-08-17,26506.279296875,26659.053240949208,25207.70077224424,26659.053240949208,1250
2020-08-24,25971.5703125,26315.31168428309,25245.89408318015,25245.89408318015,3270
2020-08-31,25666.0234375,26735.441080729164,25207.701590401786,25436.86251395089,11240
2020-09-07,26086.15234375,26659.054664622985,25207.70211841142,26086.15234375,5530
2020-09-14,24978.541015625,26086.15216157779,24978.541015625,26086.15216157779,1140
2020-09-21,25759.9140625,25759.9140625,25485.872423537236,25603.318840235563,1080
2020-09-28,25838.212890625,26229.70096472538,25211.831972064392,25799.064083214962,3360
2020-10-05,25994.806640625,25994.806640625,25094.384121446725,25094.384121446725,1350
2020-10-12,25838.212890625,25838.212890625,25055.23674242424,25838.212890625,860
2020-10-19,25838.212890625,25838.212890625,25838.212890625,25838.212890625,0
2020-10-26,25838.212890625,25838.212890625,25838.212890625,25838.212890625,0
2020-11-02,25838.212890625,25838.212890625,24898.641512784092,25838.212890625,640
2020-11-09,24311.40625,25838.209541062803,24037.364633655394,25838.209541062803,3820
2020-11-16,25055.234375,25759.912841796875,24350.555908203125,24350.555908203125,8270
2020-11-23,25759.9140625,25759.9140625,24350.55706212006,25055.23556231003,44140
2020-11-30,25446.72265625,25838.210697115384,24663.74657451923,25759.91308894231,23410
2020-12-07,25290.126953125,25603.317379789085,24663.746099796826,24781.19250979586,46700
2020-12-14,25368.423828125,25603.316641348378,24742.042992862655,25290.126223717205,32690
2020-12-21,24976.9375,25368.425548589345,24272.259012539187,25368.425548589345,9570
2020-12-28,24507.150390625,25838.209677016774,24350.555180461262,25525.0192566893,21180
2021-01-04,24976.9375,25446.723158307213,24585.44945141066,25446.723158307213,1020
2021-01-11,25446.72265625,25603.317872596155,24428.853750000002,24428.853750000002,2620
2021-01-18,25446.72265625,25603.317872596155,24272.258533653847,24976.937007211538,1780
2021-01-25,24663.74609375,25407.57335689484,23136.942764136907,25055.234126984127,17150
2021-02-01,25016.0859375,25838.210827464787,24037.36583039906,25055.234741784036,4040
2021-02-08,25016.0859375,25016.0859375,25016.0859375,25016.0859375,0
2021-02-15,25681.6171875,25838.21241425305,23959.069693216465,25016.087473799544,25290
2021-02-22,25838.212890625,25838.212890625,25055.23674242424,25720.766468394886,122180
2021-03-01,26229.6953125,26229.6953125,24820.3385494403,25759.909724813435,2090
2021-03-08,25368.423828125,26229.697476610723,25250.97742151331,26151.399872202932,1110
2021-03-15,27012.677734375,27012.677734375,25368.427785326086,25916.511101675726,2770
2021-03-22,28578.625,32062.868321917806,26621.184931506847,26621.184931506847,9540
2021-03-29,28884.83984375,30409.31750217014,27240.008685980905,27280.126519097223,1990
2021-04-05,28082.482421875,30489.55234375,27280.12578125,30489.55234375,710
2021-04-12,28082.482421875,28483.6607421875,26477.769140625,27681.3041015625,2330
2021-04-19,29687.1953125,30008.137964527024,28082.482052364863,28082.482052364863,1560
2021-04-26,29446.490234375,29606.961570802112,27601.069865463214,28483.66221581233,2030
2021-05-03,27681.3046875,29446.48933423913,27681.3046875,29446.48933423913,280
2021-05-10,28122.599609375,28122.599609375,27681.30346714515,27681.30346714515,450
2021-05-17,28884.83984375,29606.960839843752,28884.83984375,29606.960839843752,90
2021-05-24,28403.42578125,30409.317432468222,26558.005462129237,30409.317432468222,2470
2021-05-31,29687.1953125,29847.66663851351,28403.42470439189,28403.42470439189,4410
2021-06-07,29687.1953125,29687.1953125,29286.016997466213,29687.1953125,16700
2021-06-14,29446.490234375,29687.197239015666,28122.60170885133,29687.197239015666,3100
2021-06-21,29687.1953125,30088.373627533783,28884.83868243243,28884.83868243243,7500
2021-06-28,29446.490234375,29647.079404908887,27681.30553367677,28884.840556880106,18200
2021-07-05,29446.490234375,29446.490234375,29446.490234375,29446.490234375,0
2021-07-12,28162.71875,29446.489405270655,27360.36209045584,29446.489405270655,3800
2021-07-19,29085.427734375,29205.781228448275,27560.950142780173,27560.950142780173,5200
2021-07-26,29927.904296875,30088.375633587468,28082.483924681637,30088.375633587468,4300
2021-08-02,29927.904296875,29927.904296875,29927.904296875,29927.904296875,0
2021-08-09,29687.1953125,30088.373627533783,28323.189041385132,29927.90230152027,17900
2021-08-16,30489.552734375,31291.909385279607,28523.778939658718,28523.778939658718,30600
2021-08-23,32334.974609375,32334.974609374996,28924.958676624534,30329.082884227664,54400
2021-08-30,33779.21484375,36908.40576751781,32856.50469956205,34581.57149086995,60700
2021-09-06,30329.08203125,32415.2093667328,29847.668030753965,31452.381365740737,29400
2021-09-13,31853.560546875,31853.560546875,28924.95863261571,30329.082838082497,29100
2021-09-20,30288.96484375,32334.974389486753,29286.01898799669,31853.560378725164,251700
2021-09-27,30650.025390625,31492.49991052438,29687.197367882854,31492.49991052438,14100
2021-10-04,30489.552734375,30850.613227282072,29687.196083470397,30489.552734375,136000
2021-10-11,30168.609375,30970.96600731383,29687.195395611703,30489.552027925532,4900
2021-10-18,29606.9609375,30168.61060298103,29366.25393800813,30168.61060298103,8500
2021-10-25,30329.08203125,30329.082031249996,29366.254030257933,29606.96103050595,12700
2021-11-01,29847.66796875,30730.260301159273,29526.725302419356,30329.08196824597,6900
2021-11-08,30088.373046875,30770.376169270832,29727.312570312497,30168.608708333333,30200
2021-11-15,30088.373046875,30329.08003125,29687.19473958333,30008.137385416667,58000
2021-11-22,29687.1953125,29927.90230152027,28884.83868243243,29767.430975506755,16200
2021-11-29,30529.669921875,32094.265358081473,30208.727268294188,31733.204872803057,25700
2021-12-06,29767.43359375,30609.90812942217,29687.197923685984,30168.611944070082,2400
2021-12-13,30489.552734375,30850.613227282072,29687.196083470397,30088.374408922697,4900
2021-12-20,29366.25390625,30449.43540279201,28965.075574197403,28965.075574197403,13900
2021-12-27,31131.44140625,31131.44140625,28884.842541881444,29366.256584246134,15400
2022-01-03,30890.734375,31131.4413961039,29687.19926948052,31131.4413961039,20000
2022-01-10,29927.904296875,30088.375633587468,29767.432960162536,29927.904296875,18700
2022-01-17,30409.31640625,30970.966049637205,29847.6667628628,29927.90242620383,39700
2022-01-24,30088.373046875,30489.551354166666,30008.137385416667,30409.315692708333,34000
2022-01-31,30088.373046875,30088.373046875,30088.373046875,30088.373046875,0
2022-02-07,30650.025390625,30890.732396310537,30489.55405350131,30810.49672774869,8000
2022-02-14,30489.552734375,30650.02406455592,30489.552734375,30650.02406455592,6100
2022-02-21,31131.44140625,31131.44140625,30088.37764779317,30489.55601643041,5300
2022-02-28,30730.2578125,32094.26403394256,30569.786492330288,31131.436112924282,25900
2022-03-07,31291.912109375,32094.268830128203,30890.733748998395,30930.851585036056,20100
2022-03-14,31693.091796875,31893.68098546282,30930.8528802413,31131.442068829114,8100
2022-03-21,30529.669921875,33698.97862598555,30489.5520901774,31853.55836789586,27400
2022-03-28,31791.228515625,33336.92556566196,31164.59457642083,31791.228515625,19000
2022-04-04,32167.212890625,32459.64209872159,31749.45687905844,32459.64209872159,4900
2022-04-11,30496.18359375,32877.392449700346,30496.18359375,32167.207352311645,8900
2022-04-18,32752.06640625,33420.4759247449,30078.42833227041,31331.696179448343,21700
2022-04-25,31582.349609375,33420.4757771164,31415.247230489418,32752.066261574077,4900
2022-05-02,33253.37109375,33420.47346105528,31415.245053391962,31582.34742069724,23700
2022-05-09,32208.982421875,33253.37225397211,30913.93903007458,33253.37225397211,3500
2022-05-16,31498.798828125,33002.72025758455,31498.798828125,32167.208352329246,4200
2022-05-23,32584.96484375,32584.96484375,30830.389813701924,30830.389813701924,6300
2022-05-30,32919.1640625,33420.47112944163,30913.9357947335,33420.47112944163,7100
2022-06-06,32501.4140625,32919.17002731362,31707.677729354116,32919.17002731362,1800
2022-06-13,33128.04296875,33420.47209962169,30913.936692150062,31916.550855138714,5500
2022-06-20,32919.1640625,32919.1640625,30746.833439086295,31749.447572969544,7600
2022-06-27,31749.451171875,31749.451171875,31749.451171875,31749.451171875,1000
2022-07-04,31248.142578125,31749.449678308825,29785.996869255516,31749.449678308825,3400
2022-07-11,30245.53125,32752.066988950275,29911.32648480663,32752.066988950275,5500
2022-07-18,31707.673828125,31707.673828125,30078.425765810276,30245.528131175888,6700
2022-07-25,30496.18359375,31707.675818707194,29284.69136879281,30203.754436001713,21300
2022-08-01,30245.53125,30579.73601519337,29702.448506560773,30496.184823895026,3800
2022-08-08,29911.32421875,30746.836068435754,28741.607629189944,30161.977773655726,11500
2022-08-15,30329.078125,30329.078125,29744.219869146003,29869.546638257572,16800
2022-08-22,30412.63671875,30496.187918526786,28992.26632254464,30329.085518973214,21100
2022-08-29,29618.8984375,29660.674034732016,28992.264479019745,29242.91806241185,14100
2022-09-05,29242.9140625,29493.56761160714,28449.177823660713,29242.9140625,4600
2022-09-12,28908.712890625,29242.917663927023,27697.220587405165,29242.917663927023,1400
2022-09-19,29242.9140625,29535.343203124998,29075.81169642857,29075.81169642857,5600
2022-09-26,28825.16015625,29326.467289402175,28825.160156250004,29326.467289402175,11700
2022-10-03,28407.404296875,28825.160242417278,26819.931703814338,28825.160242417278,4300
2022-10-10,28156.75,28407.403560830862,28156.75,28407.403560830862,200
2022-10-17,25984.41796875,28156.74873141077,25984.41796875,28156.74873141077,5200
2022-10-24,29242.9140625,29242.9140625,24188.067488839286,25065.354910714286,20100
2022-10-31,30412.63671875,31164.59751674107,27989.651925223214,29242.919921875,4700
2022-11-07,30245.53125,30329.082441298342,28407.405041436465,29242.91695441989,7300
2022-11-14,32334.30859375,32334.30859375,28323.85171390504,30412.63133882429,5200
2022-11-21,30078.427734375,32334.309814453125,30078.427734375,32334.309814453125,1100
2022-11-28,32167.212890625,32167.212890625,30078.43283279221,30078.43283279221,300
2022-12-05,32245.21484375,32245.21484375,30662.889977412135,31218.84195747679,6700
2022-12-12,32245.21484375,32245.21484375,32245.21484375,32245.21484375,0
2022-12-19,29935.875,32245.21392857143,29935.875,32245.21392857143,10700
2022-12-26,32074.150390625,32074.150390625,29037.797486979165,31903.08825520833,1800
2023-01-02,32031.388671875,32074.154210822766,32031.388671875,32074.154210822766,100
2023-01-09,32501.806640625,32501.806640625,29807.5779322574,29807.5779322574,3600
2023-01-16,32459.041015625,32459.041015625,30791.185153162052,30791.185153162052,600
2023-01-23,32459.041015625,32459.041015625,32459.041015625,32459.041015625,0
2023-01-30,32287.98046875,32459.042616928808,28225.25444950331,32459.042616928808,600
2023-02-06,30363.529296875,32459.04047370158,30192.467159991196,30192.467159991196,800
2023-02-13,34212.4296875,34212.4296875,30363.53134765625,30363.53134765625,1200
2023-02-20,33357.12109375,34212.43189102564,32501.81029647436,34212.43189102564,400
2023-02-27,32245.21484375,33784.774173159814,31646.497326757293,33784.774173159814,2700
2023-03-06,33784.77734375,33784.77734375,31432.67259196994,33784.77734375,6500
2023-03-13,33357.12109375,33784.77649238782,31560.968419471155,33784.77649238782,600
2023-03-20,32680.693359375,34447.21732474662,32680.693359375,34447.21732474662,8500
2023-03-27,31444.130859375,33563.95990607444,31444.130859375,33563.95990607444,8400
2023-04-03,33298.98046875,33475.63288502984,29545.116622803384,31444.13009781167,10400
2023-04-10,33475.6328125,33475.6328125,31046.662093914907,33298.9803966029,6400
2023-04-17,33475.6328125,33475.6328125,33475.6328125,33475.6328125,0
2023-04-24,32857.34765625,33475.63107988911,32857.34765625,33475.63107988911,900
2023-05-01,32857.34765625,32857.34765625,32857.34765625,32857.34765625,0
2023-05-08,32857.34765625,32857.34765625,28838.50540259577,31002.497385332663,11300
2023-05-15,31797.43359375,32680.695638020832,30560.86673177083,30605.029833984376,7800
2023-05-22,32239.06640625,34447.221639554795,30914.173266267124,30914.173266267124,14000
2023-05-29,36125.41796875,36655.3752005654,32239.064935437043,32239.064935437043,7300
2023-06-05,36213.74609375,36213.74609375,33696.449109184454,33696.449109184454,1300
2023-06-12,36213.74609375,36213.74609375,34888.85294397866,36213.74609375,2200
