Price,Close,High,Low,Open,Volume
Ticker,VHC.VN,VHC.VN,VHC.VN,VHC.VN,VHC.VN
Date,,,,,
2017-01-02,18285.806640625,18888.9837941947,17936.598031662146,18349.299520828088,1103400
2017-01-09,17460.40625,18571.52353896374,17111.19910714788,18381.046374461544,1200432
2017-01-16,17968.34765625,18190.570534988667,17301.677531931044,17904.8547674234,926352
2017-01-23,17936.595703125,18063.581447045828,17460.402883678296,17682.627191488467,657768
2017-01-30,17746.123046875,17936.600222648623,17650.88445898819,17936.600222648623,320856
2017-02-06,16857.2265625,17777.866550648145,15904.840881002825,17746.119369196487,2154240
2017-02-13,16761.990234375,17047.70597700639,16444.52879415217,16857.22881525213,1609704
2017-02-20,15523.8896484375,16761.99127684049,15238.17388803681,16761.99127684049,1665240
2017-02-27,16508.01953125,16508.01953125,14603.247989640278,15650.872337525627,1891656
2017-03-06,16412.78125,16857.22844708742,15873.096962218273,16666.751289493208,1088112
2017-03-13,16666.75,16825.481448415176,15873.095734129463,16222.302837299107,1654560
2017-03-20,16349.2919921875,16793.737759237567,16031.829029319751,16539.769174666955,1039560
2017-03-27,17206.439453125,17523.900930468724,16349.292125004247,16349.292125004247,4770600
2017-04-03,17460.40625,17523.89913420168,17015.960524896786,17301.67627165007,1691664
2017-04-10,16857.2265625,18381.04365289548,16857.2265625,17650.88080104677,1417680
2017-04-17,17206.439453125,17460.40803975878,16063.576348963996,16857.230786374803,938304
2017-04-24,16666.75,17460.404265870533,16666.75,17206.435734129464,159936
2017-05-01,16539.76953125,16825.485311128967,16349.292344664023,16666.75382627298,148200
2017-05-08,16761.990234375,17142.944557883522,16254.051632397912,16508.020189335042,680400
2017-05-15,17142.943359375,17333.420507812498,16349.28907025299,16888.973332090758,554112
2017-05-22,17936.595703125,18095.327138974757,16825.4801164844,17142.94150008135,866136
2017-05-29,17936.595703125,18222.311394793025,17428.65719174937,17936.595703125,667248
2017-06-05,17333.419921875,18000.08991887019,17333.419921875,17873.105653571998,490104
2017-06-12,17460.40625,18000.09204545716,16825.48336039459,17301.67627165007,561360
2017-06-19,18571.51953125,18952.47377804487,17555.641043762833,18063.58103155768,1424256
2017-06-26,18730.25390625,19301.685366222682,18412.790991974445,18571.522449112224,682296
2017-07-03,18412.79296875,19269.94025073134,18254.06298267392,18793.747316297264,674856
2017-07-10,18190.568359375,18412.791211535547,17873.106929416677,18412.791211535547,211632
2017-07-17,16666.75,18254.06001984375,16412.77998015625,18254.06001984375,1081176
2017-07-24,16222.3037109375,16825.482354537246,16031.826557822373,16063.573742076733,204696
2017-07-31,16317.54296875,16476.274432340542,15873.097251661,16381.035851806782,340224
2017-08-07,15809.603515625,16412.780663761187,15746.110635993866,16190.557817206325,348000
2017-08-14,15619.1279296875,16285.798024247331,15555.635043695123,15873.097985554114,775920
2017-08-21,15714.365234375,15873.096692372641,15492.142383660519,15714.365234375,5384256
2017-08-28,15460.3955078125,16190.558443453492,15396.904113828272,15777.858430144826,188976
2017-09-04,14349.2802734375,15555.63466088513,14317.533087171138,15460.396078291747,383160
2017-09-11,14587.3759765625,14825.472420749576,14158.802377025762,14444.518110050254,776136
2017-09-18,15873.0966796875,16158.812410993258,14349.279446056787,14761.979450797517,2516400
2017-09-25,16190.5576171875,16508.01903521576,15714.36474609375,15714.36474609375,1308984
2017-10-02,16349.2919921875,16476.276284472806,15714.367554554989,16127.067620559477,781704
2017-10-09,16444.53125,16508.022654664757,15714.36819153088,16444.53125,391848
2017-10-16,15301.666015625,16444.529000490696,15079.441665388107,16444.529000490696,859416
2017-10-23,14761.9794921875,16000.08099798387,14761.9794921875,16000.08099798387,373344
2017-10-30,14254.0419921875,15079.442066711303,13714.356183381258,14920.712084435201,493152
2017-11-06,15015.9482421875,15301.663949831009,13841.338229806868,14365.150360486634,1315320
2017-11-13,15396.9033203125,15555.633285195341,14603.247543487409,14984.20184017058,2376456
2017-11-20,15873.0966796875,16031.826649455521,15396.903794177902,15523.888067612872,2346480
2017-11-27,17333.419921875,17333.419921875,15936.587051184182,16031.825622183494,2434968
2017-12-04,17460.40625,17841.360579004384,16508.02042748904,17460.40625,1538664
2017-12-11,17142.943359375,17619.13623046875,15873.09619915924,16888.973332090758,857712
2017-12-18,17301.673828125,17428.65809049145,16984.21094005491,17079.449508855407,607608
2017-12-25,16920.72265625,17301.67700132052,16825.48406998237,17301.67700132052,252504
2018-01-01,18190.568359375,18412.791211535547,16825.48257364115,16920.721151438927,2040408
2018-01-08,18127.07421875,18412.78993229301,17777.867116488105,18095.328524390556,4180728
2018-01-15,17682.630859375,18730.255279465204,17142.945056021515,18190.56947611172,2746824
2018-01-22,18920.732421875,19142.95528738582,17682.63083612368,17682.63083612368,3231744
2018-01-29,18254.064453125,19047.718911746768,17619.139993365763,19047.718911746768,2373504
2018-02-05,16508.01953125,18095.329645292357,15269.918029203682,17714.375336970414,3999336
2018-02-12,16539.76953125,16825.485311128967,16063.576564785059,16508.022341416992,382272
2018-02-19,16825.482421875,17047.705272031097,16381.035233460047,16539.766691058838,788808
2018-02-26,16761.990234375,16825.483117660697,15873.097308889388,16825.483117660697,1498608
2018-03-05,16158.814453125,17587.393290195883,16063.57586398694,17460.407512609836,2905224
2018-03-12,17841.361328125,18190.56997374249,16158.813963110968,16158.813963110968,2698272
2018-03-19,20207.46875,20207.46875,17442.92912165461,18364.44181686579,3154728
2018-03-26,23037.833984375,23070.74620499063,20437.850319483267,20437.850319483267,5970024
2018-04-02,23794.79296875,24321.371552022974,22412.52283778527,23235.30216340783,4822512
2018-04-09,23696.05859375,24189.726481119793,21984.677098438773,23794.79217122396,6696648
2018-04-16,25604.90625,25703.639823641017,23037.83333533353,23399.85695292129,7047816
2018-04-23,19549.24609375,25177.05936316288,19549.24609375,24354.28015964978,7601952
2018-04-30,18166.9765625,20404.937957625014,17936.598750763602,19549.246518342392,3382200
2018-05-07,18759.37890625,19713.803961331658,16850.530338798762,18726.468229423765,4321704
2018-05-14,16883.44140625,18891.0235933406,16554.330002236886,18759.379340277777,3827112
2018-05-21,17212.5546875,17804.956204959413,16126.485238824405,17146.733325146033,4532544
2018-05-28,17475.841796875,18002.42031983163,16159.394718127407,16982.17394950565,3385512
2018-06-04,19878.359375,21820.12020954367,17475.842882756697,17607.487135997715,5685432
2018-06-11,20569.494140625,20997.34065792087,18923.935596710744,19746.714868667874,2181600
2018-06-18,18923.9375,20602.40843265025,18166.979506332078,20569.496209417564,1373736
2018-06-25,19318.869140625,20372.02619740483,18759.378393596187,19088.48978100088,1167432
2018-07-02,18792.287109375,19647.978478627912,17739.130162445745,18956.84355726914,1298928
2018-07-09,19516.3359375,19977.09156320016,18101.153756916905,18792.288738179155,1512072
2018-07-16,20635.318359375,21721.387746710523,19417.604712054384,19746.716133373204,1697232
2018-07-23,22807.458984375,24025.172730486585,20734.053622159092,20734.053622159092,2034456
2018-07-30,24354.283203125,24420.10456029587,22544.166569395064,22972.013104566515,1450680
2018-08-06,22741.6328125,25670.72937026794,22215.054262731872,25670.72937026794,1671648
2018-08-13,24222.634765625,25012.503307359642,22708.720574870935,22708.720574870935,1192704
2018-08-20,24189.7265625,25308.706596732005,23564.41441729861,24189.7265625,868248
2018-08-27,25341.619140625,25835.28703594424,23432.76891691583,24058.08261279498,1626936
2018-09-03,26756.798828125,27513.755208072,24749.216650461232,25341.61810053042,1059552
2018-09-10,28303.625,28961.85091807689,26460.599217318286,26756.79995482558,1557528
