Price,Close,High,Low,Open,Volume
Ticker,VHM.VN,VHM.VN,VHM.VN,VHM.VN,VHM.VN
Date,,,,,
2023-07-17,59000.0,59400.0,56500.0,56700.0,16584800
2023-07-24,58900.0,59500.0,57400.0,59500.0,14334500
2023-07-31,63000.0,66200.0,60100.0,62200.0,23157900
2023-08-07,60900.0,63800.0,59800.0,63700.0,23822700
2023-08-14,56800.0,64100.0,56800.0,60900.0,33269600
2023-08-21,54100.0,57200.0,54000.0,56800.0,26257600
2023-08-28,54700.0,55900.0,54100.0,54500.0,21982600
2023-09-04,54000.0,57000.0,54000.0,54700.0,37986000
2023-09-11,50500.0,54900.0,49000.0,54600.0,49999200
2023-09-18,48000.0,51400.0,47850.0,50100.0,30290400
2023-09-25,45500.0,48750.0,43850.0,48000.0,26595300
2023-10-02,46050.0,46200.0,43250.0,45600.0,16082900
2023-10-09,46900.0,48000.0,46050.0,46100.0,16642300
2023-10-16,44500.0,47000.0,41700.0,46900.0,16450000
2023-10-23,39200.0,45950.0,38900.0,44500.0,37046700
2023-10-30,40500.0,40550.0,36750.0,39000.0,41628200
2023-11-06,42300.0,43200.0,39200.0,40650.0,40461900
2023-11-13,38950.0,42600.0,38500.0,42600.0,45016300
2023-11-20,39100.0,39950.0,38050.0,38500.0,29536800
2023-11-27,40900.0,41400.0,39100.0,39100.0,32016800
2023-12-04,39650.0,41500.0,39400.0,40950.0,48522000
2023-12-11,39900.0,41650.0,39850.0,40150.0,36312300
2023-12-18,40300.0,40450.0,39300.0,40200.0,17993400
2023-12-25,43200.0,44100.0,40300.0,40300.0,40841000
2024-01-01,43100.0,43750.0,42550.0,43200.0,26987800
2024-01-08,41300.0,43850.0,40900.0,43200.0,34676500
2024-01-15,43050.0,43600.0,41400.0,41800.0,27737600
2024-01-22,42000.0,43450.0,42000.0,43350.0,17057600
2024-01-29,41200.0,42300.0,41100.0,42300.0,19488800
2024-02-05,41800.0,41850.0,41000.0,41400.0,12665700
2024-02-12,42700.0,42800.0,41800.0,42150.0,10341500
2024-02-19,43300.0,46700.0,42900.0,43000.0,60590600
2024-02-26,43950.0,44900.0,43100.0,43450.0,38357100
2024-03-04,42550.0,44600.0,42550.0,44050.0,42890300
2024-03-11,42400.0,43800.0,42350.0,42600.0,40636700
2024-03-18,42800.0,43500.0,41300.0,42650.0,50661800
2024-03-25,42850.0,44050.0,42400.0,43000.0,48375500
2024-04-01,42950.0,43750.0,42200.0,42900.0,56244500
2024-04-08,44500.0,44800.0,42400.0,43050.0,83391800
2024-04-15,41500.0,44500.0,40300.0,44500.0,60653200
2024-04-22,40800.0,41800.0,40200.0,41500.0,30531500
2024-04-29,41100.0,41400.0,40350.0,40800.0,8961600
2024-05-06,40350.0,41750.0,40350.0,41150.0,30423400
2024-05-13,40850.0,41250.0,39700.0,40450.0,44122300
2024-05-20,39800.0,41650.0,39750.0,41050.0,50405000
2024-05-27,38850.0,40100.0,38850.0,39850.0,30482400
2024-06-03,39000.0,40200.0,38850.0,38850.0,23800100
2024-06-10,38200.0,39200.0,37700.0,39150.0,47674000
2024-06-17,37750.0,38500.0,37450.0,38250.0,43798500
2024-06-24,37650.0,38200.0,37100.0,37750.0,27977000
2024-07-01,38450.0,38500.0,37100.0,37650.0,29207200
2024-07-08,38500.0,38850.0,37800.0,38150.0,35505000
2024-07-15,37850.0,38500.0,36700.0,38500.0,29149200
2024-07-22,37750.0,38300.0,37300.0,38000.0,24557700
2024-07-29,36000.0,37900.0,34600.0,37750.0,27563500
2024-08-05,37200.0,38100.0,34000.0,35200.0,70067500
2024-08-12,38400.0,38700.0,35850.0,37150.0,58192900
2024-08-19,39750.0,40150.0,38200.0,38600.0,60558600
2024-08-26,41500.0,42300.0,39850.0,39850.0,65668400
2024-09-02,43900.0,44450.0,41000.0,41000.0,46186700
2024-09-09,43000.0,43650.0,41750.0,43650.0,47698900
2024-09-16,43750.0,45150.0,41700.0,42850.0,71854200
2024-09-23,43400.0,44600.0,43000.0,43800.0,53630000
2024-09-30,41500.0,44100.0,41150.0,43500.0,61971200
2024-10-07,43600.0,43800.0,40700.0,41650.0,43615700
2024-10-14,45250.0,46400.0,44450.0,45500.0,52415800
2024-10-21,43850.0,48550.0,43500.0,45500.0,125346200
2024-10-28,41500.0,44250.0,40450.0,43700.0,109416700
2024-11-04,40000.0,41800.0,40000.0,41500.0,87555600
2024-11-11,40250.0,41350.0,39250.0,40000.0,79567700
2024-11-18,41600.0,43700.0,39600.0,40300.0,121416500
2024-11-25,40800.0,43300.0,40750.0,41500.0,24379700
2024-12-02,41500.0,42000.0,40100.0,41100.0,23858600
2024-12-09,40650.0,41900.0,40500.0,41500.0,18330700
2024-12-16,40350.0,41600.0,40200.0,40650.0,18008600
2024-12-23,40350.0,41300.0,40100.0,40800.0,15305100
2024-12-30,40000.0,40600.0,39750.0,40450.0,13987200
2025-01-06,40000.0,41050.0,39700.0,40000.0,15141100
2025-01-13,40100.0,40100.0,38700.0,39800.0,18954000
2025-01-20,39500.0,40200.0,39250.0,40000.0,20603300
2025-01-27,39500.0,39500.0,39500.0,39500.0,0
2025-02-03,38750.0,39550.0,38550.0,39550.0,19511800
2025-02-10,38800.0,39050.0,37600.0,38700.0,24726700
2025-02-17,40300.0,40800.0,38700.0,38800.0,25058500
2025-02-24,41200.0,41600.0,39950.0,40100.0,29280200
2025-03-03,44950.0,45750.0,41200.0,41300.0,61191000
2025-03-10,47900.0,49550.0,44200.0,45000.0,78942600
2025-03-17,48250.0,48750.0,46250.0,47950.0,63853900
2025-03-24,51200.0,52500.0,48350.0,48450.0,54152200
2025-03-31,50300.0,53600.0,46100.0,51200.0,77000100
2025-04-07,53500.0,53700.0,45600.0,48700.0,51901600
