Price,Close,High,Low,Open,Volume
Ticker,VIB.VN,VIB.VN,VIB.VN,VIB.VN,VIB.VN
Date,,,,,
2020-11-09,6055.283203125,6266.6208186871345,5990.962838325131,6248.243515761215,19976084
2020-11-16,7462.607421875,7594.9232145218275,5990.962536938339,6064.471354062319,18119287
2020-11-23,7409.681640625,7462.607804041455,7277.365841202169,7462.607804041455,7463634
2020-11-30,8626.9853515625,8931.311726972714,7197.975225082614,7409.680631684931,24458442
2020-12-07,8494.671875,8825.461027385856,8309.42988712284,8626.987692307042,12741211
2020-12-14,8785.7646484375,8865.153492290512,8388.817302119278,8494.669615098821,14923942
2020-12-21,8679.912109375,8997.469850406687,8415.28052822137,8785.765210894457,10287859
2020-12-28,8574.060546875,8865.15484279527,8574.060546875,8785.765986848275,10536912
2021-01-04,9195.9453125,9725.207772775999,8653.450723938595,8693.1455452679,1854751
2021-01-11,9434.11328125,9513.502922415235,9023.934510914212,9262.102652646472,1304252
2021-01-18,9037.166015625,9473.808267925468,8137.418818014008,9420.882100141902,1148976
2021-01-25,8362.3544921875,9050.396144318642,7727.239000718239,9050.396144318642,995846
2021-02-01,9367.9541015625,9394.417573372608,8124.186561754869,8468.207786469411,926392
2021-02-08,9526.734375,9632.586709892588,9023.934611615025,9394.418565502538,740019
2021-02-15,9950.142578125,10055.995674374464,9500.269068913854,9526.732538417045,744405
2021-02-22,10505.869140625,10532.331828256678,9288.56440195872,10003.069476226821,1098034
2021-03-01,11458.5439453125,11802.564405892588,10796.964933791698,10849.89109836068,1312691
2021-03-08,11498.2373046875,11643.784434218485,11299.763235542237,11617.320964411349,578298
2021-03-15,12093.66015625,12305.365608063232,11485.007275448253,11617.323085111091,1012122
2021-03-22,11445.3115234375,12199.510665716032,11114.521657898727,12173.047976801465,1102572
2021-03-29,13416.8173828125,13549.132402131403,11445.312493920557,11458.543839499767,1368321
2021-04-05,13416.8173828125,14687.048447791894,13218.343290307344,14157.78524346268,1679177
2021-04-12,13496.205078125,14104.857902401867,13363.890062513557,13416.817006874191,882619
2021-04-19,14104.8583984375,14448.87964006316,13496.205552755704,13496.205552755704,1239031
2021-04-26,14713.5087890625,14739.971475994575,13787.299111174303,14157.782982329582,1381089
2021-05-03,15533.8681640625,15613.25779864953,14051.932487842605,14713.510691365522,1320255
2021-05-10,16486.54296875,16539.46835187469,15454.479235496638,15454.479235496638,1729515
2021-05-17,16221.912109375,16486.54372776211,15242.775277695378,16301.301751243824,2340849
2021-05-24,17015.8046875,17201.048219777527,16010.205205206697,16221.911429155227,1509502
2021-05-31,19582.73046875,20085.52941136408,17068.73106509924,17148.120700991312,2025184
2021-06-07,19524.509765625,20006.14008904354,18233.108646459572,19688.581565315857,13475164
2021-06-14,18672.3984375,19561.560491218115,17820.28415121731,19524.511160255897,10585542
2021-06-21,18190.765625,19079.92755873378,18079.620774164923,18746.49300622855,10937960
2021-06-28,18561.25,18857.636773031252,17783.23296182565,18190.764579302813,13245000
2021-07-05,19413.3671875,20006.142438423904,18561.254425544183,18561.254425544183,13005374
2021-07-12,16634.734375,19413.36525291688,15745.572368984462,19413.36525291688,11729879
2021-07-19,14893.4599609375,15967.863940650761,14448.878949900058,15967.863940650761,20291224
2021-07-26,15412.13671875,15449.184481624281,14152.490891652005,14467.402348426504,13955457
2021-08-02,15449.185546875,15652.952165550148,15189.846498293304,15412.137781446205,10080573
2021-08-09,15115.7509765625,15708.526229782952,14967.558335902542,15393.614718531091,12670023
2021-08-16,14337.734375,15523.283240320347,14004.298219166325,15115.74998724288,16399056
2021-08-23,13337.4287109375,14337.73570790512,12781.701993472798,14337.73570790512,10056588
2021-08-30,13355.9521484375,13819.0578882037,13263.331938600433,13337.429044586259,5799035
2021-09-06,13448.57421875,13689.388645875975,13152.18735178934,13337.429339080627,8007544
2021-09-13,13337.4287109375,13448.573585372364,12966.943972039879,13411.525815069715,7526991
2021-09-20,14245.1142578125,14374.783802083712,13485.621659517386,13485.621659517386,482364359
2021-09-27,12707.603515625,14245.112396934968,12707.603515625,14189.53996572502,17040800
2021-10-04,12818.75,12929.894869704774,12318.596522801665,12744.652899021201,339223556
2021-10-11,13596.7666015625,13670.862135671594,12818.749421675995,12818.749421675995,8038443
2021-10-18,13670.8623046875,13819.056501791405,13281.855273461648,13596.766769662347,10003218
2021-10-25,13707.9111328125,13893.153090632846,13226.28079165821,13670.861803132386,11257753
2021-11-01,14078.39453125,14467.403097439597,13392.999156141674,13707.910629219916,662969204
2021-11-08,14189.541015625,14448.88008947805,13596.767329841054,14078.396144981369,14109086
2021-11-15,14448.8798828125,14634.121852411283,13948.726408543098,14448.8798828125,26063684
2021-11-22,16671.78515625,17153.4139666602,14671.169686678522,14782.316119757439,57951473
2021-11-29,15708.525390625,16542.11500847309,15041.654634462604,16375.396146787398,37952380
2021-12-06,15930.814453125,16134.581073565809,14615.596097868978,15856.718921625366,21371386
2021-12-13,16245.7275390625,16634.736153731337,15652.953847352073,16116.058000839554,21400557
2021-12-20,16171.630859375,16857.02627154609,15097.226859978678,16245.726392966386,30453260
2021-12-27,17523.896484375,17523.896484375,15375.088551084467,16301.299891537548,36403983
2022-01-03,17116.365234375,18098.14746602438,17097.840569316933,17523.896920965148,23085731
2022-01-10,17005.21875,17968.477876857967,15819.669897304599,17005.21875,29811515
2022-01-17,16708.83203125,17301.607243034417,15597.380268121828,17005.21885537883,27341124
2022-01-24,17616.51953125,18116.67300369423,16301.301082840107,16634.735688785036,27394494
2022-01-31,17616.51953125,17616.51953125,17616.51953125,17616.51953125,0
2022-02-07,17672.091796875,18153.720598771233,17264.558531019095,17746.18889644215,22313693
2022-02-14,17357.181640625,17579.471393015345,16819.97879980343,17338.656973416822,19242395
2022-02-21,17560.9453125,17727.664176902144,16671.784810971432,17116.365843499123,24108848
2022-02-28,16968.169921875,17635.040621189422,16338.346986706569,17597.99285704343,22735689
2022-03-07,16190.15234375,16857.02458767172,15893.765548410687,16857.02458767172,16762926
2022-03-14,16412.4453125,16634.73504114218,15875.242529070116,16116.056922941398,10659439
2022-03-21,16486.54296875,16931.124004631525,16449.49363703589,16523.590736937284,10063717
2022-03-28,17746.1875,17949.952553366922,16134.580792693538,16412.444503323626,20646453
2022-04-04,16671.78515625,18079.623818805518,16671.78515625,18079.623818805518,17457826
2022-04-11,16227.2021484375,16894.072848479136,16079.007964638622,16671.783136307477,7733992
2022-04-18,15745.572265625,16208.677930080064,14300.68440621618,16116.05617177837,12671320
2022-04-25,15930.814453125,16023.436212789631,13800.531179632473,15745.572497322464,10576899
2022-05-02,15041.65625,16116.05881601068,14967.559143906548,15930.816832540533,4193161
2022-05-09,12653.884765625,15041.65529806204,12653.884765625,14819.363993849789,12810991
2022-05-16,12928.9677734375,13529.15093886682,11778.614751956298,12553.852708721673,14626235
2022-05-23,13429.1220703125,13454.129117516466,12078.707123709351,13003.991323157674,9372077
2022-05-30,13717.7705078125,14348.471523658973,13586.37425746596,14138.23785171015,4185302
2022-06-06,13691.490234375,14190.795790060363,13349.859512000981,13717.769647098237,6101333
2022-06-13,10853.3330078125,13297.304075745838,10853.3330078125,13165.907808271386,20685475
2022-06-20,10827.0517578125,11352.636738768462,9460.530478721374,10853.33117116311,21886054
2022-06-27,11957.060546875,12403.80730971466,10616.818615327815,10827.05228942717,15322159
2022-07-04,13165.9052734375,13533.814587229486,12141.013927247906,12141.013927247906,21759132
2022-07-11,12745.4384765625,13244.744085119779,12456.366549024877,12719.15906105651,12507094
2022-07-18,13770.330078125,13901.727164900632,12692.880538678311,12771.718790743691,16949769
2022-07-25,13980.5625,14348.471001771708,13244.74303191439,13665.211182032728,19223844
2022-08-01,13638.9326171875,14269.634470848241,13481.256948393786,13928.004539723624,16562752
2022-08-08,13560.0947265625,13822.886403483131,13349.860234906271,13560.0947265625,13357311
2022-08-15,13507.5361328125,14059.40055341071,13507.5361328125,13665.211798914002,20300380
2022-08-22,13349.8603515625,13586.374259431766,12903.113593228083,13560.094845055837,13284006
2022-08-29,13139.6259765625,13533.814706568532,12955.670907287398,13192.18480250226,7602338
2022-09-05,12403.806640625,13323.581174358733,11720.54682590163,13139.626103309174,20188181
2022-09-12,11957.060546875,12587.762390687176,11746.82605126154,12508.924968278443,9769015
2022-09-19,11720.546875,11878.22171197264,11221.240486206436,11667.98804833308,12013640
2022-09-26,11562.8720703125,12377.529014719443,11011.007635616563,11457.755230730922,18427725
2022-10-03,10511.701171875,11615.42912949549,10143.791031154115,11352.636641274317,16167414
2022-10-10,10616.818359375,11063.56511144438,9775.88204022286,10432.863282837317,16531860
2022-10-17,10091.234375,10827.053111747682,9802.162435022638,10590.540005044082,12805278
2022-10-24,10354.0263671875,10800.77314104008,9407.973167390677,10117.513272616825,14391752
2022-10-31,10380.3056640625,11168.683184647381,9933.558073792088,10432.863672526357,43199273
2022-11-07,9197.7373046875,10354.024834069083,8672.152362791872,10117.51177451885,36297656
2022-11-14,9670.765625,9880.999303146036,8514.47793065445,8961.225523607423,29272320
2022-11-21,9618.20703125,9986.11638781073,9197.738843103105,9723.32387290819,24050171
2022-11-28,11247.521484375,11247.521484375,9670.766320362995,9854.72059658922,67653908
2022-12-05,11011.0068359375,11694.267475866844,10511.701268051693,11562.87123055405,58324084
2022-12-12,10932.16796875,11300.078091733001,10511.700665079166,11037.285616181724,41091015
2022-12-19,10327.7470703125,11326.358290622407,9880.99946982357,10958.448936903711,29502319
2022-12-26,9986.115234375,10406.583373956164,9618.205920309247,10327.74595719709,15549919
2023-01-02,10827.0517578125,10958.44800305149,9959.836867840788,9986.115459677336,18913976
2023-01-09,11589.1513671875,11878.222467705054,10932.169278107827,10932.169278107827,37906219
2023-01-16,12035.8984375,12193.574109965413,11589.151657281154,11694.268498420051,22731151
2023-01-23,12272.4111328125,12351.249377215778,12035.898042630879,12035.898042630879,6031070
2023-01-30,12771.716796875,12824.274801865922,11878.221675374662,12324.96923612483,46029862
2023-02-06,11037.287109375,12666.600185308185,10984.72827854865,12508.925335857391,23140574
2023-02-13,11300.0791015625,11300.0791015625,10511.701604455455,10774.494103491135,22981798
2023-02-20,11037.287109375,11773.105811859132,10879.611438410078,11273.800205065318,24043930
2023-02-27,10853.3330078125,11168.684378356867,10669.377904742585,10879.61242561023,13541374
2023-03-06,11011.0068359375,11221.240499832345,10695.655518581167,10932.168595841385,21024633
2023-03-13,11011.0068359375,11247.519913197717,10590.538686633745,10879.610590624705,30849192
2023-03-20,11011.0068359375,11168.682494615667,10721.934931946538,11011.0068359375,30559331
2023-03-27,11247.521484375,11405.197165079036,10984.728957039666,11037.287791112403,45273918
2023-04-03,10984.7275390625,11720.547013525775,10932.168711774382,11405.195692825218,47188347
2023-04-10,11186.9970703125,11563.483187221273,11186.9970703125,11348.348143178613,35071948
2023-04-17,10837.4052734375,11240.782590870836,10837.4052734375,11186.998612280935,20546547
2023-04-24,11025.6484375,11025.6484375,10729.838234445562,10891.189330717405,25056763
2023-05-01,10837.4052734375,11025.648357838514,10837.4052734375,11025.648357838514,7426918
2023-05-08,11025.6484375,11213.89068259744,10837.405351738907,10864.297341228157,32676709
2023-05-15,11509.701171875,11644.160282001321,11052.539861180037,11079.431851338037,59921122
2023-05-22,11321.45703125,11671.05118954815,11213.889921259644,11590.37522655769,25789021
2023-05-29,12397.1298828125,12397.1298828125,11294.565182429335,11402.132285735695,63947811
2023-06-05,12585.3740234375,12719.833133249205,12235.780674192532,12692.94114315413,80890539
2023-06-12,12424.021484375,12934.966715004286,12316.45437711857,12612.264552571429,60409292
2023-06-19,12875.8046875,13037.15577513228,12370.238842960036,12424.021978395058,37169297
2023-06-26,12682.18359375,12972.615208512982,12649.91304070363,12972.615208512982,32929119
