Price,Close,High,Low,Open,Volume
Ticker,VIC.VN,VIC.VN,VIC.VN,VIC.VN,VIC.VN
Date,,,,,
2017-01-02,15831.0380859375,15977.9619140625,15280.0732421875,15426.9970703125,5023310
2017-01-09,15904.5,15977.9619140625,15647.3828125,15904.5,6347397
2017-01-16,15426.9970703125,15904.5,15353.53515625,15904.5,9612519
2017-01-23,15426.9970703125,15500.458984375,15243.3427734375,15500.458984375,5601107
2017-01-30,15426.9970703125,15610.65234375,15408.6318359375,15426.9970703125,1081567
2017-02-06,15610.65234375,15757.576171875,15426.9970703125,15610.65234375,7404000
2017-02-13,16161.6162109375,16418.732421875,15537.1904296875,15610.65234375,12652245
2017-02-20,16620.75390625,17263.544921875,15904.5,16088.154296875,11092117
2017-02-27,16345.2705078125,17079.890625,16161.6162109375,16639.119140625,9622729
2017-03-06,16235.078125,16675.849609375,16161.6162109375,16492.1953125,6187041
2017-03-13,16088.154296875,16455.462890625,15867.7685546875,16382.001953125,6950729
2017-03-20,15555.5556640625,16345.2705078125,15059.6875,16271.80859375,32655813
2017-03-27,15353.53515625,15573.9208984375,15353.53515625,15463.728515625,10262624
2017-04-03,15426.9970703125,15463.728515625,15243.3427734375,15390.2666015625,5582130
2017-04-10,15335.169921875,15775.94140625,15316.8046875,15426.9970703125,11928630
2017-04-17,14876.033203125,15426.9970703125,14765.83984375,15335.169921875,11702065
2017-04-24,15022.95703125,15059.6875,14563.8203125,14802.5712890625,4535846
2017-05-01,14839.3017578125,15096.4189453125,14729.109375,15022.95703125,4202422
2017-05-08,14876.033203125,15022.95703125,14747.474609375,14839.3017578125,8151244
2017-05-15,15022.95703125,15316.8046875,14802.5712890625,14876.033203125,9967669
2017-05-22,14876.033203125,15206.611328125,14674.0126953125,14986.2255859375,15188470
2017-05-29,14912.763671875,14967.8603515625,14692.3779296875,14876.033203125,9327800
2017-06-05,15280.0732421875,15353.53515625,14784.2060546875,14876.033203125,7265234
2017-06-12,15794.306640625,15831.0380859375,15133.1494140625,15353.53515625,22806109
2017-06-19,15445.3623046875,15867.7685546875,15353.53515625,15610.65234375,6890047
2017-06-26,15684.1142578125,15775.94140625,15445.3623046875,15445.3623046875,4524901
