Price,Close,High,Low,Open,Volume
Ticker,VMD.VN,VMD.VN,VMD.VN,VMD.VN,VMD.VN
Date,,,,,
2017-01-02,17251.115234375,17251.115234375,17251.115234375,17251.115234375,0
2017-01-09,17040.736328125,17251.11578896605,16304.408215181325,17251.11578896605,1010
2017-01-16,16777.76171875,17303.710361971003,16094.028482562695,17040.7360403605,1180
2017-01-23,16777.76171875,16777.76171875,16777.76171875,16777.76171875,10
2017-01-30,16777.76171875,16777.76171875,16777.76171875,16777.76171875,0
2017-02-06,16777.76171875,16777.76171875,16777.76171875,16777.76171875,0
2017-02-13,16777.76171875,16777.76171875,15778.459296630093,16777.76171875,340
2017-02-20,16830.357421875,16830.357421875,15778.460083007812,15778.460083007812,30
2017-02-27,16725.166015625,17356.304355837263,16725.166015625,16830.35573899371,190
2017-03-06,16041.4345703125,16725.16784707992,16041.4345703125,16725.16784707992,600
2017-03-13,16725.166015625,16725.166015625,16041.43281372838,16041.43281372838,210
2017-03-20,17093.330078125,17093.330078125,16725.16604567308,16725.16604567308,10
2017-03-27,17356.3046875,17356.3046875,16514.786884469697,16514.786884469697,270
2017-04-03,17356.3046875,17356.3046875,16777.761197916665,16777.761197916665,20
2017-04-10,16567.380859375,17303.708897569442,15778.457961309523,16830.355158730155,1130
2017-04-17,15778.4609375,16830.358333333334,14542.481497395833,16830.358333333334,2420
2017-04-24,16304.408203125,16567.382528981852,15383.998062626008,15778.45955141129,1860
2017-05-01,15725.86328125,16304.406746446488,14226.90975778637,16304.406746446488,330
2017-05-08,16094.0302734375,17356.30715762868,14779.158519071692,14779.158519071692,3660
2017-05-15,16304.408203125,16830.35685483871,16146.623607610885,16146.623607610885,70
2017-05-22,15778.4609375,16830.358333333334,15673.271197916667,16304.409635416667,2370
2017-05-29,15199.9169921875,16304.409230374134,14673.96830733672,15015.834952489726,3050
2017-06-05,15725.86328125,16041.432444084447,14726.560932274246,14726.560932274246,3120
2017-06-12,14989.5361328125,15778.459087171053,14989.5361328125,14989.5361328125,840
2017-06-19,14568.7763671875,14989.535251438403,13963.93547107683,14489.884076390457,21000
2017-06-26,15199.9169921875,15199.916992187498,14463.588833396409,15147.32212370242,200
2017-07-03,15147.3193359375,15199.914194742838,14148.017018636066,15199.914194742838,430
2017-07-10,14253.20703125,15147.319649446494,14253.20703125,15147.319649446494,380
2017-07-17,14989.5361328125,14989.5361328125,14253.208042077851,14253.208042077851,810
2017-07-24,14516.181640625,14831.750806725542,14463.586779608242,14463.586779608242,920
2017-07-31,14831.751953125,14831.751953125002,14516.18276263298,14621.372492796987,5580
2017-08-07,14884.345703125,14989.535425408569,14437.289383419833,14831.750841983216,140
2017-08-14,14463.5869140625,14831.750944602274,14358.397191051137,14805.453513849434,1250
2017-08-21,14200.61328125,14989.536241319443,14200.61328125,14831.751649305555,500540
2017-08-28,14305.8037109375,15094.726709702436,14305.803710937502,14305.803710937502,4040
2017-09-04,14463.5869140625,14726.56122159091,14305.802329545455,14305.802329545455,2830
2017-09-11,14726.560546875,14726.560546874998,14463.586251395089,14463.586251395089,10
2017-09-18,14621.37109375,15094.724834195145,14621.37109375,14726.560813848922,20
2017-09-25,14463.5869140625,14463.586914062502,14200.612606534092,14200.612606534092,1690
2017-10-02,14463.5869140625,14463.586914062502,14463.586914062502,14463.586914062502,100
2017-10-09,14200.61328125,14726.561921296296,14200.61328125,14463.587601273148,580
2017-10-16,14410.9931640625,14410.9931640625,14200.613701813412,14200.613701813412,10
2017-10-23,15252.51171875,15252.51171875,14516.183566810345,14516.183566810345,150
2017-10-30,15252.51171875,15252.51171875,15252.51171875,15252.51171875,0
2017-11-06,15252.51171875,15252.51171875,14673.968170797414,15252.51171875,70
2017-11-13,14726.560546875,15252.50913783482,14200.611955915178,15252.50913783482,590
2017-11-20,14726.560546875,14989.53484235491,13306.49935128348,14095.422237723213,4650
2017-11-27,14463.5869140625,15094.725252130684,14042.828022017047,14516.181775568182,34420
2017-12-04,15320.8642578125,15547.002475639993,14218.440445903483,15547.002475639993,1020
2017-12-11,14472.84765625,15264.331512451172,14218.44213104248,15264.331512451172,2160
2017-12-18,14472.84765625,15264.331512451172,14246.709411621094,14472.84765625,1540
2017-12-25,14698.9853515625,14812.054469651443,14472.847115384615,14698.9853515625,410
2018-01-01,14698.9853515625,14698.9853515625,14698.9853515625,14698.9853515625,3070
2018-01-08,14133.638671875,14896.855160156252,13992.302285156251,14698.984218750002,120
2018-01-15,14981.6572265625,14981.6572265625,14416.31167084316,14416.31167084316,3520
2018-01-22,14303.2412109375,14981.655813827816,14303.2412109375,14981.655813827816,1370
2018-01-29,12154.927734375,14303.24054324128,12154.927734375,13568.291424418605,3730
2018-02-05,13002.9482421875,13907.501163383153,11617.851581606657,11646.118860394023,4530
2018-02-12,13116.0166015625,13229.08571019666,12098.394623855065,13059.482047245421,2310
2018-02-19,13116.0166015625,13116.0166015625,13116.0166015625,13116.0166015625,700
2018-02-26,12098.39453125,13116.016501168224,12098.39453125,13116.016501168224,26950
2018-03-05,12013.5927734375,12437.60193014706,11957.058219209559,12324.532821691177,880
2018-03-12,12663.7412109375,12692.008490426198,11306.91179547991,11928.791944231305,13580
2018-03-19,11589.5830078125,13002.94678925305,11278.64297589558,12720.27403296494,3010
2018-03-26,12381.0673828125,12381.067382812502,11589.583623180652,11589.583623180652,50
2018-04-02,11617.8525390625,12550.672815921533,11306.912446776156,12550.672815921533,2310
2018-04-09,11306.9130859375,11617.85319580078,11306.9130859375,11617.85319580078,3630
2018-04-16,12494.1357421875,12494.1357421875,11080.771970446833,11306.91017392534,190
2018-04-23,12098.39453125,12494.136408440421,11165.574392158294,12494.136408440421,330
2018-04-30,11872.255859375,12098.394066220239,11052.504859561011,12098.394066220239,40
2018-05-07,11335.177734375,12635.472437071385,11052.504972919265,11335.177734375,2510
2018-05-14,11533.0498046875,12324.533614813114,11165.575178557752,11165.575178557752,580
2018-05-21,11759.1884765625,11759.1884765625,11024.239196777344,11533.050236628605,1530
2018-05-28,11759.1884765625,11759.1884765625,11759.1884765625,11759.1884765625,0
2018-06-04,12494.1357421875,12494.1357421875,10458.891910880939,11759.186580882353,3360
2018-06-11,11985.3251953125,11985.3251953125,10289.288611070166,11702.65243127211,3610
2018-06-18,11646.1201171875,11985.327499241504,11193.843607782159,11985.327499241504,60
2018-06-25,11278.642578125,11872.255345394737,9893.54612116228,10911.1680079104,210
2018-07-02,9893.546875,11589.583482142856,9893.546875,11306.910714285714,2030
2018-07-09,11787.4560546875,11787.456054687498,9610.87544027278,9893.548247339628,4160
2018-07-16,11193.8427734375,11193.8427734375,10232.755262586805,11024.239095052084,80
2018-07-23,12409.3349609375,12409.3349609375,10430.625513863184,10430.625513863184,1860
2018-07-30,11024.2392578125,12692.008786558494,10006.61717247596,11561.317580629006,1580
2018-08-06,10289.2880859375,11872.255483774037,10261.020810976133,10261.020810976133,3750
2018-08-13,9950.08203125,10685.031272194603,9328.201904296875,10685.031272194603,17430
2018-08-20,9865.279296875,9978.348400564111,9441.27015804083,9780.477469108166,42020
2018-08-27,9893.546875,9978.348705357143,9837.01232142857,9978.348705357143,4290
2018-09-03,9893.546875,9978.348705357143,9497.805,9893.546875,1840
2018-09-10,11024.2392578125,11052.506537960737,9893.548051883012,9893.548051883012,331080
2018-09-17,13455.224609375,14416.312081473216,11080.77320772059,11080.77320772059,58550
2018-09-24,12692.0078125,13850.966209632517,11759.187639198219,13455.22431792873,42420
2018-10-01,13568.2939453125,13907.501293945312,12692.008294677733,12692.008294677733,20810
2018-10-08,12030.6025390625,14153.650045955883,11199.844818973786,13753.65558813539,6180
2018-10-15,11692.146484375,11938.29693667763,11199.845579769737,11415.22722553454,1690
2018-10-22,10092.1689453125,11199.846024676068,10092.1689453125,11199.846024676068,2910
2018-10-29,10153.705078125,10153.705078125,10153.705078125,10153.705078125,650
2018-11-05,11999.8349609375,11999.8349609375,10830.620272435897,10861.389080028044,15930
2018-11-12,12122.9091796875,12122.9091796875,11692.145909343275,12122.9091796875,23020
