Price,Close,High,Low,Open,Volume
Ticker,VNM.VN,VNM.VN,VNM.VN,VNM.VN,VNM.VN
Date,,,,,
2023-07-17,61664.44140625,61748.33860544218,60573.7778167517,61244.95541028912,15740400
2023-07-24,64936.421875,65188.11343265504,61328.84288194444,61664.43162548449,19622700
2023-07-31,61244.953125,65775.40171232876,60405.98116438356,64852.53255565068,17857400
2023-08-07,63715.73046875,64929.36343005953,62675.47364477041,63195.6020567602,16367900
2023-08-14,63542.36328125,64842.68449437244,62502.106310752046,63629.051362124825,19057200
2023-08-21,64929.3671875,65276.119482226306,61635.22038760014,63022.229566505346,16374400
2023-08-28,67443.3203125,68396.88910869216,65016.05428582905,65016.05428582905,16162400
2023-09-04,69350.4609375,69783.90131835938,67443.32326171875,67443.32326171875,15421900
2023-09-11,68917.0234375,70390.72079402515,67269.94992138365,69350.46383647798,17507800
2023-09-18,67183.2578125,69177.0835282258,65709.56054435484,68570.26700604838,12519400
2023-09-25,64322.546875,68050.13382328166,64322.546875,66923.1889319407,10856600
2023-10-02,64322.546875,65536.17983490566,62935.53777796496,64322.546875,8029900
2023-10-09,65709.5625,66143.0028858839,63802.424802110814,64149.17711081794,7011000
2023-10-16,62675.4765625,65969.62332512102,60855.027035788386,65102.742598115496,11615200
2023-10-23,58947.890625,62415.413602941175,57127.44106158088,62155.34937959559,13261800
2023-10-30,60681.65234375,61461.84501674107,58167.69817522322,58861.2027734375,9650700
2023-11-06,60334.90234375,62502.10429575251,60334.90234375,60855.0308122306,11204300
2023-11-13,60681.65234375,62242.03768973215,59121.26699776786,60421.58811941965,13350200
2023-11-20,59207.94921875,60855.02247666544,58601.132755307466,59988.141814604685,10784000
2023-11-27,59294.640625,59641.39290935672,58427.75991410819,59207.952553910814,8344800
2023-12-04,59814.76953125,60248.209890172104,58514.448454483696,59381.3291723279,14519300
2023-12-11,59034.578125,61115.09189151982,59034.578125,61115.09189151982,17235900
2023-12-18,58601.140625,59207.957169933434,57474.19561298077,59034.58101423817,13910500
2023-12-25,58601.140625,59554.70948132397,58514.45254715237,58601.140625,10637900
2024-01-01,60083.1796875,60694.491108739094,59035.217251090115,59035.217251090115,8909800
2024-01-08,58685.90625,60345.180385044645,58511.245814732145,60257.85016741072,13230300
2024-01-15,59384.54296875,59908.524230238974,58249.2502355239,58685.9012867647,9973800
2024-01-22,58511.2421875,59995.85579524253,58511.2421875,59384.54430970149,7831100
2024-01-29,58947.88671875,59559.19813657407,58423.905503472226,58598.565908564815,10042600
2024-02-05,59035.22265625,59559.20392242973,58685.90181213018,58860.56223419009,8695000
2024-02-12,61131.14453125,61393.135150669645,58685.89875,59035.21957589286,14991200
2024-02-19,62004.44140625,63489.05479203345,61742.450808758804,61917.111207086265,25419300
2024-02-26,62441.09765625,64013.04137347028,61742.456004152096,62004.44662368881,22687400
2024-03-04,61131.14453125,64187.7017578125,61131.14453125,62703.08824776786,27718000
2024-03-11,60083.1796875,62266.43476335392,59995.84948446584,61567.79313908066,23995400
2024-03-18,59975.5234375,61125.4966007559,59710.145015210175,60860.11817846608,24480700
2024-03-25,59798.609375,60506.28522559172,59356.31196838018,60063.987818971895,18547900
2024-04-01,60063.98046875,60506.277821244475,59002.46682276325,59798.60205725331,26063600
2024-04-08,59002.47265625,60152.445886431786,58825.55369776049,60152.445886431786,14404400
2024-04-15,56790.984375,59002.47130549065,55729.470648364484,59002.47130549065,21990700
2024-04-22,57498.6640625,58206.33992788462,55906.39336538462,57233.28561298077,11307500
2024-04-29,58029.41796875,58383.2558831936,57410.2016184737,57498.6610970846,4529800
2024-05-06,58825.5546875,60594.74430216166,57940.959880169175,58206.33832236842,19127700
2024-05-13,59267.8515625,59975.52740205224,57852.499883395525,58914.01364272388,15480900
2024-05-20,58383.25390625,59798.60551609848,58117.87547940341,59356.30813802083,19433900
2024-05-27,57852.5,59533.23012232416,57764.04051987768,58471.71636085627,19598000
2024-06-03,59975.5234375,61213.95607485251,57852.496059181416,57852.496059181416,23326400
2024-06-10,58560.17578125,60594.7438219883,58560.17578125,60506.2843419562,21094100
2024-06-17,58383.25390625,59356.30813802083,57587.11862571023,58648.63233309659,20889100
2024-06-24,57940.95703125,58914.01127146947,57587.119125715646,58471.71388955153,14206500
2024-07-01,59444.7734375,59710.15189034598,57764.04323614211,58206.340657552086,12153700
2024-07-08,58648.6328125,59975.52495757918,58471.713859822776,59533.22757588612,19736300
2024-07-15,57764.0390625,59179.390708748084,57587.12010671898,58648.63384140505,13539500
2024-07-22,58206.3359375,58648.63332304331,57675.57907484802,57764.038551956684,14979100
2024-07-29,63248.5234375,63690.820804195806,58294.792930507,58560.17135052448,52458300
2024-08-05,64840.80078125,65813.855090382,60594.74561412859,62806.232680337656,46690900
2024-08-12,65283.09375,65990.76956300813,64310.03950711383,64840.79636686992,29643300
2024-08-19,66256.1484375,67406.12164135514,65106.17523364486,65460.01314252336,25419700
2024-08-26,65371.55078125,66344.6049877368,64221.57762812923,66256.14551441983,19662100
2024-09-02,66698.4453125,66786.90478904179,64663.877352039126,64840.79630512268,12338400
2024-09-09,64486.95703125,66786.90337255658,64486.95703125,66433.06547389404,16535600
2024-09-16,64310.0390625,65460.01225068776,63425.44430235557,64575.41749054333,16075400
2024-09-23,62806.22265625,64752.33096390845,61567.790096830984,64663.87149537852,16480100
2024-09-30,62702.0078125,64990.40225821168,62610.47203467153,64990.40225821168,15305600
2024-10-07,61969.72265625,63434.295126707904,61420.50797982829,62885.080450286194,17394400
2024-10-14,61695.1171875,62335.867662741104,61054.3667122589,62335.867662741104,11150200
2024-10-21,62244.33203125,63159.68985523897,61512.045772058824,61695.117336856616,12281500
2024-10-28,60230.546875,62244.334156534955,59772.867947378414,61969.726799962,15734300
2024-11-04,60139.01171875,60962.83379708904,59772.868572821535,60322.08329171423,8519000
2024-11-11,58308.29296875,60230.54438530219,58308.29296875,60139.00860356162,12706100
2024-11-18,58857.5078125,59315.186722395025,57576.00686479394,58308.293120625975,13728800
2024-11-25,59132.11328125,59498.25639754257,58765.970164957434,58857.50594403058,8087400
2024-12-02,58674.43359375,59315.184038611544,57850.61159321373,59132.11248293682,10296400
2024-12-09,58765.96875,59406.71918808411,58491.361419392524,59040.576080607476,9144800
2024-12-16,59498.26171875,59681.333293269236,58491.36805889423,58765.97542067308,11632200
2024-12-23,58399.828125,59498.257494122256,58308.29234423982,59223.65015184169,8089800
2024-12-30,58118.7734375,58856.78960813492,58026.52141617063,58672.28556547619,6246000
2025-01-06,56550.4921875,58303.28068923328,56458.24016109299,58118.77663641925,9648700
2025-01-13,57196.2578125,57473.01389868952,56365.98955393145,56458.24158266129,5571500
2025-01-20,57380.76171875,57657.51780421021,56827.24954782958,57196.25766177653,8156100
2025-01-27,57380.76171875,57380.76171875,57380.76171875,57380.76171875,0
2025-02-03,56089.234375,57380.76279810855,55351.21813322368,57380.76279810855,23180100
2025-02-10,55627.96875,56458.236940298506,55443.46470771144,56458.236940298506,17761100
2025-02-17,56642.74609375,57288.51030003054,55351.21768118893,55720.22579906352,16467000
2025-02-24,57380.76171875,59041.29823151125,56827.24954782958,56827.24954782958,26729800
2025-03-03,57842.01953125,58856.79180372807,57380.759407396334,57934.271556020736,17709300
2025-03-10,57288.5078125,58118.776041666664,57104.00376157407,58118.776041666664,15369600
2025-03-17,56550.4921875,58487.78474204731,56458.24016109299,57565.264477977165,17596500
2025-03-24,55627.96875,57196.25310945274,55535.71672885572,56642.74098258706,14318500
2025-03-31,53967.43359375,56827.246314102566,49631.588501602564,56089.230128205134,39830000
2025-04-07,53044.9140625,53875.182282608694,47417.54057065218,52306.89786684783,33885400
2025-04-14,52214.6484375,53413.924815039754,50554.11191475265,53413.924815039754,23635000
2025-04-21,53782.9296875,53782.9296875,49723.84065448113,52399.14933533448,23638500
2025-04-28,53137.16796875,53782.93216281467,52768.159857855906,53782.93216281467,5220700
2025-05-05,52952.6640625,53321.6721744338,52491.40392258275,53137.1681184669,12908600
2025-05-12,52399.15234375,54428.69697678257,51753.38814233055,52952.66451639525,19342100
2025-05-19,52531.49609375,54441.73231534091,52531.49609375,53677.637826704544,15944900
2025-05-26,52627.0078125,53486.61411070781,52531.49600158802,52913.54324523594,15223200
2025-06-02,53773.1484375,55205.82557171403,52053.93587644316,52435.98311223357,20814100
2025-06-09,53391.1015625,53773.14880087209,52627.00708575582,52913.542514534885,14074000
2025-06-16,53582.125,54250.70766488413,52913.54233511586,52913.54233511586,19601800
2025-06-23,53868.66015625,55205.82547927748,53295.58930352394,53486.612921099295,18236300
2025-06-30,54919.29296875,56065.43473505435,54632.75752717391,55492.36385190217,22058000
2025-07-07,57020.55078125,57880.157074434675,55110.31457417295,55396.850005234504,29570700
2025-07-14,57402.59765625,58453.22756343594,56638.50317829659,57307.08584650582,30038500
2025-07-21,60841.0234375,61127.55886970173,56829.52738667583,57593.6218725471,38391400
2025-07-28,58453.23046875,61318.58490349264,57689.13595281862,60458.97857306985,44288400
2025-08-04,58166.6953125,59217.325277093594,57116.065347906406,57116.065347906406,27176300
2025-08-11,58930.7890625,59599.37175850891,58071.182739059965,58262.20636649109,29528000
2025-08-18,57402.59765625,58548.73937318011,56925.03860752912,58357.71575369176,26957100
2025-08-25,58262.20703125,58739.766105276634,55874.4116611168,56256.45892033811,18221400
2025-09-01,59026.30078125,59694.88347618325,57593.6235778216,58262.206272754855,13762700
2025-09-08,58453.23046875,59121.81317018995,56734.01780790441,58166.69502527573,25553400
2025-09-15,60745.51171875,63228.81880159198,58453.2282576651,58453.2282576651,31117200
2025-09-22,58739.765625,59981.41920731707,58262.206554878045,59312.83650914634,19962800
2025-09-29,58453.23046875,59790.3958716299,57307.08869485294,58357.71865425858,21216100
2025-10-06,60076.9296875,60650.0005589229,58644.252508942765,59885.90606369237,21036100
2025-10-13,58453.23046875,61509.60853247549,57498.11232383578,59408.34861366422,27773600
2025-10-20,56600.0,59400.0,55000.0,58900.0,30717500
2025-10-27,57100.0,58400.0,56800.0,58400.0,11954900
2025-11-03,57600.0,58500.0,56300.0,57700.0,16485400
2025-11-10,62800.0,63300.0,57000.0,57700.0,32879100
2025-11-17,59900.0,63300.0,59700.0,62900.0,21064000
2025-11-24,64000.0,64500.0,60100.0,60100.0,34319800
2025-12-01,63400.0,65900.0,63400.0,64300.0,30237700
2025-12-08,60200.0,64500.0,60200.0,63300.0,21430400
2025-12-15,64000.0,64400.0,60300.0,60300.0,17972400
2025-12-22,61500.0,64100.0,61200.0,63900.0,19185000
2025-12-29,61200.0,62300.0,61200.0,61500.0,5403600
2026-01-05,61000.0,63400.0,60000.0,61300.0,18826600
2026-01-12,69600.0,73000.0,61100.0,61100.0,68379000
2026-01-19,67200.0,75500.0,67200.0,69800.0,67246900
2026-01-26,70600.0,72500.0,66100.0,67400.0,44921000
2026-02-02,69100.0,73600.0,68200.0,70900.0,40464100
2026-02-09,69500.0,70500.0,68100.0,69400.0,15629100
2026-02-16,69500.0,69500.0,69500.0,69500.0,0
2026-02-23,68200.0,73400.0,68000.0,70000.0,45238100
2026-03-02,62400.0,69800.0,62000.0,66900.0,52957400
2026-03-09,63100.0,63700.0,58100.0,59000.0,48003200
2026-03-16,60000.0,63000.0,60000.0,62600.0,21512400
2026-03-23,61500.0,62200.0,59200.0,59200.0,16224900
2026-03-30,60000.0,62200.0,60000.0,60600.0,21488900
2026-04-06,62800.0,64000.0,60000.0,60000.0,19060500
2026-04-13,61300.0,63500.0,61100.0,62400.0,17456800
2026-04-20,61400.0,62700.0,60500.0,61400.0,22588200
2026-04-27,60900.0,61400.0,60300.0,61400.0,5628000
2026-05-04,60900.0,61800.0,60400.0,61100.0,14754900
2026-05-11,59800.0,61100.0,58700.0,61100.0,21581500
2026-05-18,59500.0,60700.0,58600.0,59500.0,22594200
2026-05-25,58800.0,59800.0,58700.0,59500.0,6444800
