Price,Close,High,Low,Open,Volume
Ticker,VPL.VN,VPL.VN,VPL.VN,VPL.VN,VPL.VN
Date,,,,,
2026-03-16,79000.0,81600.0,76000.0,78100.0,2579800
2026-03-23,83000.0,83000.0,73500.0,78900.0,2643900
2026-03-30,83200.0,89700.0,80000.0,81700.0,5524800
2026-04-06,81000.0,85500.0,78800.0,83300.0,3399100
2026-04-13,82800.0,88000.0,79100.0,79100.0,4964700
2026-04-20,81500.0,87000.0,80800.0,83000.0,4759700
2026-04-27,85700.0,87900.0,80800.0,81500.0,1893900
2026-05-04,91500.0,92000.0,83700.0,85000.0,6454600
2026-05-11,88400.0,93000.0,83300.0,91500.0,4545700
2026-05-18,93400.0,95000.0,86700.0,87600.0,4261100
2026-05-25,91700.0,99500.0,90400.0,91600.0,2422600
