Price,Close,High,Low,Open,Volume
Ticker,VPX.VN,VPX.VN,VPX.VN,VPX.VN,VPX.VN
Date,,,,,
2025-12-15,29200.0,29200.0,28150.0,28500.0,3621000
2025-12-22,27950.0,29000.0,26850.0,29000.0,8765300
2025-12-29,29800.0,29800.0,27300.0,27300.0,7236300
2026-01-05,28750.0,29250.0,27600.0,29000.0,2526400
2026-01-12,30900.0,32000.0,28500.0,28500.0,8316700
2026-01-19,29000.0,32500.0,29000.0,30900.0,5884200
2026-01-26,27700.0,29300.0,27250.0,29000.0,5554600
2026-02-02,27450.0,28050.0,27250.0,27700.0,2698900
2026-02-09,29950.0,29950.0,27300.0,27500.0,1889200
2026-02-16,29950.0,29950.0,29950.0,29950.0,0
2026-02-23,32000.0,32000.0,28900.0,29900.0,5608200
2026-03-02,31200.0,34400.0,30600.0,31000.0,21338200
2026-03-09,30600.0,31950.0,28200.0,29050.0,5445000
2026-03-16,29150.0,32700.0,29150.0,31000.0,11658700
2026-03-23,29500.0,30500.0,27150.0,28400.0,9744000
2026-03-30,28100.0,30300.0,27950.0,28800.0,7470700
2026-04-06,28250.0,29600.0,27450.0,28000.0,6605000
2026-04-13,28750.0,29500.0,28000.0,28250.0,6337500
2026-04-20,27600.0,29150.0,27300.0,28900.0,6166100
2026-04-27,27400.0,27950.0,27250.0,27600.0,1595900
2026-05-04,27500.0,28250.0,27150.0,27700.0,4505500
2026-05-11,27800.0,28550.0,27500.0,27500.0,4498100
2026-05-18,27500.0,28100.0,27050.0,27550.0,5504800
2026-05-25,27600.0,27800.0,27400.0,27800.0,2047700
