Price,Close,High,Low,Open,Volume
Ticker,VTP.VN,VTP.VN,VTP.VN,VTP.VN,VTP.VN
Date,,,,,
2024-03-11,92035.9921875,92916.25141139745,76680.35905951116,76680.35905951116,7697600
2024-03-18,86363.203125,95752.63404232729,84504.87825594563,92818.43688066251,8445900
2024-03-25,85971.984375,88612.76205204778,80983.84876279863,86265.4041168942,6476500
2024-04-01,77560.6171875,89982.05272698612,77560.6171875,85971.98298589217,8497700
2024-04-08,75311.0625,77560.61371753247,69442.66801948052,77169.38741883117,8505300
2024-04-15,67779.9609375,74822.03480113637,63574.27793560606,74822.03480113637,8205400
2024-04-22,74919.84375,76191.32934889034,67486.54332571801,69442.67501631854,7233200
2024-04-29,77071.5859375,79223.3307225571,73159.32269194162,74919.8411524429,3871600
2024-05-06,80397.0078125,81961.91307405717,76778.16439514903,78538.68281440085,7097400
2024-05-13,83037.78125,83820.23384128386,74822.02904151943,80397.00375441696,8214600
2024-05-20,76289.1328125,84113.65925480769,75311.06700721153,84113.65925480769,8315500
2024-05-27,76289.1328125,78440.87758413462,74333.00120192308,76191.32623197115,4355700
2024-06-03,77560.6171875,81668.49350764502,76289.13165983606,76289.13165983606,5199500
2024-06-10,84896.109375,86363.20803931452,75702.29107862903,77658.42263104838,10504100
2024-06-17,93503.0859375,96339.4766197045,84700.49416514121,85482.94676712865,11727700
2024-06-24,81179.4609375,94285.54258283132,78245.26355421686,93503.08994728915,9378800
2024-07-01,85874.171875,87243.4639094533,78440.87225939636,81081.64975441345,4586500
2024-07-08,85971.984375,87928.11598762799,84113.65934300341,86069.7909556314,4478400
2024-07-15,77267.1953125,86461.01348892406,76289.12954905063,86069.78718354431,7020400
2024-07-22,76582.546875,77658.4191810345,68953.63415948277,77071.57974137932,4467500
2024-07-29,71300.9921875,77658.4194744513,66997.5029471022,77658.4194744513,4450800
2024-08-05,72279.0625,72279.0625,66508.47428958051,69736.09142422192,3488600
2024-08-12,73843.9609375,74528.60693294702,69931.69810637417,72572.47551738411,2709600
2024-08-19,74333.0,78245.26315789473,73941.77368421052,74333.0,3429300
2024-08-26,74333.0,75897.9052631579,73550.54736842104,74626.4197368421,1847500
2024-09-02,73550.546875,75115.45212765958,72376.86793550532,73941.7731881649,1142400
2024-09-09,71985.640625,73648.35243291441,70909.76827870245,73648.35243291441,2518400
2024-09-16,77658.421875,80103.58629171914,71300.99439153023,72181.25358154911,5007400
2024-09-23,77071.5859375,79223.3307225571,75604.48722041561,77462.81226205584,6275200
2024-09-30,75472.078125,79042.37354221419,74281.97965259527,78348.14943331144,3550200
2024-10-07,84992.859375,85687.08343057176,75372.897462077,76662.17070813886,6666200
2024-10-14,85885.4375,87273.88568129331,81918.44269630485,85290.38827944573,5090100
2024-10-21,89753.2578125,89753.2578125,83604.41584081492,85092.03889848066,5569500
2024-10-28,87868.9375,90943.35856376975,86778.01389672686,90050.78470654627,3577500
2024-11-04,107803.0859375,108298.96029783809,87075.53767536799,87075.53767536799,9236600
2024-11-11,121489.2109375,121489.2109375,104827.8334375,108199.77888392856,7755800
2024-11-18,122976.8359375,127836.40445438508,109786.5785345262,123770.23487903226,6967600
2024-11-25,130712.4765625,131902.57498340288,120100.76564278262,123869.41064230842,4666300
2024-12-02,140828.3125,152729.29665492958,131010.0005721831,132993.49793133803,5618300
2024-12-09,138646.46875,147274.68247049354,134877.82367668097,143803.56200822603,5541200
2024-12-16,140828.3125,143307.68419894367,135968.7439700704,139142.3397447183,3832800
2024-12-23,131406.703125,143406.8624292453,130910.8287735849,142811.81320754718,5302400
2024-12-30,143010.15625,145588.70275658809,128927.32532940361,128927.32532940361,4668300
2025-01-06,145787.0625,156696.29846938775,143704.39017857143,144299.4394132653,6007900
2025-01-13,160960.8125,163638.53396487984,143406.8606746765,145291.18318699938,2788000
2025-01-20,168597.28125,173258.50020220588,160167.4171875,163638.53768382352,2381100
2025-01-27,168597.28125,168597.28125,168597.28125,168597.28125,0
2025-02-03,160564.109375,168597.27358709078,158679.78690549723,167605.52491893142,3957200
2025-02-10,154712.796875,160663.2890625,149357.35390625,160365.76445312498,5386500
2025-02-17,150944.15625,155407.02552151776,149952.40752299607,154712.801412615,1813900
2025-02-24,152630.125,155208.67162118258,142811.81286549708,150944.15220922677,2880600
2025-03-03,152729.296875,158580.6140929383,150249.92517248375,153721.0455560065,2549400
2025-03-10,145192.015625,152927.6558017418,143803.56738814892,152927.6558017418,1562200
2025-03-17,145192.015625,149456.53520961409,138348.94931480533,145588.71512124318,2034300
2025-03-24,137654.71875,146382.10725864553,136067.92083933717,145489.53343389768,1407000
2025-03-31,115340.375,137654.72098022356,115340.375,137555.54610920034,1922300
2025-04-07,111075.8515625,111869.25050223214,99373.2172014509,107307.20659877232,2830200
2025-04-14,100166.6171875,114051.09877784654,94216.12507735148,111571.72706528465,4800400
2025-04-21,108199.78125,110084.10374656279,90447.47983501374,100166.61692254811,6368900
2025-04-28,109092.359375,114546.97734375,108398.13526988636,110480.80758522727,1791600
2025-05-05,111770.078125,116629.64673913045,107307.2089895741,109092.35664374445,3207600
2025-05-12,113753.578125,116927.17402735396,111770.08068602877,111770.08068602877,3004600
2025-05-19,108100.609375,119009.84518348624,108100.609375,119009.84518348624,4006300
2025-05-26,108596.484375,111571.73052226027,106117.11258561643,109588.23309075342,2603500
2025-06-02,111075.8515625,112761.8243094308,104728.66004464286,105125.35951450893,2444100
2025-06-09,121985.0859375,125059.50680259147,107406.38054496952,108398.12921112805,5861800
2025-06-16,114943.671875,120596.6393442623,114150.27293194564,117026.34410051769,4195700
2025-06-23,113257.703125,115042.8508099825,109588.23288364711,112761.82876806043,2567900
2025-06-30,116431.296875,118315.61939682708,114150.27487489353,118018.09478811755,3886900
2025-07-07,121092.515625,123770.23710073711,118018.09467137593,121390.04023341523,5237200
2025-07-14,123076.015625,127737.2345890411,119505.72024828766,122282.61665239725,5927200
2025-07-21,119406.5390625,122580.13478509137,119009.83959717609,120596.63745847177,2895200
2025-07-28,110084.1015625,121985.0855152027,109786.57696368243,120794.98711993243,4998300
2025-08-04,115836.25,117621.39768835616,109687.40796232875,111075.85616438356,3894900
2025-08-11,111571.7265625,118117.26785416667,111472.55169444444,117026.34430555555,3127800
2025-08-18,101753.4140625,110579.97727065058,99075.69263980263,109588.22859557749,3684400
2025-08-25,99571.5703125,102645.99130820468,97786.42263757471,98083.94725006225,2255100
2025-09-01,104331.9609375,107108.85723621673,98381.46886882129,99571.56728255704,1460400
2025-09-08,97885.59375,101753.41356382979,97191.36968085106,101753.41356382979,1720000
2025-09-15,102447.640625,106017.93594203776,100563.31809656341,100563.31809656341,2541900
2025-09-22,100464.140625,102546.8128393386,98678.99301270978,100166.61602295164,1196000
2025-09-29,95802.921875,99274.04223278986,95207.87267080745,99274.04223278986,1351200
2025-10-06,94600.0,97200.0,93800.0,94800.0,2389100
2025-10-13,99800.0,102000.0,95800.0,97800.0,3867700
2025-10-20,106300.0,114400.0,98500.0,100000.0,10828500
2025-10-27,119300.0,122500.0,110200.0,117000.0,6734400
2025-11-03,105000.0,119500.0,102000.0,115000.0,7062800
2025-11-10,106300.0,107500.0,101500.0,105700.0,2348200
2025-11-17,104000.0,111000.0,102000.0,107000.0,3160300
2025-11-24,99000.0,105000.0,98000.0,104000.0,2118600
2025-12-01,99300.0,102600.0,98700.0,99000.0,1643900
2025-12-08,96800.0,100300.0,95300.0,99400.0,1797000
2025-12-15,98600.0,104000.0,96600.0,96800.0,2577900
2025-12-22,97000.0,101200.0,95300.0,98600.0,1878600
2025-12-29,98800.0,98800.0,96500.0,97800.0,768900
2026-01-05,107100.0,107100.0,95300.0,98800.0,4755500
2026-01-12,122000.0,131500.0,110200.0,114500.0,11209000
2026-01-19,114700.0,129900.0,113200.0,123300.0,7339200
2026-01-26,111200.0,119500.0,111100.0,114800.0,5291700
2026-02-02,110600.0,119000.0,106600.0,111200.0,4687200
2026-02-09,102000.0,111800.0,101000.0,111500.0,2587600
2026-02-16,102000.0,102000.0,102000.0,102000.0,0
2026-02-23,107200.0,111500.0,104000.0,105000.0,2602000
2026-03-02,97600.0,105600.0,97000.0,102500.0,2972400
2026-03-09,89100.0,96900.0,88000.0,90800.0,3046700
2026-03-16,88800.0,91800.0,88000.0,89100.0,1609300
2026-03-23,99200.0,101000.0,82600.0,88600.0,3512800
2026-03-30,68873.2421875,75054.171875,68873.2421875,72993.859375,4091593
2026-04-06,73000.0,75500.0,68578.90625,68873.2421875,2926416
2026-04-13,71000.0,74500.0,70100.0,72900.0,2505600
2026-04-20,69400.0,71900.0,66900.0,70800.0,2538700
2026-04-27,68000.0,69600.0,67600.0,69400.0,613800
2026-05-04,66000.0,69800.0,65400.0,68100.0,2478700
2026-05-11,65100.0,68600.0,62900.0,66000.0,2850800
2026-05-18,67000.0,72900.0,64700.0,65500.0,6268700
2026-05-25,66800.0,68800.0,66100.0,67200.0,1060300
