Price,Close,High,Low,Open,Volume
Ticker,VVS.VN,VVS.VN,VVS.VN,VVS.VN,VVS.VN
Date,,,,,
2025-12-15,57900.0,58100.0,57300.0,58000.0,56000
2025-12-22,65000.0,66500.0,57500.0,57800.0,613600
2025-12-29,65500.0,72500.0,63100.0,65000.0,586300
2026-01-05,56700.0,69000.0,56700.0,65500.0,1135700
2026-01-12,60800.0,63500.0,52800.0,54400.0,768500
2026-01-19,61000.0,65000.0,58700.0,60800.0,324200
2026-01-26,80800.0,83800.0,61000.0,61000.0,1499000
2026-02-02,90600.0,92600.0,79100.0,79100.0,1068000
2026-02-09,110200.0,116000.0,90000.0,90600.0,719000
2026-02-16,110200.0,110200.0,110200.0,110200.0,0
2026-02-23,121900.0,129900.0,103100.0,113300.0,1114800
2026-03-02,139100.0,139100.0,116900.0,121400.0,1096200
2026-03-09,160500.0,161900.0,125000.0,135100.0,1335800
2026-03-16,128500.0,160900.0,121300.0,160900.0,1419100
2026-03-23,124500.0,134100.0,111300.0,124900.0,1632900
2026-03-30,115000.0,123500.0,107700.0,115800.0,1222500
2026-04-06,105900.0,115000.0,92900.0,115000.0,908700
2026-04-13,125000.0,133600.0,105900.0,106500.0,935500
2026-04-20,129000.0,149700.0,123700.0,133700.0,1148000
2026-04-27,113000.0,131000.0,111600.0,129000.0,427500
2026-05-04,114100.0,119500.0,109500.0,112400.0,366700
2026-05-11,105000.0,116400.0,102700.0,114000.0,473200
2026-05-18,109900.0,117900.0,99900.0,105600.0,734700
2026-05-25,120500.0,123200.0,107000.0,109000.0,650100
